Run Name,Group 7 Run 4 25%
Run Date,03:17:29 PM   02-03-11
Method Name,25%B-Isocrat
Export Format Version, 1.00
Method ID, 1174
Points/Second, 1.00
Number of Records,   5268
Offset from Run Start Time,00:00:00
Run End Time,01:27:48
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.002234,0.000000,  25.096
     1.0,0.000000,0.000000,0.000000,0.000000,  25.087
     2.0,0.000000,0.000000,0.000000,0.000000,  25.084
     3.0,0.000000,0.000000,0.000000,0.000000,  25.084
     4.0,0.000000,0.000000,0.000000,0.000000,  25.076
     5.0,-0.000027,-0.000008,-0.000890,-0.000044,  25.075
     6.0,-0.000017,-0.000006,-0.000619,-0.000044,  25.074
     7.0,-0.000015,0.000006,-0.000393,-0.000067,  25.076
     8.0,-0.000018,-0.000003,-0.000359,-0.000053,  25.087
     9.0,-0.000027,-0.000006,-0.000064,-0.000067,  25.093
    10.0,-0.000066,-0.000032,-0.000035,-0.000120,  25.073
    11.0,-0.000064,-0.000032,-0.000086,-0.000093,  25.073
    12.0,-0.000035,-0.000022,-0.001465,-0.000067,  25.070
    13.0,-0.000022,-0.000012,-0.000379,-0.000075,  25.068
    14.0,-0.000014,-0.000009,-0.000225,-0.000062,  25.066
    15.0,-0.000006,-0.000002,-0.000159,-0.000084,  25.068
    16.0,-0.000009,0.000008,-0.000270,-0.000062,  25.069
    17.0,-0.000008,0.000011,-0.000010,-0.000075,  25.061
    18.0,-0.000029,-0.000012,0.000091,-0.000075,  25.057
    19.0,-0.000030,-0.000011,-0.000032,-0.000089,  25.051
    20.0,-0.000019,-0.000005,-0.000137,-0.000111,  25.050
    21.0,-0.000015,-0.000000,-0.000023,-0.000062,  25.045
    22.0,-0.000020,-0.000005,-0.000160,-0.000075,  25.041
    23.0,-0.000011,-0.000001,-0.000055,-0.000084,  25.043
    24.0,-0.000020,0.000003,-0.000102,-0.000049,  25.040
    25.0,-0.000009,0.000008,-0.000082,-0.000062,  25.048
    26.0,-0.000027,0.000006,0.000047,-0.000084,  25.052
    27.0,-0.000076,-0.000029,0.000265,-0.000165,  25.032
