Run Name,Group7Run1 50%
Run Date,12:59:14 PM   02-03-11
Method Name,50%B-Isocrat
Export Format Version, 1.00
Method ID, 1176
Points/Second, 1.00
Number of Records,    616
Offset from Run Start Time,00:00:00
Run End Time,00:10:18
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.008364,-0.362834,0.065234,0.000000,  37.962
     1.0,0.000000,0.000000,0.000000,0.000000,  37.961
     2.0,0.000000,0.000000,0.000000,0.000000,  37.972
     3.0,0.000000,0.000000,0.000000,0.000000,  37.972
     4.0,0.000000,0.000000,0.000000,0.000000,  37.955
     5.0,0.000016,0.000006,0.000083,-0.000062,  37.951
     6.0,-0.000084,-0.000038,-0.000103,-0.000186,  37.953
     7.0,-0.000158,-0.000112,-0.000251,-0.000239,  37.950
     8.0,-0.000076,-0.000077,-0.000203,-0.000146,  37.946
     9.0,-0.000013,-0.000011,-0.000715,-0.000115,  37.940
    10.0,-0.000059,-0.000028,-0.000214,-0.000191,  37.945
    11.0,-0.000069,-0.000027,-0.000092,-0.000151,  37.955
    12.0,-0.000003,0.000015,-0.000231,-0.000098,  37.951
    13.0,0.000035,0.000042,-0.000222,-0.000094,  37.937
    14.0,0.000005,0.000040,-0.000252,-0.000156,  37.941
    15.0,-0.000089,-0.000026,-0.000159,-0.000235,  37.956
    16.0,-0.000075,-0.000054,-0.000311,-0.000173,  37.939
    17.0,-0.000003,0.000010,-0.001241,-0.000129,  37.939
    18.0,0.000016,0.000042,-0.000434,-0.000138,  37.941
    19.0,-0.000060,-0.000014,-0.000095,-0.000178,  37.952
    20.0,0.000009,0.000025,-0.000021,-0.000121,  37.957
    21.0,0.000057,0.000055,-0.000059,-0.000085,  37.940
    22.0,0.000083,0.000082,-0.000164,-0.000059,  37.940
    23.0,-0.000002,0.000028,-0.000119,-0.000187,  37.948
    24.0,-0.000064,-0.000017,0.000062,-0.000244,  37.944
    25.0,0.000018,0.000020,-0.000015,-0.000161,  37.938
    26.0,0.000083,0.000072,-0.000247,-0.000081,  37.938
    27.0,0.000027,0.000057,0.000136,-0.000125,  37.943
    28.0,0.000028,0.000044,-0.000007,-0.000121,  37.947
    29.0,0.000089,0.000083,0.000063,-0.000041,  37.949
    30.0,0.000117,0.000114,0.000200,-0.000064,  37.931
    31.0,0.000104,0.000103,0.000123,-0.000068,  37.923
    32.0,0.000004,0.000037,0.000184,-0.000161,  37.937
    33.0,0.000009,0.000031,0.000219,-0.000161,  37.916
    34.0,0.000093,0.000085,-0.000408,-0.000112,  37.907
    35.0,0.000110,0.000121,-0.000392,-0.000064,  37.891
    36.0,0.000061,0.000086,-0.000127,-0.000117,  37.900
    37.0,0.000110,0.000117,-0.000015,-0.000024,  37.918
    38.0,0.000158,0.000146,0.000114,0.000016,  37.876
    39.0,0.000161,0.000170,0.000215,-0.000055,  37.866
    40.0,0.000080,0.000114,0.000368,-0.000126,  37.875
    41.0,-0.000003,0.000069,0.000265,-0.000188,  37.863
    42.0,0.000085,0.000105,-0.000512,-0.000064,  37.858
    43.0,0.000157,0.000155,-0.000025,0.000003,  37.849
    44.0,0.000115,0.000143,0.000303,-0.000050,  37.862
    45.0,0.000126,0.000126,0.000274,-0.000059,  37.878
    46.0,0.000178,0.000165,0.000185,-0.000006,  37.877
    47.0,0.000202,0.000189,0.000256,0.000011,  37.849
    48.0,0.000180,0.000179,0.000411,-0.000006,  37.848
    49.0,0.000095,0.000119,0.000472,-0.000108,  37.875
    50.0,0.000077,0.000116,-0.000852,-0.000095,  37.877
    51.0,0.000186,0.000178,-0.000197,0.000011,  37.887
    52.0,0.000207,0.000201,0.000189,0.000024,  37.840
