Run Name,Group830%3
Run Date,06:12:52 PM   02-24-11
Method Name,25%B-Isocrat
Export Format Version, 1.00
Method ID, 1232
Points/Second, 1.00
Number of Records,   1731
Offset from Run Start Time,00:00:00
Run End Time,00:28:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000082,-0.000315,-0.006807,0.000000,  31.635
     1.0,-0.000079,-0.000325,0.000000,0.000000,  31.628
     2.0,-0.000079,-0.000318,0.000000,0.000000,  31.631
     3.0,-0.000418,-0.000315,0.000000,0.000000,  31.632
     4.0,0.000000,-0.000316,0.000000,0.000000,  31.631
     5.0,0.000000,0.000000,-0.000060,-0.000022,  31.629
     6.0,0.000000,0.000000,-0.000310,-0.000053,  31.630
     7.0,0.000000,0.000000,-0.000515,-0.000018,  31.624
     8.0,0.000016,0.000000,-0.000330,-0.000053,  31.625
     9.0,0.000028,0.000028,-0.000313,-0.000094,  31.615
    10.0,0.000022,0.000033,-0.000414,-0.000080,  31.619
    11.0,0.000023,0.000036,-0.000412,-0.000067,  31.620
    12.0,-0.000004,0.000037,-0.000210,-0.000040,  31.622
    13.0,-0.000001,0.000038,-0.000438,-0.000053,  31.616
    14.0,0.000018,0.000026,-0.000436,-0.000053,  31.614
    15.0,0.000023,0.000021,-0.000233,-0.000053,  31.615
    16.0,0.000015,0.000032,-0.000237,-0.000075,  31.615
    17.0,0.000023,0.000027,-0.000330,-0.000075,  31.617
    18.0,0.000010,0.000033,-0.000349,-0.000075,  31.619
    19.0,0.000008,0.000039,-0.000325,-0.000098,  31.621
    20.0,0.000016,0.000038,-0.000410,-0.000062,  31.617
    21.0,0.000007,0.000033,-0.000269,-0.000089,  31.621
    22.0,0.000016,0.000032,-0.000380,-0.000098,  31.619
    23.0,0.000016,0.000036,-0.000456,-0.000062,  31.628
    24.0,0.000003,0.000031,-0.000438,-0.000089,  31.635
    25.0,0.000020,0.000027,-0.000425,-0.000133,  31.631
    26.0,0.000023,0.000020,-0.000294,-0.000098,  31.632
    27.0,0.000031,0.000030,-0.000331,-0.000098,  31.630
    28.0,0.000034,0.000042,-0.000273,-0.000133,  31.629
    29.0,-0.000003,0.000045,-0.000322,-0.000111,  31.634
    30.0,0.000017,0.000053,-0.000760,-0.000098,  31.633
    31.0,0.000023,0.000037,-0.000577,-0.000111,  31.632
    32.0,0.000029,0.000030,-0.000317,-0.000138,  31.634
    33.0,0.000021,0.000036,-0.000260,-0.000147,  31.628
    34.0,0.000015,0.000045,-0.000387,-0.000098,  31.630
    35.0,0.000006,0.000059,-0.000779,-0.000098,  31.618
    36.0,0.000010,0.000050,-0.000447,-0.000133,  31.614
    37.0,0.000018,0.000030,-0.000746,-0.000125,  31.610
    38.0,0.000036,0.000026,-0.000686,-0.000133,  31.613
    39.0,0.000029,0.000041,-0.000632,-0.000098,  31.611
    40.0,0.000029,0.000044,-0.000686,-0.000098,  31.612
    41.0,0.000019,0.000044,-0.000451,-0.000133,  31.615
    42.0,0.000019,0.000042,-0.001650,-0.000133,  31.610
    43.0,0.000033,0.000030,-0.001211,-0.000169,  31.609
    44.0,0.000031,0.000035,-0.000587,-0.000142,  31.606
    45.0,0.000029,0.000036,-0.001137,-0.000107,  31.607
    46.0,0.000030,0.000041,-0.001080,-0.000093,  31.607
    47.0,0.000019,0.000043,-0.000758,-0.000107,  31.607
    48.0,0.000038,0.000050,-0.000527,-0.000129,  31.611
    49.0,0.000037,0.000037,-0.000597,-0.000156,  31.611
    50.0,0.000034,0.000047,-0.000834,-0.000120,  31.606
    51.0,0.000035,0.000056,-0.000491,-0.000129,  31.607
    52.0,0.000016,0.000055,-0.000468,-0.000142,  31.603
    53.0,0.000030,0.000050,-0.000514,-0.000093,  31.604
    54.0,0.000042,0.000041,-0.000842,-0.000142,  31.597
    55.0,0.000044,0.000049,-0.000516,-0.000107,  31.598
    56.0,0.000029,0.000053,-0.000459,-0.000120,  31.595
    57.0,0.000023,0.000053,-0.000493,-0.000107,  31.592
    58.0,0.000015,0.000052,-0.000456,-0.000107,  31.595
    59.0,0.000025,0.000041,-0.000656,-0.000129,  31.593
    60.0,0.000051,0.000029,-0.000627,-0.000133,  31.586
    61.0,0.000045,0.000035,-0.000499,-0.000142,  31.588
    62.0,0.000045,0.000055,-0.001430,-0.000164,  31.587
    63.0,0.000034,0.000049,-0.001171,-0.000129,  31.586
    64.0,0.000038,0.000054,-0.000798,-0.000129,  31.586
    65.0,0.000051,0.000060,-0.000595,-0.000178,  31.583
    66.0,0.000045,0.000056,-0.000387,-0.000156,  31.585
    67.0,0.000051,0.000054,-0.000342,-0.000129,  31.587
    68.0,0.000045,0.000059,-0.001416,-0.000142,  31.589
    69.0,0.000036,0.000064,-0.001312,-0.000129,  31.595
    70.0,0.000038,0.000067,-0.000858,-0.000178,  31.589
    71.0,0.000044,0.000061,-0.001042,-0.000120,  31.587
    72.0,0.000039,0.000058,-0.000641,-0.000142,  31.589
    73.0,0.000038,0.000049,-0.000586,-0.000142,  31.591
    74.0,0.000044,0.000054,-0.000572,-0.000107,  31.594
    75.0,0.000028,0.000053,-0.000709,-0.000093,  31.594
    76.0,0.000027,0.000046,-0.000984,-0.000093,  31.591
    77.0,0.000036,0.000041,-0.000618,-0.000115,  31.589
    78.0,0.000034,0.000047,-0.000342,-0.000142,  31.595
    79.0,0.000040,0.000054,-0.000134,-0.000107,  31.596
    80.0,0.000023,0.000059,-0.000434,-0.000093,  31.593
    81.0,0.000030,0.000064,-0.000463,-0.000129,  31.593
    82.0,0.000049,0.000060,-0.000550,-0.000093,  31.594
    83.0,0.000049,0.000055,-0.000384,-0.000156,  31.595
    84.0,0.000046,0.000052,-0.000578,-0.000107,  31.595
    85.0,0.000047,0.000053,-0.001002,-0.000115,  31.602
    86.0,0.000030,0.000064,-0.000494,-0.000115,  31.596
    87.0,0.000038,0.000059,-0.000623,-0.000080,  31.596
    88.0,0.000046,0.000056,-0.000020,-0.000142,  31.602
    89.0,0.000059,0.000052,0.000411,-0.000107,  31.604
    90.0,0.000069,0.000064,0.000742,-0.000129,  31.604
    91.0,0.000090,0.000070,0.001284,-0.000129,  31.610
    92.0,0.000094,0.000086,0.002099,-0.000102,  31.608
    93.0,0.000147,0.000099,0.003032,-0.000102,  31.611
    94.0,0.000212,0.000102,0.004459,-0.000151,  31.611
    95.0,0.000284,0.000132,0.006007,-0.000102,  31.614
    96.0,0.000384,0.000165,0.007726,-0.000088,  31.614
    97.0,0.000491,0.000213,0.008565,-0.000102,  31.616
    98.0,0.000600,0.000265,0.012043,-0.000102,  31.616
    99.0,0.000779,0.000333,0.015192,-0.000138,  31.616
   100.0,0.000982,0.000395,0.019015,-0.000115,  31.622
   101.0,0.001232,0.000512,0.022840,-0.000102,  31.614
   102.0,0.001490,0.000635,0.027382,-0.000138,  31.623
   103.0,0.001765,0.000738,0.030820,-0.000138,  31.626
   104.0,0.002080,0.000880,0.036532,-0.000124,  31.628
   105.0,0.002534,0.001046,0.043283,-0.000088,  31.629
   106.0,0.003067,0.001256,0.049441,-0.000102,  31.634
   107.0,0.003613,0.001515,0.057505,-0.000111,  31.639
   108.0,0.004212,0.001804,0.066676,-0.000075,  31.640
   109.0,0.004840,0.002137,0.076291,-0.000048,  31.629
   110.0,0.005594,0.002411,0.085537,-0.000061,  31.623
   111.0,0.006409,0.002771,0.095818,-0.000075,  31.625
   112.0,0.007423,0.003224,0.107299,-0.000061,  31.622
   113.0,0.008478,0.003748,0.121543,0.000001,  31.619
   114.0,0.009632,0.004320,0.136567,-0.000008,  31.620
   115.0,0.010819,0.004940,0.151949,-0.000016,  31.614
   116.0,0.012339,0.005594,0.168202,0.000019,  31.610
   117.0,0.013871,0.006127,0.183341,0.000033,  31.609
   118.0,0.015176,0.007012,0.198269,0.000033,  31.605
   119.0,0.016927,0.007880,0.218130,0.000060,  31.602
   120.0,0.018673,0.008863,0.238193,0.000064,  31.598
   121.0,0.020569,0.009874,0.258530,0.000114,  31.595
   122.0,0.022680,0.010828,0.279509,0.000141,  31.598
   123.0,0.024871,0.011990,0.299821,0.000105,  31.596
   124.0,0.027154,0.012976,0.322796,0.000159,  31.586
   125.0,0.029002,0.014295,0.339697,0.000199,  31.583
   126.0,0.031049,0.015619,0.362359,0.000262,  31.563
   127.0,0.033633,0.016950,0.387094,0.000302,  31.552
   128.0,0.036286,0.018157,0.411342,0.000320,  31.537
   129.0,0.038999,0.019652,0.433009,0.000370,  31.524
   130.0,0.041537,0.021217,0.459502,0.000423,  31.493
   131.0,0.043994,0.022766,0.482840,0.000464,  31.477
   132.0,0.046543,0.023976,0.507423,0.000527,  31.446
   133.0,0.049153,0.025481,0.527402,0.000545,  31.419
   134.0,0.051832,0.026935,0.550574,0.000518,  31.379
   135.0,0.054667,0.028689,0.574916,0.000558,  31.345
   136.0,0.057273,0.030350,0.600743,0.000577,  31.297
   137.0,0.059896,0.031973,0.626406,0.000612,  31.251
   138.0,0.062648,0.033548,0.651135,0.000639,  31.205
   139.0,0.065615,0.035014,0.676327,0.000639,  31.153
   140.0,0.067896,0.036367,0.691683,0.000626,  31.096
   141.0,0.070844,0.038117,0.721566,0.000603,  31.033
   142.0,0.073704,0.039700,0.752105,0.000612,  30.962
   143.0,0.076177,0.041482,0.780374,0.000599,  30.881
   144.0,0.079468,0.043139,0.811478,0.000523,  30.785
   145.0,0.082634,0.044532,0.842328,0.000477,  30.681
   146.0,0.085981,0.046168,0.872719,0.000410,  30.563
   147.0,0.088723,0.047871,0.909829,0.000356,  30.428
   148.0,0.092297,0.049805,0.949097,0.000329,  30.286
   149.0,0.095698,0.051694,0.993205,0.000226,  30.111
   150.0,0.100459,0.053586,1.045752,0.000167,  29.929
   151.0,0.105341,0.055489,1.102330,0.000087,  29.723
   152.0,0.110991,0.058157,1.163858,-0.000070,  29.509
   153.0,0.116967,0.060835,1.237885,-0.000102,  29.264
   154.0,0.123080,0.063293,1.315195,-0.000169,  29.024
   155.0,0.129117,0.066502,1.387028,-0.000223,  28.768
   156.0,0.138107,0.069943,1.484388,-0.000250,  28.515
   157.0,0.148059,0.073850,1.580744,-0.000286,  28.267
   158.0,0.158962,0.078647,1.681894,-0.000290,  28.051
   159.0,0.170504,0.083987,1.782594,-0.000277,  27.847
