Run Name,group 9-23%
Run Date,04:10:15 PM   03-24-11
Method Name,23% B isocratic SVS
Export Format Version, 1.00
Method ID, 1271
Points/Second, 1.00
Number of Records,   4674
Offset from Run Start Time,00:00:00
Run End Time,01:17:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000269,-0.000427,0.001483,0.000000,  24.408
     1.0,-0.000542,0.000000,0.000000,0.000000,  24.406
     2.0,0.000000,0.000000,0.000000,0.000000,  24.405
     3.0,0.000000,0.000000,0.000000,0.000000,  24.404
     4.0,0.000000,0.000000,0.000000,0.000000,  24.400
     5.0,0.000000,0.000000,-0.000070,0.000014,  24.394
     6.0,0.000004,-0.000008,-0.000126,0.000005,  24.394
     7.0,0.000003,-0.000002,-0.000192,-0.000031,  24.392
     8.0,0.000000,-0.000002,-0.000139,0.000019,  24.387
     9.0,0.000009,0.000008,-0.000150,-0.000004,  24.389
    10.0,0.000003,0.000004,-0.000126,-0.000088,  24.386
    11.0,0.000001,-0.000005,-0.000157,-0.000053,  24.378
    12.0,0.000002,-0.000009,-0.000299,-0.000039,  24.385
    13.0,-0.000013,0.000002,-0.000192,-0.000053,  24.383
    14.0,-0.000002,0.000004,-0.000054,-0.000039,  24.382
    15.0,-0.000002,0.000001,-0.000484,-0.000061,  24.376
    16.0,-0.000011,0.000007,-0.000222,-0.000039,  24.379
    17.0,-0.000003,0.000005,0.000022,-0.000039,  24.378
    18.0,-0.000007,0.000000,-0.000071,-0.000061,  24.378
    19.0,-0.000011,-0.000004,-0.000003,-0.000075,  24.375
    20.0,0.000007,0.000007,-0.000117,-0.000026,  24.377
    21.0,0.000010,0.000000,-0.000193,-0.000026,  24.375
    22.0,0.000003,0.000001,-0.000001,-0.000012,  24.376
    23.0,0.000012,0.000008,-0.000021,-0.000048,  24.381
    24.0,0.000012,0.000011,-0.000450,-0.000039,  24.385
    25.0,0.000012,0.000006,-0.000368,-0.000083,  24.383
    26.0,0.000010,0.000005,-0.000115,-0.000083,  24.385
    27.0,0.000007,0.000008,-0.001133,-0.000061,  24.383
    28.0,0.000012,0.000009,-0.000344,-0.000083,  24.384
    29.0,0.000003,0.000012,-0.000132,-0.000083,  24.385
    30.0,0.000012,0.000010,-0.000113,-0.000034,  24.388
    31.0,0.000004,-0.000004,-0.000027,-0.000070,  24.393
    32.0,0.000004,0.000011,0.000004,-0.000034,  24.389
    33.0,0.000004,0.000005,0.000047,-0.000083,  24.390
    34.0,0.000007,0.000010,0.000054,-0.000056,  24.394
    35.0,0.000010,0.000004,-0.000025,-0.000034,  24.393
    36.0,0.000007,0.000005,-0.001729,-0.000048,  24.391
    37.0,0.000005,0.000005,-0.000460,-0.000070,  24.392
    38.0,-0.000011,0.000003,-0.000196,-0.000083,  24.398
    39.0,0.000007,0.000008,-0.000164,-0.000056,  24.401
    40.0,0.000010,0.000007,-0.000787,-0.000070,  24.406
    41.0,0.000002,0.000002,-0.001192,-0.000056,  24.408
    42.0,-0.000004,0.000002,-0.000440,-0.000056,  24.410
    43.0,-0.000008,0.000002,-0.000637,-0.000056,  24.420
    44.0,-0.000004,-0.000004,-0.000356,-0.000056,  24.421
    45.0,-0.000002,0.000009,-0.000275,-0.000056,  24.423
    46.0,-0.000008,0.000009,-0.000184,-0.000056,  24.425
    47.0,0.000003,0.000005,-0.000186,-0.000056,  24.425
    48.0,0.000010,0.000007,-0.000267,-0.000070,  24.428
    49.0,0.000012,0.000007,-0.000278,-0.000070,  24.429
    50.0,0.000001,0.000011,-0.000253,-0.000056,  24.428
    51.0,-0.000003,0.000010,-0.000244,-0.000056,  24.434
    52.0,-0.000004,0.000013,-0.000281,-0.000056,  24.428
    53.0,-0.000007,0.000009,-0.002052,-0.000056,  24.427
    54.0,-0.000021,0.000005,-0.000749,-0.000056,  24.428
    55.0,-0.000026,-0.000002,-0.000362,-0.000056,  24.427
    56.0,-0.000025,-0.000004,-0.000668,-0.000043,  24.432
    57.0,-0.000016,-0.000004,-0.000384,-0.000056,  24.429
    58.0,-0.000016,0.000014,-0.000187,-0.000056,  24.427
    59.0,-0.000008,0.000013,-0.000121,-0.000056,  24.429
    60.0,-0.000011,0.000011,-0.000131,-0.000056,  24.428
    61.0,-0.000007,0.000005,-0.000227,-0.000056,  24.428
    62.0,-0.000008,0.000010,-0.000199,-0.000056,  24.424
    63.0,-0.000008,0.000004,-0.000134,-0.000043,  24.423
    64.0,-0.000009,0.000013,-0.000261,-0.000128,  24.419
    65.0,0.000003,0.000014,-0.000792,-0.000070,  24.420
    66.0,0.000000,0.000019,-0.000344,-0.000056,  24.418
    67.0,-0.000009,0.000016,-0.000240,-0.000056,  24.415
    68.0,-0.000008,0.000015,-0.000279,-0.000056,  24.417
    69.0,0.000003,0.000019,-0.000106,-0.000056,  24.414
    70.0,-0.000003,0.000012,-0.000116,-0.000056,  24.411
    71.0,-0.000011,0.000008,-0.000213,-0.000056,  24.407
