Run Name,Group 9-27%
Run Date,03:08:55 PM   03-24-11
Method Name,27%B-Isocrat.4 SVS
Export Format Version, 1.00
Method ID, 1276
Points/Second, 1.00
Number of Records,   2103
Offset from Run Start Time,00:00:00
Run End Time,00:35:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000226,-0.000040,0.002227,0.000000,  28.512
     1.0,0.000226,-0.000034,0.000000,0.000000,  28.514
     2.0,0.000241,-0.000038,0.000000,0.000000,  28.506
     3.0,0.000000,0.000196,0.000000,0.000000,  28.505
     4.0,0.000000,0.000000,0.000000,0.000000,  28.504
     5.0,0.000000,0.000000,-0.000090,-0.000022,  28.502
     6.0,0.000000,0.000000,-0.000241,-0.000031,  28.502
     7.0,-0.000005,0.000000,-0.000277,-0.000017,  28.502
     8.0,-0.000006,-0.000004,-0.000329,-0.000031,  28.504
     9.0,-0.000009,-0.000007,-0.000346,-0.000066,  28.502
    10.0,-0.000009,-0.000009,-0.000388,-0.000053,  28.508
    11.0,-0.000011,-0.000023,-0.000423,-0.000088,  28.507
    12.0,-0.000015,-0.000011,-0.000473,-0.000097,  28.507
    13.0,-0.000003,-0.000015,-0.000419,-0.000075,  28.505
    14.0,-0.000003,-0.000006,-0.000524,-0.000075,  28.503
    15.0,0.000006,-0.000000,-0.000349,-0.000097,  28.499
    16.0,0.000000,-0.000007,-0.000697,-0.000088,  28.501
    17.0,-0.000011,-0.000001,-0.001848,-0.000088,  28.496
    18.0,-0.000002,-0.000002,-0.000803,-0.000097,  28.496
    19.0,-0.000004,-0.000011,-0.000487,-0.000124,  28.489
    20.0,-0.000010,-0.000006,-0.000737,-0.000124,  28.483
    21.0,-0.000020,-0.000009,-0.001194,-0.000110,  28.477
    22.0,-0.000026,-0.000015,-0.000787,-0.000146,  28.478
    23.0,-0.000020,-0.000020,-0.000865,-0.000133,  28.475
    24.0,-0.000012,-0.000021,-0.000600,-0.000097,  28.472
    25.0,-0.000012,-0.000016,-0.000386,-0.000075,  28.464
    26.0,-0.000023,-0.000019,-0.000464,-0.000110,  28.465
    27.0,-0.000017,-0.000023,-0.000536,-0.000097,  28.466
    28.0,-0.000025,-0.000021,-0.000540,-0.000097,  28.466
    29.0,-0.000022,-0.000022,-0.000561,-0.000097,  28.465
    30.0,-0.000025,-0.000029,-0.000643,-0.000083,  28.467
    31.0,-0.000025,-0.000025,-0.000538,-0.000097,  28.468
    32.0,-0.000030,-0.000025,-0.000567,-0.000083,  28.461
    33.0,-0.000022,-0.000034,-0.000623,-0.000092,  28.461
    34.0,-0.000025,-0.000023,-0.001828,-0.000141,  28.451
    35.0,-0.000021,-0.000022,-0.000817,-0.000119,  28.447
    36.0,-0.000025,-0.000021,-0.000804,-0.000119,  28.445
    37.0,-0.000030,-0.000014,-0.000577,-0.000119,  28.446
    38.0,-0.000023,-0.000026,-0.000796,-0.000083,  28.436
    39.0,-0.000024,-0.000025,-0.000710,-0.000105,  28.438
    40.0,-0.000013,-0.000021,-0.000577,-0.000105,  28.435
    41.0,-0.000013,-0.000021,-0.000562,-0.000133,  28.437
    42.0,-0.000014,-0.000020,-0.000623,-0.000155,  28.442
