Run Name,Group 9
Run Date,05:14:33 PM   04-07-11
Method Name,Gradient_Group9_180_320_60
Export Format Version, 1.00
Method ID, 1281
Points/Second, 1.00
Number of Records,   3958
Offset from Run Start Time,00:00:00
Run End Time,01:06:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.165594,-0.347062, 18,0.000000,0.000000,  18.995
     1.0,-0.165594,-0.347069, 18,0.000000,0.000000,  18.991
     2.0,-0.165600,-0.347067, 18,0.000000,0.000000,  18.990
     3.0,-0.165600,-0.347064, 18,0.000000,0.000000,  18.996
     4.0,-0.165600,-0.347068, 18,0.000000,0.000000,  18.991
     5.0,-0.165616,-0.347075, 18,0.000053,-0.000040,  18.992
     6.0,-0.165875,0.000000, 18,0.000084,-0.000066,  18.997
     7.0,0.000000,0.000000, 18,0.000153,-0.000102,  19.000
     8.0,0.000000,0.000000, 18,0.000221,-0.000080,  18.997
     9.0,0.000000,0.000000, 18,0.000268,-0.000088,  18.995
    10.0,0.000000,0.000000, 18,0.000263,-0.000088,  18.994
    11.0,0.000016,0.000004, 18,0.000216,-0.000097,  18.998
    12.0,0.000037,0.000010, 18,0.000030,-0.000083,  18.997
    13.0,0.000020,0.000016, 18,0.000108,-0.000124,  19.002
    14.0,0.000000,0.000004, 18,0.000223,-0.000137,  19.002
    15.0,0.000008,0.000005, 18,0.000252,-0.000142,  19.003
    16.0,0.000034,0.000024, 18,0.000300,-0.000129,  19.003
    17.0,0.000040,0.000029, 18,0.000255,-0.000164,  19.003
    18.0,0.000055,0.000045, 18,0.000410,-0.000142,  19.007
    19.0,0.000053,0.000047, 18,0.000418,-0.000218,  19.007
    20.0,0.000065,0.000051, 18,0.000555,-0.000205,  19.005
    21.0,0.000059,0.000060, 18,0.000539,-0.000169,  19.010
    22.0,0.000063,0.000062, 18,-0.001971,-0.000164,  19.009
    23.0,0.000055,0.000064, 18,-0.000327,-0.000107,  19.006
    24.0,0.000047,0.000065, 18,0.000116,-0.000142,  19.007
    25.0,0.000023,0.000062, 18,0.000093,-0.000178,  19.008
    26.0,-0.000018,0.000033, 18,0.000418,-0.000107,  19.012
    27.0,-0.000014,0.000016, 18,0.000515,-0.000071,  19.007
    28.0,0.000021,0.000047, 18,0.000581,-0.000093,  19.010
    29.0,0.000051,0.000070, 18,0.000612,-0.000093,  19.012
    30.0,0.000041,0.000072, 18,0.000607,-0.000134,  19.012
    31.0,0.000044,0.000059, 18,0.000623,-0.000125,  19.011
    32.0,0.000047,0.000058, 18,0.000576,-0.000139,  19.019
    33.0,0.000052,0.000063, 18,0.000515,-0.000098,  19.021
    34.0,0.000051,0.000071, 18,0.000565,-0.000049,  19.017
    35.0,0.000061,0.000076, 18,0.000646,-0.000085,  19.021
    36.0,0.000052,0.000066, 18,0.000623,-0.000076,  19.025
    37.0,0.000035,0.000057, 18,0.000707,-0.000063,  19.023
    38.0,0.000015,0.000032, 18,0.000354,-0.000014,  19.034
    39.0,0.000023,0.000039, 18,0.000549,-0.000040,  19.039
    40.0,0.000051,0.000057, 18,0.000610,-0.000063,  19.035
    41.0,0.000047,0.000060, 18,0.000788,-0.000027,  19.032
    42.0,0.000033,0.000065, 18,0.000625,-0.000063,  19.044
    43.0,0.000050,0.000072, 18,0.000594,-0.000054,  19.042
    44.0,0.000053,0.000071, 18,0.000762,-0.000072,  19.045
    45.0,0.000046,0.000067, 18,0.000746,-0.000090,  19.047
    46.0,0.000051,0.000073, 18,0.000620,-0.000040,  19.043
    47.0,0.000057,0.000065, 18,0.000660,-0.000005,  19.045
    48.0,0.000049,0.000066, 18,0.000799,0.000009,  19.046
    49.0,0.000031,0.000055, 18,0.000717,0.000022,  19.042
    50.0,0.000006,0.000036, 18,0.000731,-0.000036,  19.046
    51.0,0.000028,0.000048, 18,0.000704,0.000031,  19.042
    52.0,0.000036,0.000050, 18,0.000340,0.000031,  19.044
    53.0,0.000047,0.000069, 18,0.000555,-0.000014,  19.045
    54.0,0.000059,0.000073, 18,0.000718,-0.000040,  19.043
    55.0,0.000054,0.000067, 18,0.000681,-0.000067,  19.049
    56.0,0.000061,0.000063, 18,0.000702,-0.000018,  19.048
    57.0,0.000046,0.000069, 18,0.000738,-0.000040,  19.048
    58.0,0.000046,0.000070, 18,0.000762,-0.000018,  19.045
    59.0,0.000052,0.000074, 18,0.000741,0.000009,  19.047
    60.0,0.000051,0.000064, 18,0.000778,0.000031,  19.045
    61.0,0.000027,0.000058, 18,0.000739,-0.000005,  19.048
    62.0,0.000021,0.000037, 18,0.000781,-0.000018,  19.049
    63.0,0.000043,0.000054, 18,0.000736,-0.000014,  19.046
    64.0,0.000065,0.000069, 18,0.000823,0.000022,  19.051
    65.0,0.000066,0.000075, 18,0.000400,0.000036,  19.049
    66.0,0.000061,0.000063, 18,0.000411,-0.000018,  19.053
    67.0,0.000051,0.000075, 18,0.000684,0.000017,  19.050
    68.0,0.000042,0.000065, 18,0.000802,-0.000045,  19.056
    69.0,0.000066,0.000063, 18,0.000849,0.000017,  19.056
    70.0,0.000057,0.000077, 18,0.000867,0.000017,  19.058
    71.0,0.000054,0.000076, 18,0.000815,-0.000018,  19.049
    72.0,0.000039,0.000071, 18,0.000854,0.000017,  19.052
    73.0,0.000012,0.000044, 18,0.000865,0.000017,  19.051
    74.0,-0.000003,0.000030, 18,0.000883,0.000009,  19.051
    75.0,0.000022,0.000055, 18,0.001204,0.000044,  19.050
    76.0,0.000047,0.000066, 18,0.000907,0.000009,  19.051
    77.0,0.000062,0.000069, 18,0.000894,0.000044,  19.051
    78.0,0.000053,0.000072, 18,0.000994,0.000017,  19.053
    79.0,0.000051,0.000054, 18,0.000884,-0.000018,  19.053
    80.0,0.000061,0.000059, 18,0.000899,0.000017,  19.052
    81.0,0.000069,0.000062, 18,0.000747,0.000017,  19.054
    82.0,0.000070,0.000056, 18,0.000854,0.000009,  19.054
    83.0,0.000061,0.000062, 18,0.000870,0.000031,  19.051
    84.0,0.000048,0.000049, 18,0.000852,0.000009,  19.056
    85.0,0.000044,0.000028, 18,0.000762,0.000044,  19.053
    86.0,0.000049,0.000034, 18,0.000820,0.000053,  19.051
    87.0,0.000065,0.000050, 18,0.000825,0.000031,  19.052
    88.0,0.000071,0.000051, 18,0.000833,0.000066,  19.050
    89.0,0.000055,0.000042, 18,0.000699,-0.000018,  19.050
    90.0,0.000053,0.000038, 18,0.000566,0.000017,  19.049
    91.0,0.000061,0.000045, 18,0.000952,0.000012,  19.049
    92.0,0.000062,0.000045, 18,0.000934,-0.000018,  19.046
    93.0,0.000065,0.000045, 18,0.000792,0.000031,  19.048
    94.0,0.000053,0.000041, 18,0.001047,0.000044,  19.053
    95.0,0.000065,0.000035, 18,0.001189,0.000044,  19.057
    96.0,0.000055,0.000030, 18,0.001258,0.000044,  19.067
    97.0,0.000034,0.000008, 18,0.001263,0.000044,  19.061
    98.0,0.000049,0.000029, 18,0.001440,0.000115,  19.071
    99.0,0.000088,0.000058, 18,0.001611,0.000053,  19.067
   100.0,0.000096,0.000069, 18,0.001511,-0.000005,  19.070
   101.0,0.000112,0.000083, 18,0.001804,0.000017,  19.070
   102.0,0.000124,0.000082, 18,0.002007,0.000012,  19.070
   103.0,0.000114,0.000084, 18,-0.000283,0.000026,  19.068
   104.0,0.000117,0.000089, 18,0.001592,0.000053,  19.065
   105.0,0.000111,0.000086, 18,0.002425,0.000031,  19.064
   106.0,0.000133,0.000085, 18,0.002809,0.000066,  19.064
   107.0,0.000140,0.000097, 18,0.003248,0.000053,  19.057
   108.0,0.000128,0.000085, 18,0.003625,0.000053,  19.058
   109.0,0.000141,0.000080, 18,0.004110,0.000053,  19.056
   110.0,0.000162,0.000104, 18,0.004554,0.000053,  19.063
   111.0,0.000194,0.000127, 18,0.005160,0.000053,  19.066
   112.0,0.000231,0.000157, 18,0.005738,0.000039,  19.069
   113.0,0.000249,0.000188, 18,0.006469,0.000026,  19.067
   114.0,0.000262,0.000212, 18,0.007329,-0.000001,  19.070
   115.0,0.000275,0.000226, 18,0.007955,0.000026,  19.071
   116.0,0.000313,0.000260, 18,0.008362,0.000004,  19.070
   117.0,0.000359,0.000300, 18,0.009415,0.000066,  19.074
   118.0,0.000404,0.000336, 18,0.010626,0.000102,  19.072
   119.0,0.000448,0.000394, 18,0.012026,0.000102,  19.069
   120.0,0.000458,0.000419, 18,0.012757,0.000075,  19.074
   121.0,0.000487,0.000437, 18,0.013816,0.000102,  19.072
   122.0,0.000575,0.000513, 18,0.015163,0.000088,  19.076
   123.0,0.000650,0.000598, 18,0.016513,0.000039,  19.074
   124.0,0.000748,0.000685, 18,0.017800,0.000088,  19.074
   125.0,0.000832,0.000766, 18,0.019104,0.000061,  19.078
   126.0,0.000893,0.000849, 18,0.020584,-0.000010,  19.076
   127.0,0.000971,0.000951, 18,0.021892,0.000083,  19.072
   128.0,0.001067,0.001058, 18,0.023503,0.000048,  19.075
   129.0,0.001180,0.001183, 18,0.025132,0.000026,  19.068
   130.0,0.001271,0.001312, 18,0.026678,0.000034,  19.060
