Run Name,group12_run7_25.7
Run Date,04:52:25 PM   03-03-11
Method Name,23% B SVS edit
Export Format Version, 1.00
Method ID, 1223
Points/Second, 1.00
Number of Records,   3570
Offset from Run Start Time,00:00:00
Run End Time,00:59:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000044,0.000000,0.000000,0.000000,  25.686
     1.0,0.000000,0.000000,0.000000,0.000000,  25.683
     2.0,0.000000,0.000000,0.000000,0.000000,  25.692
     3.0,0.000000,0.000000,0.000000,0.000000,  25.699
     4.0,0.000000,-0.000017,0.000000,0.000000,  25.705
     5.0,-0.000010,-0.000019,-0.000650,-0.000053,  25.706
     6.0,-0.000011,-0.000024,-0.000920,-0.000040,  25.711
     7.0,-0.000010,-0.000026,-0.000733,-0.000026,  25.716
     8.0,-0.000010,-0.000019,-0.000576,-0.000026,  25.717
     9.0,-0.000014,-0.000018,-0.000322,-0.000084,  25.725
    10.0,-0.000005,-0.000025,-0.000426,-0.000062,  25.723
    11.0,-0.000017,-0.000015,-0.000427,-0.000049,  25.727
    12.0,-0.000023,-0.000018,-0.000331,-0.000098,  25.721
    13.0,-0.000014,-0.000023,-0.000281,-0.000071,  25.724
    14.0,-0.000010,-0.000019,-0.000167,-0.000057,  25.722
    15.0,-0.000020,-0.000017,-0.000222,-0.000057,  25.715
    16.0,-0.000017,-0.000017,-0.000353,-0.000057,  25.714
    17.0,-0.000024,-0.000016,-0.000241,-0.000057,  25.707
    18.0,-0.000028,-0.000025,-0.000189,-0.000044,  25.699
    19.0,-0.000024,-0.000021,-0.000242,-0.000057,  25.693
    20.0,-0.000024,-0.000024,-0.000457,-0.000057,  25.692
