Run Name,Run 4
Run Date,06:46:35 PM   02-04-12
Method Name,Group 10 S12 Linear Grad 4
Export Format Version, 1.00
Method ID, 1359
Points/Second, 5.00
Number of Records,   6284
Offset from Run Start Time,00:00:00
Run End Time,00:21:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000053,-0.000183,-0.000542,0.000000,  22.539
     0.2,0.000053,-0.000183,-0.000542,0.000000,  22.538
     0.4,0.000050,-0.000185,-0.000542,0.000000,  22.538
     0.6,0.000050,-0.000189,-0.000542,0.000000,  22.540
     0.8,0.000050,-0.000193,-0.000542,0.000000,  22.540
     1.0,0.000048,0.000069,0.000000,0.000000,  22.538
     1.2,0.000042,0.000069,0.000000,0.000000,  22.541
     1.4,0.000042,-0.000027,0.000000,0.000000,  22.538
     1.6,0.000039,-0.000224,0.000000,0.000000,  22.539
     1.8,0.000040,-0.000224,0.000000,0.000000,  22.533
     2.0,-0.000053,0.000000,0.000000,0.000000,  22.532
     2.2,-0.000042,0.000000,0.000000,0.000000,  22.530
     2.4,-0.000047,0.000000,0.000000,0.000000,  22.532
     2.6,-0.000007,0.000000,0.000000,0.000000,  22.532
     2.8,0.000000,0.000000,0.000000,0.000000,  22.530
     3.0,0.000000,0.000000,0.000000,0.000000,  22.533
     3.2,0.000000,0.000000,0.000000,0.000000,  22.524
     3.4,0.000000,0.000000,0.000000,0.000000,  22.527
     3.6,0.000000,0.000000,0.000000,0.000000,  22.528
     3.8,0.000000,0.000000,0.000000,0.000000,  22.526
     4.0,0.000000,0.000000,0.000000,0.000000,  22.525
     4.2,0.000000,0.000000,0.000000,0.000000,  22.528
     4.4,0.000000,0.000000,0.000000,-0.000035,  22.525
     4.6,0.000000,0.000000,0.000124,-0.000035,  22.524
     4.8,0.000000,0.000000,-0.000025,-0.000084,  22.527
     5.0,0.000000,0.000000,-0.000127,-0.000049,  22.521
     5.2,0.000000,0.000000,-0.000175,-0.000084,  22.523
     5.4,0.000000,0.000002,-0.000188,-0.000057,  22.525
     5.6,0.000000,0.000003,-0.000155,-0.000057,  22.525
     5.8,0.000000,0.000003,-0.000076,-0.000078,  22.520
     6.0,0.000000,-0.000004,-0.000163,-0.000078,  22.524
     6.2,0.000000,-0.000004,-0.000293,-0.000043,  22.526
     6.4,-0.000003,-0.000005,-0.000495,-0.000065,  22.527
     6.6,-0.000001,-0.000005,-0.000522,-0.000078,  22.525
     6.8,-0.000003,-0.000006,-0.000496,-0.000043,  22.524
     7.0,-0.000007,-0.000002,-0.000416,-0.000065,  22.524
     7.2,-0.000003,0.000000,-0.000409,-0.000078,  22.522
