Run Name,Run 6
Run Date,06:38:30 PM   02-03-12
Method Name,Group 10 Chromo 25 Run 6 M
Export Format Version, 1.00
Method ID, 1345
Points/Second, 5.00
Number of Records,  24461
Offset from Run Start Time,00:00:00
Run End Time,01:21:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.001497,-0.001211,-0.010549,0.000000,  24.424
     0.2,-0.001505,-0.001209,-0.010549,0.000000,  24.415
     0.4,-0.001505,-0.001211,-0.010549,0.000000,  24.419
     0.6,-0.001505,-0.001215,-0.010549,0.000000,  24.419
     0.8,-0.001505,-0.001219,0.000000,0.000000,  24.421
     1.0,-0.001508,-0.001218,0.000000,0.000000,  24.417
     1.2,-0.001508,-0.001220,0.000000,0.000000,  24.413
     1.4,-0.001508,-0.001218,0.000000,0.000000,  24.416
     1.6,-0.001508,-0.001223,0.000000,0.000000,  24.411
     1.8,-0.001508,-0.001222,0.000000,0.000000,  24.416
     2.0,-0.001508,-0.001218,0.000000,0.000000,  24.409
     2.2,-0.001508,-0.001216,0.000000,0.000000,  24.413
     2.4,-0.001508,-0.001218,0.000000,0.000000,  24.410
     2.6,-0.001508,-0.001218,0.000000,0.000000,  24.410
     2.8,-0.001508,-0.001218,0.000000,0.000000,  24.408
     3.0,-0.001485,-0.001218,0.000000,0.000000,  24.404
     3.2,-0.001477,-0.001216,0.000000,0.000000,  24.399
     3.4,-0.001485,-0.001218,0.000000,0.000000,  24.398
     3.6,-0.001488,-0.001220,0.000000,0.000000,  24.399
     3.8,0.000000,-0.001225,0.000000,0.000000,  24.398
     4.0,0.000000,0.000000,0.000000,0.000000,  24.398
     4.2,0.000000,0.000000,0.000050,0.000000,  24.396
