Run Name,Run 8
Run Date,08:52:42 PM   02-03-12
Method Name,Group 10 Chromo 25 Run 8 M.1
Export Format Version, 1.00
Method ID, 1349
Points/Second, 5.00
Number of Records,  16770
Offset from Run Start Time,00:00:00
Run End Time,00:55:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000381,0.000000,0.000000,0.000000,  25.309
     0.2,-0.000383,0.000000,0.000000,0.000000,  25.308
     0.4,-0.000379,0.000000,0.000000,0.000000,  25.307
     0.6,-0.000353,0.000000,0.000000,0.000000,  25.307
     0.8,0.000000,0.000000,0.000000,0.000000,  25.305
     1.0,0.000000,0.000000,0.000000,0.000000,  25.304
     1.2,0.000000,0.000000,0.000000,0.000000,  25.304
     1.4,0.000000,0.000000,0.000000,0.000000,  25.308
     1.6,0.000000,0.000000,0.000000,0.000000,  25.308
     1.8,0.000000,0.000000,0.000000,0.000000,  25.306
     2.0,0.000000,0.000000,0.000000,0.000000,  25.308
     2.2,0.000000,0.000000,0.000000,0.000000,  25.304
     2.4,0.000000,0.000000,0.000000,0.000000,  25.304
     2.6,0.000000,0.000000,0.000000,0.000000,  25.302
     2.8,0.000000,0.000000,0.000000,0.000000,  25.303
     3.0,0.000000,0.000000,0.000000,0.000000,  25.302
     3.2,0.000000,0.000000,0.000000,0.000000,  25.300
     3.4,0.000000,0.000000,0.000000,0.000000,  25.296
     3.6,0.000000,0.000000,0.000000,0.000000,  25.300
     3.8,0.000000,0.000000,0.000000,0.000000,  25.302
     4.0,0.000000,0.000000,-0.000205,0.000000,  25.297
     4.2,0.000009,-0.000002,-0.000112,0.000000,  25.298
     4.4,0.000006,0.000000,-0.000086,-0.000013,  25.295
     4.6,0.000006,0.000000,-0.000128,-0.000035,  25.297
     4.8,0.000009,-0.000002,-0.000242,-0.000022,  25.292
     5.0,0.000006,-0.000003,-0.000417,-0.000035,  25.292
     5.2,0.000006,-0.000001,-0.000655,-0.000022,  25.298
     5.4,0.000012,-0.000004,-0.000654,-0.000057,  25.292
     5.6,0.000006,-0.000006,-0.000565,-0.000070,  25.291
     5.8,0.000006,-0.000004,-0.000390,-0.000057,  25.289
     6.0,0.000009,-0.000001,-0.000431,-0.000043,  25.293
     6.2,0.000006,-0.000004,-0.000546,-0.000043,  25.290
     6.4,0.000009,-0.000006,-0.000730,-0.000030,  25.287
     6.6,0.000010,-0.000004,-0.000745,-0.000030,  25.284
     6.8,0.000007,-0.000006,-0.000712,-0.000043,  25.285
     7.0,0.000013,-0.000004,-0.000645,-0.000030,  25.284
     7.2,0.000010,-0.000001,-0.000597,-0.000030,  25.285
     7.4,0.000007,0.000001,-0.000549,-0.000030,  25.280
     7.6,0.000013,0.000001,-0.000494,-0.000030,  25.276
     7.8,0.000010,0.000005,-0.000580,-0.000030,  25.274
     8.0,0.000007,0.000004,-0.000729,-0.000030,  25.277
     8.2,0.000016,0.000004,-0.000934,-0.000030,  25.278
     8.4,0.000016,0.000001,-0.000928,-0.000030,  25.272
     8.6,0.000016,-0.000002,-0.000859,-0.000030,  25.272
     8.8,0.000018,-0.000004,-0.000705,-0.000016,  25.273
     9.0,0.000018,-0.000006,-0.000622,-0.000016,  25.276
     9.2,0.000018,-0.000008,-0.000522,-0.000016,  25.270
     9.4,0.000018,-0.000010,-0.000434,-0.000003,  25.269
     9.6,0.000012,-0.000004,-0.000386,-0.000038,  25.267
     9.8,0.000018,-0.000005,-0.000353,-0.000051,  25.266
    10.0,0.000012,-0.000004,-0.000347,-0.000051,  25.265
    10.2,0.000018,-0.000003,-0.000348,-0.000086,  25.268
    10.4,0.000024,-0.000003,-0.000368,-0.000051,  25.266
    10.6,0.000018,-0.000008,-0.000403,-0.000086,  25.270
    10.8,0.000018,-0.000003,-0.000382,-0.000073,  25.273
    11.0,0.000018,-0.000001,-0.000353,-0.000073,  25.265
    11.2,0.000012,-0.000001,-0.000288,-0.000059,  25.271
    11.4,0.000018,0.000002,-0.000254,-0.000059,  25.270
    11.6,0.000016,0.000004,-0.000233,-0.000059,  25.266
    11.8,0.000012,0.000004,-0.000213,-0.000073,  25.268
    12.0,0.000016,0.000003,-0.000221,-0.000073,  25.267
    12.2,0.000010,0.000001,-0.000246,-0.000073,  25.269
    12.4,0.000004,-0.000003,-0.000276,-0.000073,  25.268
    12.6,0.000010,-0.000001,-0.000336,-0.000108,  25.269
    12.8,0.000005,0.000001,-0.000335,-0.000059,  25.266
    13.0,-0.000001,-0.000002,-0.000315,-0.000073,  25.269
    13.2,0.000005,-0.000008,-0.000287,-0.000108,  25.266
