Run Name,23% Run
Run Date,05:34:09 PM   01-30-12
Method Name,Group 3 S12 RUN 4
Export Format Version, 1.00
Method ID, 1324
Points/Second, 1.00
Number of Records,   3130
Offset from Run Start Time,00:00:00
Run End Time,00:52:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000112,-0.000128,0.000000,0.000000,  25.483
     1.0,0.000000,0.000000,0.000000,0.000000,  25.473
     2.0,0.000000,0.000000,0.000000,0.000000,  25.467
     3.0,0.000000,0.000000,0.000000,0.000000,  25.467
     4.0,0.000000,0.000000,0.000024,0.000013,  25.466
     5.0,0.000012,0.000000,-0.000066,0.000013,  25.468
     6.0,0.000015,-0.000002,-0.000225,-0.000079,  25.462
     7.0,0.000009,-0.000006,-0.000179,-0.000030,  25.456
     8.0,0.000015,-0.000007,-0.000225,-0.000030,  25.463
     9.0,0.000012,-0.000003,-0.000269,-0.000052,  25.454
    10.0,0.000001,-0.000007,-0.000322,-0.000052,  25.454
    11.0,0.000017,-0.000007,-0.000279,-0.000087,  25.457
    12.0,0.000017,-0.000012,-0.000016,-0.000060,  25.458
    13.0,0.000006,0.000000,-0.000336,-0.000074,  25.468
    14.0,0.000002,-0.000005,-0.000243,-0.000095,  25.467
    15.0,-0.000010,-0.000006,-0.000320,-0.000060,  25.465
    16.0,0.000002,-0.000016,-0.000257,-0.000082,  25.468
    17.0,-0.000001,-0.000015,-0.000246,-0.000060,  25.471
    18.0,-0.000002,-0.000017,-0.000284,-0.000060,  25.467
    19.0,0.000002,-0.000011,-0.000526,-0.000095,  25.473
    20.0,-0.000001,-0.000008,-0.000211,-0.000060,  25.475
    21.0,0.000003,-0.000010,-0.000310,-0.000074,  25.479
    22.0,0.000004,-0.000014,-0.000350,-0.000074,  25.480
    23.0,-0.000010,-0.000019,-0.000330,-0.000074,  25.479
    24.0,-0.000005,-0.000021,-0.000348,-0.000095,  25.477
    25.0,-0.000017,-0.000027,-0.000363,-0.000095,  25.479
    26.0,-0.000023,-0.000030,-0.000573,-0.000095,  25.471
    27.0,-0.000025,-0.000033,-0.000739,-0.000095,  25.468
    28.0,-0.000022,-0.000030,-0.000494,-0.000131,  25.457
    29.0,-0.000011,-0.000027,-0.000668,-0.000095,  25.451
    30.0,-0.000009,-0.000017,-0.000525,-0.000117,  25.453
    31.0,-0.000010,-0.000019,-0.000507,-0.000060,  25.455
    32.0,-0.000004,-0.000012,-0.000597,-0.000095,  25.458
    33.0,-0.000009,-0.000014,-0.000355,-0.000060,  25.459
    34.0,0.000006,-0.000011,-0.000523,-0.000060,  25.461
    35.0,-0.000000,-0.000008,-0.000567,-0.000095,  25.454
    36.0,-0.000011,-0.000007,-0.000467,-0.000060,  25.465
    37.0,-0.000005,-0.000005,-0.002331,-0.000068,  25.467
    38.0,-0.000006,-0.000008,-0.000993,-0.000060,  25.470
    39.0,-0.000006,-0.000006,-0.000668,-0.000060,  25.467
    40.0,-0.000010,0.000000,-0.000678,-0.000095,  25.473
    41.0,-0.000006,-0.000000,-0.000531,-0.000068,  25.477
    42.0,-0.000009,-0.000004,-0.000504,-0.000082,  25.483
    43.0,-0.000006,-0.000007,-0.000714,-0.000095,  25.482
    44.0,-0.000006,-0.000008,-0.000566,-0.000047,  25.484
    45.0,0.000010,-0.000007,-0.000464,-0.000055,  25.489
    46.0,0.000015,-0.000002,-0.000425,-0.000033,  25.480
    47.0,0.000003,-0.000000,-0.001125,-0.000033,  25.478
    48.0,0.000013,0.000008,-0.000561,-0.000055,  25.474
    49.0,0.000003,0.000007,-0.000495,-0.000033,  25.476
    50.0,0.000003,0.000010,-0.000878,-0.000055,  25.469
    51.0,0.000003,0.000000,-0.001137,-0.000090,  25.464
    52.0,0.000004,0.000001,-0.000655,-0.000055,  25.457
    53.0,-0.000004,0.000008,-0.000392,-0.000112,  25.457
    54.0,-0.000017,-0.000009,-0.000482,-0.000139,  25.456
    55.0,-0.000001,-0.000016,-0.000413,-0.000068,  25.454
    56.0,0.000015,-0.000002,-0.000336,-0.000055,  25.455
    57.0,0.000028,0.000013,-0.000457,-0.000055,  25.452
    58.0,0.000033,0.000022,-0.000290,-0.000055,  25.458
    59.0,0.000038,0.000029,-0.000133,-0.000077,  25.460
    60.0,0.000037,0.000034,-0.000177,-0.000042,  25.464
    61.0,0.000035,0.000026,-0.000215,-0.000055,  25.472
    62.0,0.000040,0.000041,-0.000201,-0.000090,  25.474
    63.0,0.000046,0.000043,-0.000201,-0.000055,  25.473
    64.0,0.000043,0.000044,-0.000190,-0.000090,  25.475
    65.0,0.000034,0.000043,-0.000192,-0.000055,  25.475
    66.0,0.000043,0.000043,-0.000296,-0.000042,  25.483
    67.0,0.000034,0.000040,-0.000708,-0.000006,  25.483
    68.0,0.000038,0.000039,-0.000482,-0.000006,  25.482
    69.0,0.000035,0.000035,-0.000298,-0.000055,  25.485
    70.0,0.000032,0.000034,-0.000336,-0.000020,  25.487
    71.0,0.000044,0.000040,-0.000329,-0.000042,  25.487
    72.0,0.000032,0.000040,-0.000369,-0.000042,  25.488
    73.0,0.000027,0.000039,-0.000449,-0.000042,  25.493
    74.0,0.000030,0.000032,-0.000283,-0.000028,  25.493
    75.0,0.000027,0.000037,-0.000307,-0.000077,  25.493
    76.0,0.000032,0.000032,-0.000309,-0.000006,  25.486
    77.0,0.000031,0.000027,-0.000294,-0.000006,  25.482
    78.0,0.000025,0.000032,-0.000329,-0.000028,  25.475
    79.0,0.000037,0.000036,-0.000340,-0.000028,  25.479
    80.0,0.000025,0.000033,-0.000301,-0.000050,  25.478
    81.0,0.000015,0.000028,-0.000793,-0.000063,  25.480
    82.0,0.000015,0.000024,-0.000663,-0.000098,  25.477
    83.0,0.000009,0.000020,-0.000530,-0.000112,  25.476
    84.0,0.000016,0.000019,-0.000680,-0.000042,  25.479
    85.0,0.000023,0.000024,-0.000554,-0.000063,  25.477
    86.0,0.000014,0.000030,-0.000367,-0.000006,  25.477
    87.0,0.000020,0.000031,-0.000322,-0.000050,  25.475
    88.0,0.000031,0.000027,-0.000622,-0.000072,  25.471
    89.0,0.000033,0.000024,-0.000421,-0.000050,  25.465
    90.0,0.000049,0.000039,-0.000153,-0.000072,  25.465
    91.0,0.000053,0.000059,-0.000123,-0.000050,  25.469
    92.0,0.000081,0.000065,0.000176,-0.000072,  25.468
    93.0,0.000107,0.000070,0.000576,-0.000072,  25.471
    94.0,0.000130,0.000084,0.000837,-0.000028,  25.468
    95.0,0.000165,0.000093,0.001251,-0.000050,  25.471
    96.0,0.000196,0.000108,0.001647,-0.000085,  25.469
    97.0,0.000244,0.000137,0.002080,-0.000050,  25.476
    98.0,0.000297,0.000155,0.002569,-0.000050,  25.483
    99.0,0.000365,0.000193,0.002441,-0.000050,  25.492
   100.0,0.000442,0.000233,0.003979,-0.000072,  25.489
   101.0,0.000521,0.000268,0.004892,-0.000045,  25.492
   102.0,0.000618,0.000307,0.005858,-0.000023,  25.495
   103.0,0.000722,0.000370,0.007436,-0.000045,  25.493
   104.0,0.000836,0.000433,0.009014,-0.000023,  25.497
   105.0,0.000974,0.000504,0.010671,-0.000009,  25.501
   106.0,0.001132,0.000578,0.012187,-0.000045,  25.498
   107.0,0.001323,0.000672,0.014148,-0.000023,  25.499
   108.0,0.001510,0.000780,0.016405,-0.000058,  25.502
   109.0,0.001694,0.000878,0.018602,-0.000072,  25.502
   110.0,0.001921,0.000991,0.021277,-0.000036,  25.498
   111.0,0.002161,0.001136,0.024051,-0.000072,  25.500
   112.0,0.002441,0.001276,0.026654,-0.000036,  25.498
   113.0,0.002765,0.001449,0.029994,-0.000072,  25.497
   114.0,0.003088,0.001649,0.033559,-0.000045,  25.495
   115.0,0.003470,0.001812,0.037524,0.000004,  25.490
   116.0,0.003872,0.002023,0.041679,-0.000031,  25.490
   117.0,0.004188,0.002279,0.045893,-0.000031,  25.483
   118.0,0.004659,0.002532,0.050585,0.000017,  25.476
   119.0,0.005118,0.002821,0.052543,-0.000018,  25.467
   120.0,0.005616,0.003115,0.059066,0.000044,  25.468
   121.0,0.006191,0.003434,0.065174,0.000023,  25.463
   122.0,0.006775,0.003724,0.071081,0.000050,  25.459
   123.0,0.007396,0.004091,0.077502,0.000098,  25.460
   124.0,0.007943,0.004497,0.083990,0.000090,  25.456
   125.0,0.008622,0.004920,0.090696,0.000166,  25.448
   126.0,0.009370,0.005350,0.097427,0.000166,  25.438
   127.0,0.010121,0.005824,0.103896,0.000198,  25.437
   128.0,0.010891,0.006310,0.111312,0.000273,  25.429
   129.0,0.011765,0.006704,0.119406,0.000265,  25.423
   130.0,0.012533,0.007262,0.127272,0.000305,  25.420
   131.0,0.013308,0.007801,0.136093,0.000381,  25.406
   132.0,0.014317,0.008360,0.145204,0.000359,  25.397
   133.0,0.015249,0.008983,0.152129,0.000421,  25.390
   134.0,0.016299,0.009580,0.161832,0.000427,  25.380
   135.0,0.017374,0.010214,0.172708,0.000440,  25.361
   136.0,0.018368,0.010807,0.182447,0.000502,  25.342
   137.0,0.019513,0.011384,0.193255,0.000480,  25.320
   138.0,0.020384,0.012059,0.204571,0.000480,  25.302
   139.0,0.021495,0.012735,0.215408,0.000516,  25.275
   140.0,0.022754,0.013372,0.225697,0.000440,  25.258
   141.0,0.023990,0.014108,0.238689,0.000448,  25.227
   142.0,0.025200,0.014806,0.251034,0.000373,  25.186
   143.0,0.026642,0.015315,0.265378,0.000243,  25.150
   144.0,0.027870,0.016049,0.278313,0.000157,  25.111
   145.0,0.028941,0.016721,0.291075,0.000036,  25.056
   146.0,0.030525,0.017385,0.306260,-0.000055,  25.000
   147.0,0.032079,0.018156,0.317874,-0.000287,  24.928
   148.0,0.033899,0.018897,0.333688,-0.000448,  24.853
   149.0,0.036039,0.019747,0.352402,-0.000636,  24.749
   150.0,0.038440,0.020518,0.372406,-0.000851,  24.634
   151.0,0.041085,0.021668,0.396416,-0.001039,  24.499
   152.0,0.043980,0.023044,0.422627,-0.001111,  24.346
   153.0,0.047843,0.024670,0.453604,-0.001165,  24.177
   154.0,0.052527,0.026596,0.483112,-0.001246,  23.994
   155.0,0.057788,0.028955,0.525623,-0.001267,  23.802
   156.0,0.063802,0.031087,0.573756,-0.001200,  23.587
   157.0,0.070729,0.034164,0.631821,-0.001125,  23.382
   158.0,0.076754,0.037798,0.693668,-0.001012,  23.180
   159.0,0.085057,0.041706,0.763669,-0.000883,  22.987
   160.0,0.093937,0.046049,0.819600,-0.000730,  22.818
   161.0,0.102770,0.050715,0.898911,-0.000569,  22.671
   162.0,0.112085,0.055402,0.978803,-0.000394,  22.565
   163.0,0.121187,0.059246,1.059642,-0.000246,  22.487
   164.0,0.129337,0.064190,1.135897,-0.000147,  22.463
   165.0,0.137214,0.068838,1.214003,0.000023,  22.480
   166.0,0.145737,0.073570,1.288014,0.000130,  22.537
   167.0,0.153849,0.078005,1.349255,0.000184,  22.631
   168.0,0.162270,0.082294,1.414696,0.000251,  22.758
   169.0,0.169971,0.086542,1.480990,0.000284,  22.920
   170.0,0.177439,0.089838,1.542741,0.000373,  23.099
   171.0,0.184023,0.093768,1.602881,0.000400,  23.292
   172.0,0.190429,0.097681,1.658218,0.000391,  23.491
   173.0,0.197179,0.101248,1.706884,0.000454,  23.694
   174.0,0.203774,0.104734,1.750534,0.000454,  23.888
   175.0,0.210000,0.108114,1.797685,0.000516,  24.076
   176.0,0.216231,0.111142,1.842471,0.000507,  24.265
   177.0,0.222204,0.113957,1.884563,0.000486,  24.426
   178.0,0.226735,0.117043,1.924225,0.000548,  24.575
   179.0,0.232455,0.119992,1.960533,0.000575,  24.714
