Run Name,Run 10
Run Date,06:01:30 PM   02-23-12
Method Name,ali reza 21.8
Export Format Version, 1.00
Method ID, 1376
Points/Second, 5.00
Number of Records,  10980
Offset from Run Start Time,00:00:00
Run End Time,00:36:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000382,0.000000,0.000000,0.000000,  30.039
     0.2,0.000362,0.000000,0.000000,0.000000,  30.031
     0.4,0.000365,0.000000,0.000000,0.000000,  30.033
     0.6,0.000366,0.000000,0.000000,0.000000,  30.033
     0.8,0.000000,0.000000,0.000000,0.000000,  30.036
     1.0,0.000000,0.000000,0.000000,0.000000,  30.032
     1.2,0.000000,0.000000,0.000000,0.000000,  30.038
     1.4,0.000000,0.000000,0.000000,0.000000,  30.036
     1.6,0.000000,0.000000,0.000000,0.000000,  30.031
     1.8,0.000000,0.000000,0.000000,0.000000,  30.034
     2.0,0.000000,0.000000,0.000000,0.000000,  30.035
     2.2,0.000000,0.000000,0.000000,0.000000,  30.036
     2.4,0.000000,0.000000,0.000000,0.000000,  30.038
     2.6,0.000000,0.000000,0.000000,0.000000,  30.039
     2.8,0.000000,0.000000,0.000000,0.000000,  30.043
     3.0,0.000000,0.000000,0.000000,0.000000,  30.041
     3.2,0.000000,0.000000,0.000000,0.000000,  30.044
     3.4,0.000000,0.000000,0.000000,0.000000,  30.040
     3.6,0.000000,0.000000,0.000000,0.000000,  30.043
     3.8,0.000000,0.000000,0.000000,0.000000,  30.046
     4.0,0.000000,0.000000,0.000000,0.000000,  30.048
     4.2,-0.000019,0.000012,-0.000034,0.000000,  30.046
     4.4,-0.000013,0.000024,-0.000062,-0.000070,  30.047
     4.6,-0.000014,0.000032,-0.000109,-0.000078,  30.045
     4.8,-0.000005,0.000038,-0.000161,-0.000078,  30.051
     5.0,-0.000009,0.000038,-0.000219,-0.000043,  30.051
     5.2,-0.000003,0.000031,-0.000284,-0.000065,  30.054
     5.4,-0.000005,0.000024,-0.000337,-0.000065,  30.054
     5.6,-0.000011,0.000025,-0.000374,-0.000043,  30.050
     5.8,-0.000003,0.000028,-0.000417,-0.000065,  30.055
     6.0,-0.000003,0.000031,-0.000424,-0.000065,  30.056
     6.2,-0.000006,0.000032,-0.000401,-0.000065,  30.052
     6.4,0.000000,0.000029,-0.000368,-0.000051,  30.054
     6.6,0.000000,0.000028,-0.000361,-0.000065,  30.057
     6.8,-0.000003,0.000028,-0.000354,-0.000065,  30.057
     7.0,0.000000,0.000023,-0.000363,-0.000086,  30.059
     7.2,0.000000,0.000024,-0.000336,-0.000086,  30.060
     7.4,-0.000003,0.000024,-0.000287,-0.000086,  30.064
     7.6,0.000003,0.000022,-0.000232,-0.000108,  30.062
     7.8,0.000009,0.000026,-0.000210,-0.000108,  30.067
     8.0,0.000009,0.000026,-0.000179,-0.000073,  30.065
     8.2,0.000011,0.000027,-0.000170,-0.000073,  30.066
     8.4,0.000011,0.000031,-0.000184,-0.000073,  30.064
     8.6,0.000009,0.000028,-0.000210,-0.000073,  30.069
     8.8,0.000011,0.000035,-0.000253,-0.000073,  30.064
     9.0,0.000011,0.000033,-0.000262,-0.000073,  30.069
     9.2,0.000011,0.000032,-0.000264,-0.000073,  30.065
     9.4,0.000008,0.000036,-0.000261,-0.000073,  30.067
     9.6,0.000005,0.000040,-0.000552,-0.000073,  30.069
     9.8,0.000011,0.000039,-0.000993,-0.000073,  30.069
    10.0,0.000008,0.000037,-0.001577,-0.000073,  30.067
    10.2,0.000005,0.000037,-0.001602,-0.000059,  30.068
    10.4,0.000011,0.000035,-0.001436,-0.000108,  30.066
    10.6,0.000008,0.000039,-0.001060,-0.000073,  30.066
    10.8,0.000008,0.000041,-0.000927,-0.000073,  30.067
    11.0,0.000017,0.000040,-0.000816,-0.000095,  30.068
    11.2,0.000013,0.000040,-0.000728,-0.000059,  30.070
    11.4,0.000016,0.000044,-0.000663,-0.000046,  30.069
    11.6,0.000022,0.000041,-0.000591,-0.000046,  30.068
    11.8,0.000016,0.000039,-0.000537,-0.000059,  30.069
    12.0,0.000016,0.000044,-0.000493,-0.000059,  30.068
    12.2,0.000017,0.000042,-0.000408,-0.000046,  30.067
    12.4,0.000008,0.000043,-0.000335,-0.000046,  30.066
    12.6,0.000014,0.000041,-0.000246,-0.000046,  30.065
    12.8,0.000023,0.000038,-0.000214,-0.000032,  30.064
    13.0,0.000019,0.000038,-0.000219,-0.000046,  30.064
    13.2,0.000026,0.000036,-0.000246,-0.000046,  30.062
    13.4,0.000026,0.000038,-0.000256,-0.000032,  30.067
    13.6,0.000022,0.000040,-0.000274,-0.000032,  30.064
    13.8,0.000022,0.000042,-0.000308,-0.000032,  30.067
    14.0,0.000019,0.000042,-0.000317,-0.000068,  30.068
    14.2,0.000013,0.000042,-0.000326,-0.000068,  30.066
    14.4,0.000013,0.000042,-0.000335,-0.000068,  30.065
    14.6,0.000019,0.000040,-0.000324,-0.000103,  30.064
    14.8,0.000011,0.000038,-0.000297,-0.000068,  30.070
    15.0,0.000005,0.000041,-0.000250,-0.000081,  30.069
    15.2,0.000006,0.000045,-0.000182,-0.000130,  30.067
    15.4,-0.000005,0.000039,-0.000105,-0.000122,  30.069
    15.6,-0.000016,0.000032,-0.000015,-0.000122,  30.067
    15.8,-0.000018,0.000024,0.000015,-0.000157,  30.068
    16.0,-0.000024,0.000022,0.000003,-0.000108,  30.068
    16.2,-0.000018,0.000018,-0.000038,-0.000108,  30.068
    16.4,-0.000009,0.000022,-0.000036,-0.000143,  30.072
    16.6,-0.000007,0.000024,-0.000034,-0.000108,  30.066
    16.8,-0.000013,0.000021,-0.000022,-0.000095,  30.071
    17.0,-0.000010,0.000025,-0.000227,-0.000116,  30.073
    17.2,-0.000007,0.000025,-0.000543,-0.000081,  30.070
    17.4,-0.000002,0.000028,-0.000970,-0.000068,  30.069
    17.6,-0.000002,0.000032,-0.000994,-0.000089,  30.071
    17.8,-0.000002,0.000029,-0.000868,-0.000081,  30.069
    18.0,-0.000005,0.000028,-0.000615,-0.000081,  30.071
    18.2,-0.000003,0.000028,-0.000559,-0.000103,  30.073
    18.4,0.000001,0.000028,-0.000522,-0.000081,  30.068
    18.6,-0.000005,0.000030,-0.000529,-0.000081,  30.070
    18.8,-0.000005,0.000034,-0.000506,-0.000103,  30.071
    19.0,0.000001,0.000032,-0.000499,-0.000081,  30.074
    19.2,-0.000003,0.000031,-0.000491,-0.000081,  30.072
    19.4,-0.000003,0.000038,-0.000461,-0.000103,  30.075
    19.6,0.000006,0.000040,-0.000441,-0.000068,  30.074
    19.8,0.000003,0.000035,-0.000396,-0.000068,  30.073
    20.0,0.000000,0.000043,-0.000362,-0.000068,  30.074
    20.2,0.000006,0.000047,-0.000425,-0.000103,  30.079
    20.4,0.000000,0.000041,-0.000517,-0.000068,  30.071
    20.6,0.000000,0.000041,-0.000636,-0.000068,  30.070
    20.8,0.000003,0.000041,-0.000652,-0.000103,  30.072
    21.0,-0.000002,0.000039,-0.000627,-0.000068,  30.074
    21.2,-0.000001,0.000037,-0.000555,-0.000068,  30.070
    21.4,0.000004,0.000036,-0.000519,-0.000103,  30.073
    21.6,0.000004,0.000039,-0.000463,-0.000068,  30.070
    21.8,0.000000,0.000038,-0.000398,-0.000068,  30.072
    22.0,0.000006,0.000036,-0.000340,-0.000103,  30.072
    22.2,0.000008,0.000031,-0.000295,-0.000103,  30.070
    22.4,0.000008,0.000032,-0.000239,-0.000103,  30.066
    22.6,0.000017,0.000033,-0.000267,-0.000103,  30.069
    22.8,0.000020,0.000035,-0.000362,-0.000103,  30.070
    23.0,0.000016,0.000037,-0.000481,-0.000103,  30.070
    23.2,0.000016,0.000037,-0.000463,-0.000103,  30.073
