Run Name,Run 8
Run Date,05:29:17 PM   02-23-12
Method Name,ali reza 21.7
Export Format Version, 1.00
Method ID, 1374
Points/Second, 5.00
Number of Records,   4152
Offset from Run Start Time,00:00:00
Run End Time,00:13:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000553,-0.000629,-0.008566,0.000000,  50.031
     0.2,-0.000577,-0.000649,-0.008566,0.000000,  50.030
     0.4,-0.000593,-0.000669,-0.008566,0.000000,  50.025
     0.6,-0.000596,-0.000687,-0.008566,0.000000,  50.028
     0.8,-0.000617,-0.000701,0.000000,0.000000,  50.020
     1.0,-0.000636,-0.000704,0.000000,0.000000,  50.017
     1.2,-0.000654,-0.000720,0.000000,0.000000,  50.014
     1.4,-0.000662,-0.000732,0.000000,0.000000,  50.014
     1.6,-0.000662,-0.000738,0.000000,0.000000,  50.014
     1.8,-0.000662,-0.000740,0.000000,0.000000,  50.013
     2.0,-0.000649,-0.000738,0.000000,0.000000,  50.010
     2.2,-0.000636,-0.000725,0.000000,0.000000,  50.012
     2.4,-0.000625,-0.000709,0.000000,0.000000,  50.011
     2.6,-0.000596,-0.000690,0.000000,0.000000,  50.009
     2.8,-0.000564,-0.000678,0.000000,0.000000,  50.011
     3.0,-0.001207,0.000000,0.000000,0.000000,  50.017
     3.2,-0.001215,0.000000,0.000000,0.000000,  50.022
     3.4,-0.001207,0.000000,0.000000,0.000000,  50.032
     3.6,-0.000933,0.000000,0.000000,0.000000,  50.040
     3.8,0.000000,0.000000,0.000000,0.000000,  50.042
     4.0,0.000000,0.000000,0.000000,0.000000,  50.048
     4.2,0.000000,0.000000,0.000000,0.000000,  50.050
     4.4,0.000000,0.000000,0.000000,0.000014,  50.048
     4.6,0.000000,0.000000,-0.000115,0.000014,  50.052
     4.8,0.000000,0.000000,-0.000174,-0.000022,  50.045
     5.0,0.000000,0.000000,-0.000222,0.000014,  50.048
     5.2,0.000000,0.000000,-0.000263,-0.000008,  50.047
     5.4,0.000000,0.000000,-0.000301,-0.000008,  50.049
     5.6,0.000000,0.000000,-0.000333,0.000005,  50.048
     5.8,0.000000,0.000000,-0.000363,-0.000016,  50.046
     6.0,0.000000,0.000000,-0.000384,-0.000030,  50.048
     6.2,0.000000,0.000000,-0.000379,0.000005,  50.046
     6.4,0.000000,0.000000,-0.000372,-0.000030,  50.048
     6.6,0.000000,0.000000,-0.000328,-0.000057,  50.047
     6.8,0.000000,0.000000,-0.000263,-0.000084,  50.041
     7.0,0.000000,0.000000,-0.000170,-0.000111,  50.033
     7.2,0.000000,0.000000,-0.000286,-0.000151,  50.027
     7.4,0.000014,0.000000,-0.000510,-0.000205,  50.015
     7.6,0.000019,0.000012,-0.000828,-0.000281,  50.003
     7.8,0.000026,0.000012,-0.000807,-0.000308,  49.994
     8.0,0.000028,0.000016,-0.000649,-0.000335,  49.991
     8.2,0.000028,0.000016,-0.000368,-0.000397,  49.990
     8.4,0.000028,0.000018,-0.000243,-0.000424,  49.992
     8.6,0.000031,0.000015,-0.000123,-0.000402,  49.990
     8.8,0.000028,0.000022,-0.000018,-0.000416,  49.992
     9.0,0.000028,0.000022,0.000051,-0.000429,  49.993
     9.2,0.000026,0.000017,0.000088,-0.000443,  49.995
     9.4,0.000018,0.000015,0.000088,-0.000456,  49.996
     9.6,0.000013,0.000018,0.000150,-0.000469,  49.996
     9.8,-0.000006,0.000008,0.000220,-0.000496,  49.991
    10.0,-0.000044,-0.000012,0.000305,-0.000496,  49.995
    10.2,-0.000078,-0.000038,0.000308,-0.000496,  49.996
    10.4,-0.000110,-0.000062,0.000282,-0.000483,  49.996
    10.6,-0.000151,-0.000085,0.000229,-0.000469,  49.995
    10.8,-0.000184,-0.000113,0.000205,-0.000429,  49.998
    11.0,-0.000214,-0.000137,0.000161,-0.000424,  49.993
    11.2,-0.000246,-0.000164,0.000110,-0.000348,  50.000
    11.4,-0.000264,-0.000183,0.000063,-0.000308,  50.000
    11.6,-0.000286,-0.000203,-0.000006,-0.000316,  50.006
    11.8,-0.000313,-0.000221,-0.000085,-0.000254,  50.011
    12.0,-0.000326,-0.000239,-0.000196,-0.000227,  50.027
    12.2,-0.000342,-0.000255,-0.000319,-0.000200,  50.032
    12.4,-0.000356,-0.000267,-0.000479,-0.000173,  50.036
    12.6,-0.000363,-0.000281,-0.000639,-0.000132,  50.038
    12.8,-0.000368,-0.000297,-0.000639,-0.000119,  50.042
    13.0,-0.000379,-0.000304,-0.000598,-0.000119,  50.041
    13.2,-0.000387,-0.000318,-0.000516,-0.000105,  50.045
    13.4,-0.000392,-0.000320,-0.000475,-0.000078,  50.043
    13.6,-0.000378,-0.000310,-0.000435,-0.000078,  50.039
    13.8,-0.000366,-0.000295,-0.000403,-0.000065,  50.047
    14.0,-0.000336,-0.000281,-0.000380,-0.000065,  50.046
    14.2,-0.000307,-0.000260,-0.000378,-0.000065,  50.043
    14.4,-0.000278,-0.000231,-0.000387,-0.000051,  50.046
    14.6,-0.000238,-0.000214,-0.000421,-0.000065,  50.049
    14.8,-0.000205,-0.000186,-0.000470,-0.000065,  50.045
    15.0,-0.000181,-0.000160,-0.000553,-0.000078,  50.051
    15.2,-0.000156,-0.000142,-0.000554,-0.000105,  50.046
    15.4,-0.000135,-0.000126,-0.000509,-0.000146,  50.043
    15.6,-0.000122,-0.000106,-0.000439,-0.000173,  50.037
    15.8,-0.000112,-0.000093,-0.000347,-0.000213,  50.026
    16.0,-0.000100,-0.000083,-0.000212,-0.000254,  50.011
    16.2,-0.000090,-0.000072,-0.000047,-0.000281,  50.007
    16.4,-0.000064,-0.000062,-0.000029,-0.000308,  49.996
    16.6,-0.000051,-0.000057,-0.000073,-0.000335,  49.997
    16.8,-0.000049,-0.000051,-0.000176,-0.000348,  50.000
    17.0,-0.000040,-0.000046,-0.000419,-0.000375,  49.996
    17.2,-0.000032,-0.000038,-0.000767,-0.000402,  49.994
    17.4,-0.000033,-0.000032,-0.001207,-0.000416,  49.989
    17.6,-0.000024,-0.000028,-0.001179,-0.000443,  49.998
    17.8,-0.000024,-0.000026,-0.000977,-0.000456,  49.989
    18.0,-0.000033,-0.000026,-0.000588,-0.000456,  49.990
    18.2,-0.000035,-0.000028,-0.000403,-0.000469,  49.991
    18.4,-0.000056,-0.000044,-0.000238,-0.000483,  49.993
    18.6,-0.000095,-0.000059,-0.000069,-0.000483,  49.987
    18.8,-0.000131,-0.000081,-0.000014,-0.000505,  49.992
    19.0,-0.000160,-0.000102,-0.000035,-0.000505,  49.986
    19.2,-0.000198,-0.000128,-0.000106,-0.000478,  49.990
    19.4,-0.000227,-0.000150,-0.000137,-0.000459,  49.990
    19.6,-0.000251,-0.000173,-0.000174,-0.000370,  49.991
    19.8,-0.000284,-0.000197,-0.000224,-0.000343,  49.997
    20.0,-0.000304,-0.000214,-0.000240,-0.000351,  49.999
    20.2,-0.000323,-0.000236,-0.000261,-0.000289,  50.003
    20.4,-0.000348,-0.000254,-0.000263,-0.000262,  50.011
    20.6,-0.000360,-0.000273,-0.000273,-0.000270,  50.018
    20.8,-0.000376,-0.000289,-0.000285,-0.000221,  50.027
    21.0,-0.000390,-0.000298,-0.000299,-0.000194,  50.037
    21.2,-0.000395,-0.000310,-0.000313,-0.000167,  50.037
    21.4,-0.000403,-0.000324,-0.000318,-0.000203,  50.036
    21.6,-0.000414,-0.000334,-0.000332,-0.000154,  50.039
    21.8,-0.000419,-0.000345,-0.000340,-0.000140,  50.041
    22.0,-0.000427,-0.000342,-0.000368,-0.000149,  50.042
    22.2,-0.000414,-0.000324,-0.000394,-0.000113,  50.043
    22.4,-0.000398,-0.000300,-0.000442,-0.000100,  50.039
    22.6,-0.000360,-0.000284,-0.000440,-0.000135,  50.043
    22.8,-0.000328,-0.000258,-0.000413,-0.000100,  50.045
