Run Name,25
Run Date,06:34:55 PM   03-18-12
Method Name,group 032012.1
Export Format Version, 1.00
Method ID, 1387
Points/Second, 5.00
Number of Records,   9376
Offset from Run Start Time,00:00:00
Run End Time,00:31:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.003546,0.002684,0.000661,0.000000,  27.657
     0.2,0.003548,0.002687,0.000661,0.000000,  27.655
     0.4,0.003532,0.002683,0.000661,0.000000,  27.657
     0.6,0.003542,0.002681,0.000661,0.000000,  27.658
     0.8,0.000000,0.002680,0.000000,0.000000,  27.657
     1.0,0.000000,0.002682,0.000000,0.000000,  27.652
     1.2,0.000000,0.002683,0.000000,0.000000,  27.659
     1.4,0.000000,0.002680,0.000000,0.000000,  27.657
     1.6,0.000000,0.002678,0.000000,0.000000,  27.655
     1.8,0.000000,0.002688,0.000000,0.000000,  27.658
     2.0,0.000000,0.002798,0.000000,0.000000,  27.657
     2.2,0.000000,0.002798,0.000000,0.000000,  27.660
     2.4,0.000000,0.002720,0.000000,0.000000,  27.657
     2.6,0.000000,0.002551,0.000000,0.000000,  27.661
     2.8,0.000000,0.002551,0.000000,0.000000,  27.658
     3.0,0.000000,0.000000,0.000000,0.000000,  27.662
     3.2,0.000000,0.000000,0.000000,0.000000,  27.661
     3.4,0.000000,0.000000,0.000000,0.000000,  27.661
     3.6,0.000000,0.000000,0.000000,0.000000,  27.663
     3.8,0.000000,0.000000,0.000000,0.000000,  27.662
     4.0,0.000000,0.000000,0.000000,0.000000,  27.663
     4.2,0.000000,0.000000,0.000000,0.000000,  27.663
     4.4,0.000000,0.000000,0.000000,0.000000,  27.664
     4.6,0.000000,0.000000,-0.000623,-0.000022,  27.663
     4.8,-0.000008,0.000000,-0.000697,-0.000022,  27.666
     5.0,-0.000014,0.000000,-0.000768,-0.000008,  27.669
     5.2,-0.000014,0.000000,-0.000804,-0.000030,  27.672
     5.4,-0.000011,0.000000,-0.000823,0.000005,  27.673
     5.6,-0.000014,0.000000,-0.000815,-0.000022,  27.677
     5.8,-0.000008,0.000000,-0.000804,-0.000057,  27.671
     6.0,-0.000002,0.000000,-0.000812,-0.000022,  27.672
     6.2,-0.000008,0.000000,-0.000828,-0.000022,  27.678
     6.4,-0.000002,0.000000,-0.000846,-0.000057,  27.680
     6.6,-0.000005,0.000031,-0.000828,-0.000022,  27.675
     6.8,-0.000008,0.000025,-0.000807,-0.000022,  27.678
     7.0,-0.000005,0.000020,-0.000763,-0.000057,  27.676
     7.2,-0.000007,0.000017,-0.000742,-0.000057,  27.677
     7.4,-0.000011,0.000013,-0.000715,-0.000057,  27.680
     7.6,-0.000011,0.000012,-0.000705,-0.000092,  27.678
     7.8,-0.000011,0.000010,-0.000705,-0.000078,  27.682
     8.0,-0.000014,0.000015,-0.000721,-0.000043,  27.678
     8.2,-0.000011,0.000013,-0.000742,-0.000078,  27.681
     8.4,-0.000010,0.000012,-0.000734,-0.000065,  27.682
     8.6,-0.000010,0.000008,-0.000729,-0.000030,  27.683
     8.8,-0.000013,0.000008,-0.000708,-0.000065,  27.684
     9.0,-0.000016,0.000006,-0.000742,-0.000065,  27.686
     9.2,-0.000016,0.000004,-0.000797,-0.000043,  27.686
     9.4,-0.000019,0.000004,-0.000868,-0.000078,  27.683
     9.6,-0.000019,-0.000000,-0.000873,-0.000065,  27.688
     9.8,-0.000019,-0.000001,-0.000844,-0.000078,  27.683
    10.0,-0.000025,-0.000005,-0.000795,-0.000113,  27.686
    10.2,-0.000027,-0.000009,-0.000774,-0.000065,  27.684
    10.4,-0.000024,-0.000001,-0.000763,-0.000078,  27.681
    10.6,-0.000030,-0.000001,-0.000753,-0.000113,  27.684
    10.8,-0.000033,-0.000007,-0.000750,-0.000065,  27.686
    11.0,-0.000029,-0.000009,-0.000761,-0.000078,  27.689
    11.2,-0.000035,-0.000009,-0.000785,-0.000078,  27.685
    11.4,-0.000035,-0.000013,-0.000809,-0.000100,  27.684
    11.6,-0.000029,-0.000012,-0.000829,-0.000065,  27.689
    11.8,-0.000035,-0.000012,-0.000858,-0.000065,  27.689
    12.0,-0.000033,-0.000012,-0.000869,-0.000100,  27.689
    12.2,-0.000033,-0.000010,-0.000890,-0.000065,  27.687
    12.4,-0.000035,-0.000009,-0.000871,-0.000100,  27.687
    12.6,-0.000035,-0.000013,-0.000885,-0.000135,  27.690
    12.8,-0.000041,-0.000017,-0.000900,-0.000135,  27.686
    13.0,-0.000041,-0.000021,-0.000911,-0.000100,  27.687
    13.2,-0.000043,-0.000018,-0.000929,-0.000135,  27.686
    13.4,-0.000043,-0.000016,-0.000916,-0.000135,  27.685
    13.6,-0.000041,-0.000018,-0.000898,-0.000100,  27.683
    13.8,-0.000043,-0.000019,-0.000861,-0.000135,  27.682
    14.0,-0.000046,-0.000019,-0.000848,-0.000135,  27.683
    14.2,-0.000046,-0.000017,-0.000838,-0.000113,  27.686
    14.4,-0.000043,-0.000019,-0.000835,-0.000148,  27.683
    14.6,-0.000044,-0.000021,-0.000833,-0.000135,  27.686
    14.8,-0.000051,-0.000027,-0.000835,-0.000113,  27.687
    15.0,-0.000042,-0.000024,-0.000835,-0.000148,  27.684
    15.2,-0.000044,-0.000020,-0.000833,-0.000148,  27.683
    15.4,-0.000051,-0.000024,-0.000833,-0.000127,  27.681
    15.6,-0.000048,-0.000026,-0.000825,-0.000162,  27.681
    15.8,-0.000048,-0.000023,-0.000838,-0.000162,  27.680
    16.0,-0.000054,-0.000027,-0.000851,-0.000127,  27.676
    16.2,-0.000054,-0.000024,-0.000872,-0.000162,  27.680
    16.4,-0.000051,-0.000020,-0.000870,-0.000162,  27.676
    16.6,-0.000057,-0.000020,-0.000854,-0.000127,  27.673
    16.8,-0.000054,-0.000016,-0.000843,-0.000162,  27.671
    17.0,-0.000048,-0.000018,-0.000841,-0.000162,  27.673
    17.2,-0.000048,-0.000016,-0.000841,-0.000127,  27.670
    17.4,-0.000048,-0.000012,-0.000841,-0.000162,  27.664
    17.6,-0.000045,-0.000014,-0.000849,-0.000162,  27.665
    17.8,-0.000045,-0.000021,-0.000867,-0.000127,  27.665
    18.0,-0.000045,-0.000019,-0.000875,-0.000162,  27.662
    18.2,-0.000043,-0.000022,-0.000875,-0.000162,  27.662
    18.4,-0.000043,-0.000021,-0.000872,-0.000127,  27.657
    18.6,-0.000046,-0.000025,-0.000859,-0.000162,  27.662
    18.8,-0.000049,-0.000030,-0.000848,-0.000148,  27.657
    19.0,-0.000043,-0.000028,-0.000846,-0.000113,  27.657
    19.2,-0.000049,-0.000031,-0.000846,-0.000148,  27.661
    19.4,-0.000051,-0.000031,-0.000890,-0.000135,  27.657
    19.6,-0.000051,-0.000028,-0.000972,-0.000113,  27.662
    19.8,-0.000057,-0.000033,-0.001061,-0.000113,  27.663
    20.0,-0.000054,-0.000029,-0.001061,-0.000135,  27.660
    20.2,-0.000048,-0.000025,-0.001037,-0.000135,  27.662
    20.4,-0.000057,-0.000023,-0.000980,-0.000113,  27.658
    20.6,-0.000059,-0.000025,-0.000961,-0.000135,  27.659
    20.8,-0.000056,-0.000025,-0.000941,-0.000100,  27.658
    21.0,-0.000065,-0.000025,-0.000938,-0.000113,  27.659
    21.2,-0.000065,-0.000021,-0.000938,-0.000148,  27.658
    21.4,-0.000056,-0.000023,-0.000941,-0.000135,  27.655
    21.6,-0.000062,-0.000028,-0.000956,-0.000113,  27.657
    21.8,-0.000062,-0.000026,-0.000977,-0.000148,  27.660
    22.0,-0.000056,-0.000023,-0.000977,-0.000135,  27.656
    22.2,-0.000059,-0.000021,-0.000967,-0.000148,  27.658
    22.4,-0.000057,-0.000023,-0.000948,-0.000148,  27.657
    22.6,-0.000057,-0.000027,-0.000969,-0.000135,  27.658
    22.8,-0.000051,-0.000027,-0.001017,-0.000148,  27.656
    23.0,-0.000049,-0.000027,-0.001077,-0.000148,  27.661
    23.2,-0.000049,-0.000028,-0.001069,-0.000135,  27.657
    23.4,-0.000046,-0.000028,-0.001045,-0.000148,  27.659
    23.6,-0.000049,-0.000035,-0.000998,-0.000148,  27.658
    23.8,-0.000049,-0.000030,-0.001014,-0.000135,  27.660
    24.0,-0.000049,-0.000033,-0.001045,-0.000148,  27.658
    24.2,-0.000049,-0.000033,-0.001095,-0.000148,  27.658
    24.4,-0.000051,-0.000031,-0.001085,-0.000135,  27.656
    24.6,-0.000051,-0.000031,-0.001048,-0.000148,  27.657
    24.8,-0.000049,-0.000029,-0.000987,-0.000148,  27.660
    25.0,-0.000045,-0.000025,-0.000953,-0.000135,  27.655
    25.2,-0.000049,-0.000023,-0.000935,-0.000148,  27.659
    25.4,-0.000043,-0.000024,-0.000924,-0.000148,  27.661
    25.6,-0.000037,-0.000028,-0.000895,-0.000135,  27.662
    25.8,-0.000037,-0.000028,-0.000859,-0.000135,  27.662
    26.0,-0.000034,-0.000032,-0.000819,-0.000135,  27.662
    26.2,-0.000034,-0.000030,-0.000817,-0.000135,  27.660
    26.4,-0.000034,-0.000023,-0.000814,-0.000135,  27.656
    26.6,-0.000031,-0.000026,-0.000837,-0.000135,  27.662
    26.8,-0.000029,-0.000026,-0.000837,-0.000135,  27.663
    27.0,-0.000029,-0.000023,-0.000843,-0.000148,  27.660
    27.2,-0.000029,-0.000025,-0.000851,-0.000148,  27.660
    27.4,-0.000029,-0.000025,-0.000851,-0.000135,  27.659
    27.6,-0.000029,-0.000022,-0.000864,-0.000148,  27.661
    27.8,-0.000035,-0.000024,-0.000867,-0.000148,  27.662
    28.0,-0.000035,-0.000024,-0.000885,-0.000135,  27.661
    28.2,-0.000035,-0.000021,-0.000911,-0.000135,  27.668
    28.4,-0.000041,-0.000018,-0.000948,-0.000135,  27.663
    28.6,-0.000041,-0.000020,-0.000956,-0.000135,  27.665
    28.8,-0.000035,-0.000016,-0.000956,-0.000135,  27.661
    29.0,-0.000038,-0.000014,-0.000946,-0.000135,  27.661
