Run Name,23% Group 1
Run Date,03:57:00 PM   01-31-13
Method Name,23%B-Isocratic
Export Format Version, 1.00
Method ID,  421
Points/Second, 5.00
Number of Records,   9830
Offset from Run Start Time,00:00:00
Run End Time,00:32:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000142,0.000033,-0.001811,0.000104,  26.625
     0.2,0.000199,0.000029,-0.001824,0.000104,  26.627
     0.4,0.000179,0.000029,-0.001850,0.000104,  26.626
     0.6,0.000144,0.000035,-0.001895,0.000104,  26.628
     0.8,0.000000,0.000031,-0.001954,0.000055,  26.631
     1.0,0.000000,0.000029,-0.001704,0.000090,  26.632
     1.2,0.000000,0.000000,-0.001333,0.000000,  26.636
     1.4,0.000000,0.000000,-0.001763,0.000000,  26.641
     1.6,0.000000,0.000000,-0.001763,0.000000,  26.637
     1.8,0.000000,0.000000,-0.001763,0.000000,  26.642
     2.0,0.000000,0.000000,-0.001763,0.000000,  26.641
     2.2,0.000000,0.000000,0.000000,0.000000,  26.646
     2.4,0.000000,0.000000,0.000000,0.000000,  26.646
     2.6,0.000000,0.000000,0.000000,0.000000,  26.650
     2.8,0.000000,0.000000,0.000000,0.000000,  26.651
     3.0,0.000000,0.000000,0.000000,0.000000,  26.653
     3.2,0.000000,0.000000,0.000000,0.000000,  26.657
     3.4,0.000000,0.000000,0.000000,0.000000,  26.655
     3.6,0.000000,0.000000,0.000000,0.000000,  26.656
     3.8,-0.000007,0.000000,0.000000,0.000000,  26.655
     4.0,-0.000014,0.000000,0.000000,0.000000,  26.654
     4.2,-0.000011,0.000000,0.000000,0.000000,  26.658
     4.4,-0.000008,0.000000,0.000000,0.000000,  26.659
     4.6,-0.000008,0.000000,0.000000,0.000000,  26.658
     4.8,-0.000007,0.000000,0.000000,0.000000,  26.661
     5.0,-0.000007,0.000000,0.000000,0.000085,  26.659
     5.2,-0.000014,0.000013,0.000000,0.000049,  26.659
     5.4,-0.000007,0.000012,0.000047,0.000049,  26.660
     5.6,-0.000010,0.000007,-0.000026,0.000062,  26.656
     5.8,-0.000016,0.000006,-0.000084,0.000040,  26.657
     6.0,-0.000013,0.000001,-0.000123,0.000040,  26.656
     6.2,-0.000013,-0.000003,-0.000142,0.000040,  26.657
     6.4,-0.000024,-0.000008,-0.000154,0.000018,  26.655
     6.6,-0.000021,-0.000006,-0.000148,0.000018,  26.655
     6.8,-0.000021,-0.000013,-0.000135,0.000005,  26.653
     7.0,-0.000032,-0.000013,-0.000120,-0.000031,  26.656
     7.2,-0.000031,-0.000013,-0.000093,-0.000031,  26.657
