Run Name,28% Group 1
Run Date,03:26:19 PM   01-31-13
Method Name,28%B-Isocratic
Export Format Version, 1.00
Method ID, 1532
Points/Second, 5.00
Number of Records,   5298
Offset from Run Start Time,00:00:00
Run End Time,00:17:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000264,-0.000269,-0.002097,-0.000466,  30.544
     0.2,-0.000253,-0.000269,-0.002097,-0.000466,  30.540
     0.4,-0.000238,-0.000300,-0.002097,-0.000466,  30.546
     0.6,-0.000284,-0.000367,-0.002097,-0.000480,  30.546
     0.8,0.000000,-0.000367,0.000000,-0.000493,  30.551
     1.0,0.000000,0.000000,0.000000,-0.000462,  30.560
     1.2,0.000000,0.000000,0.000000,0.000000,  30.562
     1.4,0.000000,0.000000,0.000000,0.000000,  30.568
     1.6,0.000000,0.000000,0.000000,0.000000,  30.569
     1.8,0.000000,0.000000,0.000000,0.000000,  30.573
     2.0,0.000000,0.000000,0.000000,0.000000,  30.580
     2.2,0.000000,0.000000,0.000000,0.000000,  30.588
     2.4,0.000000,0.000000,0.000000,0.000000,  30.596
     2.6,0.000000,0.000000,0.000000,0.000000,  30.597
     2.8,0.000000,0.000000,0.000000,0.000000,  30.599
     3.0,0.000000,0.000000,0.000000,0.000000,  30.601
     3.2,0.000000,0.000000,0.000000,0.000000,  30.601
     3.4,0.000000,0.000000,0.000000,0.000000,  30.614
     3.6,0.000000,0.000000,0.000000,0.000000,  30.615
     3.8,-0.000004,0.000000,0.000000,0.000000,  30.619
     4.0,-0.000007,0.000014,0.000081,0.000000,  30.618
     4.2,-0.000004,0.000009,0.000023,0.000000,  30.624
     4.4,-0.000007,0.000005,-0.000023,0.000000,  30.627
     4.6,-0.000010,0.000000,-0.000055,0.000000,  30.630
     4.8,-0.000006,-0.000005,-0.000067,0.000000,  30.628
     5.0,-0.000010,-0.000009,-0.000060,0.000022,  30.630
     5.2,-0.000013,-0.000009,-0.000034,-0.000027,  30.632
     5.4,-0.000015,-0.000009,-0.000072,-0.000040,  30.643
     5.6,-0.000018,-0.000018,-0.000136,-0.000018,  30.645
     5.8,-0.000023,-0.000018,-0.000226,-0.000040,  30.643
     6.0,-0.000028,-0.000014,-0.000239,-0.000027,  30.648
     6.2,-0.000031,-0.000015,-0.000219,-0.000013,  30.650
     6.4,-0.000036,-0.000024,-0.000186,-0.000036,  30.656
     6.6,-0.000039,-0.000030,-0.000217,0.000000,  30.656
     6.8,-0.000038,-0.000037,-0.000269,0.000000,  30.658
     7.0,-0.000045,-0.000042,-0.000346,-0.000036,  30.662
     7.2,-0.000042,-0.000045,-0.000389,-0.000036,  30.663
     7.4,-0.000051,-0.000050,-0.000415,-0.000036,  30.666
     7.6,-0.000057,-0.000056,-0.000428,-0.000071,  30.669
     7.8,-0.000055,-0.000060,-0.000433,-0.000071,  30.668
     8.0,-0.000055,-0.000060,-0.000425,-0.000036,  30.671
     8.2,-0.000055,-0.000062,-0.000399,-0.000071,  30.676
     8.4,-0.000058,-0.000066,-0.000405,-0.000036,  30.682
     8.6,-0.000061,-0.000070,-0.000430,-0.000013,  30.685
     8.8,-0.000064,-0.000071,-0.000469,-0.000036,  30.688
     9.0,-0.000070,-0.000077,-0.000501,-0.000036,  30.689
     9.2,-0.000075,-0.000079,-0.000539,-0.000049,  30.686
     9.4,-0.000082,-0.000081,-0.000590,-0.000071,  30.691
     9.6,-0.000084,-0.000081,-0.000686,-0.000084,  30.691
     9.8,-0.000075,-0.000085,-0.000821,-0.000062,  30.688
    10.0,-0.000084,-0.000089,-0.000976,-0.000084,  30.694
    10.2,-0.000092,-0.000095,-0.000982,-0.000084,  30.698
    10.4,-0.000097,-0.000101,-0.000931,-0.000071,  30.694
    10.6,-0.000108,-0.000107,-0.000822,-0.000071,  30.701
    10.8,-0.000116,-0.000115,-0.000782,-0.000071,  30.698
    11.0,-0.000121,-0.000118,-0.000736,-0.000071,  30.694
    11.2,-0.000127,-0.000120,-0.000701,-0.000071,  30.697
    11.4,-0.000127,-0.000122,-0.000674,-0.000084,  30.705
