Run Name,50 % Run 1 Group 1
Run Date,02:09:18 PM   01-31-13
Method Name,50%B-Isocratic
Export Format Version, 1.00
Method ID, 1528
Points/Second, 5.00
Number of Records,   1920
Offset from Run Start Time,00:00:00
Run End Time,00:06:24
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000890,-0.365396,0.061714,0.000000,  47.946
     0.2,-0.000882,-0.365396,0.061714,0.000000,  47.941
     0.4,-0.000883,-0.365490,0.061714,0.000000,  47.949
     0.6,-0.000846,-0.365685,0.061714,0.000000,  47.937
     0.8,0.000000,-0.365685,0.000000,0.000000,  47.935
     1.0,0.000000,0.000000,0.000000,0.000000,  47.939
     1.2,0.000000,0.000000,0.000000,0.000000,  47.932
     1.4,0.000000,0.000000,0.000000,0.000000,  47.936
     1.6,0.000000,0.000000,0.000000,0.000000,  47.936
     1.8,0.000000,0.000000,0.000000,0.000000,  47.941
     2.0,0.000000,0.000000,0.000000,0.000000,  47.939
     2.2,0.000000,0.000000,0.000000,0.000000,  47.942
     2.4,0.000000,0.000000,0.000000,0.000000,  47.941
     2.6,0.000000,0.000000,0.000000,0.000000,  47.945
     2.8,0.000000,0.000000,0.000000,0.000000,  47.946
     3.0,0.000000,0.000000,0.000000,0.000000,  47.945
     3.2,0.000000,0.000000,0.000000,0.000000,  47.947
     3.4,0.000000,0.000000,0.000000,0.000000,  47.955
     3.6,0.000000,0.000000,0.000000,0.000000,  47.970
     3.8,0.000000,0.000000,0.000000,0.000000,  47.993
     4.0,0.000000,0.000000,0.000000,0.000000,  47.984
     4.2,0.000000,0.000000,0.000000,0.000000,  47.966
     4.4,-0.000007,0.000000,0.000000,-0.000022,  47.956
     4.6,-0.000014,-0.000003,0.000042,-0.000009,  47.960
     4.8,-0.000014,-0.000003,-0.000607,-0.000009,  47.958
     5.0,-0.000020,-0.000008,-0.001051,-0.000044,  47.957
     5.2,-0.000016,-0.000003,-0.001306,-0.000078,  47.964
     5.4,-0.000022,-0.000010,-0.001379,-0.000053,  47.964
     5.6,-0.000024,-0.000006,-0.001246,-0.000053,  47.965
     5.8,-0.000024,-0.000008,-0.000922,-0.000087,  47.964
     6.0,-0.000021,-0.000011,-0.000838,-0.000087,  47.966
     6.2,-0.000021,-0.000013,-0.000775,-0.000065,  47.968
     6.4,-0.000026,-0.000020,-0.000743,-0.000053,  47.970
     6.6,-0.000022,-0.000021,-0.000677,-0.000087,  47.975
