Run Name,Group 11 Run 4
Run Date,04:36:00 PM   04-02-13
Method Name,24%B-Isocratic
Export Format Version, 1.00
Method ID, 1519
Points/Second, 5.00
Number of Records,   6809
Offset from Run Start Time,00:00:00
Run End Time,00:22:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000767,0.000738,0.005637,0.000501,  26.178
     0.2,0.000767,0.000736,0.005786,0.000501,  26.175
     0.4,0.000770,0.000736,0.005913,0.000514,  26.177
     0.6,0.000767,0.000738,0.006013,0.000501,  26.179
     0.8,0.000767,0.000740,0.006087,0.000501,  26.185
     1.0,0.000767,0.000737,0.006147,0.000514,  26.202
     1.2,0.000765,0.000739,0.006168,0.000501,  26.169
     1.4,0.000765,0.000736,0.006263,0.000501,  26.113
     1.6,0.000765,0.000736,0.006378,0.000479,  26.071
     1.8,0.000765,0.000739,0.006526,0.000465,  26.046
     2.0,0.000765,0.000742,0.006547,0.000443,  26.026
     2.2,0.000767,0.000741,0.006532,0.000443,  26.017
     2.4,0.000770,0.000740,0.006463,0.000443,  26.016
     2.6,0.000776,0.000744,0.006341,0.000420,  26.001
     2.8,0.000776,0.000741,0.006167,0.000443,  25.996
     3.0,0.000774,0.000743,0.005937,0.000443,  25.991
     3.2,0.000777,0.000740,0.005911,0.000420,  25.989
     3.4,0.000772,0.000737,0.005964,0.000443,  25.988
     3.6,0.000780,0.000739,0.006085,0.000443,  25.983
     3.8,0.000782,0.000742,0.006133,0.000420,  25.982
     4.0,0.000784,0.000741,0.006200,0.000443,  25.976
     4.2,0.000787,0.000740,0.006259,0.000443,  25.973
     4.4,0.000780,0.000734,0.006274,0.000420,  25.976
     4.6,0.000776,0.000732,0.006286,0.000443,  25.974
     4.8,0.000779,0.000738,0.006265,0.000443,  25.978
     5.0,0.001003,0.000740,0.006279,0.000420,  25.972
     5.2,0.000728,0.000740,0.006292,0.000443,  25.974
     5.4,-0.000401,0.000739,0.006313,0.000443,  25.976
     5.6,-0.001399,0.000741,0.006354,0.000407,  25.979
     5.8,0.000000,0.000741,0.006407,0.000443,  25.978
     6.0,0.000000,0.000741,0.006596,0.000430,  25.972
     6.2,0.000000,0.000000,0.006596,0.000430,  25.969
     6.4,0.000000,0.000000,0.006596,0.000430,  25.967
     6.6,0.000000,0.000000,0.006596,0.000430,  25.966
     6.8,0.000000,0.000000,0.000000,0.000430,  25.962
     7.0,0.000000,0.000000,0.000000,0.000443,  25.963
     7.2,0.000000,0.000000,0.000000,0.000430,  25.963
     7.4,0.000000,0.000000,0.000000,0.000000,  25.962
     7.6,0.000000,0.000000,0.000000,0.000000,  25.960
     7.8,0.000000,0.000000,0.000000,0.000000,  25.963
     8.0,0.000000,0.000000,0.000000,0.000000,  25.963
     8.2,0.000000,0.000000,0.000000,0.000000,  25.957
     8.4,0.000000,0.000000,0.000000,0.000000,  25.960
     8.6,0.000000,0.000000,0.000000,0.000000,  25.959
     8.8,0.000000,0.000000,0.000000,0.000000,  25.963
     9.0,0.000000,0.000000,0.000000,0.000000,  25.957
     9.2,0.000148,0.000000,0.000000,0.000000,  25.961
     9.4,0.000177,0.000000,0.000000,0.000000,  25.961
     9.6,0.000195,0.000000,0.000000,0.000000,  25.960
     9.8,0.000209,0.000000,0.000000,0.000000,  25.957
    10.0,0.000206,0.000000,0.000000,0.000000,  25.955
    10.2,0.000204,0.000000,0.000000,0.000000,  25.951
    10.4,0.000188,0.000000,0.000000,0.000000,  25.953
    10.6,0.000187,0.000000,0.000074,0.000000,  25.951
    10.8,0.000201,0.000066,0.000034,0.000000,  25.952
    11.0,0.000215,0.000063,-0.000006,0.000000,  25.948
    11.2,0.000214,0.000057,-0.000052,0.000000,  25.953
    11.4,0.000225,0.000058,-0.000084,0.000000,  25.949
    11.6,0.000225,0.000056,-0.000128,0.000000,  25.945
    11.8,0.000232,0.000062,-0.000166,0.000066,  25.942
    12.0,0.000251,0.000070,-0.000172,0.000030,  25.936
    12.2,0.000267,0.000078,-0.000183,0.000017,  25.935
    12.4,0.000268,0.000086,-0.000182,0.000017,  25.930
    12.6,0.000268,0.000093,-0.000297,-0.000019,  25.933
    12.8,0.000269,0.000095,-0.000457,-0.000005,  25.933
    13.0,0.000271,0.000095,-0.000681,-0.000005,  25.932
    13.2,0.000279,0.000104,-0.000950,-0.000041,  25.931
    13.4,0.000289,0.000102,-0.001286,0.000008,  25.930
    13.6,0.000288,0.000104,-0.001657,0.000008,  25.926
    13.8,0.000295,0.000108,-0.001671,-0.000028,  25.925
    14.0,0.000289,0.000117,-0.001541,0.000021,  25.924
    14.2,0.000289,0.000120,-0.001259,0.000021,  25.927
    14.4,0.000283,0.000123,-0.001174,-0.000001,  25.930
    14.6,0.000289,0.000131,-0.001115,0.000048,  25.929
    14.8,0.000287,0.000134,-0.001083,0.000048,  25.934
    15.0,0.000280,0.000142,-0.001010,0.000025,  25.928
    15.2,0.000284,0.000144,-0.000931,0.000061,  25.928
    15.4,0.000290,0.000142,-0.000845,0.000061,  25.920
    15.6,0.000284,0.000148,-0.000799,0.000038,  25.914
    15.8,0.000284,0.000151,-0.000766,0.000061,  25.912
    16.0,0.000285,0.000152,-0.000753,0.000061,  25.909
    16.2,0.000276,0.000156,-0.000772,0.000038,  25.907
    16.4,0.000273,0.000165,-0.000799,0.000074,  25.907
    16.6,0.000275,0.000161,-0.000851,0.000074,  25.905
    16.8,0.000268,0.000162,-0.000871,0.000052,  25.908
    17.0,0.000266,0.000161,-0.000876,0.000074,  25.905
    17.2,0.000268,0.000155,-0.000857,0.000061,  25.906
    17.4,0.000264,0.000153,-0.000838,0.000038,  25.905
    17.6,0.000268,0.000153,-0.000829,0.000074,  25.907
    17.8,0.000266,0.000149,-0.000809,0.000074,  25.907
    18.0,0.000259,0.000147,-0.000783,0.000052,  25.904
    18.2,0.000263,0.000147,-0.000781,0.000087,  25.908
    18.4,0.000255,0.000143,-0.000774,0.000074,  25.910
    18.6,0.000246,0.000143,-0.000788,0.000074,  25.913
    18.8,0.000252,0.000143,-0.000820,0.000074,  25.909
    19.0,0.000247,0.000139,-0.000872,0.000097,  25.909
    19.2,0.000238,0.000132,-0.000925,0.000097,  25.909
    19.4,0.000248,0.000128,-0.000963,0.000097,  25.912
    19.6,0.000249,0.000126,-0.000984,0.000097,  25.907
    19.8,0.000245,0.000125,-0.001004,0.000083,  25.915
    20.0,0.000254,0.000125,-0.001030,0.000097,  25.915
    20.2,0.000254,0.000119,-0.001051,0.000061,  25.914
    20.4,0.000251,0.000112,-0.001066,0.000097,  25.916
    20.6,0.000257,0.000106,-0.001112,0.000074,  25.916
    20.8,0.000254,0.000102,-0.001164,0.000061,  25.915
    21.0,0.000256,0.000095,-0.001234,0.000061,  25.914
    21.2,0.000268,0.000087,-0.001234,0.000038,  25.917
    21.4,0.000276,0.000088,-0.001214,0.000048,  25.920
    21.6,0.000275,0.000089,-0.001167,0.000034,  25.921
    21.8,0.000281,0.000097,-0.001114,0.000012,  25.920
    22.0,0.000281,0.000107,-0.001053,0.000012,  25.924
    22.2,0.000287,0.000108,-0.000986,0.000012,  25.924
    22.4,0.000301,0.000115,-0.000960,-0.000011,  25.924
    22.6,0.000315,0.000121,-0.000961,-0.000011,  25.927
    22.8,0.000324,0.000121,-0.000994,0.000025,  25.934
    23.0,0.000325,0.000123,-0.001013,0.000003,  25.935
    23.2,0.000324,0.000126,-0.001026,-0.000011,  25.936
    23.4,0.000322,0.000127,-0.001040,0.000025,  25.942
    23.6,0.000313,0.000133,-0.001032,0.000003,  25.939
    23.8,0.000317,0.000141,-0.000992,-0.000011,  25.940
    24.0,0.000300,0.000140,-0.000926,0.000025,  25.941
    24.2,0.000302,0.000140,-0.000899,0.000003,  25.947
    24.4,0.000290,0.000143,-0.000879,0.000003,  25.946
    24.6,0.000295,0.000142,-0.000859,0.000038,  25.949
    24.8,0.000291,0.000140,-0.000892,0.000016,  25.951
    25.0,0.000291,0.000144,-0.000970,0.000016,  25.954
    25.2,0.000289,0.000139,-0.001068,0.000038,  25.953
    25.4,0.000282,0.000142,-0.001200,0.000016,  25.951
    25.6,0.000289,0.000147,-0.001370,0.000038,  25.948
    25.8,0.000289,0.000145,-0.001580,0.000061,  25.960
    26.0,0.000282,0.000147,-0.001567,0.000038,  25.960
    26.2,0.000294,0.000161,-0.001474,0.000038,  25.961
    26.4,0.000297,0.000162,-0.001288,0.000038,  25.965
    26.6,0.000293,0.000164,-0.001242,0.000016,  25.965
    26.8,0.000298,0.000167,-0.001222,0.000016,  25.970
    27.0,0.000295,0.000168,-0.001235,0.000038,  25.973
    27.2,0.000291,0.000169,-0.001262,0.000038,  25.975
    27.4,0.000295,0.000165,-0.001235,0.000003,  25.981
    27.6,0.000292,0.000162,-0.001195,0.000038,  25.976
    27.8,0.000286,0.000165,-0.001142,0.000038,  25.984
    28.0,0.000284,0.000166,-0.001154,0.000038,  25.986
    28.2,0.000282,0.000167,-0.001188,0.000038,  25.988
    28.4,0.000279,0.000168,-0.001242,0.000038,  25.990
    28.6,0.000284,0.000168,-0.001254,0.000016,  25.993
    28.8,0.000296,0.000166,-0.001248,0.000016,  25.996
    29.0,0.000295,0.000160,-0.001223,0.000038,  25.999
    29.2,0.000303,0.000148,-0.001209,0.000016,  26.004
    29.4,0.000314,0.000141,-0.001189,0.000052,  26.004
    29.6,0.000313,0.000137,-0.001157,0.000074,  26.006
    29.8,0.000318,0.000137,-0.001143,0.000052,  26.009
    30.0,0.000325,0.000139,-0.001149,0.000074,  26.013
    30.2,0.000321,0.000142,-0.001150,0.000061,  26.017
    30.4,0.000321,0.000144,-0.001170,0.000038,  26.018
    30.6,0.000325,0.000149,-0.001203,0.000074,  26.018
    30.8,0.000324,0.000153,-0.001249,0.000074,  26.024
    31.0,0.000329,0.000159,-0.001485,0.000052,  26.027
    31.2,0.000338,0.000166,-0.001820,0.000087,  26.029
    31.4,0.000334,0.000166,-0.002270,0.000074,  26.032
    31.6,0.000337,0.000171,-0.002499,0.000052,  26.034
    31.8,0.000332,0.000175,-0.002670,0.000087,  26.043
    32.0,0.000332,0.000179,-0.002794,0.000074,  26.043
    32.2,0.000325,0.000179,-0.002696,0.000052,  26.043
    32.4,0.000341,0.000184,-0.002461,0.000087,  26.046
    32.6,0.000338,0.000184,-0.002094,0.000074,  26.049
    32.8,0.000337,0.000184,-0.001916,0.000052,  26.048
    33.0,0.000345,0.000184,-0.001752,0.000087,  26.047
    33.2,0.000359,0.000182,-0.001609,0.000087,  26.050
    33.4,0.000356,0.000186,-0.001517,0.000052,  26.053
    33.6,0.000356,0.000194,-0.001471,0.000087,  26.058
    33.8,0.000357,0.000191,-0.001465,0.000087,  26.062
    34.0,0.000350,0.000191,-0.001406,0.000052,  26.060
    34.2,0.000353,0.000196,-0.001353,0.000087,  26.062
    34.4,0.000357,0.000198,-0.001288,0.000087,  26.064
    34.6,0.000353,0.000196,-0.001354,0.000052,  26.066
    34.8,0.000356,0.000205,-0.001491,0.000087,  26.067
    35.0,0.000364,0.000207,-0.001694,0.000087,  26.070
    35.2,0.000363,0.000205,-0.001694,0.000052,  26.076
    35.4,0.000369,0.000209,-0.001629,0.000087,  26.075
    35.6,0.000380,0.000211,-0.001505,0.000087,  26.077
    35.8,0.000377,0.000211,-0.001459,0.000087,  26.077
    36.0,0.000382,0.000211,-0.001419,0.000074,  26.081
    36.2,0.000386,0.000215,-0.001386,0.000097,  26.080
    36.4,0.000382,0.000216,-0.001372,0.000097,  26.079
    36.6,0.000385,0.000215,-0.001359,0.000097,  26.084
    36.8,0.000391,0.000218,-0.001352,0.000087,  26.082
    37.0,0.000387,0.000231,-0.001353,0.000087,  26.089
    37.2,0.000387,0.000239,-0.001308,0.000101,  26.089
    37.4,0.000394,0.000237,-0.001255,0.000101,  26.087
    37.6,0.000400,0.000241,-0.001197,0.000114,  26.088
    37.8,0.000414,0.000242,-0.001295,0.000091,  26.087
    38.0,0.000441,0.000240,-0.001460,0.000140,  26.086
    38.2,0.000453,0.000242,-0.001704,0.000114,  26.089
    38.4,0.000464,0.000247,-0.001868,0.000078,  26.090
    38.6,0.000484,0.000253,-0.002025,0.000127,  26.087
    38.8,0.000498,0.000256,-0.002183,0.000127,  26.090
    39.0,0.000520,0.000267,-0.002144,0.000091,  26.095
    39.2,0.000550,0.000282,-0.002000,0.000127,  26.091
    39.4,0.000562,0.000295,-0.001758,0.000127,  26.096
    39.6,0.000578,0.000317,-0.001607,0.000091,  26.093
    39.8,0.000597,0.000345,-0.001457,0.000127,  26.094
    40.0,0.000604,0.000358,-0.001294,0.000127,  26.095
    40.2,0.000618,0.000374,-0.001209,0.000105,  26.089
    40.4,0.000634,0.000388,-0.001177,0.000140,  26.090
    40.6,0.000642,0.000401,-0.001179,0.000154,  26.085
    40.8,0.000641,0.000419,-0.001101,0.000131,  26.082
