Run Name,Run 1
Run Date,01:19:58 PM   04-24-13
Method Name,LinearGradient Group11
Export Format Version, 1.00
Method ID, 1682
Points/Second, 5.00
Number of Records,  12600
Offset from Run Start Time,00:00:00
Run End Time,00:42:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.006938,-0.368924,0.057147,-0.441106,   5.793
     0.2,0.006938,-0.368929,0.057229,-0.441106,   5.792
     0.4,0.006938,-0.368922,0.057256,-0.441106,   5.794
     0.6,0.006945,-0.368922,0.057248,-0.441119,   5.790
     0.8,0.006945,-0.368927,0.057275,-0.441119,   5.788
     1.0,0.006938,-0.368921,0.057316,-0.441106,   5.790
     1.2,0.006945,-0.368918,0.057338,-0.441106,   5.792
     1.4,0.006945,-0.368921,0.057372,-0.441106,   5.788
     1.6,0.006947,-0.368914,0.057400,-0.441093,   5.786
     1.8,0.006956,-0.368909,0.057433,-0.441106,   5.790
     2.0,0.006956,-0.368912,0.057460,-0.441106,   5.782
     2.2,0.006956,-0.368906,0.057468,-0.441093,   5.782
     2.4,0.006956,-0.368906,0.057461,-0.441106,   5.784
     2.6,0.006956,-0.368906,0.057452,-0.441093,   5.784
     2.8,0.006956,-0.368905,0.057472,-0.441093,   5.782
     3.0,0.006956,-0.368906,0.057507,-0.441093,   5.782
     3.2,0.006956,-0.368906,0.057548,-0.441080,   5.785
     3.4,0.006959,-0.368902,0.057576,-0.441093,   5.783
     3.6,0.006959,-0.368905,0.057609,-0.441093,   5.786
     3.8,0.006962,-0.368901,0.057629,-0.441080,   5.783
     4.0,0.006962,-0.368902,0.057629,-0.441093,   5.783
     4.2,0.006962,-0.368900,0.057615,-0.441093,   5.777
