Run Name,Run 1
Run Date,02:52:44 PM   04-24-13
Method Name,LinearGradient Group11.1
Export Format Version, 1.00
Method ID, 1684
Points/Second, 5.00
Number of Records,   9710
Offset from Run Start Time,00:00:00
Run End Time,00:32:24
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.002358,0.002400,0.001995,0.000000,  19.499
     0.2,0.002405,0.002400,0.001995,0.000000,  19.499
     0.4,0.002469,0.002304,0.001995,0.000000,  19.496
     0.6,0.002866,0.002109,0.001995,0.000000,  19.500
     0.8,0.000000,0.002109,0.000000,0.000000,  19.497
     1.0,0.000000,0.000000,0.000000,0.000000,  19.493
     1.2,0.000000,0.000000,0.000000,0.000000,  19.495
     1.4,0.000000,0.000000,0.000000,0.000000,  19.492
     1.6,0.000000,0.000000,0.000000,0.000000,  19.494
     1.8,0.000000,0.000000,0.000000,0.000000,  19.494
     2.0,0.000000,0.000000,0.000000,0.000000,  19.490
     2.2,0.000000,0.000000,0.000000,0.000000,  19.491
     2.4,0.000000,0.000000,0.000000,0.000000,  19.488
     2.6,0.000000,0.000000,0.000000,0.000000,  19.487
     2.8,0.000000,0.000000,0.000000,0.000000,  19.488
     3.0,0.000000,0.000000,0.000000,0.000000,  19.487
     3.2,0.000000,0.000000,0.000000,0.000000,  19.483
     3.4,0.000000,0.000000,0.000000,0.000000,  19.487
     3.6,0.000000,0.000000,0.000000,0.000000,  19.483
     3.8,0.000000,0.000000,0.000000,0.000000,  19.487
     4.0,0.000000,0.000000,0.000000,0.000000,  19.480
     4.2,0.000000,0.000000,0.000000,0.000000,  19.483
     4.4,0.000000,0.000000,0.000000,0.000000,  19.485
     4.6,0.000000,-0.000024,0.000103,-0.000036,  19.479
     4.8,0.000004,-0.000024,0.000119,-0.000059,  19.480
     5.0,-0.000005,-0.000024,0.000127,-0.000072,  19.476
     5.2,-0.000014,-0.000023,0.000133,-0.000059,  19.474
     5.4,-0.000013,-0.000028,0.000133,-0.000059,  19.475
     5.6,-0.000020,-0.000030,0.000120,-0.000059,  19.477
     5.8,-0.000022,-0.000025,0.000105,-0.000046,  19.478
     6.0,-0.000013,-0.000030,0.000119,-0.000082,  19.475
     6.2,-0.000017,-0.000027,0.000140,-0.000095,  19.474
     6.4,-0.000020,-0.000027,0.000162,-0.000082,  19.473
     6.6,-0.000016,-0.000029,0.000136,-0.000118,  19.475
     6.8,-0.000020,-0.000033,0.000099,-0.000082,  19.474
     7.0,-0.000022,-0.000024,0.000036,-0.000082,  19.473
     7.2,-0.000018,-0.000020,0.000015,-0.000118,  19.468
     7.4,-0.000025,-0.000025,0.000002,-0.000082,  19.467
     7.6,-0.000027,-0.000027,0.000008,-0.000082,  19.463
     7.8,-0.000024,-0.000025,0.000030,-0.000118,  19.468
     8.0,-0.000030,-0.000025,0.000065,-0.000082,  19.472
     8.2,-0.000033,-0.000029,0.000127,-0.000082,  19.471
     8.4,-0.000029,-0.000029,0.000133,-0.000118,  19.469
     8.6,-0.000038,-0.000028,0.000118,-0.000095,  19.469
     8.8,-0.000032,-0.000036,0.000088,-0.000082,  19.469
     9.0,-0.000022,-0.000037,0.000088,-0.000118,  19.473
     9.2,-0.000028,-0.000041,0.000089,-0.000095,  19.478
     9.4,-0.000028,-0.000042,0.000098,-0.000082,  19.478
     9.6,-0.000022,-0.000039,0.000092,-0.000095,  19.480
     9.8,-0.000022,-0.000041,0.000091,-0.000072,  19.478
    10.0,-0.000025,-0.000044,0.000083,-0.000059,  19.473
    10.2,-0.000019,-0.000037,0.000064,-0.000059,  19.476
    10.4,-0.000022,-0.000035,0.000050,-0.000059,  19.481
    10.6,-0.000025,-0.000036,0.000043,-0.000046,  19.479
    10.8,-0.000028,-0.000037,-0.000273,-0.000059,  19.479
