Run Name,Run 1
Run Date,05:01:34 PM   04-23-13
Method Name,LinearGradient Group12.1
Export Format Version, 1.00
Method ID, 1680
Points/Second, 5.00
Number of Records,  11446
Offset from Run Start Time,00:00:00
Run End Time,00:38:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000493,0.000374,0.000243,0.000359,  19.603
     0.2,0.000493,0.000371,0.000303,0.000373,  19.605
     0.4,0.000487,0.000371,0.000283,0.000373,  19.606
     0.6,0.000487,0.000372,0.000175,0.000359,  19.600
     0.8,0.000487,0.000371,0.000188,0.000373,  19.601
     1.0,0.000480,0.000369,0.000209,0.000373,  19.603
     1.2,0.000412,0.000369,0.000250,0.000359,  19.599
     1.4,0.000446,0.000364,0.000243,0.000373,  19.598
     1.6,0.000477,0.000367,0.000210,0.000373,  19.595
     1.8,0.000522,0.000371,0.000162,0.000359,  19.594
     2.0,0.000000,0.000369,0.000162,0.000373,  19.592
     2.2,0.000000,0.000367,0.000168,0.000373,  19.587
     2.4,0.000000,0.000345,0.000145,0.000000,  19.590
     2.6,0.000000,0.000345,0.000145,0.000000,  19.586
     2.8,0.000000,0.000300,0.000145,0.000000,  19.582
     3.0,0.000000,0.000213,0.000145,0.000000,  19.587
     3.2,0.000000,0.000213,0.000145,0.000000,  19.585
     3.4,0.000000,0.000000,0.000000,0.000000,  19.585
     3.6,0.000000,0.000000,0.000000,0.000000,  19.586
     3.8,0.000000,0.000000,0.000000,0.000000,  19.584
     4.0,0.000000,0.000000,0.000000,0.000000,  19.587
     4.2,0.000000,0.000000,0.000000,0.000000,  19.588
     4.4,0.000000,0.000000,0.000000,0.000000,  19.585
     4.6,0.000000,0.000000,0.000000,0.000000,  19.586
     4.8,0.000000,0.000000,0.000000,0.000000,  19.584
     5.0,0.000000,0.000000,0.000000,0.000000,  19.584
     5.2,0.000000,0.000000,0.000000,0.000000,  19.584
     5.4,0.000000,0.000000,0.000000,0.000000,  19.587
     5.6,0.000000,0.000000,0.000000,0.000000,  19.587
     5.8,0.000000,0.000000,0.000000,0.000000,  19.584
     6.0,-0.000006,0.000000,0.000000,0.000000,  19.586
     6.2,-0.000010,0.000000,0.000000,0.000000,  19.582
     6.4,-0.000014,0.000000,0.000000,0.000000,  19.582
     6.6,-0.000010,0.000000,0.000000,0.000000,  19.581
     6.8,-0.000014,0.000000,0.000000,0.000000,  19.581
     7.0,-0.000014,-0.000008,-0.000088,-0.000023,  19.578
     7.2,-0.000010,-0.000012,-0.000978,-0.000010,  19.577
     7.4,-0.000013,-0.000011,-0.001581,-0.000023,  19.578
     7.6,-0.000005,-0.000010,-0.001896,-0.000010,  19.572
     7.8,0.000003,-0.000008,-0.001929,-0.000046,  19.575
     8.0,0.000003,-0.000011,-0.001689,-0.000010,  19.574
     8.2,-0.000003,-0.000014,-0.001162,0.000003,  19.573
     8.4,-0.000009,-0.000011,-0.001001,-0.000046,  19.572
     8.6,-0.000007,-0.000011,-0.000880,-0.000010,  19.572
     8.8,-0.000013,-0.000015,-0.000800,0.000003,  19.567
     9.0,-0.000013,-0.000012,-0.000673,-0.000046,  19.569
     9.2,-0.000013,-0.000017,-0.000545,-0.000010,  19.568
     9.4,-0.000020,-0.000012,-0.000424,0.000003,  19.567
     9.6,-0.000016,-0.000014,-0.000336,-0.000046,  19.563
     9.8,-0.000020,-0.000019,-0.000249,-0.000010,  19.559
    10.0,-0.000022,-0.000021,-0.000195,0.000003,  19.562
    10.2,-0.000027,-0.000027,-0.000175,-0.000046,  19.558
    10.4,-0.000036,-0.000031,-0.000182,-0.000010,  19.559
    10.6,-0.000036,-0.000033,-0.000217,0.000003,  19.561
    10.8,-0.000045,-0.000031,-0.000202,-0.000046,  19.561
    11.0,-0.000042,-0.000036,-0.000188,-0.000010,  19.557
    11.2,-0.000042,-0.000039,-0.000148,0.000003,  19.561
    11.4,-0.000051,-0.000033,-0.000154,-0.000046,  19.559
    11.6,-0.000051,-0.000039,-0.000175,-0.000023,  19.557
