Run Name,Run 5
Run Date,02:41:25 PM   02-28-13
Method Name,35%B-Isocratic
Export Format Version, 1.00
Method ID, 1566
Points/Second, 5.00
Number of Records,   3108
Offset from Run Start Time,00:00:00
Run End Time,00:10:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001188,0.000679,-0.013516,0.001648,  35.615
     0.2,0.001184,0.000678,-0.013477,0.001626,  35.614
     0.4,0.001184,0.000682,-0.013458,0.001626,  35.610
     0.6,0.001193,0.000682,-0.013458,0.001648,  35.613
     0.8,0.001190,0.000679,-0.013694,0.001626,  35.612
     1.0,0.001190,0.000683,-0.014052,0.001626,  35.614
     1.2,0.001196,0.000680,-0.014544,0.001661,  35.609
     1.4,0.001192,0.000677,-0.014704,0.001639,  35.611
     1.6,0.001192,0.000678,-0.014761,0.001626,  35.612
     1.8,0.001196,0.000680,-0.014717,0.001661,  35.613
     2.0,0.001196,0.000675,-0.014590,0.001639,  35.614
     2.2,0.001190,0.000679,-0.014367,0.001626,  35.609
     2.4,0.001199,0.000681,-0.014061,0.001648,  35.610
     2.6,0.001196,0.000679,-0.013914,0.001626,  35.610
     2.8,0.001197,0.000671,-0.013806,0.001648,  35.610
     3.0,0.001201,0.000672,-0.013741,0.001670,  35.608
     3.2,0.001201,0.000672,-0.013664,0.001648,  35.609
     3.4,0.001192,0.000673,-0.013593,0.001683,  35.608
     3.6,0.001188,0.000673,-0.013536,0.001683,  35.609
     3.8,0.001190,0.000668,-0.013484,0.001661,  35.610
     4.0,0.001189,0.000673,-0.013439,0.001696,  35.611
     4.2,0.001183,0.000674,-0.013400,0.001683,  35.610
     4.4,0.001183,0.000669,-0.013380,0.001683,  35.612
     4.6,0.001179,0.000670,-0.013366,0.001683,  35.609
     4.8,0.001179,0.000000,0.000000,0.001670,  35.608
     5.0,0.000916,0.000000,0.000000,0.001670,  35.612
     5.2,0.000957,0.000000,0.000000,0.001705,  35.608
     5.4,0.001005,0.000000,0.000000,0.001705,  35.609
     5.6,0.001000,0.000000,0.000000,0.001692,  35.605
     5.8,0.000000,0.000000,0.000000,-0.005791,  35.607
     6.0,0.000000,0.000000,0.000000,0.000000,  35.609
     6.2,0.000000,0.000000,0.000000,0.000000,  35.612
     6.4,0.000000,0.000000,0.000000,0.000000,  35.607
     6.6,0.000000,0.000000,0.000000,0.000000,  35.608
     6.8,0.000000,0.000000,0.000000,0.000000,  35.607
     7.0,0.000000,0.000000,0.000000,0.000000,  35.606
     7.2,0.000000,0.000000,0.000000,0.000000,  35.610
     7.4,0.000000,0.000000,0.000000,0.000000,  35.604
     7.6,0.000000,0.000000,0.000000,0.000000,  35.594
     7.8,0.000000,0.000000,0.000000,0.000000,  35.595
     8.0,0.000000,0.000000,0.000000,0.000000,  35.597
     8.2,0.000000,0.000000,0.000000,0.000000,  35.594
     8.4,0.000000,0.000000,0.000000,0.000000,  35.591
     8.6,0.000000,0.000000,0.000000,0.000000,  35.591
     8.8,0.000000,0.000000,0.000000,0.000000,  35.590
     9.0,0.000000,0.000000,0.000000,0.000000,  35.588
     9.2,0.000000,0.000000,0.000000,0.000000,  35.586
     9.4,0.000000,0.000000,0.000214,0.000000,  35.586
     9.6,0.000005,0.000012,0.000176,0.000000,  35.585
     9.8,0.000008,0.000009,0.000150,0.000000,  35.584
    10.0,0.000002,0.000011,0.000131,0.000000,  35.583
    10.2,-0.000005,0.000011,0.000111,0.000000,  35.584
    10.4,-0.000011,0.000012,0.000105,-0.000027,  35.584
    10.6,-0.000007,0.000015,0.000098,-0.000062,  35.585
    10.8,-0.000007,0.000017,0.000072,-0.000027,  35.579
    11.0,-0.000013,0.000017,0.000033,-0.000027,  35.581
    11.2,-0.000010,0.000017,-0.000024,-0.000027,  35.584
    11.4,-0.000010,0.000012,-0.000017,-0.000062,  35.579
    11.6,-0.000005,0.000009,0.000014,-0.000027,  35.583
    11.8,0.000002,0.000010,0.000066,-0.000027,  35.580
    12.0,0.000002,0.000016,0.000066,-0.000062,  35.581
    12.2,0.000002,0.000015,0.000053,-0.000027,  35.581
    12.4,-0.000001,0.000012,0.000027,-0.000027,  35.579
    12.6,-0.000001,0.000014,-0.000011,-0.000027,  35.575
    12.8,0.000002,0.000011,-0.000043,-0.000049,  35.582
    13.0,0.000002,0.000018,-0.000083,-0.000027,  35.577
    13.2,0.000002,0.000017,-0.000140,-0.000013,  35.577
    13.4,0.000002,0.000012,-0.000173,-0.000013,  35.574
    13.6,-0.000001,0.000014,-0.000218,-0.000027,  35.576
    13.8,-0.000001,0.000012,-0.000263,-0.000027,  35.576
    14.0,-0.000001,0.000008,-0.000264,-0.000062,  35.579
    14.2,-0.000001,0.000008,-0.000264,-0.000027,  35.576
    14.4,-0.000001,0.000010,-0.000252,-0.000027,  35.575
    14.6,-0.000001,0.000012,-0.000246,-0.000062,  35.577
    14.8,-0.000001,0.000012,-0.000252,-0.000027,  35.577
    15.0,-0.000001,0.000013,-0.000270,-0.000027,  35.578
    15.2,0.000002,0.000019,-0.000264,-0.000062,  35.578
    15.4,0.000002,0.000019,-0.000258,-0.000027,  35.578
    15.6,0.000002,0.000020,-0.000252,-0.000027,  35.580
    15.8,0.000004,0.000025,-0.000232,-0.000049,  35.577
    16.0,0.000002,0.000023,-0.000206,-0.000013,  35.581
    16.2,0.000002,0.000017,-0.000174,-0.000013,  35.579
    16.4,0.000004,0.000019,-0.000147,-0.000035,  35.578
    16.6,0.000002,0.000019,-0.000102,0.000000,  35.580
    16.8,0.000008,0.000017,-0.000064,-0.000035,  35.580
    17.0,0.000008,0.000021,-0.000043,-0.000035,  35.579
    17.2,0.000003,0.000020,-0.000018,-0.000035,  35.579
    17.4,0.000009,0.000018,-0.000005,-0.000049,  35.581
    17.6,0.000012,0.000019,-0.000024,-0.000062,  35.579
    17.8,0.000009,0.000022,-0.000057,-0.000054,  35.583
    18.0,0.000003,0.000021,-0.000103,-0.000040,  35.585
    18.2,0.000012,0.000028,-0.000111,-0.000075,  35.588
    18.4,0.000015,0.000025,-0.000111,-0.000027,  35.584
    18.6,0.000019,0.000027,-0.000106,-0.000049,  35.585
    18.8,0.000020,0.000025,-0.000087,-0.000035,  35.580
    19.0,0.000018,0.000024,-0.000061,-0.000049,  35.585
    19.2,0.000022,0.000024,-0.000028,-0.000084,  35.584
    19.4,0.000019,0.000026,-0.000015,-0.000022,  35.587
    19.6,0.000022,0.000031,-0.000027,-0.000022,  35.587
    19.8,0.000023,0.000035,-0.000041,-0.000044,  35.584
    20.0,0.000022,0.000038,-0.000054,-0.000009,  35.587
    20.2,0.000016,0.000038,-0.000092,-0.000009,  35.582
    20.4,0.000019,0.000036,-0.000124,-0.000030,  35.587
    20.6,0.000015,0.000033,-0.000098,-0.000044,  35.584
    20.8,0.000018,0.000029,-0.000046,-0.000044,  35.585
    21.0,0.000021,0.000028,0.000031,-0.000066,  35.581
    21.2,0.000015,0.000029,0.000102,-0.000079,  35.583
    21.4,0.000018,0.000026,0.000186,-0.000044,  35.585
    21.6,0.000021,0.000024,0.000283,-0.000044,  35.578
    21.8,0.000015,0.000032,0.000386,-0.000066,  35.580
    22.0,0.000018,0.000032,0.000361,-0.000044,  35.577
    22.2,0.000018,0.000025,0.000296,-0.000044,  35.578
    22.4,0.000012,0.000032,0.000186,-0.000066,  35.582
    22.6,0.000018,0.000033,0.000160,-0.000079,  35.579
    22.8,0.000015,0.000028,0.000159,-0.000044,  35.578
    23.0,0.000009,0.000027,0.000166,-0.000066,  35.578
    23.2,0.000020,0.000027,0.000135,-0.000079,  35.579
    23.4,0.000020,0.000022,0.000109,-0.000044,  35.572
    23.6,0.000014,0.000018,0.000070,-0.000066,  35.579
    23.8,0.000014,0.000013,0.000051,-0.000066,  35.580
    24.0,0.000012,0.000016,0.000038,-0.000030,  35.581
    24.2,0.000005,0.000011,0.000025,-0.000052,  35.581
    24.4,0.000005,0.000010,0.000032,-0.000052,  35.578
    24.6,0.000009,0.000012,0.000051,-0.000030,  35.577
    24.8,0.000003,0.000013,0.000066,-0.000052,  35.577
    25.0,0.000003,0.000013,-0.000113,-0.000052,  35.576
    25.2,0.000006,0.000016,-0.000377,-0.000030,  35.575
    25.4,0.000000,0.000020,-0.000743,-0.000052,  35.576
    25.6,0.000009,0.000025,-0.000776,-0.000052,  35.575
    25.8,0.000015,0.000022,-0.000693,-0.000017,  35.574
    26.0,0.000009,0.000025,-0.000502,-0.000039,  35.575
    26.2,0.000018,0.000025,-0.000419,-0.000052,  35.574
    26.4,0.000021,0.000023,-0.000342,-0.000017,  35.576
    26.6,0.000015,0.000025,-0.000271,-0.000039,  35.576
    26.8,0.000015,0.000023,-0.000212,-0.000052,  35.571
    27.0,0.000019,0.000021,-0.000148,-0.000017,  35.571
    27.2,0.000016,0.000016,-0.000109,-0.000039,  35.573
    27.4,0.000007,0.000014,-0.000064,-0.000052,  35.571
    27.6,0.000013,0.000009,-0.000018,-0.000030,  35.567
    27.8,0.000008,0.000010,0.000027,-0.000052,  35.569
    28.0,0.000002,0.000013,-0.000069,-0.000066,  35.566
    28.2,0.000002,0.000007,-0.000235,-0.000044,  35.567
    28.4,0.000002,0.000009,-0.000466,-0.000079,  35.565
    28.6,-0.000002,0.000010,-0.000588,-0.000071,  35.565
    28.8,0.000002,0.000005,-0.000690,-0.000062,  35.567
    29.0,-0.000001,0.000010,-0.000767,-0.000097,  35.566
    29.2,-0.000004,0.000012,-0.000819,-0.000049,  35.562
    29.4,-0.000001,0.000011,-0.000869,-0.000035,  35.559
    29.6,-0.000001,0.000013,-0.000895,-0.000071,  35.559
    29.8,-0.000007,0.000010,-0.000830,-0.000022,  35.559
    30.0,-0.000001,0.000008,-0.000722,-0.000022,  35.558
    30.2,-0.000003,0.000012,-0.000568,-0.000022,  35.559
    30.4,-0.000010,0.000009,-0.000511,-0.000009,  35.557
    30.6,-0.000001,0.000002,-0.000479,-0.000022,  35.559
    30.8,-0.000003,0.000009,-0.000473,-0.000022,  35.556
    31.0,-0.000010,0.000010,-0.000499,-0.000022,  35.555
    31.2,-0.000001,0.000010,-0.000555,-0.000035,  35.557
    31.4,-0.000003,0.000008,-0.000639,-0.000035,  35.555
    31.6,-0.000010,0.000012,-0.000748,-0.000071,  35.555
    31.8,-0.000003,0.000010,-0.000734,-0.000035,  35.553
    32.0,-0.000009,0.000007,-0.000670,-0.000035,  35.551
    32.2,-0.000018,0.000005,-0.000549,-0.000071,  35.556
    32.4,-0.000011,0.000000,-0.000536,-0.000035,  35.553
    32.6,-0.000014,0.000001,-0.000537,-0.000035,  35.554
    32.8,-0.000023,-0.000003,-0.000570,-0.000071,  35.552
    33.0,-0.000017,-0.000003,-0.000524,-0.000035,  35.556
    33.2,-0.000014,-0.000008,-0.000441,-0.000035,  35.557
    33.4,-0.000020,-0.000003,-0.000337,-0.000071,  35.555
    33.6,-0.000014,-0.000003,-0.000292,-0.000035,  35.553
    33.8,-0.000010,-0.000001,-0.000260,-0.000035,  35.550
    34.0,-0.000014,0.000001,-0.000248,-0.000071,  35.555
    34.2,-0.000017,0.000005,-0.000197,-0.000022,  35.550
    34.4,-0.000016,-0.000000,-0.000145,-0.000022,  35.553
    34.6,-0.000019,0.000004,-0.000080,-0.000057,  35.553
    34.8,-0.000017,0.000003,-0.000067,-0.000009,  35.554
    35.0,-0.000010,0.000005,-0.000079,-0.000022,  35.550
    35.2,-0.000011,0.000007,-0.000105,-0.000057,  35.553
    35.4,-0.000011,0.000009,-0.000149,-0.000009,  35.551
    35.6,-0.000005,0.000009,-0.000201,-0.000022,  35.550
    35.8,-0.000009,0.000015,-0.000260,-0.000057,  35.548
    36.0,-0.000009,0.000013,-0.000272,-0.000009,  35.548
    36.2,-0.000005,0.000009,-0.000253,-0.000022,  35.549
    36.4,-0.000005,0.000015,-0.000214,-0.000057,  35.550
    36.6,-0.000006,0.000019,-0.000221,-0.000009,  35.553
    36.8,0.000000,0.000019,-0.000234,-0.000022,  35.550
    37.0,0.000005,0.000020,-0.000248,-0.000057,  35.553
    37.2,0.000002,0.000017,-0.000254,-0.000009,  35.549
    37.4,-0.000001,0.000019,-0.000254,-0.000022,  35.550
    37.6,0.000005,0.000021,-0.000260,-0.000057,  35.549
    37.8,0.000002,0.000019,-0.000271,-0.000009,  35.548
    38.0,0.000005,0.000021,-0.000260,-0.000022,  35.549
    38.2,0.000013,0.000021,-0.000261,-0.000057,  35.545
    38.4,0.000012,0.000028,-0.000254,-0.000009,  35.549
    38.6,0.000019,0.000027,-0.000229,-0.000022,  35.543
    38.8,0.000025,0.000029,-0.000198,-0.000057,  35.547
    39.0,0.000021,0.000038,-0.000192,-0.000009,  35.547
    39.2,0.000030,0.000031,-0.000197,-0.000022,  35.547
    39.4,0.000030,0.000038,-0.000198,-0.000022,  35.545
    39.6,0.000024,0.000039,-0.000218,-0.000022,  35.545
    39.8,0.000030,0.000035,-0.000205,-0.000022,  35.544
    40.0,0.000028,0.000036,-0.000198,-0.000022,  35.543
    40.2,0.000021,0.000041,-0.000179,-0.000022,  35.533
    40.4,0.000028,0.000038,-0.000152,-0.000035,  35.537
    40.6,0.000025,0.000036,-0.000114,-0.000035,  35.534
    40.8,0.000019,0.000037,-0.000070,-0.000071,  35.537
    41.0,0.000028,0.000034,-0.000076,-0.000035,  35.533
    41.2,0.000028,0.000027,-0.000102,-0.000035,  35.533
    41.4,0.000021,0.000030,-0.000159,-0.000071,  35.533
    41.6,0.000030,0.000027,-0.000159,-0.000035,  35.530
    41.8,0.000030,0.000029,-0.000152,-0.000035,  35.530
    42.0,0.000024,0.000027,-0.000132,-0.000071,  35.532
    42.2,0.000030,0.000030,-0.000157,-0.000022,  35.532
    42.4,0.000030,0.000034,-0.000188,-0.000022,  35.535
    42.6,0.000024,0.000035,-0.000222,-0.000057,  35.531
    42.8,0.000030,0.000033,-0.000497,-0.000009,  35.527
    43.0,0.000030,0.000036,-0.000875,-0.000022,  35.533
    43.2,0.000021,0.000032,-0.001374,-0.000057,  35.533
    43.4,0.000025,0.000028,-0.001469,-0.000022,  35.530
    43.6,0.000022,0.000019,-0.001430,-0.000035,  35.532
    43.8,0.000013,0.000016,-0.001251,-0.000071,  35.531
    44.0,0.000017,0.000022,-0.001130,-0.000035,  35.532
    44.2,0.000017,0.000018,-0.000988,-0.000035,  35.528
    44.4,0.000021,0.000011,-0.000797,-0.000071,  35.530
    44.6,0.000014,0.000018,-0.000681,-0.000035,  35.529
    44.8,0.000018,0.000019,-0.000584,-0.000035,  35.530
    45.0,0.000015,0.000013,-0.000501,-0.000071,  35.529
    45.2,0.000009,0.000013,-0.000437,-0.000035,  35.528
    45.4,0.000005,0.000013,-0.000399,-0.000049,  35.530
    45.6,0.000003,0.000012,-0.000374,-0.000084,  35.530
    45.8,-0.000001,0.000014,-0.000355,-0.000035,  35.533
    46.0,-0.000001,0.000009,-0.000360,-0.000049,  35.531
    46.2,0.000005,0.000011,-0.000368,-0.000084,  35.528
    46.4,-0.000001,0.000013,-0.000316,-0.000035,  35.530
    46.6,-0.000001,0.000011,-0.000252,-0.000049,  35.528
