Run Name,Run 1
Run Date,02:23:39 PM   03-28-13
Method Name,LinearGradient Group 4
Export Format Version, 1.00
Method ID, 1628
Points/Second, 5.00
Number of Records,  21287
Offset from Run Start Time,00:00:00
Run End Time,01:11:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.071108,0.000000,  13.575
     0.2,0.000000,0.000000,0.071108,0.000000,  13.572
     0.4,0.000000,0.000000,0.071108,0.000000,  13.575
     0.6,0.000000,0.000000,0.071108,0.000000,  13.577
     0.8,0.000000,0.000000,0.000000,0.000000,  13.572
     1.0,0.000000,0.000000,0.000000,0.000000,  13.572
     1.2,0.000000,0.000000,0.000000,0.000000,  13.573
     1.4,0.000000,0.000000,0.000000,0.000000,  13.571
     1.6,0.000000,0.000000,0.000000,0.000000,  13.567
     1.8,0.000000,0.000000,0.000000,0.000000,  13.573
     2.0,0.000000,0.000000,0.000000,0.000000,  13.568
     2.2,0.000000,0.000000,0.000000,0.000000,  13.571
     2.4,0.000000,0.000000,0.000000,0.000000,  13.573
     2.6,0.000000,0.000000,0.000000,0.000000,  13.569
     2.8,0.000000,0.000000,0.000000,0.000000,  13.570
     3.0,0.000000,0.000000,0.000000,0.000000,  13.570
     3.2,0.000000,0.000000,0.000000,0.000000,  13.573
     3.4,0.000000,0.000000,0.000000,0.000000,  13.569
     3.6,0.000000,0.000000,0.000000,0.000000,  13.570
     3.8,0.000000,0.000000,0.000000,0.000000,  13.568
     4.0,-0.000019,0.000000,0.000000,0.000000,  13.563
     4.2,-0.000016,0.000000,0.000000,0.000000,  13.565
     4.4,-0.000025,0.000000,0.000000,0.000000,  13.565
     4.6,-0.000019,-0.000005,-0.000047,-0.000013,  13.571
     4.8,-0.000025,-0.000002,-0.000177,-0.000013,  13.567
     5.0,-0.000016,-0.000002,-0.000264,0.000023,  13.565
     5.2,-0.000019,-0.000005,-0.000321,-0.000013,  13.563
     5.4,-0.000023,-0.000006,-0.000329,-0.000013,  13.563
     5.6,-0.000014,-0.000006,-0.000300,0.000000,  13.568
     5.8,-0.000011,-0.000002,-0.000236,-0.000023,  13.567
     6.0,-0.000012,-0.000004,-0.000199,-0.000023,  13.571
     6.2,-0.000009,-0.000004,-0.000155,0.000000,  13.564
     6.4,-0.000004,-0.000004,-0.000100,-0.000036,  13.571
     6.6,-0.000008,-0.000002,-0.000087,-0.000036,  13.569
     6.8,-0.000008,-0.000004,-0.000095,0.000000,  13.568
     7.0,-0.000004,0.000000,-0.000118,-0.000036,  13.563
     7.2,-0.000010,0.000002,-0.000126,-0.000023,  13.562
     7.4,-0.000010,0.000004,-0.000133,0.000013,  13.561
     7.6,-0.000007,0.000004,-0.000141,-0.000023,  13.566
     7.8,-0.000013,0.000008,-0.000135,-0.000009,  13.564
     8.0,-0.000010,0.000008,-0.000133,0.000013,  13.567
     8.2,-0.000007,0.000007,-0.000107,-0.000023,  13.568
     8.4,-0.000013,0.000006,-0.000130,-0.000009,  13.566
     8.6,-0.000013,0.000004,-0.000186,-0.000009,  13.565
     8.8,-0.000009,0.000003,-0.000259,-0.000009,  13.568
     9.0,-0.000012,0.000002,-0.000288,-0.000009,  13.565
     9.2,-0.000018,-0.000004,-0.000303,-0.000009,  13.568
     9.4,-0.000018,-0.000007,-0.000319,-0.000009,  13.568
