Run Name,Run 1
Run Date,03:53:37 PM   03-28-13
Method Name,LinearGradient Group 4.1
Export Format Version, 1.00
Method ID, 1630
Points/Second, 5.00
Number of Records,  14085
Offset from Run Start Time,00:00:00
Run End Time,00:47:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001149,0.000725,0.002637,0.000534,  19.013
     0.2,0.001146,0.000725,0.002615,0.000498,  19.009
     0.4,0.001140,0.000724,0.002584,0.000498,  19.006
     0.6,0.001141,0.000727,0.002546,0.000534,  19.007
     0.8,0.001141,0.000723,0.002560,0.000498,  19.004
     1.0,0.001132,0.000725,0.002598,0.000498,  19.002
     1.2,0.001136,0.000724,0.002671,0.000534,  18.999
     1.4,0.001138,0.000720,0.002692,0.000498,  19.002
     1.6,0.001132,0.000713,0.002686,0.000498,  18.998
     1.8,0.001136,0.000716,0.002684,0.000534,  18.998
     2.0,0.001136,0.000718,0.002662,0.000498,  18.998
     2.2,0.001130,0.000713,0.002606,0.000498,  18.995
     2.4,0.001138,0.000000,0.002547,0.000534,  18.997
     2.6,0.001291,0.000000,0.002517,0.000498,  18.996
     2.8,0.001307,0.000000,0.002482,0.000521,  18.996
     3.0,0.001280,0.000000,0.002452,0.000543,  18.993
     3.2,0.001249,0.000000,0.002410,0.000521,  18.994
     3.4,0.000000,0.000000,0.002381,0.000507,  18.994
     3.6,0.000000,0.000000,0.002344,0.000000,  18.989
     3.8,0.000000,0.000000,0.002368,0.000000,  18.989
     4.0,0.000000,0.000000,0.002427,0.000000,  18.991
     4.2,0.000000,0.000000,0.002516,0.000000,  18.989
     4.4,0.000000,0.000000,0.002597,0.000000,  18.989
     4.6,0.000000,0.000000,0.002692,0.000000,  18.989
     4.8,0.000000,0.000000,0.002408,0.000000,  18.984
     5.0,0.000000,0.000000,0.002408,0.000000,  18.985
     5.2,0.000000,0.000000,0.002408,0.000000,  18.987
     5.4,0.000000,0.000000,0.002408,0.000000,  18.985
     5.6,0.000000,0.000000,0.002408,0.000000,  18.985
     5.8,0.000000,0.000000,0.000000,0.000000,  18.985
     6.0,0.000000,0.000000,0.000000,0.000000,  18.983
     6.2,0.000000,0.000000,0.000000,0.000000,  18.984
     6.4,0.000000,0.000000,0.000000,0.000000,  18.982
     6.6,0.000000,0.000000,0.000000,0.000000,  18.977
     6.8,0.000000,-0.000003,0.000000,0.000000,  18.976
     7.0,-0.000012,0.000000,0.000000,0.000000,  18.979
     7.2,-0.000021,-0.000004,0.000000,0.000000,  18.978
     7.4,-0.000023,-0.000004,0.000000,0.000000,  18.980
     7.6,-0.000023,-0.000003,0.000000,0.000000,  18.978
     7.8,-0.000026,-0.000005,0.000000,0.000000,  18.975
     8.0,-0.000026,-0.000010,0.000000,-0.000017,  18.970
     8.2,-0.000026,-0.000008,0.000000,0.000009,  18.974
     8.4,-0.000029,-0.000007,0.000000,0.000023,  18.972
     8.6,-0.000029,-0.000012,0.000000,-0.000026,  18.971
     8.8,-0.000025,-0.000014,0.000000,-0.000049,  18.971
     9.0,-0.000034,-0.000016,0.000000,-0.000049,  18.969
     9.2,-0.000030,-0.000023,0.000000,-0.000026,  18.971
     9.4,-0.000035,-0.000024,0.000008,-0.000013,  18.969
     9.6,-0.000042,-0.000022,-0.000021,-0.000026,  18.969
     9.8,-0.000042,-0.000024,-0.000056,-0.000040,  18.969
    10.0,-0.000039,-0.000028,-0.000079,-0.000026,  18.969
    10.2,-0.000043,-0.000024,-0.000100,-0.000062,  18.969
    10.4,-0.000043,-0.000023,-0.000128,-0.000062,  18.965
    10.6,-0.000039,-0.000030,-0.000150,-0.000049,  18.964
    10.8,-0.000045,-0.000033,-0.000266,-0.000098,  18.964
    11.0,-0.000048,-0.000033,-0.000427,-0.000076,  18.959
    11.2,-0.000050,-0.000032,-0.000638,-0.000076,  18.961
    11.4,-0.000053,-0.000022,-0.000674,-0.000098,  18.957
    11.6,-0.000051,-0.000022,-0.000644,-0.000111,  18.959
    11.8,-0.000042,-0.000022,-0.000544,-0.000062,  18.960
    12.0,-0.000045,-0.000022,-0.000550,-0.000085,  18.954
    12.2,-0.000048,-0.000023,-0.000571,-0.000085,  18.957
    12.4,-0.000042,-0.000021,-0.000609,-0.000062,  18.957
    12.6,-0.000045,-0.000019,-0.000586,-0.000049,  18.956
    12.8,-0.000048,-0.000021,-0.000541,-0.000085,  18.960
    13.0,-0.000042,-0.000024,-0.000475,-0.000062,  18.953
    13.2,-0.000045,-0.000021,-0.000453,-0.000036,  18.955
    13.4,-0.000044,-0.000019,-0.000452,-0.000072,  18.953
    13.6,-0.000041,-0.000022,-0.000446,-0.000036,  18.954
    13.8,-0.000047,-0.000024,-0.000468,-0.000023,  18.949
    14.0,-0.000043,-0.000023,-0.000437,-0.000058,  18.951
    14.2,-0.000049,-0.000025,-0.000387,-0.000036,  18.950
    14.4,-0.000058,-0.000030,-0.000328,-0.000036,  18.952
    14.6,-0.000051,-0.000036,-0.000313,-0.000072,  18.954
    14.8,-0.000057,-0.000038,-0.000313,-0.000036,  18.950
    15.0,-0.000063,-0.000036,-0.000336,-0.000036,  18.947
    15.2,-0.000057,-0.000035,-0.000307,-0.000058,  18.949
    15.4,-0.000054,-0.000036,-0.000264,-0.000058,  18.947
    15.6,-0.000049,-0.000029,-0.000219,-0.000058,  18.947
    15.8,-0.000046,-0.000023,-0.000191,-0.000045,  18.949
    16.0,-0.000034,-0.000026,-0.000170,-0.000058,  18.946
    16.2,-0.000032,-0.000023,-0.000162,-0.000058,  18.943
    16.4,-0.000038,-0.000023,-0.000139,-0.000045,  18.941
    16.6,-0.000037,-0.000027,-0.000110,-0.000058,  18.941
    16.8,-0.000037,-0.000030,-0.000086,-0.000058,  18.939
    17.0,-0.000034,-0.000034,-0.000099,-0.000058,  18.941
    17.2,-0.000037,-0.000035,-0.000128,-0.000072,  18.938
    17.4,-0.000037,-0.000033,-0.000181,-0.000072,  18.937
    17.6,-0.000043,-0.000034,-0.000209,-0.000058,  18.936
    17.8,-0.000040,-0.000037,-0.000246,-0.000058,  18.941
    18.0,-0.000040,-0.000035,-0.000276,-0.000058,  18.935
    18.2,-0.000040,-0.000034,-0.000321,-0.000045,  18.935
    18.4,-0.000046,-0.000037,-0.000380,-0.000058,  18.940
    18.6,-0.000040,-0.000033,-0.000453,-0.000058,  18.934
