Run Name,Run 1
Run Date,03:56:23 PM   04-15-13
Method Name,LinearGradient Group 5.1
Export Format Version, 1.00
Method ID, 1650
Points/Second, 5.00
Number of Records,  12359
Offset from Run Start Time,00:00:00
Run End Time,00:41:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001235,0.000910,0.005785,0.000845,  18.293
     0.2,0.001232,0.000907,0.005753,0.000822,  18.298
     0.4,0.001235,0.000899,0.005693,0.000822,  18.292
     0.6,0.001232,0.000904,0.005613,0.000845,  18.293
     0.8,0.001232,0.000906,0.005593,0.000822,  18.293
     1.0,0.001237,0.000901,0.005593,0.000822,  18.294
     1.2,0.001240,0.000906,0.005613,0.000845,  18.292
     1.4,0.001249,0.000914,0.005672,0.000822,  18.298
     1.6,0.001248,0.000918,0.005753,0.000822,  18.291
     1.8,0.001253,0.000926,0.005853,0.000858,  18.292
     2.0,0.001258,0.000934,0.005959,0.000858,  18.294
     2.2,0.001261,0.000938,0.006059,0.000835,  18.291
     2.4,0.001264,0.000943,0.006165,0.000871,  18.290
     2.6,0.001041,0.000944,0.006165,0.000858,  18.287
     2.8,0.001035,0.000940,0.006105,0.000822,  18.288
     3.0,0.001118,0.000949,0.006010,0.000822,  18.288
     3.2,0.001150,0.000949,0.005955,0.000858,  18.288
     3.4,0.000000,0.000944,0.005907,0.000822,  18.286
     3.6,0.000000,0.000000,0.005858,0.000822,  18.285
     3.8,0.000000,0.000000,0.005982,0.000000,  18.285
     4.0,0.000000,0.000000,0.005982,0.000000,  18.288
     4.2,0.000000,0.000000,0.005982,0.000000,  18.287
     4.4,0.000000,0.000000,0.005982,0.000000,  18.286
     4.6,0.000000,0.000000,0.000000,0.000000,  18.286
     4.8,0.000000,0.000000,0.000000,0.000000,  18.288
     5.0,0.000000,0.000000,0.000000,0.000000,  18.291
     5.2,0.000000,0.000000,0.000000,0.000000,  18.290
     5.4,0.000000,0.000000,0.000000,0.000000,  18.291
     5.6,0.000000,0.000000,0.000000,0.000000,  18.293
     5.8,0.000000,0.000000,0.000000,0.000000,  18.294
     6.0,0.000000,0.000000,0.000000,0.000000,  18.295
     6.2,0.000000,0.000000,0.000000,0.000000,  18.292
     6.4,0.000000,0.000000,0.000000,0.000000,  18.293
     6.6,0.000000,0.000000,0.000000,0.000000,  18.296
     6.8,0.000000,0.000000,0.000000,0.000000,  18.295
     7.0,0.000000,0.000000,0.000000,0.000000,  18.293
     7.2,0.000000,0.000000,0.000000,0.000000,  18.295
     7.4,0.000026,0.000000,0.000000,0.000000,  18.295
     7.6,0.000022,0.000000,0.000000,0.000000,  18.291
     7.8,0.000019,0.000000,0.000000,0.000000,  18.292
     8.0,0.000012,0.000000,0.000000,0.000000,  18.294
     8.2,0.000006,0.000032,0.000000,0.000000,  18.293
     8.4,0.000006,0.000031,-0.000046,0.000013,  18.292
     8.6,0.000012,0.000025,-0.000011,0.000026,  18.290
     8.8,0.000015,0.000025,0.000002,0.000026,  18.293
     9.0,0.000017,0.000022,-0.000017,0.000040,  18.291
     9.2,0.000020,0.000023,-0.000050,0.000040,  18.294
     9.4,0.000020,0.000019,-0.000109,0.000040,  18.290
     9.6,0.000020,0.000019,-0.000177,0.000017,  18.289
     9.8,0.000015,0.000014,-0.000184,0.000017,  18.285
    10.0,0.000015,0.000019,-0.000170,0.000004,  18.289
    10.2,0.000015,0.000019,-0.000125,-0.000018,  18.288
