Run Name,Run 1
Run Date,06:04:54 PM   04-18-13
Method Name,17%B-Isocratic
Export Format Version, 1.00
Method ID, 1660
Points/Second, 5.00
Number of Records,  10791
Offset from Run Start Time,00:00:00
Run End Time,00:36:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000195,0.000000,0.000098,-0.000171,  21.067
     0.2,0.000270,0.000000,0.000150,-0.000158,  21.067
     0.4,0.000304,0.000000,0.000202,-0.000171,  21.061
     0.6,0.000332,0.000000,0.000260,-0.000148,  21.066
     0.8,0.000000,0.000000,0.000273,-0.000135,  21.062
     1.0,0.000000,0.000000,0.000279,-0.000171,  21.062
     1.2,0.000000,0.000000,0.000060,-0.000148,  21.059
     1.4,0.000000,0.000000,0.000060,-0.000135,  21.062
     1.6,0.000000,0.000000,0.000060,-0.000171,  21.056
     1.8,0.000000,0.000000,0.000060,-0.000135,  21.055
     2.0,0.000000,0.000000,0.000000,-0.000122,  21.055
     2.2,0.000000,0.000000,0.000000,-0.000185,  21.053
     2.4,0.000000,0.000000,0.000000,0.000000,  21.055
     2.6,0.000000,0.000000,0.000000,0.000000,  21.050
     2.8,0.000000,0.000000,0.000000,0.000000,  21.047
     3.0,0.000000,0.000000,0.000000,0.000000,  21.047
     3.2,0.000000,0.000000,0.000000,0.000000,  21.038
     3.4,0.000000,0.000000,0.000000,0.000000,  21.042
     3.6,0.000000,0.000000,0.000000,0.000000,  21.039
     3.8,0.000000,0.000000,0.000000,0.000000,  21.039
     4.0,0.000000,0.000000,0.000000,0.000000,  21.039
     4.2,0.000000,0.000000,0.000000,0.000000,  21.035
     4.4,-0.000004,0.000000,0.000000,0.000000,  21.033
     4.6,-0.000001,-0.000010,0.000000,0.000000,  21.033
     4.8,0.000001,-0.000018,0.000000,0.000000,  21.031
     5.0,-0.000002,-0.000016,0.000000,0.000000,  21.030
     5.2,0.000004,-0.000017,0.000000,0.000000,  21.028
     5.4,0.000001,-0.000014,0.000000,0.000000,  21.033
     5.6,-0.000008,-0.000014,0.000000,0.000000,  21.029
     5.8,-0.000008,-0.000015,0.000245,0.000000,  21.028
     6.0,-0.000008,-0.000015,0.000110,0.000000,  21.028
     6.2,-0.000017,-0.000019,0.000014,0.000000,  21.032
     6.4,-0.000017,-0.000020,-0.000038,0.000000,  21.031
     6.6,-0.000008,-0.000016,-0.000051,0.000000,  21.025
     6.8,-0.000010,-0.000014,-0.000038,0.000023,  21.027
     7.0,-0.000012,-0.000022,0.000008,0.000000,  21.027
     7.2,-0.000003,-0.000016,-0.000140,0.000000,  21.027
     7.4,-0.000009,-0.000016,-0.000384,0.000013,  21.022
     7.6,-0.000013,-0.000022,-0.000700,0.000026,  21.019
     7.8,-0.000017,-0.000024,-0.000738,0.000026,  21.021
     8.0,-0.000023,-0.000029,-0.000693,0.000013,  21.018
     8.2,-0.000021,-0.000025,-0.000527,-0.000023,  21.022
     8.4,-0.000021,-0.000024,-0.000462,-0.000010,  21.015
     8.6,-0.000021,-0.000024,-0.000404,-0.000010,  21.020
     8.8,-0.000027,-0.000025,-0.000340,-0.000046,  21.023
     9.0,-0.000027,-0.000025,-0.000288,-0.000046,  21.027
     9.2,-0.000023,-0.000023,-0.000237,-0.000023,  21.031
