Run Name,Run 8
Run Date,04:38:23 PM   04-18-13
Method Name,21%B-Isocratic
Export Format Version, 1.00
Method ID, 1646
Points/Second, 5.00
Number of Records,   4826
Offset from Run Start Time,00:00:00
Run End Time,00:16:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000319,-0.000314,-0.003902,-0.000386,  24.794
     0.2,-0.000312,-0.000312,-0.003896,-0.000422,  24.797
     0.4,-0.000310,-0.000312,-0.003916,-0.000386,  24.787
     0.6,-0.000319,-0.000314,-0.003942,-0.000399,  24.789
     0.8,-0.000316,-0.000314,-0.003949,-0.000435,  24.786
     1.0,-0.000316,-0.000312,-0.003956,-0.000386,  24.783
     1.2,-0.000921,-0.000312,-0.003969,-0.000399,  24.783
     1.4,-0.000876,-0.000314,-0.004008,-0.000422,  24.777
     1.6,-0.000816,-0.000310,-0.004054,-0.000386,  24.772
     1.8,-0.000423,-0.000308,-0.004119,-0.000386,  24.768
     2.0,0.000000,-0.000308,-0.004119,-0.000409,  24.759
     2.2,0.000000,-0.000310,-0.004100,-0.000386,  24.754
     2.4,0.000000,0.000000,-0.004061,-0.000386,  24.746
     2.6,0.000000,0.000000,-0.004041,-0.000409,  24.741
     2.8,0.000000,0.000000,-0.004023,-0.000386,  24.736
     3.0,0.000000,0.000000,-0.004016,-0.000386,  24.729
     3.2,0.000000,0.000000,-0.003996,-0.000409,  24.725
     3.4,0.000000,0.000000,-0.003964,-0.000386,  24.720
     3.6,0.000000,0.000000,-0.004241,0.000000,  24.721
     3.8,0.000000,0.000000,-0.004241,0.000000,  24.714
     4.0,0.000000,0.000000,-0.004241,0.000000,  24.714
     4.2,0.000000,0.000000,-0.004241,0.000000,  24.714
     4.4,0.000000,0.000000,0.000000,0.000000,  24.709
     4.6,0.000000,0.000000,0.000000,0.000000,  24.709
     4.8,0.000000,0.000000,0.000000,0.000000,  24.710
     5.0,0.000000,0.000000,0.000000,0.000000,  24.708
     5.2,0.000000,0.000000,0.000000,0.000000,  24.707
     5.4,0.000014,0.000000,0.000000,0.000000,  24.705
     5.6,0.000008,0.000000,0.000000,0.000000,  24.702
     5.8,0.000012,0.000000,0.000000,0.000000,  24.699
     6.0,0.000006,0.000000,0.000000,0.000000,  24.695
     6.2,0.000004,0.000000,0.000000,0.000000,  24.695
     6.4,-0.000005,0.000005,0.000000,0.000000,  24.693
     6.6,-0.000004,0.000006,0.000000,0.000000,  24.689
