Run Name,Run 6
Run Date,02:52:32 PM   04-25-13
Method Name,32%B-Isocratic.2
Export Format Version, 1.00
Method ID, 1666
Points/Second, 5.00
Number of Records,   2567
Offset from Run Start Time,00:00:00
Run End Time,00:08:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000416,0.000000,0.000000,0.000000,  33.659
     0.2,0.000452,0.000000,0.000000,0.000000,  33.654
     0.4,0.000518,0.000000,0.000000,0.000000,  33.653
     0.6,0.000520,0.000000,0.000000,0.000000,  33.653
     0.8,0.000000,0.000000,0.000000,0.000000,  33.657
     1.0,0.000000,0.000000,0.000000,0.000000,  33.656
     1.2,0.000000,0.000000,0.000000,0.000000,  33.656
     1.4,0.000000,0.000000,0.000000,0.000000,  33.655
     1.6,0.000000,0.000000,0.000000,0.000000,  33.648
     1.8,0.000000,0.000000,0.000000,0.000000,  33.653
     2.0,0.000000,0.000000,0.000000,0.000000,  33.653
     2.2,0.000000,0.000000,0.000000,0.000000,  33.653
     2.4,0.000000,0.000000,0.000000,0.000000,  33.653
     2.6,0.000000,0.000000,0.000000,0.000000,  33.655
     2.8,0.000000,0.000000,0.000000,0.000000,  33.651
     3.0,0.000000,0.000000,0.000000,0.000000,  33.652
     3.2,0.000000,0.000000,0.000000,0.000000,  33.658
     3.4,0.000000,0.000000,0.000000,0.000000,  33.654
     3.6,0.000000,0.000000,0.000000,0.000000,  33.653
     3.8,0.000000,0.000000,0.000000,0.000000,  33.654
     4.0,0.000000,0.000000,0.000000,0.000000,  33.657
     4.2,0.000013,0.000000,0.000000,0.000000,  33.655
     4.4,0.000009,0.000000,0.000000,0.000036,  33.659
     4.6,0.000009,0.000008,-0.000718,0.000013,  33.654
     4.8,0.000003,0.000008,-0.000697,-0.000010,  33.655
     5.0,-0.000004,0.000012,-0.000684,0.000013,  33.655
     5.2,-0.000004,0.000007,-0.000676,-0.000010,  33.653
     5.4,0.000000,0.000005,-0.000669,0.000026,  33.656
     5.6,-0.000003,0.000002,-0.000675,0.000026,  33.657
     5.8,-0.000003,-0.000001,-0.000669,0.000003,  33.659
     6.0,-0.000003,0.000004,-0.000683,0.000026,  33.657
     6.2,0.000000,-0.000001,-0.000710,0.000026,  33.657
     6.4,-0.000003,0.000004,-0.000733,0.000003,  33.658
     6.6,-0.000005,0.000011,-0.000732,0.000026,  33.660
     6.8,0.000004,0.000007,-0.000718,0.000026,  33.660
     7.0,-0.000002,0.000004,-0.000690,0.000003,  33.659
     7.2,-0.000004,0.000008,-0.000655,0.000026,  33.659
     7.4,-0.000004,0.000001,-0.000619,0.000026,  33.654
     7.6,-0.000004,-0.000001,-0.000570,0.000003,  33.657
     7.8,-0.000013,-0.000002,-0.000585,-0.000010,  33.656
     8.0,-0.000020,-0.000005,-0.000627,-0.000010,  33.657
     8.2,-0.000020,-0.000001,-0.000690,-0.000033,  33.658
     8.4,-0.000016,0.000003,-0.000676,-0.000046,  33.656
     8.6,-0.000016,0.000001,-0.000641,-0.000010,  33.660
     8.8,-0.000013,-0.000000,-0.000578,-0.000033,  33.657
     9.0,-0.000016,0.000004,-0.000841,-0.000046,  33.657
     9.2,-0.000013,0.000003,-0.001252,-0.000010,  33.659
     9.4,-0.000009,-0.000003,-0.001815,-0.000033,  33.654
     9.6,-0.000012,-0.000001,-0.001814,-0.000046,  33.660
     9.8,-0.000015,-0.000001,-0.001612,-0.000010,  33.656
    10.0,-0.000011,-0.000003,-0.001197,-0.000033,  33.655
    10.2,-0.000011,-0.000004,-0.001218,-0.000046,  33.655
    10.4,-0.000020,-0.000011,-0.001350,-0.000010,  33.655
    10.6,-0.000023,-0.000014,-0.001594,-0.000033,  33.651
    10.8,-0.000025,-0.000014,-0.001566,-0.000046,  33.651
    11.0,-0.000031,-0.000014,-0.001448,-0.000023,  33.652
    11.2,-0.000031,-0.000024,-0.001246,-0.000023,  33.652
    11.4,-0.000028,-0.000019,-0.001149,-0.000059,  33.653
    11.6,-0.000031,-0.000018,-0.001051,-0.000023,  33.653
    11.8,-0.000031,-0.000020,-0.000974,-0.000023,  33.651
    12.0,-0.000031,-0.000020,-0.000903,-0.000059,  33.651
    12.2,-0.000033,-0.000020,-0.000861,-0.000059,  33.650
    12.4,-0.000031,-0.000019,-0.000820,-0.000023,  33.651
    12.6,-0.000031,-0.000012,-0.000806,-0.000046,  33.647
    12.8,-0.000028,-0.000013,-0.000834,-0.000046,  33.650
    13.0,-0.000028,-0.000017,-0.000904,-0.000023,  33.651
    13.2,-0.000028,-0.000010,-0.000997,-0.000059,  33.648
    13.4,-0.000031,-0.000010,-0.000962,-0.000023,  33.647
    13.6,-0.000031,-0.000014,-0.000890,-0.000013,  33.647
    13.8,-0.000028,-0.000014,-0.000764,-0.000036,  33.648
    14.0,-0.000024,-0.000014,-0.000743,-0.000036,  33.650
    14.2,-0.000031,-0.000016,-0.000750,-0.000036,  33.647
    14.4,-0.000028,-0.000014,-0.000792,-0.000059,  33.647
    14.6,-0.000024,-0.000013,-0.000769,-0.000072,  33.646
    14.8,-0.000028,-0.000014,-0.000727,-0.000036,  33.645
    15.0,-0.000028,-0.000018,-0.000670,-0.000059,  33.640
    15.2,-0.000022,-0.000017,-0.000654,-0.000072,  33.646
    15.4,-0.000025,-0.000017,-0.000633,-0.000036,  33.645
    15.6,-0.000028,-0.000017,-0.000621,-0.000059,  33.644
    15.8,-0.000022,-0.000018,-0.000620,-0.000072,  33.644
    16.0,-0.000025,-0.000018,-0.000607,-0.000036,  33.641
    16.2,-0.000025,-0.000024,-0.000602,-0.000059,  33.644
    16.4,-0.000019,-0.000015,-0.000631,-0.000072,  33.642
    16.6,-0.000023,-0.000013,-0.000694,-0.000036,  33.644
    16.8,-0.000025,-0.000018,-0.000771,-0.000059,  33.643
    17.0,-0.000022,-0.000015,-0.000785,-0.000059,  33.638
    17.2,-0.000022,-0.000014,-0.000779,-0.000023,  33.641
    17.4,-0.000025,-0.000016,-0.000757,-0.000046,  33.637
    17.6,-0.000028,-0.000015,-0.000735,-0.000046,  33.639
    17.8,-0.000022,-0.000015,-0.000707,-0.000059,  33.637
    18.0,-0.000025,-0.000019,-0.000665,-0.000046,  33.638
    18.2,-0.000028,-0.000020,-0.000649,-0.000046,  33.636
    18.4,-0.000024,-0.000020,-0.000635,-0.000059,  33.634
    18.6,-0.000031,-0.000026,-0.000622,-0.000046,  33.636
    18.8,-0.000028,-0.000017,-0.000649,-0.000046,  33.637
    19.0,-0.000024,-0.000017,-0.000698,-0.000046,  33.634
    19.2,-0.000028,-0.000017,-0.000769,-0.000033,  33.630
    19.4,-0.000028,-0.000016,-0.000749,-0.000046,  33.630
    19.6,-0.000022,-0.000018,-0.000699,-0.000046,  33.629
    19.8,-0.000025,-0.000023,-0.000609,-0.000046,  33.626
    20.0,-0.000028,-0.000021,-0.000581,-0.000046,  33.628
    20.2,-0.000022,-0.000019,-0.000587,-0.000033,  33.627
    20.4,-0.000025,-0.000020,-0.000601,-0.000046,  33.625
    20.6,-0.000019,-0.000013,-0.000609,-0.000033,  33.626
    20.8,-0.000013,-0.000013,-0.000635,-0.000033,  33.623
    21.0,-0.000019,-0.000013,-0.000651,-0.000010,  33.612
    21.2,-0.000019,-0.000013,-0.000680,-0.000033,  33.613
    21.4,-0.000024,-0.000013,-0.000861,-0.000046,  33.613
    21.6,-0.000028,-0.000016,-0.001106,-0.000010,  33.613
    21.8,-0.000025,-0.000014,-0.001425,-0.000033,  33.613
    22.0,-0.000019,-0.000010,-0.001475,-0.000046,  33.614
    22.2,-0.000023,-0.000014,-0.001440,-0.000010,  33.615
    22.4,-0.000025,-0.000014,-0.001296,-0.000033,  33.618
    22.6,-0.000022,-0.000014,-0.001227,-0.000046,  33.613
    22.8,-0.000028,-0.000012,-0.001163,-0.000010,  33.610
    23.0,-0.000033,-0.000013,-0.001072,-0.000033,  33.612
    23.2,-0.000032,-0.000013,-0.000975,-0.000046,  33.607
    23.4,-0.000041,-0.000013,-0.000884,-0.000023,  33.606
    23.6,-0.000044,-0.000020,-0.000775,-0.000046,  33.605
    23.8,-0.000040,-0.000023,-0.000719,-0.000046,  33.600
    24.0,-0.000046,-0.000028,-0.000684,-0.000023,  33.603
    24.2,-0.000049,-0.000025,-0.000677,-0.000046,  33.606
    24.4,-0.000040,-0.000027,-0.000824,-0.000046,  33.604
    24.6,-0.000044,-0.000024,-0.001060,-0.000023,  33.603
    24.8,-0.000046,-0.000026,-0.001393,-0.000046,  33.604
    25.0,-0.000046,-0.000024,-0.001419,-0.000046,  33.600
    25.2,-0.000044,-0.000020,-0.001322,-0.000023,  33.600
    25.4,-0.000044,-0.000026,-0.001113,-0.000046,  33.597
    25.6,-0.000041,-0.000025,-0.001049,-0.000046,  33.597
    25.8,-0.000038,-0.000024,-0.000993,-0.000023,  33.598
    26.0,-0.000038,-0.000026,-0.000952,-0.000046,  33.596
    26.2,-0.000038,-0.000017,-0.000867,-0.000046,  33.598
    26.4,-0.000038,-0.000015,-0.000756,-0.000010,  33.596
    26.6,-0.000036,-0.000020,-0.000644,-0.000033,  33.597
    26.8,-0.000033,-0.000019,-0.000609,-0.000046,  33.599
    27.0,-0.000033,-0.000024,-0.000596,-0.000023,  33.595
    27.2,-0.000031,-0.000022,-0.000624,-0.000046,  33.595
    27.4,-0.000031,-0.000022,-0.000791,-0.000046,  33.594
    27.6,-0.000031,-0.000024,-0.001042,-0.000010,  33.591
    27.8,-0.000031,-0.000019,-0.001377,-0.000033,  33.592
    28.0,-0.000028,-0.000018,-0.001382,-0.000046,  33.592
    28.2,-0.000031,-0.000021,-0.001258,-0.000010,  33.590
    28.4,-0.000031,-0.000019,-0.001014,-0.000033,  33.594
    28.6,-0.000028,-0.000022,-0.000958,-0.000046,  33.593
