Run Name,Run 1
Run Date,02:30:44 PM   04-29-13
Method Name,LinearGradient Group7
Export Format Version, 1.00
Method ID, 1694
Points/Second, 5.00
Number of Records,  13608
Offset from Run Start Time,00:00:00
Run End Time,00:45:24
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.008258,0.000000,0.112949,0.000000,  19.858
     0.2,0.008260,0.000000,0.112949,0.000000,  19.860
     0.4,0.008282,0.000000,0.112949,0.000000,  19.861
     0.6,0.008264,0.000000,0.112949,0.000000,  19.861
     0.8,0.000000,0.000000,0.000000,0.000000,  19.858
     1.0,0.000000,0.000000,0.000000,0.000000,  19.859
     1.2,0.000000,0.000000,0.000000,0.000000,  19.858
     1.4,0.000000,0.000000,0.000000,0.000000,  19.862
     1.6,0.000000,0.000000,0.000000,0.000000,  19.859
     1.8,0.000000,0.000000,0.000000,0.000000,  19.855
     2.0,0.000000,0.000000,0.000000,0.000000,  19.859
     2.2,0.000000,0.000000,0.000000,0.000000,  19.859
     2.4,0.000000,0.000000,0.000000,0.000000,  19.856
     2.6,0.000000,0.000000,0.000000,0.000000,  19.857
     2.8,0.000000,0.000000,0.000000,0.000000,  19.859
     3.0,0.000000,0.000000,0.000000,0.000000,  19.858
     3.2,0.000000,0.000000,0.000000,0.000000,  19.857
     3.4,0.000000,0.000000,0.000000,0.000000,  19.856
     3.6,0.000000,0.000000,0.000000,0.000000,  19.856
     3.8,0.000000,0.000000,0.000000,0.000000,  19.859
     4.0,0.000000,0.000000,0.000000,0.000000,  19.858
     4.2,0.000000,0.000000,0.000000,0.000000,  19.856
     4.4,0.000000,0.000000,0.000000,0.000000,  19.856
     4.6,0.000000,0.000000,0.000000,0.000000,  19.857
     4.8,0.000013,-0.000003,-0.000065,0.000000,  19.854
     5.0,0.000018,-0.000007,-0.000124,-0.000033,  19.856
     5.2,0.000012,-0.000016,-0.000182,-0.000056,  19.856
     5.4,0.000018,-0.000016,-0.000223,-0.000020,  19.855
     5.6,0.000018,-0.000017,-0.000262,-0.000020,  19.857
     5.8,0.000026,-0.000014,-0.000288,-0.000020,  19.852
     6.0,0.000028,-0.000015,-0.000295,-0.000020,  19.855
     6.2,0.000024,-0.000016,-0.000295,0.000003,  19.853
     6.4,0.000021,-0.000010,-0.000288,0.000003,  19.851
     6.6,0.000022,-0.000012,-0.000264,-0.000020,  19.851
     6.8,0.000018,-0.000013,-0.000241,-0.000006,  19.855
     7.0,0.000018,-0.000015,-0.000211,-0.000006,  19.855
     7.2,0.000022,-0.000015,-0.000226,-0.000043,  19.853
     7.4,0.000016,-0.000017,-0.000246,-0.000006,  19.853
     7.6,0.000021,-0.000009,-0.000304,-0.000006,  19.852
     7.8,0.000030,-0.000001,-0.000278,-0.000043,  19.849
     8.0,0.000024,-0.000001,-0.000226,-0.000006,  19.850
     8.2,0.000030,0.000003,-0.000137,-0.000006,  19.852
     8.4,0.000031,0.000008,-0.000105,-0.000029,  19.848
     8.6,0.000025,0.000007,-0.000102,0.000007,  19.849
     8.8,0.000034,0.000009,-0.000096,0.000007,  19.850
     9.0,0.000034,0.000016,-0.000122,-0.000016,  19.849
     9.2,0.000034,0.000013,-0.000180,0.000007,  19.849
     9.4,0.000027,0.000013,-0.000256,0.000007,  19.852
     9.6,0.000030,0.000009,-0.000272,-0.000016,  19.851
     9.8,0.000034,0.000003,-0.000272,0.000007,  19.854
    10.0,0.000027,0.000005,-0.000256,0.000007,  19.855
    10.2,0.000034,0.000001,-0.000254,-0.000016,  19.855
    10.4,0.000031,-0.000001,-0.000239,-0.000029,  19.851
    10.6,0.000025,0.000003,-0.000230,-0.000029,  19.849
    10.8,0.000027,0.000004,-0.000239,-0.000016,  19.854
    11.0,0.000025,0.000004,-0.000265,-0.000029,  19.852
    11.2,0.000018,0.000011,-0.000300,-0.000029,  19.853
    11.4,0.000018,0.000016,-0.000274,-0.000016,  19.848
    11.6,0.000022,0.000010,-0.000209,-0.000029,  19.849
    11.8,0.000016,0.000015,-0.000127,-0.000029,  19.852
    12.0,0.000021,0.000015,-0.000107,-0.000016,  19.852
    12.2,0.000030,0.000014,-0.000090,-0.000029,  19.855
    12.4,0.000024,0.000014,-0.000090,-0.000029,  19.855
    12.6,0.000024,0.000009,-0.000090,-0.000016,  19.853
    12.8,0.000027,0.000003,-0.000090,-0.000029,  19.852
    13.0,0.000024,0.000005,-0.000100,-0.000029,  19.846
    13.2,0.000026,0.000002,-0.000109,-0.000029,  19.844
    13.4,0.000032,-0.000001,-0.000109,-0.000016,  19.844
    13.6,0.000028,0.000000,-0.000111,-0.000029,  19.850
    13.8,0.000034,0.000004,-0.000111,-0.000016,  19.850
    14.0,0.000034,0.000006,-0.000114,-0.000016,  19.852
    14.2,0.000031,0.000007,-0.000153,-0.000016,  19.847
    14.4,0.000034,0.000010,-0.000194,-0.000003,  19.847
    14.6,0.000029,0.000009,-0.000200,-0.000016,  19.847
    14.8,0.000023,0.000011,-0.000185,-0.000016,  19.844
    15.0,0.000024,0.000007,-0.000162,-0.000003,  19.847
    15.2,0.000016,0.000009,-0.000138,-0.000016,  19.846
    15.4,0.000007,0.000011,-0.000107,-0.000016,  19.846
    15.6,0.000013,0.000007,-0.000081,-0.000016,  19.849
    15.8,0.000013,0.000011,-0.000155,-0.000029,  19.851
    16.0,0.000007,0.000011,-0.000278,-0.000020,  19.854
    16.2,0.000020,0.000014,-0.000463,-0.000020,  19.850
    16.4,0.000029,0.000015,-0.000363,-0.000043,  19.850
    16.6,0.000029,0.000015,-0.000148,-0.000006,  19.850
    16.8,0.000029,0.000021,0.000190,-0.000006,  19.851
    17.0,0.000032,0.000021,0.000216,-0.000006,  19.846
    17.2,0.000032,0.000011,0.000133,0.000030,  19.849
    17.4,0.000026,0.000003,-0.000050,0.000030,  19.850
    17.6,0.000030,-0.000006,-0.000089,0.000007,  19.850
    17.8,0.000030,-0.000012,-0.000098,0.000007,  19.850
    18.0,0.000032,-0.000012,-0.000098,0.000007,  19.853
    18.2,0.000032,-0.000004,-0.000130,-0.000016,  19.848
    18.4,0.000032,-0.000008,-0.000155,-0.000029,  19.849
