Run Name,Run 1
Run Date,05:12:56 PM   02-12-13
Method Name,25%B-Isocratic
Export Format Version, 1.00
Method ID, 1508
Points/Second, 5.00
Number of Records,   6773
Offset from Run Start Time,00:00:00
Run End Time,00:22:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000167,0.000121,0.000134,0.000041,  21.116
     0.2,0.000172,0.000121,0.000134,0.000019,  21.115
     0.4,0.000180,0.000118,0.000119,0.000041,  21.110
     0.6,0.000195,0.000121,0.000101,0.000041,  21.105
     0.8,0.000195,0.000131,0.000148,0.000006,  21.097
     1.0,0.000181,0.000141,0.000217,0.000041,  21.101
     1.2,0.000149,0.000164,0.000320,0.000028,  21.103
     1.4,0.000123,0.000155,0.000334,-0.000007,  21.100
     1.6,0.000108,0.000142,0.000309,0.000041,  21.097
     1.8,0.000102,0.000116,0.000255,0.000028,  21.094
     2.0,0.000000,0.000106,0.000228,-0.000007,  21.091
     2.2,0.000000,0.000097,0.000195,0.000041,  21.100
     2.4,0.000000,0.000000,0.000178,0.000028,  21.095
     2.6,0.000000,0.000000,0.000172,0.000028,  21.088
     2.8,0.000000,0.000000,0.000167,0.000050,  21.079
     3.0,0.000000,0.000000,0.000175,0.000059,  21.081
     3.2,0.000000,0.000000,0.000169,-0.003836,  21.080
     3.4,0.000000,0.000000,0.000175,-0.010399,  21.078
     3.6,0.000000,0.000000,0.000000,0.000000,  21.076
     3.8,0.000000,0.000000,0.000000,0.000000,  21.075
     4.0,0.000000,0.000000,0.000000,0.000000,  21.076
     4.2,0.000000,0.000000,0.000000,0.000000,  21.076
     4.4,0.000000,0.000000,0.000000,0.000000,  21.078
     4.6,0.000000,0.000000,0.000000,0.000000,  21.086
     4.8,0.000000,0.000000,0.000000,0.000000,  21.083
     5.0,0.000000,0.000000,0.000000,0.000000,  21.079
     5.2,0.000000,0.000000,0.000000,0.000000,  21.077
     5.4,0.000017,0.000000,0.000000,0.000000,  21.071
     5.6,0.000001,0.000000,0.000000,0.000000,  21.064
     5.8,-0.000010,0.000000,0.000000,0.000000,  21.057
     6.0,-0.000026,0.000000,0.000000,0.000000,  21.055
     6.2,-0.000036,0.000000,0.000000,0.000000,  21.055
     6.4,-0.000044,0.000000,0.000000,0.000000,  21.054
     6.6,-0.000064,0.000031,0.000000,0.000000,  21.054
     6.8,-0.000077,0.000027,0.000000,0.000000,  21.051
     7.0,-0.000089,0.000018,0.000000,0.000000,  21.051
     7.2,-0.000094,0.000012,0.000000,0.000000,  21.049
     7.4,-0.000097,0.000007,0.000000,0.000000,  21.045
     7.6,-0.000098,0.000003,-0.000080,-0.000027,  21.048
     7.8,-0.000089,-0.000004,-0.000086,0.000031,  21.052
     8.0,-0.000078,-0.000018,-0.000083,0.000004,  21.047
     8.2,-0.000074,-0.000030,-0.000042,-0.000023,  21.042
     8.4,-0.000066,-0.000053,0.000008,-0.000072,  21.036
     8.6,-0.000058,-0.000063,0.000090,-0.000098,  21.035
     8.8,-0.000056,-0.000056,0.000194,-0.000098,  21.033
     9.0,-0.000048,-0.000052,0.000215,-0.000134,  21.032
     9.2,-0.000039,-0.000052,0.000200,-0.000161,  21.028
     9.4,-0.000043,-0.000047,0.000162,-0.000161,  21.028
     9.6,-0.000040,-0.000040,0.000118,-0.000169,  21.029
     9.8,-0.000039,-0.000038,0.000048,-0.000134,  21.027
    10.0,-0.000043,-0.000030,-0.000032,-0.000120,  21.032
    10.2,-0.000043,-0.000023,-0.000095,-0.000129,  21.034
    10.4,-0.000043,-0.000022,-0.000140,-0.000080,  21.035
    10.6,-0.000046,-0.000013,-0.000205,-0.000067,  21.024
    10.8,-0.000037,-0.000005,-0.000247,-0.000054,  21.016
    11.0,-0.000026,-0.000006,-0.000275,-0.000054,  21.008
    11.2,-0.000029,-0.000008,-0.000289,-0.000040,  21.008
    11.4,-0.000029,-0.000012,-0.000296,-0.000076,  21.006
    11.6,-0.000023,-0.000014,-0.000281,-0.000054,  21.004
    11.8,-0.000040,-0.000016,-0.000250,-0.000067,  21.005
    12.0,-0.000059,-0.000013,-0.000198,-0.000067,  21.003
    12.2,-0.000079,-0.000010,-0.000205,-0.000102,  21.001
    12.4,-0.000091,-0.000011,-0.000233,-0.000054,  21.001
    12.6,-0.000093,-0.000009,-0.000291,-0.000040,  20.998
    12.8,-0.000082,-0.000008,-0.000328,-0.000062,  20.997
    13.0,-0.000083,-0.000024,-0.000373,-0.000040,  20.996
    13.2,-0.000075,-0.000049,-0.000440,-0.000040,  20.994
    13.4,-0.000063,-0.000079,-0.000432,-0.000062,  20.999
    13.6,-0.000061,-0.000091,-0.000407,-0.000027,  20.993
    13.8,-0.000053,-0.000091,-0.000341,-0.000040,  20.989
    14.0,-0.000044,-0.000084,-0.000296,-0.000089,  20.984
    14.2,-0.000042,-0.000083,-0.000240,-0.000080,  20.986
    14.4,-0.000039,-0.000073,-0.000184,-0.000080,  20.979
    14.6,-0.000039,-0.000062,-0.000184,-0.000116,  20.982
    14.8,-0.000039,-0.000056,-0.000201,-0.000080,  20.977
    15.0,-0.000039,-0.000051,-0.000247,-0.000054,  20.975
    15.2,-0.000044,-0.000043,-0.000260,-0.000089,  20.973
    15.4,-0.000050,-0.000039,-0.000272,-0.000054,  20.969
    15.6,-0.000059,-0.000037,-0.000275,-0.000040,  20.968
    15.8,-0.000059,-0.000024,-0.000289,-0.000076,  20.975
    16.0,-0.000056,-0.000034,-0.000324,-0.000054,  20.985
    16.2,-0.000060,-0.000052,-0.000355,-0.000054,  20.984
    16.4,-0.000042,-0.000076,-0.000352,-0.000089,  20.971
    16.6,-0.000033,-0.000083,-0.000323,-0.000054,  20.965
    16.8,-0.000034,-0.000085,-0.000291,-0.000054,  20.963
    17.0,-0.000028,-0.000068,-0.000282,-0.000089,  20.959
    17.2,-0.000028,-0.000061,-0.000277,-0.000054,  20.957
    17.4,-0.000051,-0.000055,-0.000274,-0.000067,  20.957
    17.6,-0.000080,-0.000044,-0.000274,-0.000102,  20.952
    17.8,-0.000113,-0.000038,-0.000286,-0.000067,  20.952
    18.0,-0.000128,-0.000030,-0.000302,-0.000067,  20.949
    18.2,-0.000130,-0.000027,-0.000316,-0.000102,  20.949
    18.4,-0.000119,-0.000035,-0.000336,-0.000054,  20.951
    18.6,-0.000120,-0.000049,-0.000365,-0.000076,  20.944
    18.8,-0.000109,-0.000070,-0.000395,-0.000062,  20.945
    19.0,-0.000090,-0.000080,-0.000432,-0.000062,  20.950
    19.2,-0.000085,-0.000086,-0.000479,-0.000062,  20.953
    19.4,-0.000075,-0.000093,-0.000479,-0.000098,  20.946
    19.6,-0.000058,-0.000087,-0.000450,-0.000098,  20.942
    19.8,-0.000056,-0.000082,-0.000413,-0.000076,  20.943
    20.0,-0.000044,-0.000071,-0.000354,-0.000102,  20.938
    20.2,-0.000038,-0.000065,-0.000305,-0.000116,  20.934
    20.4,-0.000047,-0.000059,-0.000261,-0.000134,  20.932
    20.6,-0.000046,-0.000051,-0.000212,-0.000134,  20.929
    20.8,-0.000062,-0.000045,-0.000219,-0.000156,  20.932
    21.0,-0.000071,-0.000045,-0.000268,-0.000094,  20.930
    21.2,-0.000071,-0.000039,-0.000327,-0.000080,  20.932
    21.4,-0.000071,-0.000035,-0.000340,-0.000116,  20.935
    21.6,-0.000072,-0.000029,-0.000352,-0.000067,  20.941
    21.8,-0.000064,-0.000028,-0.000350,-0.000089,  20.948
    22.0,-0.000047,-0.000024,-0.000378,-0.000089,  20.948
    22.2,-0.000042,-0.000026,-0.000417,-0.000089,  20.938
    22.4,-0.000036,-0.000032,-0.000471,-0.000111,  20.928
    22.6,-0.000034,-0.000035,-0.000484,-0.000062,  20.925
    22.8,-0.000031,-0.000035,-0.000476,-0.000062,  20.924
    23.0,-0.000047,-0.000036,-0.000465,-0.000111,  20.917
    23.2,-0.000071,-0.000030,-0.000444,-0.000102,  20.916
    23.4,-0.000108,-0.000026,-0.000437,-0.000129,  20.920
    23.6,-0.000133,-0.000019,-0.000410,-0.000165,  20.920
    23.8,-0.000152,-0.000014,-0.000411,-0.000129,  20.919
    24.0,-0.000161,-0.000018,-0.000432,-0.000102,  20.920
    24.2,-0.000168,-0.000027,-0.000474,-0.000125,  20.916
    24.4,-0.000160,-0.000050,-0.000494,-0.000098,  20.909
    24.6,-0.000140,-0.000062,-0.000508,-0.000084,  20.915
    24.8,-0.000136,-0.000066,-0.000517,-0.000106,  20.921
    25.0,-0.000113,-0.000073,-0.000531,-0.000093,  20.920
    25.2,-0.000094,-0.000085,-0.000553,-0.000084,  20.911
    25.4,-0.000081,-0.000096,-0.000557,-0.000133,  20.911
    25.6,-0.000070,-0.000100,-0.000470,-0.000160,  20.911
    25.8,-0.000056,-0.000102,-0.000334,-0.000165,  20.907
    26.0,-0.000045,-0.000092,-0.000142,-0.000214,  20.903
    26.2,-0.000043,-0.000074,-0.000091,-0.000240,  20.908
    26.4,-0.000035,-0.000067,-0.000111,-0.000218,  20.904
    26.6,-0.000041,-0.000059,-0.000174,-0.000218,  20.904
    26.8,-0.000041,-0.000047,-0.000232,-0.000205,  20.901
    27.0,-0.000043,-0.000042,-0.000313,-0.000178,  20.904
    27.2,-0.000047,-0.000033,-0.000429,-0.000165,  20.912
    27.4,-0.000038,-0.000028,-0.000471,-0.000151,  20.914
    27.6,-0.000030,-0.000027,-0.000479,-0.000138,  20.911
    27.8,-0.000028,-0.000019,-0.000483,-0.000125,  20.905
    28.0,-0.000017,-0.000015,-0.000459,-0.000147,  20.901
    28.2,-0.000014,-0.000015,-0.000459,-0.000133,  20.899
    28.4,-0.000020,-0.000014,-0.000486,-0.000098,  20.899
    28.6,-0.000014,-0.000012,-0.000500,-0.000147,  20.898
    28.8,-0.000022,-0.000011,-0.000491,-0.000125,  20.898
    29.0,-0.000036,-0.000010,-0.000463,-0.000102,  20.898
    29.2,-0.000041,-0.000006,-0.000430,-0.000138,  20.896
    29.4,-0.000057,-0.000000,-0.000453,-0.000089,  20.894
    29.6,-0.000066,-0.000003,-0.000505,-0.000076,  20.891
    29.8,-0.000059,-0.000001,-0.000586,-0.000098,  20.886
    30.0,-0.000059,-0.000000,-0.000601,-0.000035,  20.888
    30.2,-0.000060,-0.000012,-0.000585,-0.000049,  20.889
    30.4,-0.000046,-0.000032,-0.000561,-0.000084,  20.885
    30.6,-0.000038,-0.000053,-0.000559,-0.000035,  20.898
    30.8,-0.000039,-0.000061,-0.000557,-0.000049,  20.892
    31.0,-0.000025,-0.000063,-0.000563,-0.000098,  20.888
    31.2,-0.000020,-0.000058,-0.000535,-0.000076,  20.885
    31.4,-0.000017,-0.000051,-0.000494,-0.000102,  20.879
    31.6,-0.000020,-0.000049,-0.000448,-0.000138,  20.879
    31.8,-0.000014,-0.000039,-0.000441,-0.000102,  20.882
    32.0,-0.000020,-0.000031,-0.000448,-0.000089,  20.881
