Run Name,Run 1
Run Date,03:08:11 PM   02-12-13
Method Name,32%B-Isocratic.2
Export Format Version, 1.00
Method ID, 1560
Points/Second, 5.00
Number of Records,   3829
Offset from Run Start Time,00:00:00
Run End Time,00:12:48
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000388,0.000000,0.015746,0.000000,  32.541
     0.2,0.000369,0.000000,0.015746,0.000000,  32.551
     0.4,0.000366,0.000000,0.015746,0.000000,  32.553
     0.6,0.000349,0.000000,0.015746,0.000000,  32.560
     0.8,0.000000,0.000000,0.015746,0.000000,  32.568
     1.0,0.000000,0.000000,0.000000,0.000000,  32.576
     1.2,0.000000,0.000000,0.000000,0.000000,  32.590
     1.4,0.000000,0.000000,0.000000,0.000000,  32.602
     1.6,0.000000,0.000000,0.000000,0.000000,  32.608
     1.8,0.000000,0.000000,0.000000,0.000000,  32.616
     2.0,0.000000,0.000000,0.000000,0.000000,  32.625
     2.2,0.000000,0.000000,0.000000,0.000000,  32.632
     2.4,0.000000,0.000000,0.000000,0.000000,  32.639
     2.6,0.000000,0.000000,0.000000,0.000000,  32.649
     2.8,0.000000,0.000000,0.000000,0.000000,  32.662
     3.0,0.000000,0.000000,0.000000,0.000000,  32.663
     3.2,0.000000,0.000000,0.000000,0.000000,  32.670
     3.4,0.000000,0.000000,0.000000,0.000000,  32.675
     3.6,0.000000,0.000000,0.000000,0.000000,  32.681
     3.8,0.000000,0.000000,0.000000,0.000000,  32.683
     4.0,0.000000,0.000000,0.000000,0.000000,  32.691
     4.2,0.000000,0.000000,0.000000,0.000000,  32.698
     4.4,-0.000138,-0.000041,0.000000,-0.000294,  32.702
     4.6,-0.000155,-0.000076,0.000650,-0.000330,  32.707
     4.8,-0.000169,-0.000103,0.000702,-0.000281,  32.708
     5.0,-0.000176,-0.000125,0.000745,-0.000294,  32.708
     5.2,-0.000195,-0.000133,0.000773,-0.000294,  32.718
     5.4,-0.000209,-0.000134,0.000799,-0.000343,  32.719
     5.6,-0.000227,-0.000148,0.000808,-0.000334,  32.719
     5.8,-0.000249,-0.000168,0.000801,-0.000348,  32.720
     6.0,-0.000265,-0.000181,0.000835,-0.000396,  32.715
     6.2,-0.000287,-0.000195,0.000870,-0.000361,  32.721
     6.4,-0.000312,-0.000217,0.000907,-0.000374,  32.726
     6.6,-0.000330,-0.000231,0.000944,-0.000410,  32.733
     6.8,-0.000348,-0.000257,0.000985,-0.000450,  32.742
     7.0,-0.000370,-0.000293,0.001011,-0.000477,  32.747
     7.2,-0.000386,-0.000326,0.001040,-0.000450,  32.758
     7.4,-0.000393,-0.000313,0.000990,-0.000410,  32.771
     7.6,-0.000365,-0.000274,0.000901,-0.000343,  32.779
     7.8,-0.000314,-0.000215,0.000782,-0.000276,  32.784
     8.0,-0.000231,-0.000182,0.000693,-0.000223,  32.790
     8.2,-0.000189,-0.000137,0.000616,-0.000169,  32.797
     8.4,-0.000149,-0.000095,0.000536,-0.000129,  32.804
     8.6,-0.000106,-0.000067,0.000508,-0.000089,  32.815
     8.8,-0.000077,-0.000040,0.000499,-0.000062,  32.826
     9.0,-0.000051,-0.000017,0.000526,-0.000049,  32.833
     9.2,-0.000021,-0.000002,0.000543,-0.000058,  32.834
     9.4,-0.000008,0.000014,0.000558,-0.000044,  32.840
     9.6,0.000005,0.000022,0.000587,-0.000031,  32.845
     9.8,0.000019,0.000030,0.000619,-0.000066,  32.848
    10.0,0.000003,0.000029,0.000648,-0.000058,  32.849
    10.2,-0.000019,0.000021,0.000691,-0.000071,  32.849
    10.4,-0.000053,0.000011,0.000790,-0.000133,  32.852
    10.6,-0.000029,0.000028,0.000903,-0.000138,  32.856
    10.8,0.000016,0.000056,0.001044,-0.000111,  32.857
    11.0,0.000080,0.000102,0.001274,-0.000106,  32.861
    11.2,0.000096,0.000127,0.001552,-0.000004,  32.873
    11.4,0.000090,0.000150,0.001893,-0.000004,  32.875
    11.6,0.000081,0.000170,0.002053,-0.000106,  32.874
    11.8,0.000037,0.000147,0.002159,-0.000151,  32.882
    12.0,-0.000019,0.000091,0.002203,-0.000191,  32.884
    12.2,-0.000090,0.000023,0.002256,-0.000280,  32.884
    12.4,-0.000132,-0.000016,0.002261,-0.000298,  32.883
    12.6,-0.000170,-0.000061,0.002230,-0.000338,  32.886
    12.8,-0.000194,-0.000093,0.002231,-0.000378,  32.883
    13.0,-0.000212,-0.000138,0.002245,-0.000383,  32.889
    13.2,-0.000272,-0.000185,0.002237,-0.000410,  32.897
    13.4,-0.000324,-0.000231,0.002181,-0.000423,  32.899
    13.6,-0.000393,-0.000247,0.002114,-0.000437,  32.910
    13.8,-0.000391,-0.000240,0.002012,-0.000396,  32.917
    14.0,-0.000351,-0.000217,0.001917,-0.000330,  32.923
    14.2,-0.000268,-0.000189,0.001821,-0.000249,  32.937
    14.4,-0.000229,-0.000152,0.001722,-0.000183,  32.947
    14.6,-0.000181,-0.000105,0.001654,-0.000142,  32.948
    14.8,-0.000127,-0.000072,0.001572,-0.000116,  32.956
    15.0,-0.000091,-0.000045,0.001518,-0.000089,  32.964
    15.2,-0.000056,-0.000014,0.001496,-0.000049,  32.969
    15.4,-0.000021,0.000012,0.001481,-0.000035,  32.979
    15.6,-0.000000,0.000031,0.001483,-0.000009,  32.992
    15.8,0.000027,0.000053,0.001490,0.000018,  32.998
    16.0,0.000047,0.000068,0.001501,0.000018,  33.001
    16.2,0.000054,0.000082,0.001525,0.000031,  33.004
    16.4,0.000063,0.000095,0.001557,0.000018,  33.010
    16.6,0.000063,0.000088,0.001624,-0.000022,  33.015
    16.8,0.000043,0.000068,0.001692,-0.000062,  33.017
    17.0,0.000020,0.000035,0.001774,-0.000089,  33.018
    17.2,-0.000020,0.000024,0.001869,-0.000129,  33.021
    17.4,-0.000047,0.000010,0.001975,-0.000169,  33.027
    17.6,-0.000062,-0.000006,0.002088,-0.000183,  33.036
    17.8,-0.000081,-0.000019,0.002192,-0.000209,  33.042
    18.0,-0.000108,-0.000036,0.002295,-0.000236,  33.044
    18.2,-0.000129,-0.000049,0.002399,-0.000263,  33.044
    18.4,-0.000153,-0.000064,0.002483,-0.000290,  33.038
    18.6,-0.000178,-0.000082,0.002563,-0.000303,  33.037
    18.8,-0.000193,-0.000095,0.002635,-0.000330,  33.036
    19.0,-0.000205,-0.000109,0.002697,-0.000343,  33.039
    19.2,-0.000246,-0.000136,0.002756,-0.000370,  33.046
    19.4,-0.000286,-0.000164,0.002808,-0.000383,  33.051
    19.6,-0.000336,-0.000194,0.002786,-0.000410,  33.059
    19.8,-0.000329,-0.000198,0.002723,-0.000450,  33.068
    20.0,-0.000292,-0.000201,0.002613,-0.000410,  33.074
    20.2,-0.000228,-0.000181,0.002537,-0.000392,  33.077
    20.4,-0.000186,-0.000152,0.002455,-0.000298,  33.090
    20.6,-0.000136,-0.000115,0.002364,-0.000231,  33.102
    20.8,-0.000079,-0.000064,0.002321,-0.000227,  33.111
    21.0,-0.000044,-0.000031,0.002293,-0.000151,  33.117
    21.2,-0.000013,-0.000001,0.002282,-0.000111,  33.122
    21.4,0.000003,0.000028,0.002262,-0.000120,  33.130
    21.6,0.000026,0.000054,0.002247,-0.000058,  33.140
    21.8,0.000052,0.000072,0.002251,-0.000031,  33.148
    22.0,0.000070,0.000090,0.002260,-0.000053,  33.163
    22.2,0.000100,0.000105,0.002278,-0.000004,  33.165
    22.4,0.000113,0.000122,0.002317,0.000009,  33.170
    22.6,0.000132,0.000139,0.002371,-0.000040,  33.170
    22.8,0.000140,0.000137,0.002440,-0.000017,  33.177
    23.0,0.000129,0.000116,0.002508,-0.000031,  33.185
    23.2,0.000110,0.000099,0.002665,-0.000044,  33.184
