Run Name,t0 50%
Run Date,01:18:29 PM   02-12-13
Method Name,50%B-Isocratic
Export Format Version, 1.00
Method ID, 1553
Points/Second, 5.00
Number of Records,   1950
Offset from Run Start Time,00:00:00
Run End Time,00:06:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.004896,0.000000,0.096582,-0.426533,  46.301
     0.2,-0.004896,0.000000,0.096446,-0.426555,  46.299
     0.4,-0.004881,0.000000,0.096208,-0.426542,  46.302
     0.6,-0.004875,0.000000,0.095883,-0.426529,  46.306
     0.8,0.000000,0.000000,0.095974,-0.426515,  46.301
     1.0,0.000000,0.000000,0.096211,-0.426476,  46.300
     1.2,0.000000,0.000000,0.000000,-0.426427,  46.303
     1.4,0.000000,0.000000,0.000000,0.000000,  46.304
     1.6,0.000000,0.000000,0.000000,0.000000,  46.311
     1.8,0.000000,0.000000,0.000000,0.000000,  46.318
     2.0,0.000000,0.000000,0.000000,0.000000,  46.322
     2.2,0.000000,0.000000,0.000000,0.000000,  46.335
     2.4,0.000000,0.000000,0.000000,0.000000,  46.341
     2.6,0.000000,0.000000,0.000000,0.000000,  46.331
     2.8,0.000000,0.000000,0.000000,0.000000,  46.315
     3.0,0.000000,0.000000,0.000000,0.000000,  46.311
     3.2,0.000000,0.000000,0.000000,0.000000,  46.309
     3.4,0.000000,0.000000,0.000000,0.000000,  46.306
     3.6,0.000000,0.000000,0.000000,0.000000,  46.308
     3.8,0.000000,0.000000,0.000000,0.000000,  46.308
     4.0,0.000000,0.000000,0.000000,0.000000,  46.309
     4.2,0.000000,0.000000,0.000000,0.000000,  46.307
     4.4,-0.000006,0.000000,0.000000,0.000000,  46.309
     4.6,-0.000004,0.000011,0.000000,0.000000,  46.308
     4.8,0.000003,0.000010,0.000000,0.000000,  46.305
     5.0,0.000002,0.000011,0.000000,0.000000,  46.307
     5.2,-0.000002,0.000008,0.000000,0.000000,  46.313
     5.4,0.000001,0.000005,0.000000,0.000000,  46.312
     5.6,-0.000003,0.000008,0.000000,0.000000,  46.312
     5.8,-0.000000,-0.000000,-0.000006,0.000026,  46.316
     6.0,0.000003,-0.000000,-0.000013,0.000004,  46.322
     6.2,-0.000003,-0.000002,-0.000027,0.000004,  46.327
     6.4,-0.000003,0.000001,-0.000042,0.000004,  46.327
     6.6,0.000001,0.000002,-0.000063,0.000004,  46.316
     6.8,-0.000008,-0.000002,-0.000085,0.000018,  46.316
     7.0,-0.000011,-0.000006,-0.000103,0.000004,  46.312
     7.2,-0.000010,-0.000014,-0.000110,0.000004,  46.315
     7.4,-0.000016,-0.000022,-0.000122,0.000018,  46.319
     7.6,-0.000019,-0.000018,-0.000101,0.000004,  46.312
     7.8,-0.000013,-0.000015,-0.000109,0.000004,  46.319
     8.0,-0.000016,-0.000016,-0.000124,-0.000018,  46.321
     8.2,-0.000016,-0.000012,-0.000141,-0.000031,  46.322
     8.4,-0.000007,-0.000006,-0.000136,-0.000031,  46.323
     8.6,-0.000005,-0.000007,-0.000136,-0.000053,  46.327
     8.8,-0.000002,-0.000002,-0.000134,-0.000018,  46.327
     9.0,-0.000002,-0.000002,-0.000358,-0.000018,  46.325
     9.2,0.000001,-0.000002,-0.000682,-0.000040,  46.328
     9.4,0.000003,0.000001,-0.001124,-0.000004,  46.329
