Run Name,Run 1
Run Date,03:38:30 PM   02-14-13
Method Name,29% Oh Fuck
Export Format Version, 1.00
Method ID, 1570
Points/Second, 5.00
Number of Records,   8490
Offset from Run Start Time,00:00:00
Run End Time,00:28:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000952,0.000000,0.000277,0.000000,  29.405
     0.2,0.001066,0.000000,0.000277,0.000000,  29.408
     0.4,0.001128,0.000000,0.000277,0.000000,  29.411
     0.6,0.001083,0.000000,0.000277,0.000000,  29.412
     0.8,0.000000,0.000000,0.000000,0.000000,  29.396
     1.0,0.000000,0.000000,0.000000,0.000000,  29.382
     1.2,0.000000,0.000000,0.000000,0.000000,  29.374
     1.4,0.000000,0.000000,0.000000,0.000000,  29.374
     1.6,0.000000,0.000000,0.000000,0.000000,  29.376
     1.8,0.000000,0.000000,0.000000,0.000000,  29.374
     2.0,0.000000,0.000000,0.000000,0.000000,  29.375
     2.2,0.000000,0.000000,0.000000,0.000000,  29.375
     2.4,0.000000,0.000000,0.000000,0.000000,  29.370
     2.6,0.000000,0.000000,0.000000,0.000000,  29.374
     2.8,0.000000,0.000000,0.000000,0.000000,  29.377
     3.0,0.000000,0.000000,0.000000,0.000000,  29.382
     3.2,0.000000,0.000000,0.000000,0.000000,  29.381
     3.4,0.000000,0.000000,0.000000,0.000000,  29.385
     3.6,0.000000,0.000000,0.000000,0.000000,  29.393
     3.8,0.000000,0.000000,0.000000,0.000000,  29.404
     4.0,0.000000,0.000000,0.000000,0.000000,  29.406
     4.2,0.000000,0.000000,0.000000,0.000000,  29.409
     4.4,0.000000,0.000000,0.000000,0.000000,  29.407
     4.6,0.000000,0.000025,-0.000077,-0.000053,  29.411
     4.8,0.000000,0.000005,-0.000075,-0.000094,  29.422
     5.0,-0.000040,-0.000010,-0.000041,-0.000147,  29.399
     5.2,-0.000066,-0.000012,0.000033,-0.000174,  29.387
     5.4,-0.000074,-0.000012,0.000142,-0.000187,  29.377
     5.6,-0.000066,-0.000005,0.000270,-0.000187,  29.372
     5.8,-0.000043,0.000006,0.000439,-0.000174,  29.370
     6.0,-0.000003,0.000034,0.000596,-0.000169,  29.369
     6.2,0.000023,0.000057,0.000777,-0.000116,  29.371
     6.4,0.000055,0.000085,0.000971,-0.000035,  29.372
     6.6,0.000092,0.000119,0.001079,-0.000004,  29.366
     6.8,0.000063,0.000086,0.001153,0.000098,  29.370
     7.0,-0.000001,0.000021,0.001199,0.000112,  29.370
     7.2,-0.000088,-0.000078,0.001096,0.000036,  29.374
     7.4,-0.000104,-0.000102,0.000892,-0.000009,  29.380
     7.6,-0.000104,-0.000112,0.000593,-0.000009,  29.382
