Run Name,31
Run Date,02:12:25 PM   02-14-13
Method Name,31%B-Isocratic.1
Export Format Version, 1.00
Method ID, 1559
Points/Second, 5.00
Number of Records,   3601
Offset from Run Start Time,00:00:00
Run End Time,00:12:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000750,0.000579,0.000461,0.000624,  33.615
     0.2,0.000747,0.000573,0.000474,0.000624,  33.617
     0.4,0.000744,0.000576,0.000474,0.000624,  33.616
     0.6,0.000732,0.000579,0.000474,0.000638,  33.617
     0.8,0.000732,0.000581,0.000473,0.000624,  33.615
     1.0,0.000739,0.000574,0.000452,0.000602,  33.615
     1.2,0.000740,0.000578,0.000430,0.000638,  33.617
     1.4,0.000740,0.000582,0.000429,0.000624,  33.623
     1.6,0.000742,0.000579,0.000429,0.000638,  33.618
     1.8,0.000746,0.000585,0.000430,0.000602,  33.616
     2.0,0.000746,0.000585,0.000443,0.000624,  33.616
     2.2,0.000742,0.000579,0.000456,0.000638,  33.618
     2.4,0.000746,0.000582,0.000470,0.000602,  33.615
     2.6,0.000748,0.000579,0.000489,0.000624,  33.619
     2.8,0.000745,0.000581,0.000484,0.000638,  33.615
     3.0,0.000751,0.000578,0.000469,0.000602,  33.615
     3.2,0.000754,0.000581,0.000441,0.000624,  33.613
     3.4,0.000745,0.000574,0.000442,0.000638,  33.616
     3.6,0.000748,0.000576,0.000449,0.000602,  33.615
     3.8,0.000755,0.000582,0.000469,0.000624,  33.615
     4.0,0.000752,0.000586,0.000455,0.000638,  33.617
     4.2,0.000753,0.000586,0.000435,0.000602,  33.616
     4.4,0.000756,0.000595,0.000406,0.000624,  33.620
     4.6,0.000752,0.000595,0.000420,0.000638,  33.614
     4.8,0.000748,0.000593,0.000442,0.000602,  33.613
     5.0,0.000747,0.000000,0.000490,0.000624,  33.617
     5.2,0.000744,0.000000,0.000491,0.000638,  33.613
     5.4,0.000755,0.000000,0.000489,0.000602,  33.618
     5.6,0.000758,0.000000,0.000468,0.000624,  33.612
     5.8,0.000761,0.000000,0.000455,0.000638,  33.618
     6.0,0.000505,0.000000,0.000454,0.000602,  33.615
     6.2,0.000554,0.000000,0.000446,0.000638,  33.615
     6.4,0.000635,0.000000,0.000438,0.000638,  33.615
     6.6,0.000659,0.000000,0.000424,0.000602,  33.615
     6.8,0.000000,0.000000,0.000403,0.000638,  33.616
     7.0,0.000000,0.000000,0.000396,0.000624,  33.617
     7.2,0.000000,0.000000,0.000396,0.000598,  33.617
     7.4,0.000000,0.000000,0.000000,0.000000,  33.616
     7.6,0.000000,0.000000,0.000000,0.000000,  33.616
     7.8,0.000000,0.000000,0.000000,0.000000,  33.618
     8.0,0.000000,0.000000,0.000000,0.000000,  33.617
     8.2,0.000000,0.000000,0.000000,0.000000,  33.615
     8.4,0.000000,0.000000,0.000000,0.000000,  33.614
     8.6,0.000000,0.000000,0.000000,0.000000,  33.617
     8.8,0.000000,0.000000,0.000000,0.000000,  33.615
     9.0,0.000000,0.000000,0.000000,0.000000,  33.611
     9.2,0.000000,0.000000,0.000000,0.000000,  33.611
     9.4,0.000000,0.000000,0.000000,0.000000,  33.613
     9.6,0.000000,0.000002,0.000000,0.000000,  33.611
     9.8,0.000000,0.000004,0.000000,0.000000,  33.613
    10.0,0.000000,0.000003,0.000000,0.000000,  33.613
    10.2,0.000000,0.000001,0.000000,0.000000,  33.607
    10.4,-0.000004,0.000002,0.000000,0.000000,  33.607
    10.6,-0.000005,0.000000,0.000000,0.000000,  33.609
    10.8,-0.000007,0.000004,0.000000,0.000000,  33.607
    11.0,-0.000011,0.000002,0.000000,0.000000,  33.607
    11.2,-0.000011,0.000004,0.000000,0.000000,  33.605
    11.4,-0.000011,0.000004,0.000000,0.000000,  33.603
    11.6,-0.000014,0.000000,0.000000,0.000000,  33.605
    11.8,-0.000017,-0.000001,0.000000,-0.000013,  33.606
    12.0,-0.000014,-0.000003,-0.000068,-0.000035,  33.604
    12.2,-0.000017,0.000001,-0.000617,-0.000071,  33.603
    12.4,-0.000023,0.000003,-0.000999,-0.000022,  33.599
    12.6,-0.000023,-0.000001,-0.001194,-0.000044,  33.603
    12.8,-0.000027,-0.000001,-0.001227,-0.000044,  33.602
    13.0,-0.000027,0.000000,-0.001061,-0.000022,  33.601
    13.2,-0.000023,-0.000002,-0.000735,-0.000058,  33.599
    13.4,-0.000027,-0.000003,-0.000623,-0.000044,  33.599
    13.6,-0.000023,-0.000005,-0.000518,0.000005,  33.598
    13.8,-0.000016,-0.000008,-0.000441,-0.000031,  33.602
    14.0,-0.000022,-0.000017,-0.000390,-0.000031,  33.600
    14.2,-0.000019,-0.000019,-0.000349,-0.000031,  33.597
    14.4,-0.000021,-0.000019,-0.000335,-0.000066,  33.599
    14.6,-0.000017,-0.000015,-0.000306,-0.000031,  33.595
    14.8,-0.000029,-0.000013,-0.000286,-0.000031,  33.596
    15.0,-0.000028,-0.000015,-0.000259,-0.000066,  33.599
    15.2,-0.000028,-0.000015,-0.000224,-0.000031,  33.596
    15.4,-0.000035,-0.000015,-0.000184,-0.000044,  33.595
    15.6,-0.000035,-0.000015,-0.000137,-0.000080,  33.595
    15.8,-0.000035,-0.000012,-0.000130,-0.000031,  33.597
    16.0,-0.000036,-0.000012,-0.000151,-0.000044,  33.597
    16.2,-0.000036,-0.000012,-0.000173,-0.000080,  33.597
    16.4,-0.000029,-0.000010,-0.000159,-0.000031,  33.595
    16.6,-0.000033,-0.000007,-0.000144,-0.000044,  33.592
    16.8,-0.000030,-0.000008,-0.000116,-0.000080,  33.591
    17.0,-0.000024,-0.000002,-0.000129,-0.000031,  33.592
    17.2,-0.000028,0.000001,-0.000150,-0.000044,  33.594
    17.4,-0.000028,-0.000006,-0.000199,-0.000080,  33.589
    17.6,-0.000025,-0.000002,-0.000205,-0.000031,  33.595
    17.8,-0.000031,0.000002,-0.000205,-0.000044,  33.589
    18.0,-0.000025,-0.000001,-0.000190,-0.000044,  33.594
    18.2,-0.000021,-0.000000,-0.000197,-0.000066,  33.592
    18.4,-0.000025,-0.000003,-0.000223,-0.000031,  33.587
    18.6,-0.000022,-0.000004,-0.000245,-0.000044,  33.591
    18.8,-0.000016,-0.000006,-0.000238,-0.000031,  33.590
    19.0,-0.000020,-0.000006,-0.000232,-0.000044,  33.589
    19.2,-0.000020,-0.000008,-0.000224,-0.000044,  33.590
    19.4,-0.000022,-0.000010,-0.000204,-0.000080,  33.590
    19.6,-0.000026,-0.000013,-0.000181,-0.000031,  33.587
    19.8,-0.000022,-0.000013,-0.000147,-0.000031,  33.582
    20.0,-0.000019,-0.000015,-0.000111,-0.000066,  33.582
