Run Name,Run 1_lg103530gp8
Run Date,02:38:12 PM   02-05-13
Method Name,LinearGradient Group8
Export Format Version, 1.00
Method ID, 1543
Points/Second, 5.00
Number of Records,  10792
Offset from Run Start Time,00:00:00
Run End Time,00:36:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000182,-0.364805,0.081261,-0.430906,  14.746
     0.2,-0.000181,-0.364810,0.081401,-0.430939,  14.751
     0.4,-0.000182,-0.364818,0.081520,-0.430927,  14.748
     0.6,-0.000183,-0.364821,0.081618,-0.430927,  14.746
     0.8,-0.000181,-0.364827,0.081668,-0.430960,  14.746
     1.0,-0.000191,-0.364830,0.081695,-0.430948,  14.745
     1.2,-0.000311,-0.364827,0.081681,-0.430948,  14.751
     1.4,-0.000280,-0.364830,0.081704,-0.430981,  14.751
     1.6,-0.000235,-0.364835,0.081726,-0.430969,  14.748
     1.8,-0.000213,-0.364835,0.081761,-0.430956,  14.751
     2.0,0.000000,-0.364834,0.081782,-0.430923,  14.752
     2.2,0.000000,-0.364836,0.081791,-0.430890,  14.754
     2.4,0.000000,0.000000,0.081805,0.000000,  14.756
     2.6,0.000000,0.000000,0.081793,0.000000,  14.754
     2.8,0.000000,0.000000,0.081779,0.000000,  14.751
     3.0,0.000000,0.000000,0.081747,0.000000,  14.749
     3.2,0.000000,0.000000,0.081799,0.000000,  14.755
     3.4,0.000000,0.000000,0.081902,0.000000,  14.753
     3.6,0.000000,0.000000,0.000000,0.000000,  14.749
     3.8,0.000000,0.000000,0.000000,0.000000,  14.751
     4.0,0.000000,0.000000,0.000000,0.000000,  14.748
     4.2,0.000000,0.000000,0.000000,0.000000,  14.750
     4.4,0.000000,0.000000,0.000000,0.000000,  14.748
     4.6,0.000000,0.000000,0.000000,0.000000,  14.753
     4.8,0.000000,0.000000,0.000000,0.000000,  14.750
     5.0,0.000000,0.000000,0.000000,0.000000,  14.749
     5.2,0.000000,0.000000,0.000000,0.000000,  14.749
     5.4,0.000004,0.000000,0.000000,0.000000,  14.748
     5.6,-0.000005,0.000000,0.000000,0.000000,  14.749
     5.8,-0.000012,0.000000,0.000000,0.000000,  14.747
     6.0,-0.000015,0.000000,0.000000,0.000000,  14.746
     6.2,-0.000016,0.000000,0.000000,0.000000,  14.745
     6.4,-0.000026,0.000000,0.000000,0.000000,  14.748
     6.6,-0.000024,-0.000006,0.000000,0.000000,  14.740
     6.8,-0.000025,-0.000011,0.000000,0.000012,  14.740
     7.0,-0.000032,-0.000012,0.000000,-0.000021,  14.741
     7.2,-0.000042,-0.000019,0.000000,-0.000021,  14.743
     7.4,-0.000046,-0.000018,0.000000,-0.000009,  14.741
     7.6,-0.000049,-0.000015,0.000000,-0.000030,  14.743
     7.8,-0.000053,-0.000021,0.000203,-0.000030,  14.740
     8.0,-0.000060,-0.000020,0.000349,-0.000042,  14.741
     8.2,-0.000064,-0.000023,0.000427,-0.000076,  14.739
     8.4,-0.000065,-0.000024,0.000443,-0.000063,  14.737
     8.6,-0.000070,-0.000027,0.000409,-0.000063,  14.735
     8.8,-0.000077,-0.000030,0.000319,-0.000097,  14.738
     9.0,-0.000085,-0.000035,0.000292,-0.000084,  14.737
     9.2,-0.000092,-0.000042,0.000265,-0.000051,  14.738
     9.4,-0.000099,-0.000047,0.000250,-0.000084,  14.738
     9.6,-0.000097,-0.000045,0.000250,-0.000084,  14.732
     9.8,-0.000104,-0.000048,0.000262,-0.000084,  14.738
    10.0,-0.000108,-0.000049,0.000277,-0.000118,  14.734
    10.2,-0.000111,-0.000050,0.000271,-0.000084,  14.736
    10.4,-0.000118,-0.000053,0.000264,-0.000084,  14.737
    10.6,-0.000125,-0.000060,0.000255,-0.000118,  14.735
    10.8,-0.000135,-0.000063,-0.000013,-0.000084,  14.736
    11.0,-0.000136,-0.000066,-0.000418,-0.000084,  14.733
    11.2,-0.000133,-0.000071,-0.000947,-0.000118,  14.734
    11.4,-0.000136,-0.000076,-0.000961,-0.000084,  14.732
    11.6,-0.000141,-0.000085,-0.000796,-0.000084,  14.733
    11.8,-0.000149,-0.000090,-0.000427,-0.000118,  14.733
    12.0,-0.000155,-0.000095,-0.000289,-0.000105,  14.733
    12.2,-0.000165,-0.000104,-0.000165,-0.000105,  14.732
    12.4,-0.000171,-0.000109,-0.000068,-0.000126,  14.724
    12.6,-0.000170,-0.000109,0.000004,-0.000126,  14.722
    12.8,-0.000166,-0.000113,0.000065,-0.000126,  14.725
    13.0,-0.000168,-0.000121,0.000094,-0.000114,  14.725
    13.2,-0.000173,-0.000121,0.000130,-0.000114,  14.723
    13.4,-0.000181,-0.000123,0.000159,-0.000147,  14.723
    13.6,-0.000189,-0.000126,0.000180,-0.000126,  14.722
    13.8,-0.000196,-0.000128,0.000210,-0.000126,  14.719
    14.0,-0.000197,-0.000130,0.000258,-0.000126,  14.722
    14.2,-0.000202,-0.000134,0.000295,-0.000126,  14.720
    14.4,-0.000212,-0.000135,0.000326,-0.000147,  14.719
    14.6,-0.000218,-0.000136,0.000362,-0.000147,  14.716
    14.8,-0.000226,-0.000146,0.000398,-0.000147,  14.715
    15.0,-0.000230,-0.000148,0.000398,-0.000168,  14.715
    15.2,-0.000231,-0.000152,0.000378,-0.000168,  14.717
    15.4,-0.000241,-0.000162,0.000337,-0.000147,  14.713
    15.6,-0.000249,-0.000165,0.000343,-0.000135,  14.709
    15.8,-0.000252,-0.000168,0.000353,-0.000168,  14.711
    16.0,-0.000260,-0.000177,0.000381,-0.000168,  14.712
    16.2,-0.000263,-0.000182,0.000417,-0.000156,  14.709
    16.4,-0.000276,-0.000187,0.000392,-0.000202,  14.709
    16.6,-0.000283,-0.000192,0.000365,-0.000202,  14.709
    16.8,-0.000287,-0.000198,0.000329,-0.000189,  14.706
    17.0,-0.000291,-0.000201,0.000290,-0.000189,  14.703
    17.2,-0.000298,-0.000207,0.000257,-0.000189,  14.710
    17.4,-0.000299,-0.000212,0.000222,-0.000177,  14.706
    17.6,-0.000303,-0.000217,0.000203,-0.000177,  14.704
    17.8,-0.000310,-0.000228,0.000172,-0.000189,  14.705
    18.0,-0.000320,-0.000225,0.000151,-0.000177,  14.700
    18.2,-0.000321,-0.000230,0.000146,-0.000177,  14.701
    18.4,-0.000326,-0.000235,0.000135,-0.000177,  14.700
    18.6,-0.000324,-0.000238,0.000131,-0.000165,  14.700
    18.8,-0.000329,-0.000242,0.000127,-0.000198,  14.702
