Run Name,Run 2 40%
Run Date,01:54:36 PM   01-29-13
Method Name,40%B-Isocratic
Export Format Version, 1.00
Method ID, 1506
Points/Second, 5.00
Number of Records,   2970
Offset from Run Start Time,00:00:00
Run End Time,00:09:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.082174,0.000000,0.055345,0.000000,  40.811
     0.2,0.082664,0.000000,0.055345,0.000000,  40.814
     0.4,0.082968,0.000000,0.055345,0.000000,  40.811
     0.6,0.082938,0.000000,0.055345,0.000000,  40.814
     0.8,0.000000,0.000000,0.000000,0.000000,  40.809
     1.0,0.000000,0.000000,0.000000,0.000000,  40.812
     1.2,0.000000,0.000000,0.000000,0.000000,  40.818
     1.4,0.000000,0.000000,0.000000,0.000000,  40.816
     1.6,0.000000,0.000000,0.000000,0.000000,  40.818
     1.8,0.000000,0.000000,0.000000,0.000000,  40.821
     2.0,0.000000,0.000000,0.000000,0.000000,  40.820
     2.2,0.000000,0.000000,0.000000,0.000000,  40.821
     2.4,0.000000,0.000000,0.000000,0.000000,  40.819
     2.6,0.000000,0.000000,0.000000,0.000000,  40.823
     2.8,0.000000,0.000000,0.000000,0.000000,  40.825
     3.0,0.000000,0.000000,0.000000,0.000000,  40.827
     3.2,0.000000,0.000000,0.000000,0.000000,  40.832
     3.4,0.000000,0.000000,0.000000,0.000000,  40.854
     3.6,0.000000,0.000000,0.000000,0.000000,  40.847
     3.8,0.000000,0.000000,0.000000,0.000000,  40.839
     4.0,0.000000,0.000000,0.000000,0.000000,  40.842
     4.2,0.000000,0.000000,0.000000,0.000000,  40.848
     4.4,0.000308,0.000000,0.000000,0.000019,  40.845
     4.6,0.000519,0.000439,0.000198,0.000229,  40.842
     4.8,0.000622,0.000375,0.000311,0.000340,  40.842
     5.0,0.000628,0.000329,0.000382,0.000456,  40.845
     5.2,0.000522,0.000294,0.000385,0.000437,  40.847
     5.4,0.000321,0.000267,0.000337,0.000388,  40.843
     5.6,0.000292,0.000246,0.000216,0.000259,  40.849
     5.8,0.000279,0.000232,0.000040,0.000207,  40.840
     6.0,0.000308,0.000235,-0.000001,0.000191,  40.844
     6.2,0.000260,0.000184,-0.000014,0.000194,  40.847
     6.4,0.000180,0.000119,-0.000004,0.000142,  40.845
     6.6,0.000087,0.000043,-0.000040,0.000110,  40.844
     6.8,0.000045,0.000006,-0.000075,0.000062,  40.842
     7.0,0.000007,-0.000024,-0.000118,0.000010,  40.845
     7.2,-0.000003,-0.000036,-0.000151,0.000013,  40.842
     7.4,-0.000029,-0.000043,-0.000178,-0.000003,  40.845
     7.6,-0.000064,-0.000046,-0.000197,-0.000055,  40.846
     7.8,-0.000083,-0.000032,-0.000240,-0.000035,  40.839
     8.0,-0.000093,-0.000032,-0.000299,-0.000068,  40.844
     8.2,-0.000096,-0.000044,-0.000361,-0.000087,  40.848
     8.4,-0.000083,-0.000058,-0.000356,-0.000052,  40.854
     8.6,-0.000090,-0.000062,-0.000319,-0.000035,  40.854
     8.8,-0.000099,-0.000069,-0.000252,-0.000055,  40.858
     9.0,-0.000112,-0.000073,-0.000247,-0.000019,  40.851
     9.2,-0.000128,-0.000099,-0.000249,-0.000035,  40.847
     9.4,-0.000134,-0.000136,-0.000284,-0.000055,  40.844
     9.6,-0.000147,-0.000172,-0.000273,0.000029,  40.848
     9.8,-0.000157,-0.000097,-0.000237,0.000078,  40.843
    10.0,-0.000061,0.000031,-0.000211,0.000172,  40.850
    10.2,0.000084,0.000210,-0.000170,0.000369,  40.847
    10.4,0.000285,0.000222,-0.000116,0.000563,  40.843
    10.6,0.000289,0.000185,-0.000052,0.000595,  40.838
    10.8,0.000212,0.000090,-0.000047,0.000563,  40.841
    11.0,0.000074,0.000055,-0.000069,0.000414,  40.837
    11.2,0.000023,0.000027,-0.000107,0.000272,  40.837
    11.4,-0.000019,0.000001,-0.000137,0.000172,  40.838
    11.6,-0.000051,-0.000025,-0.000153,0.000107,  40.843
    11.8,-0.000070,-0.000050,-0.000200,0.000094,  40.839
    12.0,-0.000086,-0.000064,-0.000227,0.000026,  40.841
    12.2,-0.000086,-0.000078,-0.000264,0.000029,  40.837
    12.4,-0.000102,-0.000093,-0.000310,0.000029,  40.834
    12.6,-0.000131,-0.000104,-0.000358,-0.000006,  40.834
