Run Name,group 1 2014
Run Date,05:22:44 PM   01-28-14
Method Name,20%B-Isocratic.6
Export Format Version, 1.00
Method ID, 1739
Points/Second, 5.00
Number of Records,  10590
Offset from Run Start Time,00:00:00
Run End Time,00:35:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000852,0.000000,0.000000,0.000000,  81.565
     0.2,-0.000847,0.000000,0.000000,0.000000,  81.571
     0.4,-0.000866,0.000000,0.000000,0.000000,  81.574
     0.6,-0.000850,0.000000,0.000000,0.000000,  81.576
     0.8,0.000000,0.000000,0.000000,0.000000,  81.568
     1.0,0.000000,0.000000,0.000000,0.000000,  81.571
     1.2,0.000000,0.000000,0.000000,0.000000,  81.574
     1.4,0.000000,0.000000,0.000000,0.000000,  81.575
     1.6,0.000000,0.000000,0.000000,0.000000,  81.575
     1.8,0.000000,0.000000,0.000000,0.000000,  81.575
     2.0,0.000000,0.000000,0.000000,0.000000,  81.573
     2.2,0.000000,0.000000,0.000000,0.000000,  81.575
     2.4,0.000000,0.000000,0.000000,0.000000,  81.568
     2.6,0.000000,0.000000,0.000000,0.000000,  81.569
     2.8,0.000000,0.000000,0.000000,0.000000,  81.564
     3.0,0.000000,0.000000,0.000000,0.000000,  81.568
     3.2,0.000000,0.000000,0.000000,0.000000,  81.568
     3.4,0.000000,0.000000,0.000000,0.000000,  81.570
     3.6,0.000000,0.000000,0.000000,0.000000,  81.570
     3.8,0.000000,0.000000,0.000000,0.000000,  81.574
     4.0,0.000000,0.000000,0.000000,0.000000,  81.571
     4.2,0.000024,0.000014,0.000000,0.000000,  81.569
     4.4,0.000022,0.000030,0.000000,0.000039,  81.571
     4.6,0.000031,0.000036,-0.000237,0.000039,  81.576
     4.8,0.000034,0.000042,-0.000247,0.000052,  81.575
     5.0,0.000039,0.000046,-0.000250,0.000039,  81.572
     5.2,0.000033,0.000046,-0.000250,0.000052,  81.568
     5.4,0.000037,0.000042,-0.000241,0.000039,  81.569
     5.6,0.000037,0.000039,-0.000232,0.000039,  81.572
     5.8,0.000025,0.000036,-0.000203,0.000052,  81.576
     6.0,0.000026,0.000036,-0.000506,0.000003,  81.569
     6.2,0.000026,0.000031,-0.000992,0.000003,  81.566
     6.4,0.000022,0.000032,-0.001640,0.000016,  81.556
     6.6,0.000029,0.000030,-0.001677,-0.000032,  81.563
     6.8,0.000013,0.000014,-0.001493,0.000003,  81.562
     7.0,-0.000012,-0.000005,-0.001086,0.000003,  81.560
     7.2,-0.000037,-0.000029,-0.000961,-0.000045,  81.562
     7.4,-0.000047,-0.000042,-0.000868,-0.000036,  81.565
     7.6,-0.000061,-0.000050,-0.000792,-0.000036,  81.566
     7.8,-0.000059,-0.000054,-0.000712,-0.000058,  81.572
     8.0,-0.000050,-0.000055,-0.000644,-0.000036,  81.570
     8.2,-0.000051,-0.000048,-0.000587,-0.000036,  81.568
     8.4,-0.000046,-0.000034,-0.000542,-0.000058,  81.568
     8.6,-0.000038,-0.000028,-0.000523,-0.000036,  81.566
     8.8,-0.000027,-0.000016,-0.000527,-0.000036,  81.569
     9.0,-0.000019,-0.000005,-0.000472,-0.000071,  81.566
     9.2,-0.000014,-0.000001,-0.000409,-0.000023,  81.563
     9.4,-0.000009,-0.000007,-0.000345,-0.000023,  81.568
     9.6,-0.000012,-0.000010,-0.000345,-0.000045,  81.566
     9.8,-0.000010,-0.000012,-0.000362,-0.000023,  81.563
    10.0,-0.000008,-0.000013,-0.000425,-0.000023,  81.561
    10.2,-0.000014,-0.000007,-0.000509,-0.000045,  81.561
    10.4,-0.000008,-0.000012,-0.000487,-0.000045,  81.562
    10.6,-0.000013,-0.000020,-0.000442,-0.000045,  81.563
    10.8,-0.000027,-0.000026,-0.000371,-0.000068,  81.565
    11.0,-0.000037,-0.000033,-0.000368,-0.000081,  81.566
    11.2,-0.000037,-0.000029,-0.000402,-0.000094,  81.563
    11.4,-0.000040,-0.000027,-0.000437,-0.000117,  81.563
    11.6,-0.000031,-0.000030,-0.000402,-0.000117,  81.561
    11.8,-0.000029,-0.000033,-0.000334,-0.000081,  81.558
    12.0,-0.000035,-0.000028,-0.000229,-0.000104,  81.563
    12.2,-0.000031,-0.000028,-0.000310,-0.000104,  81.565
    12.4,-0.000026,-0.000029,-0.000476,-0.000081,  81.566
    12.6,-0.000027,-0.000027,-0.000728,-0.000104,  81.565
    12.8,-0.000018,-0.000020,-0.000745,-0.000104,  81.568
    13.0,-0.000018,-0.000020,-0.000719,-0.000068,  81.565
    13.2,-0.000030,-0.000029,-0.000629,-0.000091,  81.569
    13.4,-0.000034,-0.000030,-0.000616,-0.000104,  81.559
    13.6,-0.000031,-0.000026,-0.000603,-0.000068,  81.560
    13.8,-0.000035,-0.000022,-0.000601,-0.000091,  81.564
    14.0,-0.000021,-0.000008,-0.000782,-0.000104,  81.563
    14.2,-0.000018,-0.000005,-0.001059,-0.000068,  81.565
    14.4,-0.000025,-0.000010,-0.001434,-0.000091,  81.562
    14.6,-0.000025,-0.000017,-0.001434,-0.000104,  81.563
    14.8,-0.000024,-0.000018,-0.001303,-0.000068,  81.566
    15.0,-0.000030,-0.000017,-0.001042,-0.000091,  81.565
    15.2,-0.000024,-0.000014,-0.000938,-0.000068,  81.566
    15.4,-0.000017,-0.000014,-0.000870,-0.000045,  81.566
    15.6,-0.000015,-0.000023,-0.000816,-0.000045,  81.564
    15.8,-0.000021,-0.000019,-0.000759,-0.000081,  81.564
    16.0,-0.000021,-0.000025,-0.000723,-0.000068,  81.566
    16.2,-0.000021,-0.000035,-0.000676,-0.000045,  81.563
    16.4,-0.000030,-0.000040,-0.000906,-0.000068,  81.567
    16.6,-0.000031,-0.000044,-0.001287,-0.000081,  81.567
    16.8,-0.000031,-0.000044,-0.001805,-0.000058,  81.574
    17.0,-0.000038,-0.000041,-0.002482,-0.000081,  81.578
    17.2,-0.000031,-0.000038,-0.002428,-0.000045,  81.581
    17.4,-0.000024,-0.000040,-0.002175,-0.000045,  81.576
    17.6,-0.000016,-0.000040,-0.001725,-0.000055,  81.574
    17.8,0.000001,-0.000030,-0.001499,0.000007,  81.574
    18.0,0.000009,-0.000016,-0.001281,0.000020,  81.569
    18.2,0.000012,-0.000005,-0.001094,-0.000003,  81.571
    18.4,0.000012,-0.000006,-0.000954,0.000033,  81.570
    18.6,0.000009,-0.000012,-0.000846,0.000007,  81.573
    18.8,-0.000003,-0.000016,-0.000794,-0.000042,  81.566
    19.0,-0.000018,-0.000026,-0.000650,-0.000042,  81.566
    19.2,-0.000026,-0.000035,-0.000503,-0.000055,  81.574
    19.4,-0.000035,-0.000034,-0.000342,-0.000091,  81.573
    19.6,-0.000037,-0.000035,-0.000298,-0.000081,  81.568
    19.8,-0.000042,-0.000037,-0.000314,-0.000058,  81.576
    20.0,-0.000044,-0.000042,-0.000383,-0.000081,  81.572
    20.2,-0.000041,-0.000050,-0.000441,-0.000058,  81.574
    20.4,-0.000041,-0.000052,-0.000555,-0.000058,  81.574
    20.6,-0.000044,-0.000051,-0.000676,-0.000045,  81.568
    20.8,-0.000039,-0.000048,-0.000686,-0.000058,  81.571
    21.0,-0.000037,-0.000047,-0.000669,-0.000023,  81.575
    21.2,-0.000038,-0.000045,-0.000605,-0.000010,  81.566
    21.4,-0.000038,-0.000034,-0.000589,-0.000045,  81.572
    21.6,-0.000026,-0.000034,-0.000576,-0.000010,  81.567
    21.8,-0.000033,-0.000046,-0.000576,-0.000032,  81.575
    22.0,-0.000040,-0.000056,-0.000582,-0.000032,  81.569
    22.2,-0.000053,-0.000054,-0.000587,-0.000045,  81.572
    22.4,-0.000053,-0.000050,-0.000604,-0.000045,  81.576
    22.6,-0.000048,-0.000042,-0.000572,-0.000068,  81.573
    22.8,-0.000043,-0.000041,-0.000527,-0.000068,  81.574
    23.0,-0.000038,-0.000039,-0.000454,-0.000032,  81.573
    23.2,-0.000038,-0.000041,-0.000445,-0.000055,  81.574
    23.4,-0.000040,-0.000039,-0.000464,-0.000068,  81.573
    23.6,-0.000040,-0.000039,-0.000484,-0.000045,  81.569
    23.8,-0.000043,-0.000035,-0.000542,-0.000068,  81.570
    24.0,-0.000048,-0.000039,-0.000532,-0.000032,  81.572
    24.2,-0.000051,-0.000052,-0.000523,-0.000045,  81.567
    24.4,-0.000053,-0.000057,-0.000525,-0.000068,  81.569
    24.6,-0.000061,-0.000059,-0.000535,-0.000068,  81.571
    24.8,-0.000061,-0.000065,-0.000566,-0.000081,  81.568
    25.0,-0.000061,-0.000063,-0.000617,-0.000104,  81.575
    25.2,-0.000055,-0.000061,-0.000595,-0.000104,  81.572
    25.4,-0.000050,-0.000057,-0.000550,-0.000081,  81.575
    25.6,-0.000051,-0.000056,-0.000496,-0.000104,  81.578
    25.8,-0.000042,-0.000045,-0.000514,-0.000104,  81.576
    26.0,-0.000037,-0.000041,-0.000556,-0.000104,  81.575
    26.2,-0.000035,-0.000036,-0.000642,-0.000126,  81.573
    26.4,-0.000026,-0.000029,-0.000645,-0.000104,  81.574
    26.6,-0.000026,-0.000026,-0.000626,-0.000068,  81.578
    26.8,-0.000035,-0.000023,-0.000583,-0.000091,  81.577
    27.0,-0.000037,-0.000027,-0.000574,-0.000081,  81.577
    27.2,-0.000031,-0.000028,-0.000570,-0.000058,  81.572
    27.4,-0.000030,-0.000024,-0.000566,-0.000081,  81.563
    27.6,-0.000018,-0.000016,-0.000566,-0.000045,  81.566
    27.8,-0.000024,-0.000029,-0.000576,-0.000032,  81.566
