Run Name,38% iso group 1
Run Date,03:29:04 PM   01-28-14
Method Name,38%B-Isocratic.2
Export Format Version, 1.00
Method ID, 1731
Points/Second, 5.00
Number of Records,   3052
Offset from Run Start Time,00:00:00
Run End Time,00:10:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,-0.001327,-0.000095,  38.012
     0.2,0.000000,0.000000,-0.001302,-0.000095,  38.012
     0.4,0.000000,0.000000,-0.001302,-0.000072,  38.007
     0.6,0.000000,0.000000,-0.001332,-0.000063,  38.009
     0.8,0.000000,0.000000,-0.001390,-0.000085,  38.009
     1.0,0.000000,0.000000,-0.001490,-0.000072,  38.005
     1.2,0.000000,0.000000,-0.001103,0.000000,  38.008
     1.4,0.000000,0.000000,-0.001103,0.000000,  38.007
     1.6,0.000000,0.000000,-0.001103,0.000000,  38.006
     1.8,0.000000,0.000000,-0.001103,0.000000,  38.008
     2.0,0.000000,0.000000,0.000000,0.000000,  38.007
     2.2,0.000000,0.000000,0.000000,0.000000,  38.005
     2.4,0.000000,0.000000,0.000000,0.000000,  38.009
     2.6,0.000000,0.000000,0.000000,0.000000,  38.006
     2.8,0.000000,0.000000,0.000000,0.000000,  38.009
     3.0,0.000000,0.000000,0.000000,0.000000,  38.010
     3.2,0.000000,0.000000,0.000000,0.000000,  38.007
     3.4,0.000000,0.000000,0.000000,0.000000,  38.007
     3.6,0.000000,0.000000,0.000000,0.000000,  38.014
     3.8,0.000000,0.000000,0.000000,0.000000,  38.009
     4.0,-0.000010,0.000000,0.000000,0.000000,  38.010
     4.2,-0.000010,-0.000005,0.000000,0.000000,  38.013
     4.4,-0.000017,-0.000005,0.000000,0.000000,  38.013
     4.6,-0.000017,-0.000002,0.000000,0.000000,  38.007
     4.8,-0.000023,-0.000007,0.000000,0.000000,  38.013
     5.0,-0.000021,0.000000,0.000000,0.000000,  38.010
     5.2,-0.000018,0.000003,0.000000,0.000000,  38.016
     5.4,-0.000009,0.000000,0.000000,-0.000023,  38.011
     5.6,-0.000015,0.000004,-0.000045,-0.000036,  38.013
     5.8,-0.000009,0.000001,-0.000065,-0.000036,  38.010
     6.0,-0.000012,0.000001,-0.000104,-0.000023,  38.014
     6.2,-0.000018,0.000001,-0.000154,-0.000010,  38.011
     6.4,-0.000009,0.000001,-0.000204,-0.000010,  38.007
     6.6,-0.000009,-0.000005,-0.000258,-0.000010,  38.010
