Run Name,Group 1 01 28 2014
Run Date,02:50:50 PM   01-28-14
Method Name,40%B-Isocratic
Export Format Version, 1.00
Method ID, 1512
Points/Second, 5.00
Number of Records,   3016
Offset from Run Start Time,00:00:00
Run End Time,00:10:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000008,0.000000,0.004358,0.000001,  39.512
     0.2,-0.000002,0.000000,0.004358,0.000001,  39.508
     0.4,-0.000003,0.000000,0.004358,0.000059,  39.504
     0.6,-0.000009,0.000000,0.004358,0.000117,  39.503
     0.8,0.000000,0.000000,0.004358,0.000095,  39.502
     1.0,0.000000,0.000000,0.000000,0.000095,  39.497
     1.2,0.000000,0.000000,0.000000,0.000000,  39.492
     1.4,0.000000,0.000000,0.000000,0.000000,  39.492
     1.6,0.000000,0.000000,0.000000,0.000000,  39.488
     1.8,0.000000,0.000000,0.000000,0.000000,  39.494
     2.0,0.000000,0.000000,0.000000,0.000000,  39.492
     2.2,0.000000,0.000000,0.000000,0.000000,  39.486
     2.4,0.000000,0.000000,0.000000,0.000000,  39.485
     2.6,0.000000,0.000000,0.000000,0.000000,  39.488
     2.8,0.000000,0.000000,0.000000,0.000000,  39.486
     3.0,0.000000,0.000000,0.000000,0.000000,  39.483
     3.2,0.000000,0.000000,0.000000,0.000000,  39.487
     3.4,0.000000,0.000000,0.000000,0.000000,  39.482
     3.6,0.000000,0.000000,0.000000,0.000000,  39.483
     3.8,0.000000,0.000000,0.000000,0.000000,  39.486
     4.0,0.000000,0.000000,0.000000,0.000000,  39.483
     4.2,0.000000,0.000000,0.000000,0.000000,  39.484
     4.4,0.000000,0.000000,0.000000,0.000000,  39.481
     4.6,-0.000010,0.000000,-0.000065,0.000000,  39.488
     4.8,-0.000017,-0.000005,-0.000065,0.000000,  39.485
     5.0,-0.000010,-0.000006,-0.000084,0.000000,  39.485
     5.2,-0.000017,-0.000010,-0.000119,0.000000,  39.486
     5.4,-0.000014,-0.000008,-0.000158,0.000000,  39.487
     5.6,-0.000017,-0.000012,-0.000212,-0.000049,  39.488
     5.8,-0.000017,-0.000014,-0.000290,-0.000071,  39.486
     6.0,-0.000019,-0.000014,-0.000305,-0.000071,  39.485
     6.2,-0.000018,-0.000017,-0.000311,-0.000049,  39.486
     6.4,-0.000024,-0.000020,-0.000282,-0.000071,  39.488
     6.6,-0.000022,-0.000011,-0.000311,-0.000084,  39.486
     6.8,-0.000015,-0.000012,-0.000370,-0.000062,  39.485
     7.0,-0.000019,-0.000010,-0.000438,-0.000084,  39.482
     7.2,-0.000010,-0.000011,-0.000453,-0.000084,  39.485
     7.4,-0.000001,-0.000007,-0.000473,-0.000071,  39.486
     7.6,-0.000005,-0.000004,-0.000473,-0.000058,  39.486
     7.8,0.000004,-0.000001,-0.000477,-0.000094,  39.486
     8.0,0.000007,-0.000000,-0.000488,-0.000058,  39.485
     8.2,0.000006,0.000006,-0.000488,-0.000071,  39.486
     8.4,0.000015,0.000009,-0.000492,-0.000094,  39.487
     8.6,0.000017,0.000010,-0.000467,-0.000058,  39.483
     8.8,0.000013,0.000016,-0.000448,-0.000058,  39.488
     9.0,0.000026,0.000018,-0.000403,-0.000081,  39.487
     9.2,0.000030,0.000015,-0.000373,-0.000081,  39.483
     9.4,0.000026,0.000018,-0.000353,-0.000081,  39.488
     9.6,0.000029,0.000017,-0.000347,-0.000116,  39.485
     9.8,0.000028,0.000019,-0.000445,-0.000116,  39.484
    10.0,0.000024,0.000014,-0.000619,-0.000081,  39.484
    10.2,0.000024,0.000018,-0.000841,-0.000116,  39.476
    10.4,0.000024,0.000015,-0.000851,-0.000116,  39.483
    10.6,0.000020,0.000019,-0.000777,-0.000081,  39.479
    10.8,0.000020,0.000024,-0.000638,-0.000103,  39.478
    11.0,0.000020,0.000024,-0.000564,-0.000103,  39.480
    11.2,0.000020,0.000019,-0.000496,-0.000068,  39.479
    11.4,0.000017,0.000020,-0.000422,-0.000090,  39.478
    11.6,0.000015,0.000019,-0.000363,-0.000090,  39.480
    11.8,0.000017,0.000014,-0.000338,-0.000068,  39.473
    12.0,0.000019,0.000018,-0.000334,-0.000103,  39.475
    12.2,0.000022,0.000018,-0.000334,-0.000103,  39.472
    12.4,0.000016,0.000014,-0.000348,-0.000068,  39.473
    12.6,0.000013,0.000012,-0.000387,-0.000103,  39.471
    12.8,0.000011,0.000012,-0.000373,-0.000103,  39.473
    13.0,0.000004,0.000006,-0.000354,-0.000068,  39.475
    13.2,0.000007,0.000008,-0.000305,-0.000103,  39.468
    13.4,0.000013,0.000011,-0.000305,-0.000103,  39.463
    13.6,0.000011,0.000006,-0.000334,-0.000068,  39.462
    13.8,0.000013,0.000006,-0.000373,-0.000103,  39.465
    14.0,0.000008,0.000004,-0.000611,-0.000103,  39.459
    14.2,0.000008,0.000001,-0.000967,-0.000068,  39.457
    14.4,0.000002,0.000006,-0.001415,-0.000103,  39.452
    14.6,0.000002,0.000006,-0.001411,-0.000103,  39.449
    14.8,0.000004,0.000001,-0.001243,-0.000068,  39.448
    15.0,0.000004,0.000006,-0.000887,-0.000103,  39.451
    15.2,0.000007,0.000006,-0.000773,-0.000103,  39.444
    15.4,0.000007,0.000003,-0.000708,-0.000068,  39.440
    15.6,0.000010,0.000005,-0.000687,-0.000103,  39.442
    15.8,0.000010,0.000007,-0.000727,-0.000103,  39.441
    16.0,0.000010,0.000004,-0.000815,-0.000068,  39.438
    16.2,0.000010,0.000007,-0.000989,-0.000103,  39.436
    16.4,0.000010,0.000008,-0.000951,-0.000103,  39.430
    16.6,0.000007,0.000004,-0.000812,-0.000068,  39.427
    16.8,0.000007,0.000006,-0.000625,-0.000068,  39.415
    17.0,0.000010,0.000010,-0.000551,-0.000090,  39.418
    17.2,0.000007,0.000003,-0.000498,-0.000103,  39.412
    17.4,0.000007,0.000005,-0.000467,-0.000068,  39.410
    17.6,0.000007,0.000005,-0.000457,-0.000090,  39.407
    17.8,0.000004,0.000001,-0.000443,-0.000068,  39.403
    18.0,0.000004,0.000003,-0.000443,-0.000068,  39.399
    18.2,0.000002,-0.000001,-0.000447,-0.000103,  39.399
    18.4,-0.000001,-0.000003,-0.000437,-0.000103,  39.396
    18.6,-0.000004,-0.000001,-0.000459,-0.000068,  39.390
    18.8,-0.000004,0.000002,-0.000459,-0.000116,  39.393
    19.0,-0.000004,0.000002,-0.000444,-0.000116,  39.397
    19.2,-0.000006,0.000002,-0.000435,-0.000081,  39.389
    19.4,-0.000006,-0.000001,-0.000421,-0.000129,  39.390
    19.6,-0.000004,0.000001,-0.000367,-0.000129,  39.390
    19.8,-0.000004,-0.000000,-0.000283,-0.000081,  39.388
    20.0,-0.000004,-0.000003,-0.000205,-0.000103,  39.387
    20.2,-0.000004,-0.000007,-0.000190,-0.000103,  39.382
    20.4,-0.000004,-0.000010,-0.000200,-0.000068,  39.384
    20.6,-0.000006,-0.000009,-0.000250,-0.000090,  39.383
    20.8,-0.000009,-0.000011,-0.000290,-0.000090,  39.383
    21.0,-0.000006,-0.000016,-0.000334,-0.000068,  39.381
    21.2,-0.000009,-0.000009,-0.000392,-0.000103,  39.375
    21.4,-0.000009,-0.000005,-0.000373,-0.000103,  39.372
    21.6,-0.000013,-0.000005,-0.000335,-0.000068,  39.365
    21.8,-0.000015,-0.000002,-0.000257,-0.000103,  39.367
    22.0,-0.000015,-0.000003,-0.000232,-0.000103,  39.368
    22.2,-0.000013,-0.000004,-0.000238,-0.000068,  39.366
    22.4,-0.000013,0.000002,-0.000253,-0.000103,  39.365
    22.6,-0.000006,0.000001,-0.000237,-0.000103,  39.361
    22.8,-0.000006,0.000003,-0.000251,-0.000068,  39.361
    23.0,-0.000001,0.000005,-0.000266,-0.000103,  39.356
    23.2,-0.000001,0.000006,-0.000225,-0.000103,  39.348
    23.4,0.000002,0.000005,-0.000186,-0.000068,  39.343
    23.6,0.000007,0.000015,-0.000126,-0.000103,  39.338
    23.8,0.000010,0.000023,-0.000190,-0.000103,  39.336
    24.0,0.000015,0.000022,-0.000308,-0.000068,  39.338
    24.2,0.000017,0.000026,-0.000473,-0.000103,  39.335
    24.4,0.000017,0.000028,-0.000467,-0.000103,  39.339
    24.6,0.000017,0.000028,-0.000408,-0.000068,  39.335
    24.8,0.000023,0.000024,-0.000289,-0.000103,  39.337
    25.0,0.000025,0.000029,-0.000240,-0.000090,  39.335
    25.2,0.000025,0.000027,-0.000200,-0.000042,  39.333
    25.4,0.000028,0.000029,-0.000166,-0.000077,  39.329
    25.6,0.000031,0.000032,-0.000151,-0.000077,  39.330
    25.8,0.000032,0.000030,-0.000141,-0.000055,  39.329
    26.0,0.000028,0.000034,-0.000155,-0.000055,  39.328
    26.2,0.000031,0.000036,-0.000174,-0.000077,  39.329
    26.4,0.000033,0.000033,-0.000160,-0.000077,  39.326
    26.6,0.000036,0.000033,-0.000125,-0.000055,  39.327
    26.8,0.000036,0.000034,-0.000080,-0.000077,  39.323
    27.0,0.000038,0.000031,-0.000045,-0.000042,  39.324
    27.2,0.000041,0.000035,-0.000000,-0.000055,  39.319
    27.4,0.000038,0.000041,0.000039,-0.000090,  39.317
    27.6,0.000038,0.000036,0.000045,-0.000077,  39.321
    27.8,0.000041,0.000039,-0.000000,-0.000055,  39.321
    28.0,0.000038,0.000040,-0.000054,-0.000090,  39.323
    28.2,0.000036,0.000038,-0.000103,-0.000077,  39.317
    28.4,0.000038,0.000038,-0.000167,-0.000055,  39.315
    28.6,0.000038,0.000036,-0.000229,-0.000090,  39.310
    28.8,0.000038,0.000036,-0.000254,-0.000077,  39.308
    29.0,0.000035,0.000038,-0.000254,-0.000055,  39.315
    29.2,0.000032,0.000036,-0.000224,-0.000103,  39.306
    29.4,0.000032,0.000036,-0.000228,-0.000068,  39.308
    29.6,0.000028,0.000030,-0.000248,-0.000045,  39.302
    29.8,0.000023,0.000034,-0.000273,-0.000094,  39.302
    30.0,0.000027,0.000031,-0.000248,-0.000058,  39.308
    30.2,0.000027,0.000029,-0.000219,-0.000045,  39.305
    30.4,0.000022,0.000031,-0.000192,-0.000081,  39.307
    30.6,0.000016,0.000032,-0.000168,-0.000045,  39.297
    30.8,0.000014,0.000031,-0.000150,-0.000045,  39.296
    31.0,0.000014,0.000032,-0.000125,-0.000081,  39.297
    31.2,0.000011,0.000027,-0.000116,-0.000045,  39.298
    31.4,0.000008,0.000023,-0.000126,-0.000045,  39.294
    31.6,0.000008,0.000030,-0.000131,-0.000081,  39.293
    31.8,0.000012,0.000027,-0.000141,-0.000045,  39.292
    32.0,0.000012,0.000025,-0.000160,-0.000045,  39.293
