Run Name,group 1 1/31 36% B
Run Date,04:10:27 PM   01-31-14
Method Name,36%B-Isocratic.52
Export Format Version, 1.00
Method ID, 1754
Points/Second, 5.00
Number of Records,   4543
Offset from Run Start Time,00:00:00
Run End Time,00:15:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.000000,0.000000,  36.883
     0.2,0.000000,0.000000,0.000000,0.000000,  36.884
     0.4,0.000000,0.000000,0.000000,0.000000,  36.883
     0.6,0.000000,0.000000,0.000000,0.000000,  36.883
     0.8,0.000000,0.000000,0.000000,0.000000,  36.884
     1.0,0.000000,0.000000,0.000000,0.000000,  36.886
     1.2,0.000000,0.000000,0.000000,0.000000,  36.889
     1.4,0.000000,0.000000,0.000000,0.000000,  36.886
     1.6,0.000000,0.000000,0.000000,0.000000,  36.892
     1.8,0.000000,0.000000,0.000000,0.000000,  36.886
     2.0,0.000000,0.000000,0.000000,0.000000,  36.888
     2.2,0.000000,0.000000,0.000000,0.000000,  36.889
     2.4,0.000000,0.000000,0.000000,0.000000,  36.886
     2.6,0.000000,0.000000,0.000000,0.000000,  36.885
     2.8,0.000000,0.000000,0.000000,0.000000,  36.882
     3.0,0.000000,0.000000,0.000000,0.000000,  36.885
     3.2,0.000000,0.000000,0.000046,0.000000,  36.884
     3.4,0.000003,0.000000,-0.000033,0.000000,  36.880
     3.6,0.000003,0.000000,-0.000107,0.000000,  36.882
     3.8,-0.000006,0.000000,-0.000132,0.000000,  36.880
     4.0,-0.000005,-0.000004,-0.000142,0.000000,  36.878
     4.2,-0.000014,-0.000007,-0.000127,0.000000,  36.883
     4.4,-0.000008,-0.000009,-0.000096,-0.000023,  36.881
     4.6,-0.000013,-0.000005,-0.000107,0.000026,  36.877
     4.8,-0.000019,-0.000005,-0.000122,0.000026,  36.869
     5.0,-0.000013,-0.000008,-0.000159,-0.000023,  36.878
     5.2,-0.000013,-0.000011,-0.000175,-0.000045,  36.874
     5.4,-0.000017,-0.000009,-0.000180,-0.000045,  36.874
     5.6,-0.000010,-0.000014,-0.000201,-0.000045,  36.872
     5.8,-0.000013,-0.000016,-0.000207,-0.000068,  36.871
     6.0,-0.000017,-0.000013,-0.000212,-0.000081,  36.871
     6.2,-0.000015,-0.000015,-0.000228,-0.000058,  36.867
     6.4,-0.000021,-0.000012,-0.000233,-0.000045,  36.868
     6.6,-0.000024,-0.000010,-0.000223,-0.000045,  36.864
     6.8,-0.000018,-0.000017,-0.000217,-0.000058,  36.859
     7.0,-0.000018,-0.000017,-0.000249,-0.000045,  36.863
     7.2,-0.000024,-0.000015,-0.000281,-0.000058,  36.862
     7.4,-0.000018,-0.000018,-0.000322,-0.000071,  36.860
     7.6,-0.000023,-0.000018,-0.000328,-0.000058,  36.855
     7.8,-0.000026,-0.000016,-0.000319,-0.000058,  36.852
     8.0,-0.000026,-0.000020,-0.000282,-0.000058,  36.852
     8.2,-0.000032,-0.000021,-0.000277,-0.000045,  36.850
     8.4,-0.000029,-0.000020,-0.000277,-0.000045,  36.846
     8.6,-0.000026,-0.000024,-0.000303,-0.000058,  36.837
     8.8,-0.000032,-0.000026,-0.000304,-0.000045,  36.833
     9.0,-0.000026,-0.000024,-0.000304,-0.000045,  36.828
     9.2,-0.000032,-0.000022,-0.000304,-0.000058,  36.827
     9.4,-0.000026,-0.000022,-0.000299,-0.000045,  36.826
     9.6,-0.000026,-0.000023,-0.000294,-0.000045,  36.822
     9.8,-0.000032,-0.000024,-0.000284,-0.000058,  36.821
    10.0,-0.000026,-0.000026,-0.000268,-0.000045,  36.820
    10.2,-0.000026,-0.000027,-0.000268,-0.000081,  36.814
    10.4,-0.000032,-0.000029,-0.000274,-0.000081,  36.815
    10.6,-0.000023,-0.000033,-0.000290,-0.000081,  36.817
    10.8,-0.000023,-0.000033,-0.000321,-0.000116,  36.810
    11.0,-0.000030,-0.000033,-0.000383,-0.000116,  36.813
    11.2,-0.000023,-0.000036,-0.000383,-0.000094,  36.814
    11.4,-0.000029,-0.000029,-0.000374,-0.000129,  36.811
    11.6,-0.000035,-0.000027,-0.000348,-0.000094,  36.810
    11.8,-0.000026,-0.000032,-0.000306,-0.000058,  36.809
    12.0,-0.000029,-0.000027,-0.000348,-0.000045,  36.807
    12.2,-0.000035,-0.000025,-0.000410,-0.000045,  36.803
    12.4,-0.000029,-0.000030,-0.000514,-0.000058,  36.799
    12.6,-0.000025,-0.000031,-0.000551,-0.000045,  36.803
    12.8,-0.000031,-0.000031,-0.000572,-0.000045,  36.804
    13.0,-0.000031,-0.000035,-0.000566,-0.000058,  36.800
    13.2,-0.000025,-0.000038,-0.000551,-0.000045,  36.800
    13.4,-0.000031,-0.000041,-0.000531,-0.000045,  36.801
    13.6,-0.000031,-0.000043,-0.000504,-0.000058,  36.801
    13.8,-0.000025,-0.000034,-0.000504,-0.000045,  36.797
    14.0,-0.000031,-0.000032,-0.000520,-0.000045,  36.799
    14.2,-0.000029,-0.000028,-0.000551,-0.000058,  36.797
    14.4,-0.000022,-0.000033,-0.000566,-0.000045,  36.793
    14.6,-0.000029,-0.000029,-0.000582,-0.000045,  36.792
    14.8,-0.000020,-0.000027,-0.000597,-0.000058,  36.793
    15.0,-0.000013,-0.000025,-0.000591,-0.000010,  36.793
    15.2,-0.000017,-0.000027,-0.000602,-0.000023,  36.788
    15.4,-0.000014,-0.000027,-0.000608,-0.000036,  36.789
    15.6,-0.000009,-0.000022,-0.000582,0.000013,  36.782
    15.8,-0.000013,-0.000020,-0.000556,0.000013,  36.778
    16.0,-0.000013,-0.000021,-0.000508,-0.000023,  36.780
    16.2,-0.000006,-0.000014,-0.000467,-0.000045,  36.774
    16.4,-0.000010,-0.000014,-0.000436,-0.000045,  36.774
    16.6,-0.000010,-0.000015,-0.000394,-0.000045,  36.774
    16.8,-0.000006,-0.000013,-0.000373,-0.000068,  36.766
    17.0,-0.000006,-0.000009,-0.000383,-0.000068,  36.757
    17.2,-0.000001,-0.000010,-0.000420,-0.000032,  36.753
    17.4,-0.000001,-0.000006,-0.000400,-0.000019,  36.750
    17.6,0.000001,-0.000004,-0.000369,-0.000019,  36.747
    17.8,0.000004,-0.000004,-0.000322,-0.000032,  36.744
    18.0,0.000004,0.000001,-0.000541,-0.000019,  36.749
    18.2,0.000007,0.000003,-0.000891,-0.000055,  36.754
    18.4,0.000000,0.000005,-0.001355,-0.000068,  36.758
    18.6,0.000003,0.000002,-0.001349,-0.000055,  36.769
    18.8,0.000000,0.000004,-0.001187,-0.000090,  36.781
    19.0,-0.000006,0.000004,-0.000852,-0.000068,  36.790
    19.2,0.000003,-0.000001,-0.000728,-0.000055,  36.793
    19.4,0.000000,0.000002,-0.000613,-0.000103,  36.790
    19.6,-0.000006,-0.000001,-0.000513,-0.000081,  36.795
    19.8,0.000003,-0.000001,-0.000497,-0.000068,  36.793
    20.0,0.000007,0.000001,-0.000564,-0.000116,  36.791
    20.2,-0.000015,-0.000002,-0.000673,-0.000081,  36.792
    20.4,-0.000039,-0.000002,-0.000614,-0.000081,  36.793
    20.6,-0.000069,-0.000004,-0.000514,-0.000081,  36.786
    20.8,-0.000105,-0.000012,-0.000351,-0.000116,  36.790
    21.0,-0.000136,-0.000016,-0.000135,-0.000094,  36.789
    21.2,-0.000167,-0.000029,-0.000002,-0.000155,  36.786
    21.4,-0.000206,-0.000054,0.000105,-0.000194,  36.772
    21.6,-0.000235,-0.000077,0.000223,-0.000211,  36.745
    21.8,-0.000263,-0.000112,0.000366,-0.000237,  36.717
    22.0,-0.000297,-0.000144,0.000525,-0.000312,  36.713
    22.2,-0.000344,-0.000166,0.000662,-0.000328,  36.701
    22.4,-0.000379,-0.000193,0.000736,-0.000354,  36.700
    22.6,-0.000409,-0.000225,0.000795,-0.000429,  36.705
    22.8,-0.000433,-0.000248,0.000812,-0.000432,  36.700
    23.0,-0.000451,-0.000277,0.000853,-0.000458,  36.688
    23.2,-0.000484,-0.000299,0.000917,-0.000533,  36.687
    23.4,-0.000512,-0.000323,0.000986,-0.000536,  36.683
    23.6,-0.000548,-0.000339,0.000964,-0.000549,  36.685
    23.8,-0.000539,-0.000350,0.000893,-0.000611,  36.680
