Run Name,15-31% lin grad group 10 march 20
Run Date,04:15:37 PM   03-20-14
Method Name,15-31% Linear gradient cus group 10 march 20.1
Export Format Version, 1.00
Method ID, 1984
Points/Second, 5.00
Number of Records,  11446
Offset from Run Start Time,00:00:00
Run End Time,00:38:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.000992,0.000000, 15,-0.011379,0.000000,  19.947,   92
     0.2,-0.000986,0.000000, 15,-0.011379,0.000000,  19.947,   93
     0.4,-0.000989,0.000000, 15,-0.011379,0.000000,  19.949,   94
     0.6,-0.000978,0.000000, 15,-0.011379,0.000000,  19.948,   93
     0.8,0.000000,0.000000, 15,-0.011379,0.000000,  19.951,   92
     1.0,0.000000,0.000000, 15,0.000000,0.000000,  19.951,   92
     1.2,0.000000,0.000000, 15,0.000000,0.000000,  19.956,   92
     1.4,0.000000,0.000000, 15,0.000000,0.000000,  19.959,   92
     1.6,0.000000,0.000000, 15,0.000000,0.000000,  19.959,   93
     1.8,0.000000,0.000000, 15,0.000000,0.000000,  19.956,   92
     2.0,0.000000,0.000000, 15,0.000000,0.000000,  19.962,   91
     2.2,0.000000,0.000000, 15,0.000000,0.000000,  19.966,   91
     2.4,0.000000,0.000000, 15,0.000000,0.000000,  19.963,   92
     2.6,0.000000,0.000000, 15,0.000000,0.000000,  19.962,   93
     2.8,0.000000,0.000000, 15,0.000000,0.000000,  19.960,   94
     3.0,0.000000,0.000000, 15,0.000000,0.000000,  19.965,   94
     3.2,0.000000,0.000000, 15,0.000000,0.000000,  19.965,   93
     3.4,0.000000,0.000000, 15,-0.000125,0.000000,  19.969,   93
     3.6,0.000000,0.000016, 15,-0.000082,0.000000,  19.969,   92
     3.8,0.000005,0.000017, 15,-0.000075,0.000036,  19.974,   92
     4.0,0.000001,0.000012, 15,-0.000094,0.000013,  19.969,   92
     4.2,-0.000008,0.000010, 15,-0.000132,0.000026,  19.975,   91
     4.4,-0.000004,0.000012, 15,-0.000213,0.000026,  19.977,   91
     4.6,-0.000007,0.000012, 15,-0.000320,0.000026,  19.980,   91
     4.8,-0.000005,0.000009, 15,-0.000351,0.000026,  19.982,   91
     5.0,-0.000000,0.000003, 15,-0.000370,0.000013,  19.975,   93
     5.2,-0.000007,-0.000002, 15,-0.000351,0.000026,  19.980,   96
     5.4,-0.000004,-0.000005, 15,-0.000395,0.000026,  19.980,   94
     5.6,-0.000005,-0.000006, 15,-0.000464,0.000013,  19.977,   92
     5.8,-0.000009,0.000001, 15,-0.000564,0.000013,  19.977,   92
     6.0,-0.000009,0.000001, 15,-0.000589,0.000026,  19.982,   92
     6.2,-0.000016,-0.000004, 15,-0.000602,-0.000023,  19.985,   91
     6.4,-0.000020,0.000002, 15,-0.000608,-0.000023,  19.982,   91
     6.6,-0.000013,0.000001, 15,-0.000589,-0.000010,  19.980,   93
     6.8,-0.000013,-0.000003, 15,-0.000546,-0.000010,  19.982,   94
     7.0,-0.000017,0.000002, 15,-0.000495,-0.000010,  19.981,   93
     7.2,-0.000011,0.000001, 15,-0.000420,-0.000010,  19.982,   91
     7.4,-0.000013,0.000001, 15,-0.000395,-0.000046,  19.983,   91
     7.6,-0.000020,-0.000004, 15,-0.000383,-0.000010,  19.975,   92
     7.8,-0.000011,-0.000003, 15,-0.000383,-0.000010,  19.982,   92
     8.0,-0.000011,-0.000001, 15,-0.000433,-0.000046,  19.979,   92
     8.2,-0.000016,-0.000005, 15,-0.000546,-0.000010,  19.977,   92
     8.4,-0.000005,-0.000004, 15,-0.000677,-0.000010,  19.973,   92
     8.6,-0.000003,-0.000005, 15,-0.000677,-0.000046,  19.974,   92
     8.8,-0.000010,-0.000005, 15,-0.000640,-0.000010,  19.971,   92
     9.0,-0.000011,-0.000007, 15,-0.000552,-0.000010,  19.975,   92
     9.2,-0.000012,-0.000005, 15,-0.000546,-0.000046,  19.975,   92
     9.4,-0.000013,-0.000005, 15,-0.000564,-0.000023,  19.973,   92
     9.6,-0.000020,-0.000003, 15,-0.000577,-0.000010,  19.971,   91
     9.8,-0.000020,-0.000003, 15,-0.000577,-0.000046,  19.967,   92
    10.0,-0.000024,-0.000008, 15,-0.000589,-0.000023,  19.965,   93
    10.2,-0.000021,-0.000003, 15,-0.000602,-0.000010,  19.962,   93
    10.4,-0.000024,-0.000005, 15,-0.000589,-0.000046,  19.962,   93
    10.6,-0.000024,-0.000007, 15,-0.000583,-0.000010,  19.962,   93
    10.8,-0.000019,-0.000007, 15,-0.000583,0.000003,  19.959,   93
    11.0,-0.000019,-0.000009, 15,-0.000571,-0.000033,  19.960,   94
    11.2,-0.000022,-0.000007, 15,-0.000564,0.000003,  19.956,   95
    11.4,-0.000020,-0.000010, 15,-0.000552,0.000003,  19.963,   94
    11.6,-0.000020,-0.000004, 15,-0.000539,-0.000033,  19.957,   93
    11.8,-0.000024,0.000003, 15,-0.000546,-0.000010,  19.954,   93
    12.0,-0.000026,-0.000005, 15,-0.000539,-0.000023,  19.953,   92
    12.2,-0.000022,-0.000003, 15,-0.000539,-0.000059,  19.949,   92
    12.4,-0.000020,-0.000001, 15,-0.000558,-0.000010,  19.949,   91
    12.6,-0.000020,-0.000006, 15,-0.000583,-0.000033,  19.950,   93
    12.8,-0.000020,-0.000003, 15,-0.000564,-0.000020,  19.947,   94
    13.0,-0.000020,-0.000006, 15,-0.000546,-0.000020,  19.942,   93
