Run Name,16# c group 10 march 17
Run Date,06:21:18 PM   03-17-14
Method Name,16% c group 10 march 17.8
Export Format Version, 1.00
Method ID, 1964
Points/Second, 5.00
Number of Records,   4246
Offset from Run Start Time,00:00:00
Run End Time,00:14:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.000415,-0.000202, 16,-0.006870,0.000049,  21.190,   88
     0.2,-0.000419,-0.000205, 16,-0.006876,0.000049,  21.194,   87
     0.4,-0.000422,-0.000200, 16,-0.006881,0.000062,  21.194,   86
     0.6,-0.000415,-0.000202, 16,-0.006898,0.000062,  21.192,   86
     0.8,-0.000419,-0.000205, 16,-0.006881,0.000062,  21.192,   86
     1.0,-0.000422,-0.000200, 16,-0.006840,0.000075,  21.193,   86
     1.2,-0.000442,0.000000, 16,-0.006824,0.000062,  21.193,   87
     1.4,-0.000446,0.000000, 16,-0.006818,0.000062,  21.193,   86
     1.6,-0.000455,0.000000, 16,-0.006813,0.000075,  21.190,   84
     1.8,-0.000435,0.000000, 16,-0.006830,0.000062,  21.188,   84
     2.0,0.000000,0.000000, 16,-0.006818,0.000062,  21.191,   84
     2.2,0.000000,0.000000, 16,-0.006801,0.000075,  21.188,   86
     2.4,0.000000,0.000000, 16,-0.007334,0.000062,  21.191,   87
     2.6,0.000000,0.000000, 16,-0.007334,0.000062,  21.188,   87
     2.8,0.000000,0.000000, 16,-0.007334,0.000085,  21.188,   87
     3.0,0.000000,0.000000, 16,-0.007334,0.000095,  21.184,   87
     3.2,0.000000,0.000000, 16,0.000000,0.000095,  21.188,   86
     3.4,0.000000,0.000000, 16,0.000000,0.000059,  21.185,   86
     3.6,0.000000,0.000000, 16,0.000000,0.000000,  21.186,   85
     3.8,0.000000,0.000000, 16,0.000000,0.000000,  21.183,   86
     4.0,0.000000,0.000000, 16,0.000000,0.000000,  21.189,   86
     4.2,0.000000,0.000000, 16,0.000000,0.000000,  21.183,   85
     4.4,0.000000,0.000000, 16,0.000000,0.000000,  21.185,   85
     4.6,0.000000,0.000000, 16,0.000000,0.000000,  21.182,   87
     4.8,0.000000,0.000000, 16,0.000000,0.000000,  21.185,   88
     5.0,0.000000,0.000000, 16,0.000000,0.000000,  21.181,   87
     5.2,0.000000,-0.000003, 16,0.000000,0.000000,  21.180,   86
     5.4,0.000009,-0.000006, 16,0.000000,0.000000,  21.185,   86
     5.6,0.000008,-0.000012, 16,0.000000,0.000000,  21.181,   86
     5.8,0.000008,-0.000008, 16,0.000000,0.000000,  21.184,   85
     6.0,0.000008,-0.000010, 16,0.000000,0.000000,  21.182,   85
     6.2,0.000004,-0.000009, 16,0.000000,0.000000,  21.181,   86
     6.4,0.000011,-0.000010, 16,-0.000011,0.000000,  21.179,   87
     6.6,0.000008,-0.000010, 16,0.000024,0.000000,  21.181,   85
     6.8,0.000004,-0.000013, 16,0.000042,0.000000,  21.179,   84
     7.0,0.000008,-0.000011, 16,0.000014,0.000000,  21.179,   86
     7.2,0.000005,-0.000014, 16,-0.000033,0.000000,  21.180,   88
     7.4,0.000008,-0.000019, 16,-0.000113,0.000000,  21.179,   87
     7.6,0.000008,-0.000016, 16,-0.000218,0.000000,  21.180,   86
     7.8,0.000015,-0.000018, 16,-0.000230,0.000000,  21.179,   86
     8.0,0.000015,-0.000016, 16,-0.000230,0.000036,  21.180,   87
     8.2,0.000008,-0.000018, 16,-0.000189,0.000013,  21.177,   87
     8.4,0.000009,-0.000020, 16,-0.000207,0.000013,  21.178,   86
     8.6,0.000009,-0.000022, 16,-0.000224,0.000013,  21.175,   86
     8.8,0.000003,-0.000027, 16,-0.000259,0.000013,  21.179,   86
     9.0,0.000004,-0.000034, 16,-0.000306,-0.000023,  21.175,   86
     9.2,0.000004,-0.000037, 16,-0.000340,0.000013,  21.174,   85
     9.4,0.000000,-0.000035, 16,-0.000380,0.000013,  21.174,   86
     9.6,0.000004,-0.000030, 16,-0.000375,-0.000010,  21.171,   86
     9.8,0.000004,-0.000033, 16,-0.000352,0.000026,  21.172,   86
    10.0,0.000000,-0.000033, 16,-0.000306,0.000026,  21.172,   87
    10.2,0.000004,-0.000030, 16,-0.000294,0.000003,  21.174,   86
    10.4,0.000001,-0.000032, 16,-0.000323,0.000026,  21.167,   86
