Run Name,20% c group 10 march 17
Run Date,05:26:09 PM   03-17-14
Method Name,20% cr group 10 march 17.5
Export Format Version, 1.00
Method ID, 1957
Points/Second, 5.00
Number of Records,   2820
Offset from Run Start Time,00:00:00
Run End Time,00:09:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.000102,-0.000119, 20,0.000522,-0.000291,  24.713,   89
     0.2,-0.000109,-0.000117, 20,0.000544,-0.000314,  24.714,   89
     0.4,-0.000109,-0.000119, 20,0.000608,-0.000278,  24.711,   90
     0.6,-0.000105,-0.000119, 20,0.000683,-0.000291,  24.709,   89
     0.8,-0.000109,-0.000122, 20,0.000689,-0.000291,  24.714,   89
     1.0,-0.000109,-0.000122, 20,0.000683,-0.000278,  24.706,   89
     1.2,-0.000105,-0.000120, 20,0.000643,-0.000291,  24.711,   89
     1.4,-0.000109,-0.000120, 20,0.000631,-0.000291,  24.711,   89
     1.6,-0.000102,-0.000117, 20,0.000625,-0.000278,  24.712,   89
     1.8,-0.000098,-0.000107, 20,0.000614,-0.000291,  24.708,   88
     2.0,-0.000102,-0.000101, 20,0.000626,-0.000291,  24.709,   86
     2.2,-0.000095,-0.000101, 20,0.000649,-0.000314,  24.712,   87
     2.4,-0.000098,-0.000105, 20,0.000673,-0.000278,  24.705,   87
     2.6,-0.000099,-0.000101, 20,0.000719,-0.000278,  24.713,   89
     2.8,-0.000090,-0.000101, 20,0.000544,-0.000301,  24.711,   92
     3.0,-0.000087,-0.000101, 20,0.000295,-0.000264,  24.710,   90
     3.2,-0.000088,-0.000099, 20,-0.000048,-0.000264,  24.710,   87
     3.4,-0.000079,-0.000097, 20,-0.000083,-0.000288,  24.709,   89
     3.6,-0.001039,0.000000, 20,-0.000007,-0.000251,  24.707,   90
     3.8,-0.001054,0.000000, 20,0.000168,-0.000264,  24.709,   91
     4.0,-0.001046,0.000000, 20,0.000284,-0.000301,  24.710,   92
     4.2,-0.001046,0.000000, 20,0.000424,-0.000264,  24.710,   91
     4.4,0.000000,0.000000, 20,0.000563,-0.000264,  24.704,   90
     4.6,0.000000,0.000000, 20,0.000731,-0.000291,  24.708,   90
     4.8,0.000000,0.000000, 20,0.000918,-0.000244,  24.705,   89
     5.0,0.000000,0.000000, 20,0.000526,0.000000,  24.708,   89
     5.2,0.000000,0.000000, 20,0.000526,0.000000,  24.712,   89
     5.4,0.000000,0.000000, 20,0.000526,0.000000,  24.713,   89
     5.6,0.000000,0.000000, 20,0.000526,0.000000,  24.712,   90
     5.8,0.000000,0.000000, 20,0.000000,0.000000,  24.707,   89
     6.0,0.000000,0.000000, 20,0.000000,0.000000,  24.708,   89
     6.2,0.000000,0.000000, 20,0.000000,0.000000,  24.706,   88
     6.4,0.000000,0.000000, 20,0.000000,0.000000,  24.707,   87
     6.6,0.000000,0.000000, 20,0.000000,0.000000,  24.705,   87
     6.8,0.000000,0.000000, 20,0.000000,0.000000,  24.712,   87
     7.0,0.000000,0.000000, 20,0.000000,0.000000,  24.709,   89
     7.2,0.000000,0.000000, 20,0.000000,0.000000,  24.711,   90
     7.4,0.000002,0.000000, 20,0.000000,0.000000,  24.711,   89
     7.6,0.000014,-0.000001, 20,0.000000,0.000000,  24.714,   87
     7.8,0.000016,-0.000005, 20,0.000000,0.000000,  24.713,   89
     8.0,0.000016,-0.000001, 20,0.000000,0.000000,  24.711,   90
     8.2,0.000010,0.000001, 20,0.000000,0.000000,  24.712,   89
     8.4,0.000016,0.000001, 20,0.000000,0.000000,  24.709,   89
     8.6,0.000019,0.000006, 20,0.000000,0.000000,  24.715,   89
     8.8,0.000022,0.000008, 20,0.000000,-0.000013,  24.716,   89
     9.0,0.000031,0.000010, 20,0.000011,-0.000013,  24.714,   89
     9.2,0.000034,0.000012, 20,-0.000046,-0.000049,  24.714,   89
     9.4,0.000037,0.000013, 20,-0.000093,0.000000,  24.714,   89
     9.6,0.000034,0.000012, 20,-0.000134,-0.000023,  24.718,   89
     9.8,0.000034,0.000012, 20,-0.000146,0.000013,  24.716,   89
    10.0,0.000037,0.000018, 20,-0.000134,0.000013,  24.714,   88
    10.2,0.000034,0.000021, 20,-0.000100,-0.000010,  24.718,   88
    10.4,0.000037,0.000018, 20,-0.000112,0.000039,  24.719,   88
    10.6,0.000037,0.000023, 20,-0.000152,0.000026,  24.719,   91
    10.8,0.000037,0.000027, 20,-0.000186,-0.000010,  24.718,   94
    11.0,0.000039,0.000025, 20,-0.000186,0.000039,  24.717,   92
    11.2,0.000039,0.000025, 20,-0.000204,0.000026,  24.716,   90
    11.4,0.000039,0.000027, 20,-0.000198,-0.000010,  24.715,   89
    11.6,0.000042,0.000024, 20,-0.000209,0.000039,  24.717,   88
    11.8,0.000042,0.000024, 20,-0.000227,0.000039,  24.717,   88
    12.0,0.000042,0.000031, 20,-0.000232,0.000003,  24.717,   88
    12.2,0.000045,0.000027, 20,-0.000394,0.000016,  24.717,   89
    12.4,0.000042,0.000029, 20,-0.000645,0.000016,  24.718,   90
    12.6,0.000042,0.000037, 20,-0.000946,-0.000020,  24.716,   89
    12.8,0.000047,0.000038, 20,-0.000911,-0.000007,  24.721,   88
    13.0,0.000050,0.000033, 20,-0.000789,0.000016,  24.717,   89
    13.2,0.000053,0.000038, 20,-0.000528,-0.000020,  24.718,   89
    13.4,0.000055,0.000038, 20,-0.000650,-0.000007,  24.719,   90
    13.6,0.000058,0.000035, 20,-0.000917,0.000016,  24.720,   91
    13.8,0.000055,0.000039, 20,-0.001323,-0.000007,  24.715,   90
    14.0,0.000055,0.000037, 20,-0.001288,-0.000007,  24.715,   88
    14.2,0.000055,0.000035, 20,-0.001108,0.000029,  24.718,   91
    14.4,0.000049,0.000040, 20,-0.000771,0.000006,  24.720,   94
    14.6,0.000050,0.000040, 20,-0.000771,-0.000007,  24.714,   92
    14.8,0.000050,0.000038, 20,-0.000870,0.000029,  24.718,   89
    15.0,0.000047,0.000033, 20,-0.001043,-0.000007,  24.715,   89
    15.2,0.000049,0.000036, 20,-0.000973,-0.000007,  24.714,   89
    15.4,0.000055,0.000034, 20,-0.000816,0.000016,  24.714,   88
    15.6,0.000052,0.000035, 20,-0.000590,-0.000020,  24.715,   87
    15.8,0.000049,0.000033, 20,-0.000491,-0.000007,  24.717,   89
    16.0,0.000051,0.000031, 20,-0.000409,0.000016,  24.716,   90
    16.2,0.000049,0.000029, 20,-0.000368,-0.000020,  24.713,   90
    16.4,0.000046,0.000024, 20,-0.000316,-0.000007,  24.711,   91
    16.6,0.000042,0.000029, 20,-0.000282,0.000016,  24.711,   90
    16.8,0.000042,0.000029, 20,-0.000258,-0.000020,  24.712,   89
    17.0,0.000039,0.000023, 20,-0.000212,-0.000007,  24.709,   89
    17.2,0.000035,0.000030, 20,-0.000171,0.000016,  24.709,   89
    17.4,0.000035,0.000031, 20,-0.000137,-0.000020,  24.713,   89
    17.6,0.000039,0.000026, 20,-0.000113,-0.000007,  24.712,   89
    17.8,0.000042,0.000026, 20,-0.000130,0.000016,  24.710,   88
    18.0,0.000042,0.000028, 20,-0.000148,0.000016,  24.707,   87
    18.2,0.000039,0.000025, 20,-0.000137,-0.000007,  24.707,   87
    18.4,0.000042,0.000027, 20,-0.000101,0.000029,  24.706,   88
    18.6,0.000042,0.000025, 20,-0.000072,0.000029,  24.708,   91
