Run Name,24% cr group 10 march 17
Run Date,04:49:29 PM   03-17-14
Method Name,24% cr group 10 march 17.4
Export Format Version, 1.00
Method ID, 1955
Points/Second, 5.00
Number of Records,   8448
Offset from Run Start Time,00:00:00
Run End Time,00:28:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.000018,-0.000016, 24,-0.003703,-0.000043,  28.238,   89
     0.2,-0.000022,-0.000016, 24,-0.003667,-0.000066,  28.235,   90
     0.4,-0.000024,-0.000023, 24,-0.003644,-0.000066,  28.238,   90
     0.6,-0.000020,-0.000016, 24,-0.003638,-0.000043,  28.236,   90
     0.8,-0.000024,-0.000018, 24,-0.003568,-0.000066,  28.239,   90
     1.0,-0.000027,-0.000020, 24,-0.003511,-0.000066,  28.242,   89
     1.2,-0.000023,-0.000017, 24,-0.003400,-0.000043,  28.239,   89
     1.4,-0.000030,-0.000017, 24,-0.003371,-0.000066,  28.244,   89
     1.6,-0.000033,-0.000019, 24,-0.003371,-0.000066,  28.237,   89
     1.8,-0.000029,-0.000017, 24,-0.003406,-0.000043,  28.240,   92
     2.0,-0.000035,-0.000015, 24,-0.003400,-0.000066,  28.243,   96
     2.2,-0.000033,-0.000015, 24,-0.003389,-0.000066,  28.240,   93
     2.4,-0.000026,-0.000015, 24,-0.003383,-0.000043,  28.239,   90
     2.6,-0.000030,-0.000013, 24,-0.003378,-0.000066,  28.242,   89
     2.8,-0.000030,-0.000015, 24,-0.003378,-0.000066,  28.243,   88
     3.0,-0.000023,-0.000019, 24,-0.003378,-0.000043,  28.246,   89
     3.2,-0.000023,-0.000015, 24,-0.003349,-0.000066,  28.253,   90
     3.4,-0.000020,-0.000012, 24,-0.003343,-0.000066,  28.250,   90
     3.6,-0.000017,0.000000, 24,-0.003320,-0.000043,  28.251,   90
     3.8,-0.000079,0.000000, 24,-0.003320,-0.000066,  28.251,   90
     4.0,-0.000083,0.000000, 24,-0.003349,-0.000066,  28.256,   90
     4.2,-0.000073,0.000000, 24,-0.003389,-0.000043,  28.253,   89
     4.4,-0.000075,0.000000, 24,-0.003389,-0.000066,  28.260,   88
