Run Name,0-31% Linear gradient group 10 march 20
Run Date,02:46:07 PM   03-20-14
Method Name,0-31% Linear gradient group 10 march 20
Export Format Version, 1.00
Method ID, 1982
Points/Second, 5.00
Number of Records,  10104
Offset from Run Start Time,00:00:00
Run End Time,00:33:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.000000,0.000000,  0,0.000000,0.000000,   5.416,   92
     0.2,0.000000,0.000000,  0,0.000000,0.000000,   5.413,   92
     0.4,0.000000,0.000000,  0,0.000000,0.000000,   5.411,   93
     0.6,0.000000,0.000000,  0,0.000000,0.000000,   5.414,   94
     0.8,0.000000,0.000000,  0,0.000000,0.000000,   5.416,   95
     1.0,0.000000,0.000000,  0,0.000000,0.000000,   5.416,   95
     1.2,0.000000,0.000000,  0,0.000000,0.000000,   5.412,   94
     1.4,0.000000,0.000000,  0,0.000000,0.000000,   5.413,   92
     1.6,0.000000,0.000000,  0,0.000000,0.000000,   5.412,   91
     1.8,0.000000,0.000000,  0,0.000000,0.000000,   5.411,   92
     2.0,0.000000,0.000000,  0,0.000000,0.000000,   5.418,   93
     2.2,0.000000,0.000000,  0,0.000000,0.000000,   5.415,   93
     2.4,0.000000,-0.000003,  0,0.000000,0.000000,   5.412,   92
     2.6,0.000000,-0.000004,  0,0.000000,0.000000,   5.410,   93
     2.8,-0.000009,0.000003,  0,-0.000969,0.000000,   5.413,   95
     3.0,-0.000007,0.000003,  0,-0.001633,0.000000,   5.414,   94
     3.2,-0.000009,0.000004,  0,-0.001975,0.000000,   5.410,   94
     3.4,-0.000009,-0.000001,  0,-0.002013,0.000000,   5.414,   94
     3.6,-0.000009,-0.000006,  0,-0.001749,0.000000,   5.415,   94
     3.8,-0.000007,-0.000010,  0,-0.001196,-0.000046,   5.413,   93
     4.0,-0.000009,0.000000,  0,-0.000983,-0.000033,   5.414,   93
     4.2,-0.000016,-0.000001,  0,-0.000789,-0.000033,   5.410,   93
     4.4,-0.000013,-0.000002,  0,-0.000627,-0.000046,   5.412,   92
     4.6,-0.000016,-0.000001,  0,-0.000556,-0.000033,   5.412,   96
     4.8,-0.000020,-0.000004,  0,-0.000537,-0.000033,   5.411,   99
     5.0,-0.000017,0.000001,  0,-0.000550,-0.000033,   5.414,   96
     5.2,-0.000011,0.000001,  0,-0.000498,-0.000020,   5.412,   92
     5.4,-0.000008,0.000004,  0,-0.000434,-0.000033,   5.412,   92
     5.6,-0.000015,-0.000000,  0,-0.000343,-0.000033,   5.410,   92
     5.8,-0.000015,-0.000006,  0,-0.000272,-0.000020,   5.412,   93
     6.0,-0.000009,-0.000000,  0,-0.000207,-0.000033,   5.413,   94
     6.2,-0.000016,0.000006,  0,-0.000149,-0.000033,   5.415,   93
     6.4,-0.000006,0.000008,  0,-0.000123,-0.000020,   5.414,   92
     6.6,-0.000006,0.000006,  0,-0.000123,-0.000033,   5.406,   92
     6.8,-0.000013,0.000009,  0,-0.000143,-0.000033,   5.413,   92
     7.0,-0.000009,0.000008,  0,-0.000149,-0.000020,   5.413,   93
     7.2,-0.000009,0.000010,  0,-0.000156,-0.000020,   5.412,   94
     7.4,-0.000016,0.000011,  0,-0.000182,-0.000020,   5.411,   95
     7.6,-0.000013,0.000005,  0,-0.000176,-0.000007,   5.406,   95
     7.8,-0.000010,0.000002,  0,-0.000156,-0.000007,   5.411,   94
     8.0,-0.000010,0.000003,  0,-0.000117,-0.000020,   5.412,   93
     8.2,-0.000013,0.000003,  0,-0.000150,-0.000007,   5.413,   93
     8.4,-0.000016,0.000001,  0,-0.000208,-0.000007,   5.408,   92
     8.6,-0.000022,0.000003,  0,-0.000312,-0.000020,   5.406,   92
     8.8,-0.000016,0.000003,  0,-0.000299,-0.000007,   5.408,   92
     9.0,-0.000022,-0.000000,  0,-0.000227,-0.000020,   5.408,   94
     9.2,-0.000032,-0.000003,  0,-0.000130,-0.000033,   5.403,   95
     9.4,-0.000032,-0.000005,  0,-0.000123,-0.000020,   5.399,   94
     9.6,-0.000032,-0.000013,  0,-0.000156,-0.000033,   5.396,   93
     9.8,-0.000036,-0.000011,  0,-0.000195,-0.000033,   5.403,   94
    10.0,-0.000032,-0.000014,  0,-0.000260,-0.000020,   5.399,   94
    10.2,-0.000034,-0.000015,  0,-0.000350,-0.000033,   5.404,   94
    10.4,-0.000032,-0.000015,  0,-0.000447,-0.000033,   5.400,   95
    10.6,-0.000034,-0.000017,  0,-0.000480,-0.000020,   5.403,   93
    10.8,-0.000028,-0.000021,  0,-0.000499,-0.000033,   5.400,   92
    11.0,-0.000025,-0.000022,  0,-0.000499,-0.000033,   5.402,   95
    11.2,-0.000037,-0.000017,  0,-0.000473,-0.000033,   5.396,   97
    11.4,-0.000033,-0.000017,  0,-0.000421,-0.000033,   5.405,   94
    11.6,-0.000031,-0.000018,  0,-0.000363,-0.000033,   5.398,   91
    11.8,-0.000033,-0.000019,  0,-0.000266,-0.000033,   5.400,   92
    12.0,-0.000027,-0.000019,  0,-0.000492,-0.000020,   5.402,   94
    12.2,-0.000024,-0.000020,  0,-0.000828,-0.000033,   5.403,   93
    12.4,-0.000024,-0.000021,  0,-0.001305,-0.000033,   5.404,   92
    12.6,-0.000024,-0.000019,  0,-0.001337,-0.000020,   5.397,   92
    12.8,-0.000021,-0.000010,  0,-0.001221,-0.000033,   5.400,   92
    13.0,-0.000021,-0.000013,  0,-0.000951,-0.000033,   5.398,   92
    13.2,-0.000024,-0.000014,  0,-0.000867,-0.000020,   5.398,   93
    13.4,-0.000021,-0.000012,  0,-0.000796,-0.000033,   5.399,   94
    13.6,-0.000021,-0.000010,  0,-0.000732,-0.000033,   5.400,   95
    13.8,-0.000024,-0.000008,  0,-0.000628,-0.000020,   5.396,   94
    14.0,-0.000021,-0.000012,  0,-0.000518,-0.000033,   5.400,   94
    14.2,-0.000025,-0.000009,  0,-0.000415,-0.000033,   5.405,   92
    14.4,-0.000022,-0.000007,  0,-0.000764,-0.000020,   5.402,   91
    14.6,-0.000020,-0.000008,  0,-0.001331,-0.000033,   5.405,   92
    14.8,-0.000024,-0.000008,  0,-0.002148,-0.000033,   5.403,   93
    15.0,-0.000017,-0.000009,  0,-0.002116,-0.000020,   5.402,   92
    15.2,-0.000012,-0.000000,  0,-0.001775,-0.000020,   5.400,   91
    15.4,-0.000015,0.000007,  0,-0.001124,-0.000020,   5.399,   93
    15.6,-0.000009,0.000004,  0,-0.000931,-0.000007,   5.404,   95
    15.8,-0.000006,0.000006,  0,-0.000815,-0.000007,   5.397,   95
    16.0,-0.000006,0.000007,  0,-0.000770,-0.000020,   5.398,   94
    16.2,0.000001,0.000002,  0,-0.000983,-0.000007,   5.399,   94
    16.4,0.000003,0.000004,  0,-0.001363,-0.000007,   5.400,   93
    16.6,-0.000003,0.000007,  0,-0.001891,-0.000020,   5.398,   93
    16.8,-0.000003,0.000004,  0,-0.001834,-0.000007,   5.398,   93
    17.0,-0.000001,0.000006,  0,-0.001576,-0.000007,   5.398,   93
    17.2,-0.000010,0.000013,  0,-0.001106,-0.000020,   5.398,   92
    17.4,-0.000003,0.000010,  0,-0.000900,-0.000007,   5.396,   96
    17.6,-0.000003,0.000008,  0,-0.000758,-0.000007,   5.397,   99
    17.8,-0.000006,0.000008,  0,-0.000654,-0.000020,   5.398,   96
    18.0,-0.000003,0.000005,  0,-0.000538,-0.000007,   5.396,   92
    18.2,-0.000009,0.000006,  0,-0.000454,-0.000007,   5.392,   92
    18.4,-0.000009,0.000004,  0,-0.000396,-0.000020,   5.399,   92
    18.6,-0.000012,-0.000001,  0,-0.000545,-0.000007,   5.399,   93
    18.8,-0.000010,0.000002,  0,-0.000816,-0.000020,   5.398,   94
    19.0,-0.000013,-0.000002,  0,-0.001203,-0.000033,   5.399,   93
    19.2,-0.000013,-0.000007,  0,-0.001203,-0.000020,   5.397,   91
    19.4,-0.000016,-0.000003,  0,-0.001080,-0.000033,   5.395,   92
    19.6,-0.000018,-0.000003,  0,-0.000810,-0.000033,   5.395,   92
    19.8,-0.000021,-0.000008,  0,-0.000680,-0.000020,   5.393,   94
    20.0,-0.000021,-0.000005,  0,-0.000577,-0.000020,   5.394,   95
    20.2,-0.000018,-0.000004,  0,-0.000486,-0.000020,   5.390,   95
    20.4,-0.000021,-0.000009,  0,-0.000390,-0.000007,   5.395,   95
    20.6,-0.000021,-0.000004,  0,-0.000305,-0.000007,   5.393,   94
    20.8,-0.000016,-0.000004,  0,-0.000234,-0.000020,   5.394,   93
    21.0,-0.000016,-0.000011,  0,-0.000157,-0.000020,   5.395,   92
    21.2,-0.000013,-0.000008,  0,-0.000111,-0.000007,   5.395,   92
    21.4,-0.000013,-0.000006,  0,-0.000059,-0.000020,   5.391,   92
    21.6,-0.000013,-0.000011,  0,-0.000033,-0.000020,   5.397,   92
    21.8,-0.000016,-0.000008,  0,-0.000001,-0.000007,   5.395,   94
    22.0,-0.000018,-0.000003,  0,-0.000001,-0.000007,   5.398,   96
    22.2,-0.000025,-0.000002,  0,-0.000001,-0.000020,   5.398,   94
    22.4,-0.000022,-0.000002,  0,-0.000040,-0.000007,   5.390,   93
    22.6,-0.000020,-0.000001,  0,-0.000073,-0.000007,   5.394,   93
    22.8,-0.000024,0.000001,  0,-0.000125,-0.000020,   5.394,   94
    23.0,-0.000017,-0.000001,  0,-0.000144,-0.000043,   5.392,   94
    23.2,-0.000014,0.000002,  0,-0.000164,-0.000043,   5.396,   95
    23.4,-0.000018,0.000005,  0,-0.000157,-0.000056,   5.395,   93
    23.6,-0.000014,0.000007,  0,-0.000125,-0.000079,   5.394,   92
    23.8,-0.000014,0.000012,  0,-0.000093,-0.000079,   5.395,   94
    24.0,-0.000021,0.000009,  0,-0.000054,-0.000056,   5.394,   97
    24.2,-0.000014,0.000007,  0,-0.000034,-0.000043,   5.397,   95
    24.4,-0.000014,0.000007,  0,-0.000028,-0.000043,   5.393,   92
    24.6,-0.000012,0.000009,  0,-0.000028,-0.000043,   5.394,   93
    24.8,-0.000005,0.000007,  0,0.000030,-0.000043,   5.394,   94
    25.0,-0.000002,0.000007,  0,0.000088,-0.000043,   5.395,   93
    25.2,0.000001,0.000016,  0,0.000160,-0.000043,   5.392,   92
    25.4,0.000010,0.000016,  0,-0.000287,-0.000043,   5.397,   92
    25.6,0.000013,0.000011,  0,-0.001016,-0.000043,   5.395,   91
    25.8,0.000003,0.000016,  0,-0.002014,-0.000043,   5.395,   92
    26.0,0.000010,0.000017,  0,-0.002027,-0.000043,   5.393,   92
    26.2,0.000013,0.000011,  0,-0.001692,-0.000043,   5.395,   94
    26.4,0.000003,0.000011,  0,-0.001016,-0.000043,   5.392,   95
    26.6,0.000007,0.000010,  0,-0.000810,-0.000043,   5.394,   94
    26.8,0.000007,0.000010,  0,-0.000655,-0.000043,   5.389,   93
    27.0,0.000001,0.000013,  0,-0.000572,-0.000043,   5.399,   92
    27.2,0.000003,0.000014,  0,-0.000455,-0.000043,   5.395,   90
    27.4,0.000010,0.000013,  0,-0.000346,-0.000056,   5.396,   92
    27.6,0.000003,0.000015,  0,-0.000262,-0.000069,   5.395,   94
    27.8,0.000006,0.000019,  0,-0.000171,-0.000056,   5.398,   93
    28.0,0.000006,0.000019,  0,-0.000074,-0.000056,   5.402,   92
    28.2,0.000009,0.000022,  0,-0.000016,-0.000056,   5.399,   93
    28.4,0.000009,0.000019,  0,0.000036,-0.000043,   5.399,   95
    28.6,0.000009,0.000020,  0,0.000068,-0.000043,   5.397,   95
    28.8,0.000009,0.000022,  0,0.000081,-0.000056,   5.396,   94
    29.0,0.000009,0.000020,  0,0.000100,-0.000043,   5.394,   94
    29.2,0.000006,0.000019,  0,0.000094,-0.000043,   5.395,   93
    29.4,0.000009,0.000022,  0,0.000074,-0.000056,   5.391,   93
    29.6,0.000009,0.000018,  0,0.000029,-0.000056,   5.395,   93
    29.8,0.000009,0.000018,  0,-0.000043,-0.000079,   5.396,   93
    30.0,0.000012,0.000022,  0,-0.000127,-0.000056,   5.394,   92
    30.2,0.000012,0.000021,  0,-0.000244,-0.000056,   5.396,   96
    30.4,0.000012,0.000020,  0,-0.000198,-0.000043,   5.398,  100
    30.6,0.000014,0.000020,  0,-0.000101,-0.000043,   5.401,   96
    30.8,0.000014,0.000019,  0,0.000054,-0.000020,   5.400,   92
    31.0,0.000012,0.000019,  0,0.000086,-0.000007,   5.400,   92
    31.2,0.000009,0.000015,  0,0.000086,-0.000007,   5.402,   92
