Run Name,50% CRL group 10 march 17
Run Date,02:37:27 PM   03-17-14
Method Name,50% CRL group 10 march 17
Export Format Version, 1.00
Method ID, 1945
Points/Second, 5.00
Number of Records,   3540
Offset from Run Start Time,00:00:00
Run End Time,00:11:48
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.009364,0.000000, 50,0.274818,-0.442610,  49.773,   98
     0.2,0.009387,0.000000, 50,0.274835,-0.442646,  49.773,   99
     0.4,0.009379,0.000000, 50,0.274876,-0.442610,  49.775,   99
     0.6,0.009798,0.000000, 50,0.274898,-0.442623,  49.779,   98
     0.8,0.000000,0.000000, 50,0.274916,-0.442659,  49.779,   97
     1.0,0.000000,0.000000, 50,0.274939,-0.442610,  49.781,   97
     1.2,0.000000,0.000000, 50,0.274637,0.000000,  49.782,   98
     1.4,0.000000,0.000000, 50,0.274637,0.000000,  49.787,   99
     1.6,0.000000,0.000000, 50,0.274637,0.000000,  49.788,  101
     1.8,0.000000,0.000000, 50,0.274637,0.000000,  49.791,  101
     2.0,0.000000,0.000000, 50,0.000000,0.000000,  49.792,  101
     2.2,0.000000,0.000000, 50,0.000000,0.000000,  49.795,  100
     2.4,0.000000,0.000000, 50,0.000000,0.000000,  49.799,   98
     2.6,0.000000,0.000000, 50,0.000000,0.000000,  49.799,   98
     2.8,0.000000,0.000000, 50,0.000000,0.000000,  49.806,   98
     3.0,0.000000,0.000000, 50,0.000000,0.000000,  49.808,   98
     3.2,0.000000,0.000000, 50,0.000000,0.000000,  49.813,   98
     3.4,0.000000,0.000000, 50,0.000000,0.000000,  49.810,  100
     3.6,0.000000,0.000000, 50,0.000000,0.000000,  49.812,  101
     3.8,0.000000,0.000000, 50,0.000000,0.000000,  49.816,   99
     4.0,0.000000,0.000000, 50,0.000000,0.000000,  49.815,   97
     4.2,0.000000,0.000000, 50,0.000000,0.000000,  49.818,   99
     4.4,0.000000,0.000000, 50,0.000000,0.000000,  49.819,  100
     4.6,0.000000,0.000015, 50,0.000000,0.000000,  49.820,   99
     4.8,0.000008,0.000010, 50,0.000000,0.000000,  49.822,   98
     5.0,0.000011,0.000010, 50,0.000000,0.000000,  49.826,   98
     5.2,0.000004,0.000012, 50,0.000000,0.000000,  49.828,   98
     5.4,0.000011,0.000011, 50,0.000000,0.000000,  49.825,   99
     5.6,0.000004,0.000013, 50,0.000000,0.000000,  49.825,   99
     5.8,0.000011,0.000012, 50,-0.000086,0.000013,  49.829,  101
     6.0,0.000005,0.000006, 50,-0.000178,0.000000,  49.827,  102
     6.2,-0.000001,0.000013, 50,-0.000247,0.000000,  49.826,  101
     6.4,0.000008,0.000010, 50,-0.000299,0.000013,  49.832,   99
     6.6,0.000005,0.000008, 50,-0.000322,-0.000010,  49.836,   98
     6.8,-0.000004,0.000008, 50,-0.000328,-0.000010,  49.837,   97
     7.0,0.000003,0.000008, 50,-0.000299,0.000003,  49.836,   98
     7.2,0.000000,0.000010, 50,-0.000293,-0.000033,  49.835,   98
     7.4,0.000000,0.000012, 50,-0.000299,-0.000010,  49.840,  101
