Run Name,18% CRL group 12 4 2 14
Run Date,04:52:35 PM   04-02-14
Method Name,18% CRL group 12 4 2 14.1
Export Format Version, 1.00
Method ID, 2008
Points/Second, 5.00
Number of Records,   3568
Offset from Run Start Time,00:00:00
Run End Time,00:11:53
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure
     0.0,0.000024, 18,  23.030,   99
     0.2,0.000027, 18,  23.029,  100
     0.4,0.000007, 18,  23.028,  101
     0.6,0.000033, 18,  23.035,  101
     0.8,0.000000, 18,  23.036,  100
     1.0,0.000000, 18,  23.031,  100
     1.2,0.000000, 18,  23.035,   99
     1.4,0.000000, 18,  23.036,  101
     1.6,0.000000, 18,  23.039,  104
     1.8,0.000000, 18,  23.035,  103
     2.0,0.000000, 18,  23.033,  102
     2.2,0.000000, 18,  23.034,  102
     2.4,0.000000, 18,  23.033,  102
     2.6,0.000000, 18,  23.038,  102
     2.8,0.000000, 18,  23.038,  102
     3.0,0.000000, 18,  23.038,  102
     3.2,0.000000, 18,  23.038,  101
     3.4,0.000000, 18,  23.036,  100
     3.6,0.000000, 18,  23.037,  100
     3.8,0.000000, 18,  23.038,  100
     4.0,0.000000, 18,  23.041,  100
     4.2,0.000015, 18,  23.041,  101
     4.4,0.000014, 18,  23.038,  102
     4.6,0.000012, 18,  23.034,  102
     4.8,0.000012, 18,  23.039,  101
     5.0,0.000015, 18,  23.036,  101
     5.2,0.000012, 18,  23.037,  101
     5.4,0.000012, 18,  23.036,  101
     5.6,0.000012, 18,  23.034,  100
     5.8,0.000010, 18,  23.033,  101
     6.0,0.000011, 18,  23.032,  102
     6.2,0.000007, 18,  23.031,  102
     6.4,0.000010, 18,  23.030,  102
     6.6,0.000019, 18,  23.030,  103
     6.8,0.000015, 18,  23.026,  104
     7.0,0.000015, 18,  23.023,  103
     7.2,0.000022, 18,  23.019,  102
     7.4,0.000018, 18,  23.019,  101
     7.6,0.000022, 18,  23.022,  101
     7.8,0.000023, 18,  23.021,  101
     8.0,0.000022, 18,  23.023,  101
     8.2,0.000025, 18,  23.019,  101
     8.4,0.000021, 18,  23.016,  101
     8.6,0.000023, 18,  23.012,  100
     8.8,0.000023, 18,  23.016,   99
     9.0,0.000027, 18,  23.011,  100
     9.2,0.000027, 18,  23.008,  101
     9.4,0.000023, 18,  23.005,  101
     9.6,0.000033, 18,  23.004,  102
     9.8,0.000042, 18,  23.002,  102
    10.0,0.000036, 18,  23.000,  101
    10.2,0.000045, 18,  22.995,  101
    10.4,0.000048, 18,  22.994,  101
    10.6,0.000044, 18,  22.991,  101
    10.8,0.000050, 18,  22.993,  102
    11.0,0.000048, 18,  22.987,  102
    11.2,0.000044, 18,  22.982,  102
    11.4,0.000047, 18,  22.973,  101
    11.6,0.000047, 18,  22.972,  100
    11.8,0.000045, 18,  22.977,  102
    12.0,0.000048, 18,  22.968,  104
    12.2,0.000055, 18,  22.974,  102
    12.4,0.000051, 18,  22.967,  101
    12.6,0.000051, 18,  22.962,  100
    12.8,0.000052, 18,  22.965,  100
    13.0,0.000048, 18,  22.962,  101
    13.2,0.000051, 18,  22.959,  102
