Run Name,50% CRL group 12 4 2 14
Run Date,01:27:36 PM   04-02-14
Method Name,50% CRL group 12 3 31 14
Export Format Version, 1.00
Method ID, 1993
Points/Second, 5.00
Number of Records,   3060
Offset from Run Start Time,00:00:00
Run End Time,00:10:11
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure
     0.0,0.000649, 50,  49.729,  107
     0.2,0.000649, 50,  49.736,  107
     0.4,0.000642, 50,  49.742,  108
     0.6,0.000643, 50,  49.744,  107
     0.8,0.000643, 50,  49.757,  107
     1.0,0.000634, 50,  49.754,  107
     1.2,0.000659, 50,  49.762,  107
     1.4,0.000691, 50,  49.762,  108
     1.6,0.000667, 50,  49.767,  108
     1.8,0.000687, 50,  49.772,  107
     2.0,0.000000, 50,  49.779,  107
     2.2,0.000000, 50,  49.783,  106
     2.4,0.000000, 50,  49.790,  105
     2.6,0.000000, 50,  49.814,  105
     2.8,0.000000, 50,  49.819,  105
     3.0,0.000000, 50,  49.823,  108
     3.2,0.000000, 50,  49.823,  110
     3.4,0.000000, 50,  49.828,  108
     3.6,0.000000, 50,  49.841,  105
     3.8,0.000000, 50,  49.847,  106
     4.0,0.000000, 50,  49.853,  106
     4.2,0.000000, 50,  49.858,  105
     4.4,0.000000, 50,  49.862,  104
     4.6,0.000000, 50,  49.870,  105
     4.8,0.000000, 50,  49.878,  105
     5.0,0.000000, 50,  49.879,  104
     5.2,0.000000, 50,  49.885,  104
     5.4,0.000004, 50,  49.890,  107
     5.6,0.000002, 50,  49.897,  111
     5.8,-0.000001, 50,  49.900,  109
     6.0,-0.000001, 50,  49.907,  107
     6.2,-0.000001, 50,  49.911,  105
     6.4,-0.000001, 50,  49.917,  104
     6.6,-0.000001, 50,  49.929,  104
     6.8,-0.000001, 50,  49.947,  105
     7.0,-0.000001, 50,  49.950,  105
     7.2,-0.000001, 50,  49.957,  106
     7.4,0.000005, 50,  49.965,  107
     7.6,0.000005, 50,  49.971,  109
     7.8,0.000005, 50,  49.978,  108
     8.0,0.000012, 50,  49.982,  107
     8.2,0.000015, 50,  49.988,  107
     8.4,0.000008, 50,  49.994,  107
     8.6,0.000008, 50,  50.001,  107
     8.8,0.000011, 50,  50.009,  107
     9.0,0.000008, 50,  50.016,  107
     9.2,0.000008, 50,  50.018,  106
     9.4,0.000008, 50,  50.024,  107
     9.6,0.000005, 50,  50.036,  107
     9.8,0.000005, 50,  50.043,  107
    10.0,0.000005, 50,  50.042,  106
    10.2,0.000005, 50,  50.051,  106
    10.4,0.000008, 50,  50.055,  105
    10.6,0.000008, 50,  50.080,  105
    10.8,0.000011, 50,  50.080,  104
    11.0,0.000011, 50,  50.081,  104
    11.2,0.000011, 50,  50.081,  105
    11.4,0.000008, 50,  50.088,  105
    11.6,0.000015, 50,  50.090,  106
    11.8,0.000008, 50,  50.096,  106
    12.0,0.000011, 50,  50.098,  107
    12.2,0.000015, 50,  50.098,  107
    12.4,0.000008, 50,  50.101,  108
    12.6,0.000011, 50,  50.105,  107
    12.8,0.000015, 50,  50.104,  106
    13.0,0.000008, 50,  50.111,  105
    13.2,0.000011, 50,  50.117,  105
    13.4,0.000015, 50,  50.118,  105
    13.6,0.000005, 50,  50.123,  106
    13.8,0.000005, 50,  50.127,  107
    14.0,0.000009, 50,  50.130,  109
    14.2,0.000003, 50,  50.131,  108
    14.4,0.000005, 50,  50.134,  107
    14.6,0.000018, 50,  50.134,  105
    14.8,0.000016, 50,  50.140,  104
    15.0,0.000019, 50,  50.143,  104
    15.2,0.000026, 50,  50.143,  105
    15.4,0.000022, 50,  50.151,  106
    15.6,0.000025, 50,  50.150,  107
    15.8,0.000031, 50,  50.158,  108
    16.0,0.000030, 50,  50.160,  110
    16.2,0.000033, 50,  50.162,  108
    16.4,0.000039, 50,  50.159,  107
    16.6,0.000038, 50,  50.166,  106
    16.8,0.000041, 50,  50.169,  106
    17.0,0.000048, 50,  50.174,  105
    17.2,0.000044, 50,  50.173,  105
    17.4,0.000044, 50,  50.178,  106
    17.6,0.000053, 50,  50.179,  106
    17.8,0.000049, 50,  50.184,  106
    18.0,0.000044, 50,  50.188,  107
    18.2,0.000048, 50,  50.211,  107
    18.4,0.000044, 50,  50.212,  107
    18.6,0.000044, 50,  50.212,  107
    18.8,0.000053, 50,  50.210,  106
    19.0,0.000049, 50,  50.217,  106
    19.2,0.000049, 50,  50.217,  105
    19.4,0.000056, 50,  50.223,  105
    19.6,0.000059, 50,  50.218,  105
    19.8,0.000052, 50,  50.225,  105
    20.0,0.000052, 50,  50.225,  106
    20.2,0.000059, 50,  50.231,  107
    20.4,0.000055, 50,  50.222,  109
    20.6,0.000055, 50,  50.231,  108
    20.8,0.000059, 50,  50.232,  108
    21.0,0.000055, 50,  50.233,  107
    21.2,0.000064, 50,  50.238,  106
    21.4,0.000071, 50,  50.238,  105
    21.6,0.000067, 50,  50.237,  105
    21.8,0.000069, 50,  50.236,  105
    22.0,0.000064, 50,  50.237,  106
    22.2,0.000055, 50,  50.238,  107
    22.4,0.000055, 50,  50.238,  107
    22.6,0.000056, 50,  50.241,  107
    22.8,0.000049, 50,  50.244,  106
    23.0,0.000046, 50,  50.242,  105
    23.2,0.000050, 50,  50.243,  105
    23.4,0.000044, 50,  50.245,  104
    23.6,0.000041, 50,  50.246,  104
    23.8,0.000042, 50,  50.243,  105
    24.0,0.000036, 50,  50.244,  105
    24.2,0.000036, 50,  50.247,  106
    24.4,0.000039, 50,  50.244,  106
    24.6,0.000030, 50,  50.240,  107
    24.8,0.000030, 50,  50.245,  108
    25.0,0.000031, 50,  50.244,  108
    25.2,0.000025, 50,  50.246,  107
    25.4,0.000019, 50,  50.244,  107
    25.6,0.000023, 50,  50.246,  107
    25.8,0.000019, 50,  50.243,  108
    26.0,0.000016, 50,  50.245,  109
    26.2,0.000023, 50,  50.244,  108
    26.4,0.000019, 50,  50.243,  107
    26.6,0.000016, 50,  50.240,  107
    26.8,0.000023, 50,  50.244,  106
    27.0,0.000019, 50,  50.241,  106
    27.2,0.000016, 50,  50.241,  106
    27.4,0.000023, 50,  50.243,  106
    27.6,0.000019, 50,  50.238,  106
    27.8,0.000019, 50,  50.236,  105
    28.0,0.000026, 50,  50.240,  104
    28.2,0.000019, 50,  50.238,  105
    28.4,0.000016, 50,  50.239,  105
    28.6,0.000018, 50,  50.232,  108
    28.8,0.000015, 50,  50.234,  111
    29.0,0.000008, 50,  50.236,  109
    29.2,0.000005, 50,  50.236,  107
    29.4,0.000012, 50,  50.236,  106
    29.6,0.000008, 50,  50.235,  105
    29.8,0.000008, 50,  50.236,  105
    30.0,0.000018, 50,  50.232,  104
    30.2,0.000011, 50,  50.235,  104
    30.4,0.000011, 50,  50.239,  104
    30.6,0.000015, 50,  50.231,  106
    30.8,0.000008, 50,  50.231,  109
    31.0,0.000008, 50,  50.232,  108
    31.2,0.000012, 50,  50.228,  107
    31.4,0.000005, 50,  50.232,  106
    31.6,0.000005, 50,  50.225,  105
    31.8,0.000012, 50,  50.225,  105
    32.0,0.000005, 50,  50.225,  104
    32.2,0.000005, 50,  50.225,  105
    32.4,0.000012, 50,  50.224,  105
    32.6,0.000003, 50,  50.225,  105
    32.8,0.000000, 50,  50.218,  106
    33.0,0.000004, 50,  50.218,  107
    33.2,-0.000005, 50,  50.219,  108
    33.4,-0.000008, 50,  50.214,  108
    33.6,-0.000004, 50,  50.212,  107
    33.8,-0.000011, 50,  50.212,  107
    34.0,-0.000011, 50,  50.210,  107
    34.2,-0.000010, 50,  50.205,  107
    34.4,-0.000019, 50,  50.207,  107
    34.6,-0.000019, 50,  50.205,  107
    34.8,-0.000015, 50,  50.200,  107
    35.0,-0.000025, 50,  50.201,  107
    35.2,-0.000027, 50,  50.196,  107
    35.4,-0.000023, 50,  50.192,  106
    35.6,-0.000027, 50,  50.192,  104
    35.8,-0.000027, 50,  50.188,  105
    36.0,-0.000023, 50,  50.189,  105
    36.2,-0.000027, 50,  50.189,  104
    36.4,-0.000027, 50,  50.183,  104
    36.6,-0.000023, 50,  50.183,  105
    36.8,-0.000027, 50,  50.181,  106
    37.0,-0.000027, 50,  50.184,  106
    37.2,-0.000023, 50,  50.178,  106
    37.4,-0.000027, 50,  50.180,  107
    37.6,-0.000021, 50,  50.172,  109
    37.8,-0.000017, 50,  50.171,  108
    38.0,-0.000014, 50,  50.174,  107
    38.2,-0.000021, 50,  50.172,  106
    38.4,-0.000011, 50,  50.177,  105
    38.6,-0.000014, 50,  50.174,  105
    38.8,-0.000021, 50,  50.176,  106
    39.0,-0.000017, 50,  50.175,  108
    39.2,-0.000017, 50,  50.172,  109
    39.4,-0.000021, 50,  50.168,  107
    39.6,-0.000011, 50,  50.164,  105
    39.8,-0.000011, 50,  50.158,  106
    40.0,-0.000015, 50,  50.162,  106
    40.2,-0.000008, 50,  50.156,  105
    40.4,-0.000008, 50,  50.155,  103
    40.6,-0.000015, 50,  50.155,  104
    40.8,-0.000008, 50,  50.152,  105
    41.0,-0.000008, 50,  50.148,  105
    41.2,-0.000015, 50,  50.148,  106
    41.4,-0.000008, 50,  50.145,  107
    41.6,-0.000008, 50,  50.139,  109
    41.8,-0.000012, 50,  50.132,  108
    42.0,-0.000006, 50,  50.115,  107
    42.2,-0.000006, 50,  50.111,  106
    42.4,-0.000007, 50,  50.109,  105
    42.6,0.000005, 50,  50.105,  106
    42.8,0.000008, 50,  50.095,  107
    43.0,0.000004, 50,  50.089,  107
    43.2,0.000004, 50,  50.089,  107
    43.4,0.000004, 50,  50.084,  107
    43.6,0.000003, 50,  50.070,  107
    43.8,0.000003, 50,  50.068,  106
    44.0,0.000012, 50,  50.066,  105
    44.2,0.000008, 50,  50.063,  105
    44.4,0.000018, 50,  50.061,  105
    44.6,0.000022, 50,  50.057,  105
    44.8,0.000015, 50,  50.054,  104
    45.0,0.000022, 50,  50.051,  105
    45.2,0.000026, 50,  50.049,  105
    45.4,0.000016, 50,  50.048,  105
    45.6,0.000013, 50,  50.043,  106
    45.8,0.000017, 50,  50.039,  108
    46.0,0.000008, 50,  50.040,  110
    46.2,0.000005, 50,  50.035,  108
    46.4,0.000009, 50,  50.035,  106
    46.6,0.000002, 50,  50.030,  106
    46.8,0.000002, 50,  50.030,  105
    47.0,0.000004, 50,  50.028,  105
    47.2,0.000004, 50,  50.029,  105
    47.4,-0.000006, 50,  50.028,  107
    47.6,-0.000006, 50,  50.032,  109
    47.8,-0.000008, 50,  50.026,  107
    48.0,-0.000015, 50,  50.029,  104
    48.2,-0.000002, 50,  50.031,  104
    48.4,0.000005, 50,  50.034,  105
    48.6,-0.000002, 50,  50.035,  105
    48.8,0.000005, 50,  50.029,  106
    49.0,0.000002, 50,  50.034,  105
    49.2,-0.000002, 50,  50.033,  105
    49.4,0.000002, 50,  50.037,  105
    49.6,-0.000003, 50,  50.038,  106
    49.8,-0.000007, 50,  50.036,  106
    50.0,-0.000003, 50,  50.041,  107
    50.2,-0.000006, 50,  50.039,  108
    50.4,-0.000010, 50,  50.042,  108
    50.6,-0.000006, 50,  50.039,  107
    50.8,-0.000006, 50,  50.047,  106
    51.0,-0.000010, 50,  50.050,  106
    51.2,-0.000013, 50,  50.051,  106
    51.4,-0.000013, 50,  50.050,  107
    51.6,-0.000017, 50,  50.047,  108
    51.8,-0.000017, 50,  50.044,  108
    52.0,-0.000010, 50,  50.037,  107
    52.2,-0.000014, 50,  50.036,  107
    52.4,-0.000007, 50,  50.035,  106
    52.6,-0.000003, 50,  50.028,  106
    52.8,-0.000007, 50,  50.028,  106
    53.0,-0.000001, 50,  50.021,  105
    53.2,-0.000003, 50,  50.019,  105
    53.4,-0.000007, 50,  50.011,  105
    53.6,-0.000007, 50,  50.009,  105
    53.8,-0.000010, 50,  50.006,  102
    54.0,-0.000014, 50,  49.999,  100
    54.2,-0.000014, 50,  50.008,  105
    54.4,-0.000017, 50,  49.997,  111
    54.6,-0.000023, 50,  49.985,  109
    54.8,-0.000019, 50,  49.959,  106
    55.0,-0.000028, 50,  49.960,  106
    55.2,-0.000034, 50,  49.962,  106
    55.4,-0.000025, 50,  49.958,  106
    55.6,-0.000025, 50,  49.957,  106
    55.8,-0.000032, 50,  49.960,  108
    56.0,-0.000025, 50,  49.960,  111
    56.2,-0.000025, 50,  49.955,  109
    56.4,-0.000025, 50,  49.953,  107
    56.6,-0.000029, 50,  49.961,  106
    56.8,-0.000019, 50,  49.959,  105
    57.0,-0.000017, 50,  49.961,  106
    57.2,-0.000023, 50,  49.956,  107
    57.4,-0.000017, 50,  49.957,  106
    57.6,-0.000017, 50,  49.959,  105
    57.8,-0.000021, 50,  49.955,  106
    58.0,-0.000014, 50,  49.957,  106
    58.2,-0.000017, 50,  49.955,  106
    58.4,-0.000021, 50,  49.953,  106
    58.6,-0.000014, 50,  49.951,  108
    58.8,-0.000010, 50,  49.947,  109
    59.0,-0.000014, 50,  49.941,  108
    59.2,-0.000014, 50,  49.938,  107
    59.4,-0.000010, 50,  49.944,  107
    59.6,-0.000017, 50,  49.945,  107
    59.8,-0.000017, 50,  49.942,  107
    60.0,-0.000015, 50,  49.942,  108
    60.2,-0.000022, 50,  49.942,  110
    60.4,-0.000019, 50,  49.937,  111
    60.6,-0.000015, 50,  49.936,  111
    60.8,-0.000022, 50,  49.934,  110
    61.0,-0.000019, 50,  49.936,  109
    61.2,-0.000015, 50,  49.942,  108
    61.4,-0.000019, 50,  49.940,  108
    61.6,-0.000014, 50,  49.940,  108
    61.8,-0.000002, 50,  49.942,  108
    62.0,-0.000008, 50,  49.943,  108
    62.2,-0.000008, 50,  49.940,  108
    62.4,-0.000005, 50,  49.943,  108
    62.6,-0.000008, 50,  49.947,  109
    62.8,-0.000008, 50,  49.942,  110
    63.0,-0.000005, 50,  49.943,  110
    63.2,-0.000008, 50,  49.939,  110
    63.4,-0.000008, 50,  49.940,  109
    63.6,-0.000005, 50,  49.940,  108
    63.8,-0.000008, 50,  49.941,  108
    64.0,-0.000014, 50,  49.947,  108
    64.2,-0.000013, 50,  49.946,  110
    64.4,-0.000019, 50,  49.953,  111
    64.6,-0.000013, 50,  49.945,  110
    64.8,-0.000009, 50,  49.953,  109
    65.0,-0.000015, 50,  49.952,  108
    65.2,-0.000009, 50,  49.953,  107
    65.4,-0.000012, 50,  49.958,  108
    65.6,-0.000012, 50,  49.956,  109
    65.8,-0.000014, 50,  49.955,  109
    66.0,-0.000014, 50,  49.955,  108
    66.2,-0.000017, 50,  49.962,  107
    66.4,-0.000024, 50,  49.960,  107
    66.6,-0.000017, 50,  49.964,  107
    66.8,-0.000017, 50,  49.961,  107
    67.0,-0.000024, 50,  49.961,  108
    67.2,-0.000014, 50,  49.964,  109
    67.4,-0.000012, 50,  49.958,  109
    67.6,-0.000015, 50,  49.962,  108
    67.8,-0.000006, 50,  49.965,  107
    68.0,-0.000001, 50,  49.967,  107
    68.2,-0.000002, 50,  49.971,  108
    68.4,0.000005, 50,  49.973,  108
    68.6,0.000008, 50,  49.973,  109
    68.8,0.000006, 50,  49.972,  110
    69.0,0.000016, 50,  49.970,  110
    69.2,0.000019, 50,  49.974,  109
    69.4,0.000021, 50,  49.981,  108
    69.6,0.000021, 50,  49.980,  107
    69.8,0.000031, 50,  49.981,  107
    70.0,0.000027, 50,  49.983,  107
    70.2,0.000024, 50,  49.977,  107
    70.4,0.000024, 50,  49.977,  107
    70.6,0.000020, 50,  49.975,  107
    70.8,0.000027, 50,  49.970,  107
    71.0,0.000027, 50,  49.969,  107
    71.2,0.000023, 50,  49.969,  108
    71.4,0.000027, 50,  49.964,  109
    71.6,0.000024, 50,  49.963,  110
    71.8,0.000020, 50,  49.959,  109
    72.0,0.000027, 50,  49.959,  107
    72.2,0.000027, 50,  49.967,  107
    72.4,0.000023, 50,  49.961,  107
    72.6,0.000029, 50,  49.960,  109
    72.8,0.000027, 50,  49.961,  111
    73.0,0.000023, 50,  49.955,  109
    73.2,0.000029, 50,  49.954,  107
    73.4,0.000027, 50,  49.959,  106
    73.6,0.000023, 50,  49.960,  105
    73.8,0.000029, 50,  49.964,  106
    74.0,0.000029, 50,  49.961,  108
    74.2,0.000023, 50,  49.965,  108
    74.4,0.000027, 50,  49.963,  108
    74.6,0.000024, 50,  49.960,  108
    74.8,0.000020, 50,  49.966,  108
    75.0,0.000024, 50,  49.966,  108
    75.2,0.000021, 50,  49.967,  108
    75.4,0.000021, 50,  49.968,  108
    75.6,0.000021, 50,  49.966,  108
    75.8,0.000019, 50,  49.965,  108
    76.0,0.000019, 50,  49.966,  109
    76.2,0.000012, 50,  49.964,  108
    76.4,0.000019, 50,  49.970,  107
    76.6,0.000019, 50,  49.968,  107
    76.8,0.000015, 50,  49.969,  107
    77.0,0.000019, 50,  49.967,  108
    77.2,0.000019, 50,  49.959,  109
    77.4,0.000012, 50,  49.952,  109
    77.6,0.000019, 50,  49.953,  108
    77.8,0.000016, 50,  49.950,  107
    78.0,0.000012, 50,  49.951,  107
    78.2,0.000019, 50,  49.943,  107
    78.4,0.000019, 50,  49.942,  107
    78.6,0.000012, 50,  49.937,  107
    78.8,0.000016, 50,  49.931,  107
    79.0,0.000010, 50,  49.931,  106
    79.2,0.000008, 50,  49.924,  106
    79.4,0.000005, 50,  49.923,  106
    79.6,0.000006, 50,  49.919,  107
    79.8,-0.000001, 50,  49.918,  108
    80.0,-0.000003, 50,  49.916,  109
    80.2,-0.000001, 50,  49.914,  108
    80.4,0.000002, 50,  49.911,  107
    80.6,-0.000003, 50,  49.915,  107
    80.8,0.000001, 50,  49.909,  108
    81.0,0.000003, 50,  49.914,  110
    81.2,-0.000006, 50,  49.914,  111
    81.4,0.000001, 50,  49.905,  110
    81.6,0.000003, 50,  49.910,  108
    81.8,-0.000003, 50,  49.917,  107
    82.0,0.000003, 50,  49.919,  106
    82.2,0.000006, 50,  49.918,  106
    82.4,-0.000001, 50,  49.922,  107
    82.6,0.000003, 50,  49.923,  107
    82.8,0.000006, 50,  49.925,  108
    83.0,-0.000001, 50,  49.927,  107
    83.2,0.000003, 50,  49.928,  106
    83.4,0.000003, 50,  49.931,  107
    83.6,-0.000003, 50,  49.933,  107
    83.8,-0.000002, 50,  49.933,  108
    84.0,-0.000002, 50,  49.935,  108
    84.2,-0.000002, 50,  49.941,  109
    84.4,-0.000002, 50,  49.939,  110
    84.6,-0.000005, 50,  49.941,  108
    84.8,-0.000002, 50,  49.947,  107
    85.0,-0.000003, 50,  49.952,  106
    85.2,0.000009, 50,  49.952,  106
    85.4,0.000005, 50,  49.965,  107
    85.6,0.000005, 50,  49.958,  108
    85.8,0.000005, 50,  49.968,  107
    86.0,0.000001, 50,  49.969,  107
    86.2,0.000010, 50,  49.975,  107
    86.4,0.000010, 50,  49.978,  107
    86.6,0.000006, 50,  49.983,  106
    86.8,0.000016, 50,  49.992,  105
    87.0,0.000010, 50,  49.991,  106
    87.2,0.000004, 50,  49.999,  108
    87.4,0.000010, 50,  50.004,  107
    87.6,0.000008, 50,  50.007,  106
    87.8,0.000001, 50,  50.012,  106
    88.0,0.000013, 50,  50.014,  107
    88.2,0.000016, 50,  50.017,  107
    88.4,0.000012, 50,  50.023,  106
    88.6,0.000021, 50,  50.049,  107
    88.8,0.000021, 50,  50.048,  108
    89.0,0.000024, 50,  50.052,  108
    89.2,0.000027, 50,  50.059,  109
    89.4,0.000033, 50,  50.065,  110
    89.6,0.000032, 50,  50.064,  111
    89.8,0.000035, 50,  50.066,  108
    90.0,0.000035, 50,  50.072,  106
    90.2,0.000040, 50,  50.079,  106
    90.4,0.000046, 50,  50.083,  106
    90.6,0.000055, 50,  50.093,  105
    90.8,0.000058, 50,  50.098,  105
    91.0,0.000051, 50,  50.101,  106
    91.2,0.000058, 50,  50.104,  108
    91.4,0.000061, 50,  50.114,  107
    91.6,0.000054, 50,  50.114,  107
    91.8,0.000061, 50,  50.113,  106
    92.0,0.000061, 50,  50.124,  105
    92.2,0.000054, 50,  50.127,  106
    92.4,0.000061, 50,  50.130,  107
    92.6,0.000061, 50,  50.136,  108
    92.8,0.000061, 50,  50.146,  108
    93.0,0.000061, 50,  50.149,  108
    93.2,0.000061, 50,  50.155,  107
    93.4,0.000061, 50,  50.157,  106
    93.6,0.000054, 50,  50.159,  105
    93.8,0.000058, 50,  50.165,  107
    94.0,0.000054, 50,  50.182,  109
    94.2,0.000054, 50,  50.187,  108
    94.4,0.000051, 50,  50.193,  108
    94.6,0.000047, 50,  50.192,  107
    94.8,0.000054, 50,  50.200,  107
    95.0,0.000054, 50,  50.199,  106
    95.2,0.000047, 50,  50.198,  105
    95.4,0.000054, 50,  50.206,  106
    95.6,0.000054, 50,  50.207,  107
    95.8,0.000050, 50,  50.212,  106
    96.0,0.000060, 50,  50.212,  105
    96.2,0.000062, 50,  50.220,  106
    96.4,0.000061, 50,  50.222,  107
    96.6,0.000070, 50,  50.220,  107
    96.8,0.000070, 50,  50.220,  106
    97.0,0.000076, 50,  50.227,  108
    97.2,0.000079, 50,  50.224,  109
    97.4,0.000088, 50,  50.224,  108
    97.6,0.000093, 50,  50.230,  107
    97.8,0.000092, 50,  50.232,  108
    98.0,0.000102, 50,  50.233,  108
    98.2,0.000110, 50,  50.232,  107
    98.4,0.000109, 50,  50.234,  105
    98.6,0.000124, 50,  50.235,  105
    98.8,0.000125, 50,  50.239,  104
    99.0,0.000131, 50,  50.236,  104
    99.2,0.000136, 50,  50.239,  104
    99.4,0.000135, 50,  50.241,  106
    99.6,0.000144, 50,  50.241,  107
    99.8,0.000147, 50,  50.242,  107
   100.0,0.000148, 50,  50.247,  107
   100.2,0.000161, 50,  50.246,  106
   100.4,0.000169, 50,  50.246,  105
   100.6,0.000180, 50,  50.249,  106
   100.8,0.000185, 50,  50.247,  107
   101.0,0.000197, 50,  50.250,  107
   101.2,0.000205, 50,  50.246,  107
   101.4,0.000223, 50,  50.252,  107
   101.6,0.000225, 50,  50.256,  108
