Run Name,50% CRL group 12 3 31 14
Run Date,03:32:36 PM   03-31-14
Method Name,50% CRL group 12 3 31 14
Export Format Version, 1.00
Method ID, 1992
Points/Second, 5.00
Number of Records,   5572
Offset from Run Start Time,00:00:00
Run End Time,00:18:36
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure
     0.0,0.000000, 50,  36.443,   70
     0.2,0.000000, 50,  36.440,   60
     0.4,0.000000, 50,  36.443,   49
     0.6,0.000000, 50,  36.446,   49
     0.8,0.000000, 50,  36.449,   49
     1.0,0.000000, 50,  36.461,   49
     1.2,0.000000, 50,  36.469,   49
     1.4,0.000000, 50,  36.474,   48
     1.6,0.000000, 50,  36.473,   47
     1.8,0.000000, 50,  36.469,   47
     2.0,0.000000, 50,  36.468,   48
     2.2,0.000000, 50,  36.474,   48
     2.4,0.000000, 50,  36.469,   47
     2.6,0.000000, 50,  36.468,   48
     2.8,0.000000, 50,  36.466,   48
     3.0,0.000000, 50,  36.468,   48
     3.2,0.000000, 50,  36.469,   48
     3.4,0.000000, 50,  36.467,   49
     3.6,-0.000050, 50,  36.463,   49
     3.8,-0.000088, 50,  36.462,   56
     4.0,-0.000109, 50,  36.460,   63
     4.2,-0.000135, 50,  36.461,   72
     4.4,-0.000143, 50,  36.454,   82
     4.6,-0.000143, 50,  36.448,   87
     4.8,-0.000158, 50,  36.436,   92
     5.0,-0.000165, 50,  36.414,   92
     5.2,-0.000181, 50,  36.404,   92
     5.4,-0.000196, 50,  36.394,   92
     5.6,-0.000195, 50,  36.382,   93
     5.8,-0.000203, 50,  36.379,   92
     6.0,-0.000212, 50,  36.384,   91
     6.2,-0.000206, 50,  36.377,   92
     6.4,-0.000206, 50,  36.376,   93
     6.6,-0.000180, 50,  36.378,   94
     6.8,-0.000121, 50,  36.374,   96
     7.0,-0.000056, 50,  36.374,   94
     7.2,-0.000008, 50,  36.369,   92
     7.4,0.000059, 50,  36.370,   93
     7.6,0.000123, 50,  36.370,   93
     7.8,0.000164, 50,  36.367,   92
     8.0,0.000196, 50,  36.368,   91
     8.2,0.000221, 50,  36.364,   81
     8.4,0.000237, 50,  36.364,   71
     8.6,0.000267, 50,  36.366,   60
     8.8,0.000289, 50,  36.367,   49
     9.0,0.000307, 50,  36.373,   49
     9.2,0.000319, 50,  36.385,   50
     9.4,0.000345, 50,  36.402,   49
     9.6,0.000359, 50,  36.412,   49
     9.8,0.000366, 50,  36.425,   48
    10.0,0.000379, 50,  36.433,   47
    10.2,0.000390, 50,  36.426,   47
    10.4,0.000392, 50,  36.429,   48
    10.6,0.000397, 50,  36.431,   48
    10.8,0.000404, 50,  36.434,   48
    11.0,0.000375, 50,  36.432,   48
    11.2,0.000347, 50,  36.433,   48
    11.4,0.000301, 50,  36.426,   48
    11.6,0.000251, 50,  36.431,   49
    11.8,0.000205, 50,  36.422,   48
    12.0,0.000153, 50,  36.426,   48
    12.2,0.000105, 50,  36.425,   55
    12.4,0.000067, 50,  36.422,   62
    12.6,0.000030, 50,  36.422,   71
    12.8,-0.000009, 50,  36.421,   80
    13.0,-0.000036, 50,  36.409,   87
    13.2,-0.000057, 50,  36.395,   93
    13.4,-0.000088, 50,  36.362,   92
    13.6,-0.000110, 50,  36.351,   91
    13.8,-0.000125, 50,  36.336,   92
    14.0,-0.000145, 50,  36.321,   93
    14.2,-0.000162, 50,  36.315,   92
    14.4,-0.000169, 50,  36.308,   91
    14.6,-0.000175, 50,  36.312,   92
    14.8,-0.000170, 50,  36.308,   92
    15.0,-0.000155, 50,  36.312,   92
    15.2,-0.000124, 50,  36.308,   92
    15.4,-0.000066, 50,  36.307,   93
    15.6,0.000011, 50,  36.305,   94
    15.8,0.000056, 50,  36.307,   94
    16.0,0.000108, 50,  36.296,   94
    16.2,0.000158, 50,  36.299,   94
    16.4,0.000193, 50,  36.303,   93
    16.6,0.000225, 50,  36.303,   83
    16.8,0.000259, 50,  36.302,   73
    17.0,0.000284, 50,  36.300,   62
    17.2,0.000303, 50,  36.301,   51
    17.4,0.000317, 50,  36.312,   50
    17.6,0.000322, 50,  36.322,   48
    17.8,0.000341, 50,  36.338,   49
    18.0,0.000352, 50,  36.352,   49
    18.2,0.000366, 50,  36.371,   48
    18.4,0.000373, 50,  36.372,   47
    18.6,0.000381, 50,  36.374,   47
    18.8,0.000396, 50,  36.375,   47
    19.0,0.000392, 50,  36.377,   48
    19.2,0.000389, 50,  36.379,   48
    19.4,0.000388, 50,  36.378,   48
    19.6,0.000351, 50,  36.379,   48
    19.8,0.000304, 50,  36.380,   48
    20.0,0.000254, 50,  36.377,   49
    20.2,0.000204, 50,  36.378,   48
    20.4,0.000157, 50,  36.376,   48
    20.6,0.000117, 50,  36.372,   54
    20.8,0.000070, 50,  36.369,   61
    21.0,0.000036, 50,  36.368,   71
    21.2,0.000007, 50,  36.372,   81
    21.4,-0.000032, 50,  36.354,   87
    21.6,-0.000053, 50,  36.347,   94
    21.8,-0.000080, 50,  36.312,   93
    22.0,-0.000109, 50,  36.291,   92
    22.2,-0.000124, 50,  36.281,   92
    22.4,-0.000146, 50,  36.262,   93
    22.6,-0.000166, 50,  36.257,   92
    22.8,-0.000176, 50,  36.254,   91
    23.0,-0.000187, 50,  36.250,   92
    23.2,-0.000182, 50,  36.250,   93
    23.4,-0.000154, 50,  36.248,   93
    23.6,-0.000124, 50,  36.246,   92
    23.8,-0.000087, 50,  36.245,   94
    24.0,-0.000023, 50,  36.236,   95
    24.2,0.000042, 50,  36.238,   94
    24.4,0.000087, 50,  36.239,   94
    24.6,0.000141, 50,  36.233,   94
    24.8,0.000181, 50,  36.228,   94
    25.0,0.000210, 50,  36.232,   84
    25.2,0.000247, 50,  36.230,   74
    25.4,0.000271, 50,  36.230,   63
    25.6,0.000291, 50,  36.231,   53
    25.8,0.000303, 50,  36.242,   50
    26.0,0.000318, 50,  36.252,   46
    26.2,0.000323, 50,  36.275,   48
    26.4,0.000337, 50,  36.300,   49
    26.6,0.000348, 50,  36.313,   49
    26.8,0.000371, 50,  36.320,   49
    27.0,0.000378, 50,  36.318,   48
    27.2,0.000386, 50,  36.324,   47
    27.4,0.000398, 50,  36.321,   47
    27.6,0.000386, 50,  36.321,   48
    27.8,0.000370, 50,  36.321,   48
    28.0,0.000349, 50,  36.325,   48
    28.2,0.000304, 50,  36.328,   48
    28.4,0.000255, 50,  36.330,   49
    28.6,0.000196, 50,  36.324,   49
    28.8,0.000143, 50,  36.327,   48
    29.0,0.000100, 50,  36.325,   54
    29.2,0.000063, 50,  36.322,   59
    29.4,0.000018, 50,  36.324,   69
    29.6,-0.000018, 50,  36.322,   79
    29.8,-0.000048, 50,  36.318,   86
    30.0,-0.000082, 50,  36.299,   93
    30.2,-0.000102, 50,  36.278,   93
    30.4,-0.000129, 50,  36.242,   92
    30.6,-0.000155, 50,  36.231,   93
    30.8,-0.000167, 50,  36.217,   94
    31.0,-0.000187, 50,  36.208,   92
    31.2,-0.000207, 50,  36.213,   91
    31.4,-0.000218, 50,  36.207,   92
    31.6,-0.000229, 50,  36.211,   93
    31.8,-0.000214, 50,  36.214,   93
    32.0,-0.000166, 50,  36.212,   93
    32.2,-0.000105, 50,  36.211,   93
    32.4,-0.000060, 50,  36.210,   94
    32.6,0.000004, 50,  36.211,   94
    32.8,0.000064, 50,  36.208,   93
    33.0,0.000104, 50,  36.211,   94
    33.2,0.000151, 50,  36.217,   95
    33.4,0.000187, 50,  36.214,   85
    33.6,0.000213, 50,  36.211,   75
