Run Name,14%C group 2 April 7 2014
Run Date,08:34:05 PM   04-07-14
Method Name,14% C group 2 April 7 2014.12
Export Format Version, 1.00
Method ID, 2040
Points/Second, 5.00
Number of Records,   8010
Offset from Run Start Time,00:00:00
Run End Time,00:26:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.000180,0.000000, 14,0.000000,-0.000046,  18.715,  131
     0.2,-0.000171,0.000000, 14,0.000000,-0.000033,  18.714,  135
     0.4,-0.000168,0.000000, 14,0.000000,-0.000046,  18.715,  138
     0.6,-0.000133,0.000000, 14,0.000000,-0.000046,  18.713,  135
     0.8,0.000000,0.000000, 14,0.000000,-0.000023,  18.713,  133
     1.0,0.000000,0.000000, 14,0.000000,-0.000013,  18.712,  133
     1.2,0.000000,0.000000, 14,0.000000,0.000000,  18.712,  133
     1.4,0.000000,0.000000, 14,0.000000,0.000000,  18.714,  132
     1.6,0.000000,0.000000, 14,0.000000,0.000000,  18.716,  131
     1.8,0.000000,0.000000, 14,0.000000,0.000000,  18.720,  133
     2.0,0.000000,0.000000, 14,0.000000,0.000000,  18.721,  134
     2.2,0.000000,0.000000, 14,0.000000,0.000000,  18.720,  133
     2.4,0.000000,0.000000, 14,0.000000,0.000000,  18.722,  132
     2.6,0.000000,0.000000, 14,0.000000,0.000000,  18.722,  134
     2.8,0.000000,0.000000, 14,0.000000,0.000000,  18.723,  136
     3.0,0.000000,0.000000, 14,0.000000,0.000000,  18.727,  134
     3.2,0.000000,0.000000, 14,0.000000,0.000000,  18.728,  133
     3.4,0.000000,-0.000009, 14,0.000033,0.000000,  18.722,  133
     3.6,-0.000003,-0.000002, 14,0.000022,0.000000,  18.730,  133
     3.8,-0.000013,-0.000004, 14,-0.000018,0.000000,  18.729,  133
     4.0,-0.000013,-0.000006, 14,-0.000056,0.000000,  18.730,  134
     4.2,-0.000013,-0.000010, 14,-0.000112,0.000000,  18.726,  133
     4.4,-0.000020,-0.000004, 14,-0.000161,0.000000,  18.724,  133
     4.6,-0.000020,0.000001, 14,-0.000233,-0.000036,  18.725,  132
     4.8,-0.000013,-0.000000, 14,-0.000284,-0.000049,  18.727,  131
     5.0,-0.000017,-0.000005, 14,-0.000328,-0.000049,  18.727,  132
     5.2,-0.000015,-0.000002, 14,-0.000350,-0.000049,  18.728,  134
     5.4,-0.000008,-0.000002, 14,-0.000333,-0.000036,  18.728,  136
     5.6,-0.000012,-0.000002, 14,-0.000300,-0.000036,  18.726,  139
     5.8,-0.000009,0.000005, 14,-0.000245,-0.000036,  18.727,  136
     6.0,-0.000008,0.000003, 14,-0.000284,-0.000023,  18.725,  133
     6.2,-0.000015,0.000002, 14,-0.000361,-0.000036,  18.729,  133
     6.4,-0.000012,0.000001, 14,-0.000478,-0.000073,  18.725,  134
     6.6,-0.000008,0.000000, 14,-0.000473,-0.000060,  18.732,  134
     6.8,-0.000015,0.000003, 14,-0.000428,-0.000060,  18.731,  134
     7.0,-0.000005,0.000005, 14,-0.000338,-0.000096,  18.728,  133
     7.2,0.000002,0.000009, 14,-0.000322,-0.000096,  18.724,  132
     7.4,-0.000005,0.000006, 14,-0.000340,-0.000073,  18.729,  132
     7.6,-0.000002,0.000010, 14,-0.000384,-0.000073,  18.730,  133
     7.8,-0.000002,0.000007, 14,-0.000401,-0.000060,  18.728,  134
     8.0,-0.000005,0.000008, 14,-0.000417,-0.000073,  18.720,  135
     8.2,-0.000001,0.000007, 14,-0.000450,-0.000073,  18.728,  134
     8.4,0.000011,0.000013, 14,-0.000384,-0.000060,  18.728,  134
     8.6,0.000011,0.000014, 14,-0.000256,-0.000060,  18.727,  134
     8.8,0.000009,0.000015, 14,-0.000079,-0.000060,  18.727,  134
     9.0,0.000009,0.000018, 14,-0.000057,-0.000060,  18.726,  133
     9.2,0.000008,0.000015, 14,-0.000074,-0.000060,  18.723,  133
     9.4,0.000004,0.000014, 14,-0.000122,-0.000060,  18.728,  132
     9.6,0.000007,0.000013, 14,-0.000161,-0.000060,  18.723,  132
     9.8,0.000007,0.000014, 14,-0.000217,-0.000060,  18.727,  132
    10.0,0.000003,0.000011, 14,-0.000289,-0.000060,  18.725,  132
    10.2,0.000010,0.000013, 14,-0.000333,-0.000083,  18.725,  134
    10.4,0.000010,0.000015, 14,-0.000366,-0.000083,  18.727,  136
    10.6,0.000006,0.000015, 14,-0.000394,-0.000070,  18.727,  134
    10.8,0.000013,0.000016, 14,-0.000673,-0.000106,  18.726,  133
    11.0,0.000010,0.000014, 14,-0.001085,-0.000070,  18.726,  132
    11.2,0.000006,0.000012, 14,-0.001601,-0.000070,  18.727,  131
    11.4,0.000013,0.000010, 14,-0.001768,-0.000106,  18.727,  132
    11.6,0.000013,0.000008, 14,-0.001841,-0.000083,  18.732,  132
    11.8,0.000009,0.000010, 14,-0.001784,-0.000083,  18.727,  132
    12.0,0.000006,0.000011, 14,-0.001713,-0.000106,  18.729,  131
    12.2,0.000006,0.000013, 14,-0.001562,-0.000083,  18.725,  131
    12.4,0.000002,0.000017, 14,-0.001369,-0.000083,  18.730,  131
    12.6,0.000002,0.000014, 14,-0.001091,-0.000070,  18.731,  133
    12.8,0.000009,0.000018, 14,-0.000964,-0.000106,  18.730,  136
