Run Name,34% CRL group 2 April 7 2014
Run Date,03:20:48 PM   04-07-14
Method Name,34% CRL group 2 April 7 2014.1
Export Format Version, 1.00
Method ID, 2018
Points/Second, 5.00
Number of Records,   4798
Offset from Run Start Time,00:00:00
Run End Time,00:16:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,0.000104,-0.000038, 34,-0.017600,0.000212,  37.220,  121
     0.2,0.000095,-0.000043, 34,-0.017664,0.000212,  37.225,  121
     0.4,0.000101,-0.000041, 34,-0.017825,0.000212,  37.225,  121
     0.6,0.000101,-0.000039, 34,-0.018091,0.000212,  37.233,  122
     0.8,0.000092,-0.000041, 34,-0.018063,0.000212,  37.227,  122
     1.0,0.000099,-0.000043, 34,-0.017924,0.000212,  37.234,  124
     1.2,0.000101,-0.000044, 34,-0.017704,0.000212,  37.237,  126
     1.4,0.000101,-0.000047, 34,-0.017595,0.000212,  37.239,  124
     1.6,0.000095,-0.000047, 34,-0.017502,0.000212,  37.234,  121
     1.8,0.000092,-0.000049, 34,-0.017427,0.000212,  37.238,  121
     2.0,0.000099,-0.000054, 34,-0.017370,0.000212,  37.241,  120
     2.2,0.000092,-0.000046, 34,-0.017318,0.000212,  37.245,  120
     2.4,0.000096,-0.000047, 34,-0.017289,0.000212,  37.251,  120
     2.6,0.000093,-0.000050, 34,-0.017266,0.000199,  37.253,  122
     2.8,0.000086,-0.000053, 34,-0.017242,0.000199,  37.263,  125
     3.0,0.000090,-0.000059, 34,-0.017236,0.000199,  37.261,  123
     3.2,0.000082,-0.000059, 34,-0.017434,0.000186,  37.267,  121
     3.4,0.000075,-0.000056, 34,-0.017735,0.000186,  37.271,  123
