Run Name,14% C group 3 April 2014.8
Run Date,05:37:33 PM   04-08-14
Method Name,14% C group 3 April 8 2014.8
Export Format Version, 1.00
Method ID, 2056
Points/Second, 5.00
Number of Records,   9000
Offset from Run Start Time,00:00:00
Run End Time,00:30:00
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure
     0.0,-0.000355, 14,  19.145,  126
     0.2,-0.000363, 14,  19.146,  126
     0.4,-0.000379, 14,  19.146,  126
     0.6,-0.000379, 14,  19.142,  125
     0.8,0.000000, 14,  19.141,  125
     1.0,0.000000, 14,  19.145,  124
     1.2,0.000000, 14,  19.147,  124
     1.4,0.000000, 14,  19.140,  125
     1.6,0.000000, 14,  19.141,  126
     1.8,0.000000, 14,  19.143,  127
     2.0,0.000000, 14,  19.143,  128
     2.2,0.000000, 14,  19.143,  126
     2.4,0.000000, 14,  19.142,  125
     2.6,0.000000, 14,  19.144,  126
     2.8,0.000000, 14,  19.139,  126
     3.0,0.000000, 14,  19.144,  126
     3.2,0.000000, 14,  19.141,  125
     3.4,0.000000, 14,  19.142,  125
     3.6,-0.000002, 14,  19.144,  125
     3.8,-0.000004, 14,  19.140,  125
     4.0,-0.000004, 14,  19.144,  125
     4.2,-0.000002, 14,  19.140,  127
     4.4,0.000001, 14,  19.139,  129
     4.6,0.000004, 14,  19.138,  126
     4.8,0.000004, 14,  19.140,  123
     5.0,0.000007, 14,  19.143,  124
     5.2,0.000009, 14,  19.140,  125
     5.4,0.000004, 14,  19.138,  124
     5.6,0.000004, 14,  19.139,  124
     5.8,0.000007, 14,  19.140,  126
     6.0,0.000004, 14,  19.140,  128
     6.2,0.000004, 14,  19.139,  126
     6.4,0.000004, 14,  19.135,  124
     6.6,0.000001, 14,  19.135,  126
     6.8,0.000005, 14,  19.137,  128
     7.0,0.000008, 14,  19.136,  127
     7.2,0.000008, 14,  19.137,  127
     7.4,0.000011, 14,  19.135,  128
     7.6,0.000013, 14,  19.135,  129
     7.8,0.000016, 14,  19.138,  127
     8.0,0.000011, 14,  19.135,  126
     8.2,0.000008, 14,  19.135,  126
     8.4,0.000008, 14,  19.137,  126
     8.6,0.000005, 14,  19.132,  125
     8.8,0.000002, 14,  19.133,  124
     9.0,0.000009, 14,  19.136,  125
     9.2,0.000016, 14,  19.135,  126
     9.4,0.000012, 14,  19.134,  126
     9.6,0.000016, 14,  19.134,  127
     9.8,0.000013, 14,  19.135,  126
    10.0,0.000009, 14,  19.134,  125
    10.2,0.000013, 14,  19.136,  125
    10.4,0.000013, 14,  19.129,  125
    10.6,0.000009, 14,  19.128,  126
    10.8,0.000013, 14,  19.132,  127
    11.0,0.000013, 14,  19.131,  125
    11.2,0.000009, 14,  19.132,  124
    11.4,0.000013, 14,  19.136,  124
    11.6,0.000013, 14,  19.131,  125
    11.8,0.000009, 14,  19.136,  126
    12.0,0.000010, 14,  19.131,  127
    12.2,0.000014, 14,  19.137,  126
    12.4,0.000010, 14,  19.127,  125
    12.6,0.000008, 14,  19.131,  125
    12.8,0.000014, 14,  19.134,  126
    13.0,0.000014, 14,  19.133,  125
    13.2,0.000008, 14,  19.129,  124
    13.4,0.000017, 14,  19.128,  126
    13.6,0.000014, 14,  19.124,  128
    13.8,0.000017, 14,  19.130,  126
    14.0,0.000010, 14,  19.129,  124
    14.2,0.000010, 14,  19.129,  126
    14.4,0.000006, 14,  19.130,  128
    14.6,0.000010, 14,  19.129,  127
    14.8,0.000008, 14,  19.134,  127
    15.0,0.000004, 14,  19.133,  126
    15.2,0.000008, 14,  19.130,  125
    15.4,0.000014, 14,  19.129,  125
    15.6,0.000008, 14,  19.130,  125
    15.8,0.000005, 14,  19.132,  124
    16.0,0.000006, 14,  19.129,  124
    16.2,-0.000001, 14,  19.132,  124
    16.4,0.000002, 14,  19.130,  125
    16.6,0.000009, 14,  19.131,  127
    16.8,0.000002, 14,  19.128,  129
    17.0,0.000002, 14,  19.132,  126
    17.2,0.000002, 14,  19.129,  124
    17.4,-0.000007, 14,  19.126,  126
    17.6,0.000003, 14,  19.130,  128
    17.8,0.000007, 14,  19.128,  127
    18.0,-0.000002, 14,  19.126,  125
    18.2,0.000005, 14,  19.128,  125
    18.4,0.000007, 14,  19.126,  125
    18.6,0.000003, 14,  19.128,  124
    18.8,0.000010, 14,  19.127,  124
    19.0,0.000010, 14,  19.122,  127
    19.2,0.000003, 14,  19.121,  130
    19.4,0.000010, 14,  19.126,  129
    19.6,0.000007, 14,  19.129,  128
    19.8,0.000007, 14,  19.129,  127
    20.0,0.000007, 14,  19.126,  126
    20.2,0.000010, 14,  19.126,  125
    20.4,0.000010, 14,  19.125,  125
    20.6,0.000003, 14,  19.130,  126
    20.8,0.000010, 14,  19.127,  127
    21.0,0.000010, 14,  19.124,  126
    21.2,0.000003, 14,  19.126,  124
    21.4,0.000013, 14,  19.127,  125
    21.6,0.000016, 14,  19.128,  125
    21.8,0.000009, 14,  19.125,  126
    22.0,0.000018, 14,  19.128,  127
    22.2,0.000018, 14,  19.124,  128
    22.4,0.000012, 14,  19.124,  128
    22.6,0.000014, 14,  19.122,  129
    22.8,0.000012, 14,  19.123,  129
    23.0,0.000005, 14,  19.128,  128
    23.2,0.000008, 14,  19.128,  126
    23.4,0.000012, 14,  19.129,  125
    23.6,0.000008, 14,  19.128,  124
    23.8,0.000008, 14,  19.126,  125
    24.0,0.000014, 14,  19.123,  126
    24.2,0.000010, 14,  19.129,  126
    24.4,0.000010, 14,  19.128,  127
    24.6,0.000020, 14,  19.123,  126
    24.8,0.000016, 14,  19.126,  125
    25.0,0.000023, 14,  19.130,  126
    25.2,0.000029, 14,  19.127,  126
    25.4,0.000025, 14,  19.129,  126
    25.6,0.000025, 14,  19.130,  126
    25.8,0.000025, 14,  19.125,  125
    26.0,0.000019, 14,  19.127,  125
    26.2,0.000016, 14,  19.125,  125
    26.4,0.000017, 14,  19.125,  125
    26.6,0.000021, 14,  19.128,  126
    26.8,0.000017, 14,  19.128,  127
    27.0,0.000021, 14,  19.127,  127
    27.2,0.000024, 14,  19.132,  126
    27.4,0.000024, 14,  19.130,  126
    27.6,0.000031, 14,  19.129,  127
    27.8,0.000024, 14,  19.129,  125
    28.0,0.000020, 14,  19.126,  124
    28.2,0.000020, 14,  19.126,  125
    28.4,0.000017, 14,  19.129,  125
    28.6,0.000013, 14,  19.129,  125
    28.8,0.000013, 14,  19.125,  126
    29.0,0.000017, 14,  19.129,  128
    29.2,0.000013, 14,  19.128,  130
    29.4,0.000016, 14,  19.127,  127
    29.6,0.000019, 14,  19.125,  124
    29.8,0.000012, 14,  19.127,  125
    30.0,0.000013, 14,  19.129,  125
    30.2,0.000014, 14,  19.129,  124
    30.4,0.000008, 14,  19.125,  123
    30.6,0.000008, 14,  19.124,  124
    30.8,0.000012, 14,  19.129,  124
    31.0,0.000008, 14,  19.127,  124
    31.2,0.000010, 14,  19.126,  124
    31.4,0.000010, 14,  19.126,  126
    31.6,0.000006, 14,  19.128,  129
    31.8,0.000013, 14,  19.128,  127
    32.0,0.000010, 14,  19.125,  126
    32.2,0.000006, 14,  19.126,  126
    32.4,0.000013, 14,  19.126,  127
    32.6,0.000017, 14,  19.124,  127
    32.8,0.000013, 14,  19.129,  126
    33.0,0.000010, 14,  19.127,  126
    33.2,0.000014, 14,  19.125,  126
    33.4,0.000014, 14,  19.123,  125
    33.6,0.000008, 14,  19.125,  123
    33.8,0.000017, 14,  19.124,  124
    34.0,0.000014, 14,  19.130,  126
    34.2,0.000017, 14,  19.125,  126
    34.4,0.000014, 14,  19.129,  127
    34.6,0.000012, 14,  19.127,  126
    34.8,0.000005, 14,  19.131,  125
    35.0,0.000008, 14,  19.123,  125
    35.2,0.000012, 14,  19.124,  126
    35.4,0.000005, 14,  19.126,  126
    35.6,0.000008, 14,  19.127,  127
    35.8,0.000012, 14,  19.127,  125
    36.0,0.000005, 14,  19.130,  124
    36.2,0.000008, 14,  19.126,  125
    36.4,0.000012, 14,  19.128,  125
    36.6,0.000005, 14,  19.125,  126
    36.8,0.000008, 14,  19.129,  126
    37.0,0.000012, 14,  19.131,  126
    37.2,0.000008, 14,  19.127,  126
    37.4,0.000010, 14,  19.129,  127
    37.6,0.000017, 14,  19.128,  128
    37.8,0.000010, 14,  19.127,  127
    38.0,0.000010, 14,  19.129,  126
    38.2,0.000012, 14,  19.128,  125
    38.4,0.000005, 14,  19.125,  125
    38.6,0.000012, 14,  19.129,  125
    38.8,0.000016, 14,  19.125,  124
    39.0,0.000009, 14,  19.126,  126
    39.2,0.000016, 14,  19.128,  128
    39.4,0.000016, 14,  19.126,  127
    39.6,0.000009, 14,  19.122,  126
    39.8,0.000012, 14,  19.125,  125
    40.0,0.000009, 14,  19.122,  125
    40.2,0.000009, 14,  19.123,  125
    40.4,0.000005, 14,  19.126,  125
    40.6,0.000005, 14,  19.126,  125
    40.8,0.000009, 14,  19.124,  125
    41.0,0.000002, 14,  19.127,  124
    41.2,0.000012, 14,  19.124,  124
    41.4,0.000018, 14,  19.122,  126
    41.6,0.000012, 14,  19.120,  129
    41.8,0.000018, 14,  19.121,  126
    42.0,0.000016, 14,  19.124,  123
    42.2,0.000009, 14,  19.120,  125
    42.4,0.000016, 14,  19.122,  127
    42.6,0.000016, 14,  19.119,  126
    42.8,0.000009, 14,  19.123,  126
    43.0,0.000016, 14,  19.125,  125
    43.2,0.000016, 14,  19.120,  124
    43.4,0.000009, 14,  19.124,  125
    43.6,0.000016, 14,  19.122,  126
    43.8,0.000016, 14,  19.121,  128
    44.0,0.000009, 14,  19.121,  130
    44.2,0.000018, 14,  19.121,  128
    44.4,0.000018, 14,  19.119,  127
    44.6,0.000021, 14,  19.119,  126
    44.8,0.000024, 14,  19.118,  126
    45.0,0.000033, 14,  19.119,  125
    45.2,0.000036, 14,  19.123,  124
    45.4,0.000024, 14,  19.120,  125
    45.6,0.000028, 14,  19.120,  127
    45.8,0.000021, 14,  19.117,  125
    46.0,0.000018, 14,  19.122,  122
    46.2,0.000016, 14,  19.117,  124
    46.4,0.000009, 14,  19.124,  126
    46.6,0.000009, 14,  19.122,  126
    46.8,0.000009, 14,  19.118,  127
    47.0,0.000009, 14,  19.123,  126
    47.2,0.000005, 14,  19.121,  125
    47.4,0.000014, 14,  19.119,  126
    47.6,0.000024, 14,  19.114,  127
    47.8,0.000020, 14,  19.121,  126
    48.0,0.000020, 14,  19.121,  126
    48.2,0.000020, 14,  19.121,  125
    48.4,0.000016, 14,  19.120,  124
    48.6,0.000013, 14,  19.118,  124
    48.8,0.000020, 14,  19.119,  125
    49.0,0.000016, 14,  19.120,  126
    49.2,0.000010, 14,  19.120,  127
    49.4,0.000014, 14,  19.119,  126
    49.6,0.000010, 14,  19.119,  126
    49.8,0.000008, 14,  19.121,  126
    50.0,0.000014, 14,  19.121,  127
    50.2,0.000010, 14,  19.121,  126
    50.4,0.000008, 14,  19.121,  126
    50.6,0.000014, 14,  19.123,  125
    50.8,0.000008, 14,  19.122,  124
    51.0,0.000012, 14,  19.120,  124
    51.2,0.000016, 14,  19.120,  125
    51.4,0.000009, 14,  19.119,  126
    51.6,0.000016, 14,  19.119,  128
    51.8,0.000016, 14,  19.119,  127
    52.0,0.000009, 14,  19.122,  126
    52.2,0.000018, 14,  19.123,  127
    52.4,0.000018, 14,  19.116,  128
    52.6,0.000012, 14,  19.119,  128
    52.8,0.000021, 14,  19.120,  128
    53.0,0.000018, 14,  19.120,  127
    53.2,0.000012, 14,  19.122,  126
    53.4,0.000018, 14,  19.122,  125
    53.6,0.000013, 14,  19.118,  125
    53.8,0.000010, 14,  19.122,  126
    54.0,0.000013, 14,  19.120,  128
    54.2,0.000010, 14,  19.122,  126
    54.4,0.000017, 14,  19.120,  124
    54.6,0.000010, 14,  19.120,  125
    54.8,0.000010, 14,  19.123,  126
    55.0,0.000010, 14,  19.122,  125
    55.2,0.000003, 14,  19.121,  125
