Run Name,50% CRL group3 April 8 2014.1
Run Date,01:55:32 PM   04-08-14
Method Name,50% CRL group 3 April 8 2014.1
Export Format Version, 1.00
Method ID, 2042
Points/Second, 5.00
Number of Records,   2310
Offset from Run Start Time,00:00:00
Run End Time,00:07:41
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure
     0.0,0.000000, 50,  49.223,  121
     0.2,0.000000, 50,  49.244,  122
     0.4,0.000000, 50,  49.248,  122
     0.6,0.000000, 50,  49.250,  123
     0.8,0.000000, 50,  49.251,  124
     1.0,0.000000, 50,  49.254,  125
     1.2,0.000000, 50,  49.256,  125
     1.4,0.000000, 50,  49.259,  124
     1.6,0.000000, 50,  49.257,  122
     1.8,0.000000, 50,  49.266,  122
     2.0,0.000000, 50,  49.267,  122
     2.2,0.000000, 50,  49.269,  122
     2.4,0.000000, 50,  49.276,  122
     2.6,0.000000, 50,  49.276,  123
     2.8,0.000000, 50,  49.281,  125
     3.0,0.000000, 50,  49.285,  123
     3.2,0.000003, 50,  49.287,  122
     3.4,0.000009, 50,  49.290,  123
     3.6,0.000016, 50,  49.291,  123
     3.8,0.000009, 50,  49.293,  122
     4.0,0.000009, 50,  49.297,  121
     4.2,0.000009, 50,  49.297,  121
     4.4,0.000003, 50,  49.299,  121
     4.6,0.000006, 50,  49.304,  124
     4.8,0.000006, 50,  49.307,  127
     5.0,-0.000001, 50,  49.311,  127
     5.2,0.000002, 50,  49.316,  128
     5.4,0.000006, 50,  49.318,  126
     5.6,0.000002, 50,  49.316,  124
     5.8,0.000002, 50,  49.322,  123
     6.0,0.000008, 50,  49.319,  121
     6.2,0.000004, 50,  49.325,  122
     6.4,0.000004, 50,  49.325,  123
     6.6,0.000014, 50,  49.326,  122
     6.8,0.000010, 50,  49.326,  122
     7.0,0.000010, 50,  49.331,  123
     7.2,0.000017, 50,  49.329,  124
     7.4,0.000015, 50,  49.329,  124
     7.6,0.000015, 50,  49.336,  124
     7.8,0.000022, 50,  49.341,  123
     8.0,0.000022, 50,  49.341,  123
     8.2,0.000015, 50,  49.340,  122
     8.4,0.000022, 50,  49.342,  122
     8.6,0.000019, 50,  49.343,  121
     8.8,0.000019, 50,  49.345,  120
     9.0,0.000019, 50,  49.343,  122
     9.2,0.000019, 50,  49.349,  124
     9.4,0.000013, 50,  49.347,  125
     9.6,0.000010, 50,  49.349,  125
     9.8,0.000014, 50,  49.352,  123
    10.0,0.000007, 50,  49.351,  122
    10.2,0.000011, 50,  49.355,  122
    10.4,0.000012, 50,  49.356,  123
    10.6,0.000006, 50,  49.352,  123
    10.8,0.000009, 50,  49.354,  123
    11.0,0.000004, 50,  49.355,  123
    11.2,-0.000006, 50,  49.359,  123
    11.4,0.000001, 50,  49.359,  123
    11.6,0.000001, 50,  49.357,  122
    11.8,-0.000006, 50,  49.358,  122
    12.0,-0.000003, 50,  49.359,  122
    12.2,0.000000, 50,  49.365,  121
    12.4,-0.000007, 50,  49.363,  121
    12.6,-0.000007, 50,  49.361,  121
    12.8,-0.000006, 50,  49.364,  121
    13.0,-0.000015, 50,  49.359,  122
    13.2,-0.000008, 50,  49.362,  123
    13.4,0.000001, 50,  49.360,  126
    13.6,-0.000003, 50,  49.361,  129
    13.8,0.000004, 50,  49.364,  128
    14.0,0.000004, 50,  49.363,  126
    14.2,-0.000003, 50,  49.365,  124
    14.4,0.000004, 50,  49.363,  122
    14.6,0.000001, 50,  49.361,  123
    14.8,-0.000008, 50,  49.365,  124
    15.0,-0.000002, 50,  49.366,  123
    15.2,0.000001, 50,  49.364,  123
    15.4,-0.000006, 50,  49.364,  123
    15.6,0.000001, 50,  49.364,  124
    15.8,0.000001, 50,  49.363,  124
    16.0,-0.000006, 50,  49.363,  124
    16.2,0.000001, 50,  49.364,  123
    16.4,0.000008, 50,  49.364,  123
