Run Name,17-45% linear gradient CRL group 3 4-11-14.4
Run Date,04:03:56 PM   04-11-14
Method Name,17-45% linear gradient CRL group 3 4-11-14.4
Export Format Version, 1.00
Method ID, 2068
Points/Second, 5.00
Number of Records,  14509
Offset from Run Start Time,00:00:00
Run End Time,00:48:24
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,GP Pressure
     0.0,0.000212, 17,  21.775,   49
     0.2,0.000182, 17,  21.772,   49
     0.4,0.000172, 17,  21.769,   50
     0.6,0.000194, 17,  21.772,   50
     0.8,0.000000, 17,  21.770,   49
     1.0,0.000000, 17,  21.768,   50
     1.2,0.000000, 17,  21.768,   50
     1.4,0.000000, 17,  21.772,   50
     1.6,0.000000, 17,  21.764,   49
     1.8,0.000000, 17,  21.764,   49
     2.0,0.000000, 17,  21.761,   49
     2.2,0.000000, 17,  21.755,   48
     2.4,0.000000, 17,  21.760,   48
     2.6,0.000000, 17,  21.756,   48
     2.8,0.000000, 17,  21.754,   48
     3.0,0.000000, 17,  21.754,   51
     3.2,0.000000, 17,  21.751,   53
     3.4,0.000000, 17,  21.749,   51
     3.6,0.000000, 17,  21.748,   49
     3.8,-0.000004, 17,  21.747,   50
     4.0,0.000003, 17,  21.739,   51
     4.2,0.000003, 17,  21.737,   50
     4.4,0.000006, 17,  21.738,   49
     4.6,0.000002, 17,  21.738,   49
     4.8,0.000002, 17,  21.734,   50
     5.0,0.000004, 17,  21.736,   49
     5.2,0.000004, 17,  21.733,   49
     5.4,0.000004, 17,  21.735,   49
     5.6,0.000010, 17,  21.734,   49
     5.8,0.000010, 17,  21.729,   50
     6.0,0.000013, 17,  21.727,   50
     6.2,0.000015, 17,  21.725,   49
     6.4,0.000011, 17,  21.725,   49
     6.6,0.000009, 17,  21.728,   49
     6.8,0.000009, 17,  21.729,   49
     7.0,0.000005, 17,  21.727,   49
     7.2,0.000009, 17,  21.726,   50
     7.4,0.000002, 17,  21.726,   49
     7.6,0.000005, 17,  21.722,   49
     7.8,0.000002, 17,  21.723,   49
     8.0,-0.000005, 17,  21.722,   49
     8.2,0.000002, 17,  21.724,   51
     8.4,-0.000008, 17,  21.719,   53
     8.6,-0.000001, 17,  21.725,   50
     8.8,-0.000001, 17,  21.719,   48
     9.0,-0.000001, 17,  21.716,   50
     9.2,-0.000001, 17,  21.715,   51
     9.4,-0.000008, 17,  21.715,   50
     9.6,0.000002, 17,  21.712,   49
     9.8,0.000005, 17,  21.712,   50
    10.0,-0.000002, 17,  21.708,   50
    10.2,0.000005, 17,  21.702,   49
