Run Name,22%_C and R only_Group 4_02 20 2014
Run Date,04:35:11 PM   02-20-14
Method Name,22%_C and R only_group4_(2-20-2014].1
Export Format Version, 1.00
Method ID, 1803
Points/Second, 5.00
Number of Records,  12930
Offset from Run Start Time,00:00:00
Run End Time,00:43:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000499,0.000514,0.011863,0.000186,  27.947
     0.2,0.000495,0.000509,0.011815,0.000186,  27.935
     0.4,0.000495,0.000506,0.011810,0.000186,  27.930
     0.6,0.000502,0.000509,0.011838,0.000173,  27.934
     0.8,0.000498,0.000504,0.011715,0.000160,  27.929
     1.0,0.000495,0.000509,0.011518,0.000160,  27.935
     1.2,0.000499,0.000514,0.011267,0.000173,  27.931
     1.4,0.000495,0.000512,0.011119,0.000173,  27.928
     1.6,0.000495,0.000514,0.010981,0.000173,  27.924
     1.8,0.000499,0.000512,0.010831,0.000173,  27.921
     2.0,0.000495,0.000514,0.010926,0.000173,  27.919
     2.2,0.000495,0.000515,0.011155,0.000173,  27.920
     2.4,0.000499,0.000518,0.011479,0.000173,  27.921
     2.6,0.000492,0.000520,0.011665,0.000173,  27.922
     2.8,0.000492,0.000519,0.011841,0.000173,  27.921
     3.0,0.000494,0.000514,0.012001,0.000173,  27.925
     3.2,0.000490,0.000512,0.011872,0.000173,  27.922
     3.4,0.000490,0.000514,0.011601,0.000173,  27.924
     3.6,0.000090,0.000511,0.011055,0.000173,  27.922
     3.8,-0.000721,0.000556,0.011055,0.000173,  27.926
     4.0,-0.001918,0.000556,0.011055,0.000173,  27.927
     4.2,-0.001565,-0.000309,0.011055,0.000173,  27.927
     4.4,0.000000,-0.002050,0.011055,0.000208,  27.934
     4.6,0.000000,-0.002050,0.000000,0.000195,  27.935
     4.8,0.000000,0.000000,0.000000,0.000000,  27.938
     5.0,0.000000,0.000000,0.000000,0.000000,  27.946
     5.2,0.000000,0.000000,0.000000,0.000000,  27.946
     5.4,0.000000,0.000000,0.000000,0.000000,  27.948
     5.6,0.000000,0.000000,0.000000,0.000000,  27.950
     5.8,0.000000,0.000000,0.000000,0.000000,  27.949
     6.0,0.000000,0.000000,0.000000,0.000000,  27.955
     6.2,0.000000,0.000000,0.000000,0.000000,  27.954
     6.4,0.000000,0.000000,0.000000,0.000000,  27.949
     6.6,0.000000,0.000000,0.000000,0.000000,  27.952
     6.8,0.000000,0.000000,0.000000,0.000000,  27.954
     7.0,0.000000,0.000000,0.000000,0.000000,  27.956
     7.2,0.000000,0.000000,0.000000,0.000000,  27.954
     7.4,0.000050,0.000038,0.000000,0.000000,  27.960
     7.6,0.000096,0.000077,-0.000321,0.000000,  27.963
     7.8,0.000127,0.000105,-0.000353,0.000000,  27.966
     8.0,0.000151,0.000133,-0.000379,0.000000,  27.964
     8.2,0.000164,0.000152,-0.000409,0.000000,  27.963
     8.4,0.000167,0.000167,-0.000441,0.000000,  27.967
     8.6,0.000182,0.000173,-0.000478,0.000164,  27.963
     8.8,0.000193,0.000192,-0.000520,0.000119,  27.966
     9.0,0.000201,0.000213,-0.000454,0.000097,  27.967
     9.2,0.000211,0.000236,-0.000319,0.000132,  27.963
     9.4,0.000224,0.000245,-0.000137,0.000110,  27.964
     9.6,0.000232,0.000255,-0.000154,0.000123,  27.966
     9.8,0.000243,0.000261,-0.000238,0.000158,  27.964
    10.0,0.000244,0.000268,-0.000399,0.000148,  27.962
    10.2,0.000252,0.000283,-0.000399,0.000161,  27.962
    10.4,0.000246,0.000299,-0.000335,0.000209,  27.956
    10.6,0.000249,0.000298,-0.000235,0.000200,  27.955
    10.8,0.000232,0.000292,-0.000230,0.000213,  27.959
    11.0,0.000223,0.000287,-0.000230,0.000248,  27.951
    11.2,0.000213,0.000279,-0.000241,0.000213,  27.952
    11.4,0.000200,0.000268,-0.000273,0.000200,  27.949
    11.6,0.000184,0.000263,-0.000325,0.000197,  27.946
    11.8,0.000176,0.000253,-0.000392,0.000148,  27.947
    12.0,0.000164,0.000242,-0.000445,0.000148,  27.947
    12.2,0.000165,0.000236,-0.000509,0.000158,  27.943
    12.4,0.000171,0.000235,-0.000589,0.000123,  27.943
    12.6,0.000172,0.000243,-0.000664,0.000110,  27.938
    12.8,0.000192,0.000255,-0.000743,0.000132,  27.935
    13.0,0.000202,0.000262,-0.000816,0.000110,  27.924
    13.2,0.000206,0.000266,-0.000874,0.000123,  27.917
    13.4,0.000221,0.000273,-0.000921,0.000158,  27.913
    13.6,0.000231,0.000276,-0.000974,0.000171,  27.910
    13.8,0.000232,0.000286,-0.001010,0.000148,  27.904
    14.0,0.000242,0.000298,-0.001255,0.000161,  27.902
    14.2,0.000247,0.000301,-0.001588,0.000197,  27.897
    14.4,0.000246,0.000303,-0.001998,0.000174,  27.891
    14.6,0.000255,0.000307,-0.002185,0.000174,  27.884
    14.8,0.000263,0.000309,-0.002279,0.000187,  27.882
    15.0,0.000264,0.000315,-0.002311,0.000200,  27.872
    15.2,0.000278,0.000318,-0.002214,0.000200,  27.869
    15.4,0.000278,0.000325,-0.002024,0.000200,  27.865
    15.6,0.000264,0.000323,-0.001736,0.000213,  27.861
    15.8,0.000255,0.000321,-0.001856,0.000213,  27.859
    16.0,0.000247,0.000314,-0.002108,0.000213,  27.856
    16.2,0.000227,0.000301,-0.002502,0.000226,  27.855
    16.4,0.000218,0.000297,-0.002476,0.000213,  27.848
    16.6,0.000207,0.000287,-0.002312,0.000235,  27.849
    16.8,0.000190,0.000279,-0.001976,0.000200,  27.845
    17.0,0.000186,0.000268,-0.001821,0.000187,  27.834
    17.2,0.000179,0.000264,-0.001713,0.000161,  27.830
    17.4,0.000179,0.000260,-0.001610,0.000148,  27.830
    17.6,0.000176,0.000252,-0.001756,0.000148,  27.828
    17.8,0.000179,0.000249,-0.002047,0.000136,  27.821
    18.0,0.000189,0.000255,-0.002471,0.000123,  27.813
    18.2,0.000202,0.000264,-0.002497,0.000110,  27.801
    18.4,0.000218,0.000278,-0.002426,0.000110,  27.797
    18.6,0.000231,0.000290,-0.002224,0.000136,  27.796
    18.8,0.000240,0.000302,-0.002436,0.000136,  27.788
    19.0,0.000260,0.000314,-0.002809,0.000148,  27.785
    19.2,0.000273,0.000324,-0.003341,0.000174,  27.779
    19.4,0.000274,0.000331,-0.003311,0.000187,  27.777
    19.6,0.000289,0.000341,-0.003058,0.000200,  27.775
    19.8,0.000299,0.000349,-0.002615,0.000213,  27.772
