Run Name,22%_C and R only_group 4_2_20_2014
Run Date,04:05:03 PM   02-20-14
Method Name,22%_C and R only_group4_(2-20-2014].1
Export Format Version, 1.00
Method ID, 1802
Points/Second, 5.00
Number of Records,   8169
Offset from Run Start Time,00:00:00
Run End Time,00:27:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000161,-0.000174,-0.000676,-0.000243,  26.619
     0.2,-0.000161,-0.000177,-0.000734,-0.000243,  26.621
     0.4,-0.000165,-0.000182,-0.000857,-0.000230,  26.639
     0.6,-0.000157,-0.000186,-0.001091,-0.000230,  26.631
     0.8,-0.000154,-0.000189,-0.001400,-0.000230,  26.620
     1.0,-0.000161,-0.000185,-0.001524,-0.000217,  26.614
     1.2,-0.000158,-0.000174,-0.001627,-0.000217,  26.614
     1.4,-0.000155,-0.000169,-0.001715,-0.000217,  26.612
     1.6,-0.000155,-0.000171,-0.001679,-0.000217,  26.606
     1.8,-0.000155,-0.000173,-0.001585,-0.000217,  26.609
     2.0,-0.000150,-0.000174,-0.001424,-0.000217,  26.605
     2.2,-0.000154,-0.000174,-0.001471,-0.000217,  26.602
     2.4,-0.000151,-0.000179,-0.001589,-0.000217,  26.602
     2.6,-0.000155,-0.000186,-0.001791,-0.000217,  26.603
     2.8,-0.000155,-0.000184,-0.001842,-0.000217,  26.597
     3.0,-0.000160,-0.000186,-0.001878,-0.000217,  26.597
     3.2,-0.000163,-0.000184,-0.001878,-0.000217,  26.594
     3.4,-0.000163,-0.000188,-0.001904,-0.000217,  26.591
     3.6,-0.000187,-0.000190,-0.001934,-0.000217,  26.592
     3.8,-0.000199,-0.000190,-0.001981,-0.000217,  26.594
     4.0,-0.000190,-0.000190,-0.001854,-0.000217,  26.590
     4.2,-0.000190,-0.000196,-0.001633,-0.000217,  26.594
     4.4,0.000000,-0.000198,-0.001341,-0.000230,  26.584
     4.6,0.000000,-0.000197,-0.001259,-0.000255,  26.585
     4.8,0.000000,-0.000199,-0.001231,-0.000281,  26.587
     5.0,0.000000,0.000000,-0.003165,-0.000281,  26.587
     5.2,0.000000,0.000000,-0.003165,-0.000281,  26.579
     5.4,0.000000,0.000000,-0.003165,-0.000233,  26.575
     5.6,0.000000,0.000000,-0.003165,-0.006959,  26.575
     5.8,0.000000,0.000000,0.000000,0.000000,  26.587
     6.0,0.000000,0.000000,0.000000,0.000000,  26.608
     6.2,0.000000,0.000000,0.000000,0.000000,  26.586
     6.4,0.000000,0.000000,0.000000,0.000000,  26.580
     6.6,0.000000,0.000000,0.000000,0.000000,  26.575
     6.8,0.000000,0.000000,0.000000,0.000000,  26.572
     7.0,0.000000,0.000000,0.000000,0.000000,  26.572
