Run Name,22_to_36_gradient_group4_2_23
Run Date,05:25:59 PM   02-23-14
Method Name,lineargradient 2_group4_2-23.3
Export Format Version, 1.00
Method ID, 1812
Points/Second, 5.00
Number of Records,  12660
Offset from Run Start Time,00:00:00
Run End Time,00:42:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000262,0.000000,0.009743,0.000000,  84.594
     0.2,0.000278,0.000000,0.009743,0.000000,  84.599
     0.4,0.000260,0.000000,0.009743,0.000000,  84.602
     0.6,0.000322,0.000000,0.009743,0.000000,  84.599
     0.8,0.000000,0.000000,0.000000,0.000000,  84.601
     1.0,0.000000,0.000000,0.000000,0.000000,  84.602
     1.2,0.000000,0.000000,0.000000,0.000000,  84.595
     1.4,0.000000,0.000000,0.000000,0.000000,  84.596
     1.6,0.000000,0.000000,0.000000,0.000000,  84.605
     1.8,0.000000,0.000000,0.000000,0.000000,  84.602
     2.0,0.000000,0.000000,0.000000,0.000000,  84.601
     2.2,0.000000,0.000000,0.000000,0.000000,  84.599
     2.4,0.000000,0.000000,0.000000,0.000000,  84.599
     2.6,0.000000,0.000000,0.000000,0.000000,  84.601
     2.8,0.000000,0.000000,0.000000,0.000000,  84.600
     3.0,0.000000,0.000000,0.000000,0.000000,  84.600
     3.2,0.000000,0.000000,0.000000,0.000000,  84.599
     3.4,0.000000,0.000000,0.000000,0.000000,  84.599
     3.6,0.000000,0.000000,0.000000,0.000000,  84.597
     3.8,0.000000,0.000000,0.000000,0.000000,  84.600
     4.0,0.000000,0.000000,0.000000,0.000000,  84.597
     4.2,0.000000,0.000000,0.000000,0.000000,  84.601
     4.4,0.000000,0.000000,0.000000,0.000000,  84.596
     4.6,0.000000,0.000001,0.000000,0.000000,  84.603
     4.8,0.000003,-0.000001,0.000290,0.000000,  84.599
     5.0,0.000003,0.000001,0.000357,0.000000,  84.596
     5.2,-0.000009,-0.000002,0.000209,-0.000023,  84.594
     5.4,-0.000003,-0.000009,-0.000184,-0.000036,  84.589
     5.6,-0.000009,-0.000011,-0.000809,-0.000036,  84.593
     5.8,-0.000006,-0.000011,-0.001671,-0.000023,  84.591
     6.0,-0.000006,-0.000015,-0.001734,-0.000023,  84.591
     6.2,-0.000013,-0.000018,-0.001517,-0.000023,  84.597
     6.4,-0.000010,-0.000016,-0.001042,-0.000010,  84.590
     6.6,-0.000004,-0.000014,-0.000894,-0.000023,  84.592
     6.8,-0.000010,-0.000011,-0.000755,-0.000023,  84.590
     7.0,-0.000008,-0.000013,-0.000654,-0.000045,  84.591
     7.2,-0.000004,-0.000009,-0.000554,-0.000058,  84.586
     7.4,-0.000010,-0.000012,-0.000453,-0.000058,  84.586
     7.6,-0.000008,-0.000013,-0.000358,-0.000081,  84.589
     7.8,-0.000004,-0.000013,-0.000310,-0.000094,  84.582
     8.0,-0.000008,-0.000016,-0.000310,-0.000058,  84.584
     8.2,-0.000008,-0.000016,-0.000330,-0.000045,  84.585
     8.4,-0.000001,-0.000017,-0.000293,-0.000058,  84.580
     8.6,-0.000005,-0.000018,-0.000240,-0.000058,  84.582
     8.8,-0.000008,-0.000017,-0.000182,-0.000045,  84.582
     9.0,-0.000001,-0.000011,-0.000166,-0.000058,  84.584
     9.2,-0.000001,-0.000015,-0.000193,-0.000058,  84.582
     9.4,-0.000001,-0.000011,-0.000240,-0.000045,  84.583
     9.6,0.000001,-0.000010,-0.000209,-0.000058,  84.574
     9.8,0.000005,-0.000013,-0.000140,-0.000058,  84.580
    10.0,0.000008,-0.000009,-0.000060,-0.000045,  84.583
    10.2,0.000005,-0.000005,-0.000034,-0.000058,  84.585
    10.4,0.000003,-0.000008,-0.000029,-0.000058,  84.585
    10.6,-0.000001,-0.000008,-0.000034,-0.000045,  84.578
    10.8,0.000005,-0.000009,-0.000023,-0.000045,  84.584
    11.0,0.000005,-0.000016,-0.000023,-0.000045,  84.582
    11.2,0.000001,-0.000014,-0.000012,-0.000045,  84.585
    11.4,0.000004,-0.000012,-0.000023,-0.000045,  84.582
    11.6,0.000009,-0.000012,-0.000049,-0.000045,  84.578
    11.8,0.000003,-0.000016,-0.000087,-0.000045,  84.578
    12.0,0.000003,-0.000015,-0.000107,-0.000081,  84.579
    12.2,0.000007,-0.000013,-0.000145,-0.000045,  84.580
    12.4,0.000003,-0.000012,-0.000192,-0.000045,  84.573
    12.6,0.000003,-0.000011,-0.000213,-0.000033,  84.581
    12.8,0.000007,-0.000015,-0.000218,-0.000033,  84.579
    13.0,0.000003,-0.000015,-0.000213,-0.000045,  84.583
    13.2,0.000003,-0.000007,-0.000192,-0.000033,  84.582
    13.4,0.000007,-0.000010,-0.000606,-0.000045,  84.579
    13.6,0.000003,-0.000008,-0.001167,-0.000058,  84.580
    13.8,0.000003,-0.000007,-0.001901,-0.000045,  84.584
    14.0,0.000009,-0.000004,-0.001927,-0.000058,  84.582
