Run Name,25-45%_lineargradient_group4_2-23
Run Date,04:23:59 PM   02-23-14
Method Name,lineargradient 2_group4_2-23.1
Export Format Version, 1.00
Method ID, 1810
Points/Second, 5.00
Number of Records,  12377
Offset from Run Start Time,00:00:00
Run End Time,00:41:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000003,0.000000,-0.003747,-0.000238,  49.810
     0.2,-0.000016,0.000000,-0.003962,-0.000225,  49.808
     0.4,-0.000016,0.000000,-0.004315,-0.000261,  49.806
     0.6,0.000058,0.000000,-0.004781,-0.000225,  49.813
     0.8,0.000000,0.000000,-0.004766,-0.000212,  49.812
     1.0,0.000000,0.000000,-0.004587,-0.000261,  49.806
     1.2,0.000000,0.000000,0.000000,-0.000261,  49.806
     1.4,0.000000,0.000000,0.000000,-0.000248,  49.809
     1.6,0.000000,0.000000,0.000000,-0.000248,  49.797
     1.8,0.000000,0.000000,0.000000,-0.000248,  49.804
     2.0,0.000000,0.000000,0.000000,-0.000225,  49.799
     2.2,0.000000,0.000000,0.000000,0.000000,  49.800
     2.4,0.000000,0.000000,0.000000,0.000000,  49.799
     2.6,0.000000,0.000000,0.000000,0.000000,  49.795
     2.8,0.000000,0.000000,0.000000,0.000000,  49.795
     3.0,0.000000,0.000000,0.000000,0.000000,  49.795
     3.2,0.000000,0.000000,0.000000,0.000000,  49.795
     3.4,0.000000,0.000000,0.000000,0.000000,  49.800
     3.6,0.000000,0.000000,0.000000,0.000000,  49.793
     3.8,0.000000,0.000000,0.000000,0.000000,  49.793
     4.0,0.000000,-0.000009,0.000000,0.000000,  49.786
     4.2,-0.000004,-0.000010,0.000000,0.000000,  49.783
     4.4,-0.000007,-0.000006,0.000000,0.000000,  49.782
     4.6,-0.000007,-0.000009,0.000000,0.000000,  49.782
     4.8,-0.000010,-0.000009,0.000000,0.000000,  49.781
     5.0,-0.000010,-0.000017,0.000000,0.000000,  49.777
     5.2,-0.000010,-0.000015,0.000703,0.000000,  49.775
     5.4,-0.000012,-0.000019,0.000579,0.000000,  49.775
     5.6,-0.000010,-0.000017,0.000471,0.000000,  49.778
     5.8,-0.000016,-0.000019,0.000353,0.000000,  49.776
     6.0,-0.000016,-0.000017,0.000236,0.000000,  49.772
     6.2,-0.000013,-0.000017,0.000107,0.000013,  49.773
     6.4,-0.000023,-0.000019,-0.000009,0.000013,  49.774
     6.6,-0.000016,-0.000023,-0.000065,0.000000,  49.776
     6.8,-0.000016,-0.000023,-0.000091,0.000013,  49.771
     7.0,-0.000023,-0.000026,-0.000101,0.000013,  49.772
     7.2,-0.000019,-0.000024,-0.000112,0.000000,  49.772
     7.4,-0.000019,-0.000029,-0.000133,-0.000023,  49.770
     7.6,-0.000023,-0.000029,-0.000133,-0.000023,  49.773
     7.8,-0.000019,-0.000026,-0.000164,-0.000036,  49.770
     8.0,-0.000016,-0.000028,-0.000226,-0.000059,  49.768
     8.2,-0.000023,-0.000027,-0.000287,-0.000059,  49.765
     8.4,-0.000016,-0.000015,-0.000312,-0.000023,  49.765
     8.6,-0.000013,-0.000015,-0.000333,-0.000010,  49.768
     8.8,-0.000023,-0.000020,-0.000338,-0.000023,  49.768
     9.0,-0.000016,-0.000017,-0.000353,-0.000023,  49.762
     9.2,-0.000016,-0.000017,-0.000400,-0.000010,  49.761
     9.4,-0.000020,-0.000020,-0.000446,-0.000023,  49.764
     9.6,-0.000016,-0.000022,-0.000427,-0.000023,  49.768
     9.8,-0.000023,-0.000022,-0.000403,-0.000010,  49.764
    10.0,-0.000020,-0.000022,-0.000341,-0.000059,  49.760
    10.2,-0.000023,-0.000024,-0.000567,-0.000059,  49.761
    10.4,-0.000023,-0.000027,-0.000921,-0.000046,  49.764
    10.6,-0.000020,-0.000027,-0.001411,-0.000081,  49.760
    10.8,-0.000023,-0.000028,-0.001436,-0.000046,  49.761
    11.0,-0.000023,-0.000029,-0.001298,-0.000033,  49.763
    11.2,-0.000020,-0.000025,-0.000990,-0.000068,  49.762
    11.4,-0.000020,-0.000023,-0.000858,-0.000046,  49.765
    11.6,-0.000020,-0.000025,-0.000742,-0.000033,  49.764
    11.8,-0.000017,-0.000019,-0.000603,-0.000068,  49.764
    12.0,-0.000017,-0.000023,-0.000511,-0.000046,  49.761
    12.2,-0.000020,-0.000025,-0.000445,-0.000033,  49.759
    12.4,-0.000017,-0.000024,-0.000398,-0.000068,  49.758
    12.6,-0.000015,-0.000028,-0.000377,-0.000046,  49.762
    12.8,-0.000008,-0.000031,-0.000382,-0.000033,  49.761
    13.0,-0.000005,-0.000029,-0.000422,-0.000068,  49.758
    13.2,-0.000012,-0.000027,-0.000416,-0.000046,  49.761
    13.4,-0.000008,-0.000030,-0.000406,-0.000046,  49.760
    13.6,-0.000003,-0.000030,-0.000395,-0.000068,  49.765
    13.8,-0.000003,-0.000024,-0.000374,-0.000068,  49.762
    14.0,0.000004,-0.000021,-0.000359,-0.000046,  49.760
    14.2,0.000004,-0.000021,-0.000327,-0.000068,  49.761
