Run Name,Group 4 CRL 33% 2_20
Run Date,02:05:33 PM   02-20-14
Method Name,33%B-Isocratic.54
Export Format Version, 1.00
Method ID, 1796
Points/Second, 5.00
Number of Records,   5460
Offset from Run Start Time,00:00:00
Run End Time,00:18:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000213,0.000000,0.000000,0.000186,  34.675
     0.2,0.000210,0.000000,0.000000,0.000186,  34.676
     0.4,0.000218,0.000000,0.000000,0.000186,  34.679
     0.6,0.000228,0.000000,0.000000,0.000186,  34.679
     0.8,0.000000,0.000000,0.000000,0.000186,  34.684
     1.0,0.000000,0.000000,0.000000,0.000221,  34.681
     1.2,0.000000,0.000000,0.000000,0.000000,  34.688
     1.4,0.000000,0.000000,0.000000,0.000000,  34.692
     1.6,0.000000,0.000000,0.000000,0.000000,  34.695
     1.8,0.000000,0.000000,0.000000,0.000000,  34.692
     2.0,0.000000,0.000000,0.000000,0.000000,  34.696
     2.2,0.000000,0.000000,0.000000,0.000000,  34.697
     2.4,0.000000,0.000000,0.000000,0.000000,  34.710
     2.6,0.000000,0.000000,0.000000,0.000000,  34.712
     2.8,0.000000,0.000000,0.000000,0.000000,  34.711
     3.0,0.000000,0.000000,0.000000,0.000000,  34.715
     3.2,0.000000,0.000000,0.000000,0.000000,  34.717
     3.4,0.000000,0.000000,0.000000,0.000000,  34.720
     3.6,0.000000,0.000000,0.000000,0.000000,  34.722
     3.8,0.000000,0.000000,0.000000,0.000000,  34.724
     4.0,0.000000,0.000000,0.000000,0.000000,  34.728
     4.2,0.000000,0.000000,0.000000,0.000000,  34.729
     4.4,-0.000012,0.000000,0.000000,0.000000,  34.731
     4.6,-0.000011,0.000022,-0.000283,0.000000,  34.731
     4.8,-0.000013,0.000025,-0.000189,0.000000,  34.733
     5.0,-0.000020,0.000022,-0.000190,0.000000,  34.738
     5.2,-0.000017,0.000017,-0.000253,0.000000,  34.744
     5.4,-0.000017,0.000015,-0.000384,0.000000,  34.743
     5.6,-0.000017,0.000016,-0.000594,0.000000,  34.751
     5.8,-0.000017,0.000016,-0.000892,-0.000035,  34.752
     6.0,-0.000013,0.000013,-0.000950,0.000000,  34.752
     6.2,-0.000016,0.000013,-0.000913,0.000000,  34.757
     6.4,-0.000016,0.000011,-0.000803,-0.000035,  34.766
     6.6,-0.000009,0.000014,-0.000772,-0.000035,  34.767
     6.8,-0.000012,0.000009,-0.000735,-0.000035,  34.773
     7.0,-0.000012,0.000009,-0.000709,-0.000070,  34.777
     7.2,-0.000009,0.000007,-0.000636,-0.000035,  34.779
     7.4,-0.000009,0.000005,-0.000543,-0.000035,  34.781
     7.6,-0.000016,0.000005,-0.000433,-0.000070,  34.779
     7.8,-0.000018,0.000007,-0.000533,-0.000035,  34.787
     8.0,-0.000016,0.000002,-0.000727,-0.000035,  34.785
     8.2,-0.000022,0.000007,-0.001031,-0.000057,  34.785
     8.4,-0.000018,0.000005,-0.001141,-0.000057,  34.790
     8.6,-0.000022,-0.000001,-0.001204,-0.000057,  34.793
     8.8,-0.000027,0.000001,-0.001230,-0.000080,  34.796
     9.0,-0.000033,-0.000005,-0.001304,-0.000080,  34.800
     9.2,-0.000037,-0.000005,-0.001382,-0.000057,  34.796
     9.4,-0.000033,-0.000008,-0.001486,-0.000105,  34.801
     9.6,-0.000033,-0.000003,-0.001445,-0.000105,  34.805
     9.8,-0.000033,-0.000008,-0.001330,-0.000070,  34.806
    10.0,-0.000039,-0.000008,-0.001163,-0.000105,  34.808
    10.2,-0.000037,-0.000010,-0.001058,-0.000105,  34.809
    10.4,-0.000039,-0.000012,-0.000949,-0.000057,  34.815
    10.6,-0.000039,-0.000011,-0.000845,-0.000080,  34.826
    10.8,-0.000042,-0.000014,-0.000788,-0.000080,  34.830
    11.0,-0.000047,-0.000018,-0.000746,-0.000057,  34.835
    11.2,-0.000056,-0.000022,-0.000725,-0.000105,  34.836
    11.4,-0.000050,-0.000022,-0.000818,-0.000105,  34.839
    11.6,-0.000046,-0.000022,-0.000975,-0.000070,  34.846
    11.8,-0.000055,-0.000024,-0.001199,-0.000118,  34.843
    12.0,-0.000048,-0.000016,-0.001288,-0.000118,  34.844
