Run Name,group4 CRL 38% 2_20
Run Date,02:47:58 PM   02-20-14
Method Name,38%B-Isocratic.55
Export Format Version, 1.00
Method ID, 1798
Points/Second, 5.00
Number of Records,   5118
Offset from Run Start Time,00:00:00
Run End Time,00:17:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000072,0.000083,-0.000911,-0.000196,  37.169
     0.2,0.000065,0.000078,-0.000933,-0.000218,  37.173
     0.4,0.000069,0.000077,-0.001048,-0.000196,  37.170
     0.6,0.000073,0.000078,-0.001268,-0.000196,  37.169
     0.8,0.000064,0.000074,-0.001252,-0.000231,  37.173
     1.0,0.000064,0.000076,-0.001157,-0.000183,  37.171
     1.2,0.000046,0.000000,-0.001021,-0.000196,  37.172
     1.4,0.000037,0.000000,-0.000964,-0.000231,  37.172
     1.6,0.000045,0.000000,-0.000890,-0.000183,  37.169
     1.8,0.000045,0.000000,-0.000859,-0.000196,  37.168
     2.0,0.000000,0.000000,-0.000811,-0.000231,  37.170
     2.2,0.000000,0.000000,-0.000713,-0.000160,  37.169
     2.4,0.000000,0.000000,-0.000599,0.000000,  37.169
     2.6,0.000000,0.000000,0.000000,0.000000,  37.169
     2.8,0.000000,0.000000,0.000000,0.000000,  37.170
     3.0,0.000000,0.000000,0.000000,0.000000,  37.168
     3.2,0.000000,0.000000,0.000000,0.000000,  37.171
     3.4,0.000000,0.000000,0.000000,0.000000,  37.170
     3.6,0.000000,0.000000,0.000000,0.000000,  37.169
     3.8,0.000000,0.000000,0.000000,0.000000,  37.170
     4.0,0.000000,0.000000,0.000000,0.000000,  37.168
     4.2,0.000000,0.000000,0.000000,0.000000,  37.171
     4.4,0.000000,0.000000,0.000000,0.000000,  37.170
     4.6,0.000000,0.000000,0.000000,0.000000,  37.168
     4.8,0.000000,0.000000,0.000000,0.000000,  37.170
     5.0,0.000000,0.000000,0.000000,0.000000,  37.169
     5.2,0.000000,0.000000,0.000000,0.000000,  37.173
     5.4,-0.000020,0.000001,0.000000,0.000000,  37.170
     5.6,-0.000017,0.000003,0.000000,0.000000,  37.170
     5.8,-0.000021,0.000003,0.000000,0.000000,  37.168
     6.0,-0.000017,0.000001,0.000000,0.000000,  37.171
     6.2,-0.000021,-0.000002,0.000000,0.000000,  37.171
     6.4,-0.000014,-0.000002,0.000000,0.000000,  37.171
     6.6,-0.000014,-0.000002,0.000000,0.000000,  37.170
     6.8,-0.000018,-0.000005,-0.000031,0.000035,  37.170
     7.0,-0.000014,-0.000005,-0.000062,0.000083,  37.173
     7.2,-0.000017,-0.000007,-0.000104,0.000083,  37.169
     7.4,-0.000014,-0.000005,-0.000141,0.000048,  37.173
     7.6,-0.000014,-0.000000,-0.000188,0.000026,  37.170
     7.8,-0.000011,-0.000002,-0.000225,0.000013,  37.170
     8.0,-0.000011,-0.000003,-0.000520,0.000013,  37.167
     8.2,-0.000011,-0.000003,-0.000934,-0.000009,  37.170
     8.4,-0.000009,-0.000003,-0.001483,-0.000009,  37.171
     8.6,-0.000009,-0.000005,-0.001545,0.000026,  37.170
     8.8,-0.000007,-0.000005,-0.001414,0.000039,  37.167
     9.0,-0.000009,-0.000007,-0.001120,0.000039,  37.165
     9.2,-0.000009,-0.000012,-0.001136,0.000026,  37.168
     9.4,-0.000009,-0.000012,-0.001240,0.000039,  37.168
     9.6,-0.000012,-0.000007,-0.001418,0.000004,  37.168
     9.8,-0.000012,-0.000012,-0.001340,0.000004,  37.165
    10.0,-0.000012,-0.000008,-0.001189,0.000016,  37.166
    10.2,-0.000005,-0.000002,-0.000954,-0.000032,  37.165
    10.4,0.000001,-0.000006,-0.001006,0.000004,  37.165
    10.6,-0.000012,-0.000004,-0.001148,0.000016,  37.164
    10.8,-0.000005,-0.000006,-0.001392,-0.000032,  37.166
    11.0,-0.000005,-0.000009,-0.001320,0.000004,  37.161
    11.2,-0.000012,-0.000007,-0.001138,0.000016,  37.164
    11.4,-0.000005,-0.000005,-0.000835,-0.000032,  37.162
    11.6,-0.000005,-0.000005,-0.000746,0.000004,  37.160
    11.8,-0.000005,-0.000007,-0.000730,0.000016,  37.157
    12.0,-0.000012,-0.000002,-0.000745,-0.000032,  37.161
    12.2,-0.000005,-0.000002,-0.000943,0.000004,  37.161
    12.4,-0.000003,0.000003,-0.001278,0.000016,  37.163
    12.6,-0.000007,0.000004,-0.001739,-0.000019,  37.162
    12.8,0.000002,0.000003,-0.001682,0.000016,  37.163
    13.0,0.000008,0.000011,-0.001442,0.000029,  37.164
    13.2,0.000006,0.000023,-0.001019,-0.000006,  37.163
    13.4,0.000016,0.000025,-0.000858,0.000029,  37.162
    13.6,0.000021,0.000026,-0.000738,0.000029,  37.164
    13.8,0.000020,0.000032,-0.000648,-0.000006,  37.164
    14.0,0.000026,0.000031,-0.000622,0.000029,  37.165
    14.2,0.000029,0.000040,-0.000626,0.000029,  37.166
    14.4,0.000025,0.000046,-0.000692,-0.000006,  37.166
    14.6,0.000034,0.000044,-0.000660,0.000042,  37.165
    14.8,0.000034,0.000048,-0.000612,0.000042,  37.165
    15.0,0.000027,0.000047,-0.000555,0.000055,  37.168
    15.2,0.000034,0.000046,-0.000518,0.000055,  37.172
    15.4,0.000037,0.000052,-0.000481,0.000077,  37.169
    15.6,0.000030,0.000055,-0.000449,0.000077,  37.163
    15.8,0.000037,0.000055,-0.000417,0.000077,  37.167
    16.0,0.000039,0.000055,-0.000627,0.000077,  37.164
    16.2,0.000042,0.000053,-0.000924,0.000077,  37.166
    16.4,0.000046,0.000049,-0.001327,0.000077,  37.165
    16.6,0.000046,0.000045,-0.001562,0.000077,  37.164
    16.8,0.000046,0.000042,-0.001766,0.000077,  37.162
    17.0,0.000043,0.000037,-0.001927,0.000077,  37.163
    17.2,0.000040,0.000037,-0.001968,0.000077,  37.165
    17.4,0.000040,0.000039,-0.001936,0.000077,  37.164
    17.6,0.000038,0.000040,-0.001847,0.000077,  37.162
    17.8,0.000038,0.000040,-0.001649,0.000077,  37.164
    18.0,0.000029,0.000035,-0.001362,0.000077,  37.164
    18.2,0.000029,0.000032,-0.000996,0.000077,  37.162
    18.4,0.000031,0.000030,-0.000804,0.000077,  37.165
    18.6,0.000022,0.000034,-0.000636,0.000077,  37.168
    18.8,0.000026,0.000029,-0.000510,0.000077,  37.164
    19.0,0.000026,0.000026,-0.000610,0.000077,  37.165
    19.2,0.000020,0.000024,-0.000835,0.000077,  37.165
    19.4,0.000021,0.000024,-0.001190,0.000042,  37.163
    19.6,0.000023,0.000020,-0.001305,0.000042,  37.167
    19.8,0.000017,0.000017,-0.001362,0.000042,  37.164
    20.0,0.000023,0.000017,-0.001378,0.000007,  37.162
    20.2,0.000023,0.000013,-0.001305,0.000042,  37.166
    20.4,0.000017,0.000014,-0.001153,0.000029,  37.163
    20.6,0.000017,0.000010,-0.000955,-0.000006,  37.161
    20.8,0.000021,0.000005,-0.000872,0.000029,  37.160
    21.0,0.000014,0.000005,-0.000809,0.000016,  37.158
    21.2,0.000016,0.000014,-0.000760,-0.000019,  37.163
    21.4,0.000013,0.000013,-0.000901,0.000029,  37.157
    21.6,0.000010,0.000008,-0.001153,0.000029,  37.155
    21.8,0.000001,0.000010,-0.001504,-0.000006,  37.154
    22.0,0.000002,0.000002,-0.001451,0.000029,  37.156
    22.2,0.000002,0.000000,-0.001285,0.000029,  37.156
    22.4,-0.000007,-0.000000,-0.000978,-0.000006,  37.153
    22.6,-0.000000,-0.000009,-0.000811,0.000016,  37.155
    22.8,-0.000000,-0.000009,-0.000660,0.000029,  37.152
    23.0,-0.000007,-0.000000,-0.000514,-0.000006,  37.155
    23.2,-0.000003,-0.000001,-0.000415,0.000029,  37.152
    23.4,-0.000003,-0.000003,-0.000353,0.000029,  37.153
    23.6,-0.000007,-0.000004,-0.000316,-0.000006,  37.153
    23.8,-0.000003,-0.000002,-0.000368,0.000016,  37.146
    24.0,-0.000003,-0.000004,-0.000484,0.000016,  37.147
    24.2,-0.000007,-0.000005,-0.000667,-0.000019,  37.147
    24.4,-0.000003,-0.000010,-0.000820,0.000016,  37.142
    24.6,-0.000003,-0.000008,-0.001003,0.000004,  37.144
    24.8,-0.000009,-0.000008,-0.001201,-0.000019,  37.144
    25.0,-0.000005,-0.000006,-0.001306,0.000004,  37.139
    25.2,-0.000003,-0.000004,-0.001390,0.000004,  37.142
    25.4,-0.000009,-0.000000,-0.001432,0.000016,  37.141
    25.6,-0.000000,-0.000002,-0.001453,-0.000019,  37.142
    25.8,-0.000000,-0.000003,-0.001594,0.000016,  37.140
    26.0,-0.000009,-0.000002,-0.001772,0.000029,  37.141
    26.2,-0.000005,-0.000002,-0.001981,-0.000006,  37.142
    26.4,-0.000005,-0.000002,-0.001918,0.000016,  37.138
    26.6,-0.000012,-0.000007,-0.001761,0.000029,  37.136
    26.8,-0.000005,-0.000005,-0.001478,-0.000006,  37.135
    27.0,-0.000005,-0.000006,-0.001358,0.000016,  37.133
    27.2,-0.000012,-0.000004,-0.001253,0.000029,  37.137
    27.4,-0.000005,-0.000002,-0.001169,-0.000006,  37.136
    27.6,-0.000005,-0.000000,-0.001342,0.000016,  37.138
    27.8,-0.000012,-0.000002,-0.001640,0.000029,  37.135
    28.0,-0.000008,-0.000004,-0.002079,-0.000006,  37.135
    28.2,-0.000008,-0.000006,-0.002085,0.000016,  37.133
    28.4,-0.000012,-0.000009,-0.001956,0.000029,  37.133
    28.6,-0.000008,-0.000008,-0.001658,-0.000006,  37.134
    28.8,-0.000008,-0.000013,-0.001491,0.000016,  37.131
    29.0,-0.000012,-0.000012,-0.001330,0.000029,  37.134
    29.2,-0.000005,-0.000007,-0.001162,-0.000019,  37.131
    29.4,-0.000005,-0.000008,-0.001005,0.000004,  37.130
    29.6,-0.000012,-0.000009,-0.000876,0.000016,  37.132
    29.8,-0.000008,-0.000009,-0.000751,-0.000019,  37.134
    30.0,-0.000008,-0.000007,-0.000714,0.000016,  37.133
    30.2,-0.000015,-0.000005,-0.000740,0.000029,  37.133
    30.4,-0.000015,-0.000003,-0.000817,-0.000006,  37.133
    30.6,-0.000011,0.000001,-0.000817,0.000016,  37.133
    30.8,-0.000015,-0.000002,-0.000807,0.000029,  37.135
    31.0,-0.000008,-0.000006,-0.000791,-0.000019,  37.134
    31.2,-0.000008,-0.000006,-0.000854,0.000004,  37.132
    31.4,-0.000008,-0.000004,-0.000959,0.000016,  37.132
    31.6,-0.000015,-0.000005,-0.001105,-0.000019,  37.129
    31.8,-0.000011,-0.000003,-0.001126,0.000016,  37.132
    32.0,-0.000011,-0.000006,-0.001094,0.000029,  37.132
    32.2,-0.000017,-0.000006,-0.001030,-0.000006,  37.133
    32.4,-0.000011,-0.000004,-0.001078,0.000016,  37.131
    32.6,-0.000011,-0.000004,-0.001151,0.000029,  37.131
    32.8,-0.000017,-0.000008,-0.001277,-0.000006,  37.131
    33.0,-0.000011,-0.000010,-0.001252,0.000016,  37.135
    33.2,-0.000011,-0.000012,-0.001153,0.000016,  37.134
    33.4,-0.000017,-0.000011,-0.001011,-0.000019,  37.133
    33.6,-0.000011,-0.000011,-0.000954,0.000029,  37.134
    33.8,-0.000011,-0.000015,-0.000917,0.000016,  37.134
    34.0,-0.000017,-0.000009,-0.000907,-0.000006,  37.134
    34.2,-0.000011,-0.000012,-0.000907,0.000029,  37.129
    34.4,-0.000010,-0.000006,-0.000916,0.000016,  37.134
    34.6,-0.000005,-0.000001,-0.000968,0.000029,  37.134
    34.8,0.000004,-0.000002,-0.001021,-0.000006,  37.132
    35.0,0.000004,-0.000006,-0.001084,0.000016,  37.133
    35.2,0.000003,-0.000008,-0.001151,0.000029,  37.131
    35.4,-0.000006,-0.000009,-0.001235,-0.000006,  37.131
    35.6,-0.000007,-0.000005,-0.001282,0.000016,  37.132
    35.8,-0.000013,-0.000008,-0.001340,0.000029,  37.130
    36.0,-0.000011,-0.000008,-0.001377,-0.000006,  37.131
    36.2,-0.000015,-0.000010,-0.001357,0.000016,  37.132
    36.4,-0.000018,-0.000008,-0.001305,0.000029,  37.131
    36.6,-0.000008,-0.000007,-0.001237,-0.000006,  37.132
    36.8,-0.000008,-0.000012,-0.001358,0.000016,  37.132
    37.0,-0.000012,-0.000010,-0.001541,0.000029,  37.129
    37.2,-0.000012,-0.000008,-0.001802,-0.000006,  37.133
    37.4,-0.000012,-0.000010,-0.001776,0.000016,  37.129
    37.6,-0.000009,-0.000006,-0.001645,0.000029,  37.130
    37.8,-0.000003,-0.000008,-0.001394,-0.000006,  37.132
    38.0,-0.000003,-0.000008,-0.001248,0.000016,  37.133
    38.2,-0.000009,-0.000005,-0.001112,0.000029,  37.131
    38.4,-0.000005,-0.000006,-0.000983,-0.000006,  37.131
    38.6,-0.000005,-0.000008,-0.000873,0.000016,  37.138
    38.8,-0.000012,-0.000008,-0.000784,0.000029,  37.137
    39.0,-0.000005,-0.000010,-0.000700,-0.000006,  37.139
    39.2,-0.000005,-0.000015,-0.000758,0.000016,  37.139
    39.4,-0.000012,-0.000013,-0.000878,0.000029,  37.139
    39.6,-0.000008,-0.000014,-0.001071,-0.000006,  37.135
    39.8,-0.000008,-0.000014,-0.001040,0.000016,  37.134
    40.0,-0.000015,-0.000014,-0.000941,0.000029,  37.133
    40.2,-0.000012,-0.000014,-0.000747,-0.000006,  37.137
    40.4,-0.000008,-0.000017,-0.000889,0.000016,  37.139
    40.6,-0.000012,-0.000015,-0.001155,0.000029,  37.134
    40.8,-0.000005,-0.000006,-0.001541,-0.000006,  37.138
    41.0,-0.000008,-0.000011,-0.001641,0.000016,  37.138
    41.2,-0.000008,-0.000011,-0.001657,0.000029,  37.139
    41.4,-0.000012,-0.000006,-0.001584,-0.000006,  37.134
    41.6,-0.000008,-0.000009,-0.001667,0.000016,  37.139
