Run Name,Dead time check_2_Grp 4_02 18 2014
Run Date,02:41:54 PM   02-18-14
Method Name,50%B-Isocratic.3
Export Format Version, 1.00
Method ID, 1787
Points/Second, 5.00
Number of Records,   3090
Offset from Run Start Time,00:00:00
Run End Time,00:10:18
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.000000,0.000000,  36.576
     0.2,0.000000,0.000000,0.000000,0.000000,  36.573
     0.4,0.000000,0.000000,0.000000,0.000000,  36.573
     0.6,0.000000,0.000000,0.000000,0.000000,  36.566
     0.8,0.000000,0.000000,0.000000,0.000000,  36.567
     1.0,0.000000,0.000000,0.000000,0.000000,  36.570
     1.2,0.000000,0.000000,0.000000,0.000000,  36.566
     1.4,0.000000,0.000000,0.000000,0.000000,  36.576
     1.6,0.000000,0.000000,0.000000,0.000000,  36.577
     1.8,0.000000,0.000000,0.000000,0.000000,  36.581
     2.0,0.000000,0.000000,0.000000,0.000000,  36.581
     2.2,0.000000,0.000000,0.000000,0.000000,  36.586
     2.4,0.000000,0.000000,0.000000,0.000000,  36.583
     2.6,0.000000,0.000000,0.000000,0.000000,  36.584
     2.8,0.000000,0.000000,0.000000,0.000000,  36.585
     3.0,0.000000,0.000000,0.000000,0.000000,  36.584
     3.2,0.000000,0.000000,0.000000,0.000000,  36.587
     3.4,0.000000,0.000000,0.000000,0.000000,  36.585
     3.6,-0.000047,-0.000097,0.000000,0.000000,  36.585
     3.8,-0.000090,-0.000106,0.000000,0.000000,  36.585
     4.0,-0.000110,-0.000115,0.000000,0.000000,  36.588
     4.2,-0.000132,-0.000122,0.000000,0.000000,  36.584
     4.4,-0.000134,-0.000134,0.000000,-0.000211,  36.582
     4.6,-0.000136,-0.000144,0.000460,-0.000260,  36.579
     4.8,-0.000153,-0.000156,0.000412,-0.000272,  36.584
     5.0,-0.000157,-0.000164,0.000383,-0.000250,  36.582
     5.2,-0.000173,-0.000178,0.000369,-0.000298,  36.583
     5.4,-0.000192,-0.000194,0.000379,-0.000311,  36.576
     5.6,-0.000202,-0.000208,0.000403,-0.000324,  36.572
     5.8,-0.000217,-0.000223,0.000449,-0.000360,  36.562
     6.0,-0.000234,-0.000230,0.000427,-0.000337,  36.558
     6.2,-0.000241,-0.000243,0.000370,-0.000363,  36.553
     6.4,-0.000252,-0.000248,0.000286,-0.000412,  36.553
     6.6,-0.000253,-0.000248,0.000233,-0.000425,  36.551
     6.8,-0.000240,-0.000244,0.000191,-0.000438,  36.551
     7.0,-0.000221,-0.000225,0.000143,-0.000487,  36.554
     7.2,-0.000191,-0.000190,0.000123,-0.000500,  36.552
     7.4,-0.000137,-0.000147,0.000123,-0.000464,  36.552
     7.6,-0.000071,-0.000116,0.000123,-0.000461,  36.546
     7.8,-0.000033,-0.000073,-0.000207,-0.000422,  36.544
     8.0,0.000018,-0.000035,-0.000697,-0.000334,  36.541
     8.2,0.000058,-0.000006,-0.001366,-0.000305,  36.540
     8.4,0.000087,0.000018,-0.001422,-0.000266,  36.527
     8.6,0.000096,0.000040,-0.001267,-0.000191,  36.528
     8.8,0.000118,0.000055,-0.000885,-0.000175,  36.526
     9.0,0.000118,0.000073,-0.000801,-0.000123,  36.520
     9.2,0.000133,0.000084,-0.000749,-0.000062,  36.523
     9.4,0.000160,0.000096,-0.000735,-0.000071,  36.524
     9.6,0.000181,0.000114,-0.000669,-0.000045,  36.528
     9.8,0.000195,0.000126,-0.000612,0.000003,  36.527
    10.0,0.000218,0.000133,-0.000556,-0.000006,  36.533
    10.2,0.000228,0.000145,-0.000558,0.000007,  36.534
    10.4,0.000235,0.000153,-0.000582,0.000055,  36.543
    10.6,0.000249,0.000152,-0.000640,0.000032,  36.549
    10.8,0.000261,0.000151,-0.000700,0.000058,  36.550
    11.0,0.000252,0.000145,-0.000752,0.000081,  36.551
    11.2,0.000245,0.000116,-0.000814,0.000081,  36.549
    11.4,0.000230,0.000083,-0.000782,0.000094,  36.544
    11.6,0.000193,0.000043,-0.000701,0.000058,  36.544
    11.8,0.000151,0.000006,-0.000573,0.000094,  36.550
    12.0,0.000093,-0.000028,-0.000515,0.000045,  36.550
    12.2,0.000045,-0.000055,-0.000469,0.000007,  36.547
    12.4,0.000003,-0.000087,-0.000458,-0.000010,  36.546
    12.6,-0.000035,-0.000110,-0.000394,-0.000084,  36.550
    12.8,-0.000076,-0.000131,-0.000320,-0.000136,  36.548
    13.0,-0.000105,-0.000159,-0.000242,-0.000165,  36.550
    13.2,-0.000136,-0.000175,-0.000138,-0.000240,  36.550
    13.4,-0.000169,-0.000192,-0.000068,-0.000279,  36.546
    13.6,-0.000186,-0.000212,-0.000018,-0.000282,  36.544
    13.8,-0.000210,-0.000230,0.000012,-0.000344,  36.540
    14.0,-0.000234,-0.000242,0.000058,-0.000370,  36.528
    14.2,-0.000241,-0.000252,0.000097,-0.000360,  36.513
    14.4,-0.000254,-0.000268,0.000113,-0.000409,  36.507
    14.6,-0.000276,-0.000278,0.000149,-0.000422,  36.502
    14.8,-0.000289,-0.000290,0.000189,-0.000412,  36.500
    15.0,-0.000308,-0.000289,0.000209,-0.000461,  36.502
    15.2,-0.000301,-0.000276,0.000241,-0.000474,  36.496
    15.4,-0.000270,-0.000254,0.000305,-0.000464,  36.494
    15.6,-0.000219,-0.000227,0.000364,-0.000500,  36.494
    15.8,-0.000181,-0.000183,0.000334,-0.000525,  36.494
    16.0,-0.000122,-0.000132,0.000271,-0.000490,  36.494
    16.2,-0.000055,-0.000096,0.000175,-0.000474,  36.490
    16.4,-0.000014,-0.000056,-0.000073,-0.000409,  36.485
    16.6,0.000034,-0.000019,-0.000418,-0.000295,  36.484
    16.8,0.000071,0.000004,-0.000850,-0.000279,  36.483
    17.0,0.000093,0.000025,-0.001425,-0.000214,  36.484
    17.2,0.000121,0.000041,-0.002124,-0.000152,  36.475
    17.4,0.000134,0.000061,-0.002945,-0.000149,  36.478
    17.6,0.000152,0.000075,-0.002933,-0.000110,  36.477
    17.8,0.000161,0.000091,-0.002551,-0.000049,  36.476
    18.0,0.000184,0.000109,-0.001823,-0.000058,  36.479
    18.2,0.000197,0.000124,-0.001559,-0.000032,  36.486
    18.4,0.000206,0.000143,-0.001368,0.000016,  36.490
    18.6,0.000228,0.000157,-0.001228,0.000007,  36.491
    18.8,0.000241,0.000172,-0.001084,0.000019,  36.498
    19.0,0.000245,0.000182,-0.000974,0.000068,  36.498
    19.2,0.000260,0.000182,-0.000892,0.000058,  36.498
    19.4,0.000262,0.000170,-0.000792,0.000058,  36.500
    19.6,0.000245,0.000154,-0.000716,0.000094,  36.498
    19.8,0.000231,0.000126,-0.000624,0.000058,  36.501
    20.0,0.000202,0.000091,-0.000580,0.000058,  36.497
    20.2,0.000159,0.000055,-0.000570,0.000081,  36.498
    20.4,0.000121,0.000019,-0.000576,0.000019,  36.498
    20.6,0.000068,-0.000013,-0.000512,-0.000006,  36.497
    20.8,0.000025,-0.000043,-0.000422,-0.000036,  36.501
    21.0,-0.000005,-0.000071,-0.000309,-0.000075,  36.503
    21.2,-0.000039,-0.000091,-0.000201,-0.000088,  36.504
    21.4,-0.000075,-0.000115,-0.000083,-0.000175,  36.499
    21.6,-0.000097,-0.000136,0.000045,-0.000165,  36.500
    21.8,-0.000123,-0.000160,0.000071,-0.000240,  36.502
    22.0,-0.000153,-0.000174,0.000063,-0.000279,  36.499
    22.2,-0.000170,-0.000194,0.000008,-0.000269,  36.490
    22.4,-0.000182,-0.000211,-0.000096,-0.000331,  36.490
    22.6,-0.000207,-0.000224,-0.000047,-0.000357,  36.481
    22.8,-0.000223,-0.000234,0.000012,-0.000347,  36.477
    23.0,-0.000229,-0.000251,0.000114,-0.000396,  36.470
    23.2,-0.000246,-0.000257,0.000182,-0.000422,  36.466
    23.4,-0.000259,-0.000264,0.000240,-0.000399,  36.465
    23.6,-0.000270,-0.000248,0.000284,-0.000448,  36.460
    23.8,-0.000248,-0.000228,0.000314,-0.000461,  36.462
    24.0,-0.000197,-0.000196,0.000324,-0.000451,  36.463
    24.2,-0.000136,-0.000164,0.000326,-0.000474,  36.458
    24.4,-0.000096,-0.000122,0.000302,-0.000474,  36.462
    24.6,-0.000039,-0.000080,0.000268,-0.000425,  36.463
    24.8,0.000005,-0.000045,0.000198,-0.000422,  36.460
    25.0,0.000038,-0.000012,0.000118,-0.000321,  36.454
    25.2,0.000075,0.000020,0.000024,-0.000234,  36.453
    25.4,0.000106,0.000039,-0.000094,-0.000217,  36.454
    25.6,0.000126,0.000059,-0.000122,-0.000165,  36.454
    25.8,0.000151,0.000075,-0.000105,-0.000114,  36.451
    26.0,0.000173,0.000090,-0.000049,-0.000097,  36.449
    26.2,0.000189,0.000110,-0.000036,-0.000084,  36.450
    26.4,0.000205,0.000124,-0.000028,-0.000023,  36.455
    26.6,0.000215,0.000135,-0.000028,-0.000032,  36.461
    26.8,0.000223,0.000149,-0.000048,-0.000019,  36.462
    27.0,0.000230,0.000157,-0.000098,0.000029,  36.464
    27.2,0.000237,0.000163,-0.000140,0.000007,  36.471
    27.4,0.000250,0.000170,-0.000150,0.000019,  36.469
    27.6,0.000252,0.000174,-0.000150,0.000068,  36.469
    27.8,0.000252,0.000159,-0.000156,0.000058,  36.475
    28.0,0.000256,0.000138,-0.000214,0.000071,  36.483
    28.2,0.000226,0.000109,-0.000291,0.000107,  36.482
    28.4,0.000192,0.000083,-0.000401,0.000071,  36.481
    28.6,0.000146,0.000045,-0.000387,0.000058,  36.480
    28.8,0.000100,0.000012,-0.000323,0.000055,  36.480
    29.0,0.000063,-0.000014,-0.000195,0.000029,  36.481
    29.2,0.000028,-0.000050,-0.000145,0.000003,  36.478
    29.4,-0.000013,-0.000076,-0.000113,-0.000071,  36.484
    29.6,-0.000044,-0.000102,-0.000090,-0.000088,  36.484
    29.8,-0.000072,-0.000124,-0.000160,-0.000162,  36.482
    30.0,-0.000107,-0.000140,-0.000295,-0.000201,  36.484
    30.2,-0.000127,-0.000160,-0.000471,-0.000204,  36.485
    30.4,-0.000147,-0.000181,-0.000706,-0.000266,  36.481
    30.6,-0.000173,-0.000192,-0.000604,-0.000292,  36.479
    30.8,-0.000189,-0.000210,-0.000420,-0.000295,  36.469
    31.0,-0.000205,-0.000222,-0.000139,-0.000344,  36.454
    31.2,-0.000227,-0.000234,-0.000007,-0.000357,  36.447
