Run Name,Group 4 deadtime trial 2 2_20
Run Date,01:16:28 PM   02-20-14
Method Name,50%B-Isocratic.3
Export Format Version, 1.00
Method ID, 1793
Points/Second, 5.00
Number of Records,   3143
Offset from Run Start Time,00:00:00
Run End Time,00:10:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000725,0.000536,0.003889,0.000408,  49.111
     0.2,0.000725,0.000533,0.003919,0.000408,  49.114
     0.4,0.000722,0.000535,0.004066,0.000373,  49.114
     0.6,0.000720,0.000542,0.004316,0.000408,  49.117
     0.8,0.000716,0.000547,0.004435,0.000408,  49.120
     1.0,0.000716,0.000548,0.004533,0.000373,  49.125
     1.2,-0.000161,0.000552,0.004626,0.000408,  49.124
     1.4,-0.000158,0.000555,0.004751,0.000408,  49.121
     1.6,-0.000159,0.000551,0.004881,0.000373,  49.130
     1.8,0.000374,0.000547,0.005016,0.000395,  49.135
     2.0,0.000000,0.000546,0.005031,0.000395,  49.135
     2.2,0.000000,0.000542,0.004995,0.000408,  49.139
     2.4,0.000000,0.000457,0.003876,0.000395,  49.141
     2.6,0.000000,0.000457,0.003876,0.000000,  49.139
     2.8,0.000000,0.000324,0.003876,0.000000,  49.142
     3.0,0.000000,0.000048,0.003876,0.000000,  49.141
     3.2,0.000000,0.000048,0.003876,0.000000,  49.145
     3.4,0.000000,0.000000,0.000000,0.000000,  49.149
     3.6,0.000000,0.000000,0.000000,0.000000,  49.149
     3.8,0.000000,0.000000,0.000000,0.000000,  49.152
     4.0,0.000000,0.000000,0.000000,0.000000,  49.153
     4.2,0.000000,0.000000,0.000000,0.000000,  49.155
     4.4,0.000000,0.000000,0.000000,0.000000,  49.161
     4.6,0.000000,0.000000,0.000000,0.000000,  49.160
     4.8,0.000000,0.000000,0.000000,0.000000,  49.162
     5.0,0.000000,0.000000,0.000000,0.000000,  49.168
     5.2,0.000000,0.000000,0.000000,0.000000,  49.171
     5.4,0.000000,0.000000,0.000000,0.000000,  49.176
     5.6,0.000000,0.000000,0.000000,0.000000,  49.173
     5.8,0.000000,0.000000,0.000000,0.000000,  49.178
     6.0,0.000023,0.000000,0.000000,0.000000,  49.180
     6.2,0.000026,0.000000,0.000000,0.000000,  49.181
     6.4,0.000029,0.000000,0.000000,0.000000,  49.183
     6.6,0.000026,0.000000,0.000000,0.000000,  49.185
     6.8,0.000029,0.000000,0.000000,0.000000,  49.189
     7.0,0.000020,0.000010,0.000276,0.000000,  49.188
     7.2,0.000014,0.000009,0.000192,-0.000009,  49.193
     7.4,0.000017,0.000012,0.000150,-0.000009,  49.207
     7.6,0.000008,0.000011,0.000130,-0.000009,  49.211
     7.8,0.000012,0.000010,0.000152,-0.000032,  49.214
     8.0,0.000014,0.000012,0.000188,0.000004,  49.216
     8.2,0.000005,0.000010,0.000245,-0.000009,  49.220
     8.4,0.000012,0.000011,0.000162,-0.000032,  49.218
     8.6,0.000014,0.000013,0.000017,0.000004,  49.218
     8.8,0.000005,0.000008,-0.000224,-0.000009,  49.220
     9.0,0.000005,0.000010,-0.000256,-0.000032,  49.222
     9.2,0.000005,0.000008,-0.000208,0.000004,  49.227
     9.4,0.000003,0.000003,-0.000104,-0.000009,  49.231
     9.6,0.000004,0.000010,-0.000104,-0.000032,  49.230
     9.8,0.000004,0.000012,-0.000140,0.000004,  49.233
    10.0,0.000000,0.000006,-0.000180,-0.000009,  49.235
    10.2,0.000006,0.000003,-0.000112,-0.000032,  49.234
    10.4,0.000006,0.000006,-0.000008,-0.000009,  49.240
    10.6,0.000000,0.000006,0.000132,-0.000022,  49.242
    10.8,0.000006,-0.000001,0.000132,-0.000044,  49.239
    11.0,0.000013,-0.000001,0.000075,-0.000022,  49.243
    11.2,0.000006,-0.000005,-0.000044,-0.000022,  49.244
    11.4,0.000013,-0.000002,-0.000064,-0.000044,  49.248
    11.6,0.000010,-0.000007,-0.000064,-0.000022,  49.246
    11.8,0.000013,-0.000002,-0.000058,-0.000022,  49.248
    12.0,0.000010,0.000001,-0.000162,-0.000057,  49.253
    12.2,0.000010,-0.000005,-0.000339,-0.000022,  49.251
    12.4,0.000010,0.000001,-0.000558,-0.000035,  49.254
    12.6,0.000006,0.000003,-0.000543,-0.000070,  49.256
    12.8,0.000004,-0.000000,-0.000443,-0.000022,  49.262
    13.0,0.000001,-0.000000,-0.000266,-0.000035,  49.260
    13.2,0.000001,0.000001,-0.000157,-0.000057,  49.262
    13.4,0.000005,0.000005,-0.000038,-0.000022,  49.264
    13.6,0.000005,0.000009,0.000071,-0.000022,  49.263
    13.8,0.000005,0.000009,0.000091,-0.000044,  49.270
    14.0,0.000008,0.000012,0.000055,-0.000022,  49.268
    14.2,0.000010,0.000012,-0.000012,-0.000022,  49.269
    14.4,0.000013,0.000009,-0.000038,-0.000022,  49.273
    14.6,0.000013,0.000005,-0.000068,-0.000057,  49.272
    14.8,0.000013,0.000003,-0.000093,-0.000022,  49.275
    15.0,0.000016,0.000007,-0.000089,-0.000022,  49.279
    15.2,0.000016,0.000008,-0.000058,-0.000022,  49.278
    15.4,0.000016,0.000009,0.000005,-0.000022,  49.278
    15.6,0.000018,0.000013,0.000077,-0.000022,  49.280
    15.8,0.000016,0.000011,0.000133,-0.000044,  49.285
    16.0,0.000016,0.000014,0.000222,-0.000022,  49.287
    16.2,0.000016,0.000010,0.000311,-0.000022,  49.290
    16.4,0.000013,0.000007,0.000311,-0.000044,  49.289
    16.6,0.000013,0.000008,0.000249,-0.000009,  49.290
    16.8,0.000013,0.000010,0.000151,-0.000009,  49.291
    17.0,0.000010,0.000005,0.000140,-0.000032,  49.291
    17.2,0.000014,0.000008,0.000146,0.000004,  49.293
    17.4,0.000014,0.000005,0.000161,-0.000009,  49.294
    17.6,0.000009,0.000005,0.000145,-0.000032,  49.296
    17.8,0.000015,0.000007,0.000119,0.000004,  49.302
    18.0,0.000015,0.000009,0.000071,-0.000009,  49.297
    18.2,0.000009,0.000010,0.000076,-0.000032,  49.301
    18.4,0.000011,0.000006,0.000097,-0.000009,  49.303
    18.6,0.000009,0.000009,0.000135,-0.000022,  49.305
    18.8,0.000006,0.000005,0.000131,-0.000044,  49.306
    19.0,0.000009,0.000000,0.000100,-0.000022,  49.303
    19.2,0.000009,0.000005,0.000054,-0.000022,  49.311
    19.4,0.000009,0.000005,0.000054,-0.000044,  49.310
    19.6,0.000009,0.000001,0.000064,-0.000022,  49.313
    19.8,0.000009,0.000003,0.000090,-0.000022,  49.310
    20.0,0.000009,0.000004,-0.000109,-0.000044,  49.314
    20.2,0.000006,0.000002,-0.000406,-0.000022,  49.312
    20.4,0.000006,0.000005,-0.000796,-0.000022,  49.310
    20.6,0.000004,0.000005,-0.000806,-0.000044,  49.316
    20.8,0.000004,0.000005,-0.000660,-0.000022,  49.314
    21.0,0.000006,0.000005,-0.000389,-0.000022,  49.322
    21.2,0.000006,0.000007,-0.000259,-0.000057,  49.321
    21.4,0.000004,0.000009,-0.000135,-0.000022,  49.319
    21.6,0.000006,0.000007,-0.000026,-0.000035,  49.320
    21.8,0.000006,0.000005,0.000016,-0.000070,  49.321
    22.0,0.000004,0.000007,0.000037,-0.000022,  49.320
    22.2,0.000006,0.000007,-0.000004,-0.000035,  49.326
    22.4,0.000009,0.000005,-0.000010,-0.000070,  49.339
    22.6,0.000009,0.000010,-0.000015,-0.000022,  49.342
    22.8,0.000014,0.000011,-0.000025,-0.000035,  49.341
