Run Name,acetone check 2
Run Date,11:56:30 PM   02-19-14
Method Name,50%B-Isocratic.3
Export Format Version, 1.00
Method ID, 1791
Points/Second, 5.00
Number of Records,   3312
Offset from Run Start Time,00:00:00
Run End Time,00:11:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000360,0.000241,-0.000397,0.000246,  49.608
     0.2,0.000363,0.000240,-0.000422,0.000246,  49.607
     0.4,0.000363,0.000238,-0.000497,0.000259,  49.608
     0.6,0.000363,0.000244,-0.000610,0.000246,  49.609
     0.8,0.000366,0.000241,-0.000600,0.000259,  49.607
     1.0,0.000366,0.000241,-0.000566,0.000259,  49.614
     1.2,0.000366,0.000242,-0.000501,0.000259,  49.612
     1.4,0.000368,0.000242,-0.000988,0.000272,  49.608
     1.6,0.000368,0.000242,-0.001721,0.000272,  49.614
     1.8,0.000368,0.000242,-0.002727,0.000272,  49.613
     2.0,0.000371,0.000246,-0.002758,0.000285,  49.613
     2.2,0.000368,0.000248,-0.002444,0.000285,  49.613
     2.4,0.000368,0.000246,-0.001760,0.000272,  49.618
     2.6,0.000371,0.000247,-0.001541,0.000285,  49.613
     2.8,0.000368,0.000244,-0.001391,0.000272,  49.617
     3.0,0.000368,0.000246,-0.001286,0.000259,  49.618
     3.2,0.000365,0.000246,-0.001421,0.000272,  49.614
     3.4,0.000362,0.000241,-0.001715,0.000259,  49.615
     3.6,0.000342,0.000245,-0.001443,0.000259,  49.616
     3.8,0.000348,0.000000,-0.001443,0.000259,  49.622
     4.0,0.000343,0.000000,-0.001443,0.000259,  49.624
     4.2,0.000349,0.000000,-0.001443,0.000281,  49.621
     4.4,0.000000,0.000000,-0.001443,0.000281,  49.620
     4.6,0.000000,0.000000,0.000000,0.000246,  49.624
