Run Name,10-45% Linear gradient group 5 run 2 march 20.3
Run Date,04:25:42 PM   03-21-14
Method Name,10-65% Linear gradient group 5 march 20.3
Export Format Version, 1.00
Method ID, 1990
Points/Second, 5.00
Number of Records,   8187
Offset from Run Start Time,00:00:00
Run End Time,00:27:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.000047,-0.000092, 10,-0.001384,-0.000201,  15.256,   72
     0.2,-0.000053,-0.000093, 10,-0.001515,-0.000201,  15.257,   72
     0.4,-0.000053,-0.000099, 10,-0.001730,-0.000225,  15.263,   72
     0.6,-0.000049,-0.000097, 10,-0.002049,-0.000201,  15.262,   72
     0.8,-0.000056,-0.000095, 10,-0.002023,-0.000201,  15.259,   72
     1.0,-0.000056,-0.000101, 10,-0.001860,-0.000201,  15.260,   74
     1.2,-0.000052,-0.000099, 10,-0.001605,-0.000201,  15.259,   76
     1.4,-0.000061,-0.000101, 10,-0.001540,-0.000215,  15.264,   75
     1.6,-0.000064,-0.000104, 10,-0.001501,-0.000201,  15.263,   73
     1.8,-0.000060,-0.000104, 10,-0.001521,-0.000238,  15.259,   72
     2.0,-0.000075,-0.000108, 10,-0.001651,-0.000215,  15.259,   70
     2.2,-0.000082,-0.000108, 10,-0.001878,-0.000228,  15.256,   71
     2.4,-0.000494,0.000000, 10,-0.002152,-0.000204,  15.258,   72
     2.6,-0.000473,0.000000, 10,-0.002535,-0.000158,  15.258,   72
     2.8,-0.000486,0.000000, 10,-0.002431,-0.000158,  15.257,   71
     3.0,-0.000449,0.000000, 10,-0.002197,-0.000181,  15.256,   72
